iter	RMSE
0	0.7604333985
1	0.7544696982
2	0.7489297999
3	0.7423965175
4	0.7372343062
5	0.7324478749
6	0.7263155235
7	0.7212419143
8	0.7162720503
9	0.7114644658
10	0.706198475
11	0.7015490875
12	0.6958816321
13	0.6899075584
14	0.6841515517
15	0.679809337
16	0.6754718391
17	0.6701043017
18	0.6644052234
19	0.658990264
20	0.6514510615
21	0.6473610214
22	0.6431458368
23	0.6388983589
24	0.6343447824
25	0.6298924705
26	0.625946449
27	0.6222034006
28	0.6186728525
29	0.6148723949
30	0.61090116
31	0.6052440992
32	0.6010473585
33	0.5960448795
34	0.5917881982
35	0.586820747
36	0.5819433064
37	0.577383644
38	0.5737481961
39	0.5706132752
40	0.5670131806
41	0.5635491531
42	0.5599114126
43	0.5556187779
44	0.5529351836
45	0.5479596721
46	0.5442575015
47	0.5416094227
48	0.5383319945
49	0.53487313
50	0.5319529121
51	0.5295403043
52	0.5271725266
53	0.5249307907
54	0.5218683496
55	0.5181464623
56	0.5138425131
57	0.5110621748
58	0.507934166
59	0.505681047
60	0.503198679
61	0.500229086
62	0.4968146195
63	0.494229118
64	0.4913746255
65	0.4890139483
66	0.4858222872
67	0.4841155895
68	0.4814689855
69	0.4788763539
70	0.4752919693
71	0.4732878789
72	0.4695026668
73	0.4668769902
74	0.464194392
75	0.4621175064
76	0.4605273865
77	0.4589522033
78	0.4568228669
79	0.4537986099
80	0.4517581586
81	0.4496249053
82	0.4482984943
83	0.4466372268
84	0.444482186
85	0.4418989031
86	0.4388586195
87	0.4367240647
88	0.4339555151
89	0.4309307262
90	0.4294430436
91	0.4268934349
92	0.4231604556
93	0.4208905373
94	0.418717604
95	0.4167272644
96	0.4135999579
97	0.412083089
98	0.4099268252
99	0.4076120536
100	0.4059666076
101	0.4029987478
102	0.400874779
103	0.3986705085
104	0.3967183078
105	0.3946223229
106	0.3921014194
107	0.3894142317
108	0.3882836584
109	0.3866463786
110	0.3850857242
111	0.3825917542
112	0.3810136708
113	0.3791212528
114	0.3770212239
115	0.3745150534
116	0.3714917081
117	0.3699573526
118	0.3682039523
119	0.3653616359
120	0.3633104999
121	0.3618644842
122	0.3599824329
123	0.3574883482
124	0.3553770963
125	0.3538336925
126	0.3526561991
127	0.3518843949
128	0.3490494343
129	0.3475505759
130	0.3456921177
131	0.3432263039
132	0.3418942709
133	0.3393835005
134	0.3366540862
135	0.334049087
136	0.3325017879
137	0.3301765888
138	0.3275555148
139	0.3263384772
140	0.3247640536
141	0.3231123658
142	0.3214249829
143	0.3184847961
144	0.3162917695
145	0.3141067668
146	0.3115802725
147	0.3100958942
148	0.3086329905
149	0.3067353205
150	0.3053541388
151	0.303241357
152	0.301233175
153	0.2990272048
154	0.2978386866
155	0.295944396
156	0.2934884645
157	0.2919692304
158	0.2904485762
159	0.2881880802
160	0.2862661779
161	0.2841464144
162	0.2827539455
163	0.2809072497
164	0.2802723007
165	0.2791727372
166	0.2778838623
167	0.2767719057
168	0.2744918221
169	0.273068436
170	0.2719150445
171	0.270598634
172	0.2685462468
173	0.2668446012
174	0.265464811
175	0.2635643614
176	0.2616306961
177	0.2605859936
178	0.25873822
179	0.2574941205
180	0.2548421212
181	0.2533959144
182	0.2519239922
183	0.2509274735
184	0.2495890456
185	0.2482666569
186	0.2467755327
187	0.2449153102
188	0.2428403259
189	0.2407714306
190	0.2386871505
191	0.2371081583
192	0.2363092181
193	0.2347648527
194	0.2328082989
195	0.230477052
196	0.2297026289
197	0.228104334
198	0.2261884194
199	0.2244311604
200	0.2226318707
201	0.2208918504
202	0.2186106482
203	0.2166371637
204	0.2153639454
205	0.2136660034
206	0.2114832064
207	0.2097595894
208	0.2079570264
209	0.2060253988
210	0.2046002314
211	0.2030435156
212	0.2013195234
213	0.1999295768
214	0.198659138
215	0.1976036313
216	0.1962760796
217	0.1946414925
218	0.1939057806
219	0.1923294886
220	0.1917319781
221	0.1899926352
222	0.1887785709
223	0.1873181284
224	0.1855605933
225	0.1844310574
226	0.1827128757
227	0.1813134301
228	0.1798184594
229	0.1778216566
230	0.1764964098
231	0.1749093989
232	0.1731668257
233	0.1718483204
234	0.1705206641
235	0.1688958214
236	0.168374226
237	0.1669031164
238	0.1654493008
239	0.164810616
240	0.1631926147
241	0.1614269198
242	0.1602354609
243	0.159188766
244	0.1581885882
245	0.1564757776
246	0.1551402718
247	0.1534583672
248	0.15206747
249	0.1506084104
250	0.1490909271
251	0.1485785685
252	0.1475245271
253	0.14619431
254	0.1446892588
255	0.1436055055
256	0.1427964441
257	0.1416075207
258	0.1402973792
259	0.1392387897
260	0.1381078317
261	0.1376788999
262	0.1362297313
263	0.1352990061
264	0.134736715
265	0.1341835453
266	0.1335523177
267	0.132523175
268	0.1313318417
269	0.1308796189
270	0.1296801502
271	0.1287695522
272	0.1278818357
273	0.1269786383
274	0.1262416612
275	0.1258242378
276	0.1252468193
277	0.1248799565
278	0.1237357612
279	0.1225534276
280	0.1213395048
281	0.1203944199
282	0.1197872467
283	0.1192506433
284	0.1187558438
285	0.1184605647
286	0.1174681273
287	0.1163576374
288	0.1153044025
289	0.1147568222
290	0.1142187199
291	0.1136338072
292	0.112892621
293	0.1122197563
294	0.111014972
295	0.109895951
296	0.1089805347
297	0.1082188989
298	0.1072602943
299	0.1066477572
300	0.1060422553
301	0.1052675644
302	0.1048950362
303	0.1041196855
304	0.1036141431
305	0.1031036196
306	0.1022342639
307	0.101252232
308	0.1010149133
309	0.1000956529
310	0.0995044593
311	0.09859747141
312	0.09779630266
313	0.09700260229
314	0.09638430132
315	0.09547765035
316	0.09519106961
317	0.09497500856
318	0.09424433864
319	0.09385490331
320	0.09355922897
321	0.09285345511
322	0.09197643846
323	0.09136202339
324	0.09053915852
325	0.08974173252
326	0.08912861011
327	0.08889217429
328	0.08812567351
329	0.08740748131
330	0.08671163016
331	0.08598141781
332	0.08525787013
333	0.0849108028
334	0.08419538403
335	0.08352992992
336	0.08315039844
337	0.08291812932
338	0.08232312493
339	0.08175193922
340	0.08119776519
341	0.08071473972
342	0.08000636931
343	0.07930955534
344	0.07863831037
345	0.07814387098
346	0.07753777665
347	0.0770262444
348	0.07655775536
349	0.07592700495
350	0.07548026434
351	0.0748587242
352	0.07454416383
353	0.07408456448
354	0.07353775676
355	0.07290326402
356	0.07243060949
357	0.07207612957
358	0.07144028647
359	0.07094945233
360	0.07058504651
361	0.07001033916
362	0.06966175282
363	0.06913343391
364	0.06867392506
365	0.06813798083
366	0.06773422634
367	0.06749663905
368	0.06703684325
369	0.06666800859
370	0.06623632421
371	0.06574947502
372	0.06548265744
373	0.06528390395
374	0.06489035805
375	0.06464475033
376	0.06413153563
377	0.06383062899
378	0.06327561352
379	0.06310903323
380	0.06269244024
381	0.06216820829
382	0.06178113914
383	0.06127676661
384	0.06096904177
385	0.0606489257
386	0.0603659346
387	0.06008783563
388	0.05970008619
389	0.05925676497
390	0.05910321135
391	0.05895425245
392	0.058600679
393	0.05818446453
394	0.05777505194
395	0.05739287484
396	0.05700050135
397	0.056659984
398	0.05636193345
399	0.05611813759
400	0.05588002876
401	0.05563983786
402	0.05526623885
403	0.05503191495
404	0.05463498183
405	0.05443576169
406	0.05410081241
407	0.05383207215
408	0.05361050808
