iter	Passed	Remaining
0	21	21587
1	30	15447
2	41	13672
3	50	12640
4	59	11769
5	70	11716
6	80	11420
7	90	11223
8	99	10984
9	109	10799
10	118	10690
11	128	10562
12	137	10401
13	147	10368
14	156	10268
15	166	10210
16	175	10152
17	184	10057
18	194	10040
19	203	9971
20	213	9969
21	222	9897
22	232	9866
23	240	9786
24	249	9749
25	258	9701
26	268	9667
27	277	9629
28	287	9614
29	295	9564
30	305	9545
31	313	9496
32	322	9461
33	332	9433
34	340	9398
35	349	9364
36	358	9327
37	367	9299
38	375	9262
39	385	9240
40	394	9232
41	404	9219
42	416	9276
43	428	9303
44	439	9324
45	450	9339
46	458	9304
47	468	9297
48	477	9269
49	487	9261
50	496	9245
51	505	9222
52	515	9209
53	525	9214
54	536	9211
55	545	9201
56	555	9187
57	564	9174
58	573	9153
59	582	9122
60	591	9108
61	600	9089
62	611	9091
63	620	9070
64	629	9050
65	637	9024
66	645	8994
67	654	8965
68	662	8935
69	670	8908
70	678	8880
71	686	8848
72	694	8825
73	704	8814
74	712	8789
75	721	8768
76	729	8750
77	738	8733
78	747	8712
79	756	8696
80	765	8679
81	773	8656
82	781	8632
83	790	8622
84	799	8604
85	808	8593
86	816	8573
87	826	8563
88	834	8539
89	842	8521
90	850	8500
91	859	8480
92	867	8457
93	875	8441
94	883	8420
95	892	8401
96	901	8392
97	909	8371
98	918	8359
99	926	8342
100	935	8330
101	945	8321
102	953	8300
103	961	8285
104	970	8273
105	978	8253
106	987	8240
107	995	8224
108	1003	8206
109	1012	8194
110	1020	8174
111	1030	8166
112	1038	8153
113	1047	8138
114	1056	8131
115	1065	8119
116	1073	8104
117	1082	8091
118	1091	8079
119	1100	8069
120	1108	8054
121	1117	8045
122	1126	8034
123	1135	8021
124	1144	8011
125	1153	7997
126	1161	7986
127	1170	7974
128	1179	7967
129	1188	7956
130	1198	7952
131	1207	7942
132	1217	7934
133	1226	7924
134	1236	7919
135	1245	7910
136	1254	7900
137	1262	7887
138	1271	7876
139	1280	7866
140	1289	7855
141	1298	7847
142	1309	7845
143	1317	7833
144	1327	7826
145	1336	7820
146	1345	7806
147	1355	7801
148	1363	7788
149	1372	7778
150	1381	7765
151	1390	7758
152	1399	7749
153	1408	7738
154	1418	7730
155	1427	7722
156	1436	7713
157	1445	7702
158	1454	7695
159	1463	7684
160	1473	7677
161	1482	7668
162	1491	7660
163	1500	7651
164	1510	7642
165	1519	7631
166	1528	7624
167	1536	7611
168	1545	7601
169	1554	7589
170	1563	7579
171	1571	7566
172	1580	7556
173	1589	7545
174	1598	7534
175	1607	7526
176	1616	7514
177	1625	7504
178	1633	7494
179	1642	7481
180	1651	7471
