campaign,excel_files,total_rows
reinvent_pubchem/plain,2,22092
adme_final,3,9772
base,3,9772
adme_legacy,3,9772
nitro_bioisostere_campaign/mol2mol_scaffold_generic/reinforcement_learning,2,5877
qsar,3,5697
nitro_bioisostere_campaign/mol2mol_scaffold/reinforcement_learning,2,5024
nitro_bioisostere_campaign/mol2mol_scaffold_generic/curriculum_learning,2,5014
nitro_bioisostere_campaign/mol2mol_similarity/curriculum_learning,2,4878
nitro_bioisostere_campaign/mol2mol_scaffold/curriculum_learning,2,4760
nitro_bioisostere_campaign/mol2mol_similarity/reinforcement_learning,2,4368
nitro_bioisostere_campaign/mol2mol_mmp/reinforcement_learning,2,4321
nitro_bioisostere_campaign/mol2mol_scaffold/plain,2,3714
nitro_bioisostere_campaign/mol2mol_similarity/plain,2,2323
nitro_bioisostere_campaign/mol2mol_scaffold_generic/plain,2,2021
reinvent/curriculum_learning,2,1975
reinvent/reinforcement_learning,2,1962
reinvent/plain,2,1960
reinforcement_learning,2,1959
mol2mol/reinforcement_learning,2,1957
curriculum_learning,2,1953
mol2mol/curriculum_learning,2,1919
nitro_bioisostere_campaign/mol2mol_mmp/curriculum_learning,2,1490
mol2mol/plain,2,1446
nitro_bioisostere_campaign/mol2mol_mmp/plain,2,706
reinvent_pubchem/curriculum_learning,2,555
linkinvent/plain,2,243
linkinvent/reinforcement_learning,2,239
linkinvent/curriculum_learning,2,238
libinvent/plain,2,125
