file,top_folder,campaign,file_type,rows,columns,read_ok,sheet
outputs/generated/adme_final/Generated_all_modes_combined_with_ADMEpy_ADMETai.xlsx,adme_final,adme_final,other,4870,25,True,Sheet1
outputs/generated/adme_final/Generated_combo_no_preservation_with_ADMEpy_ADMETai.xlsx,adme_final,adme_final,other,4865,25,True,Sheet1
outputs/generated/adme_final/Generated_combo_preserve_or_similar_SMARTS_with_ADMEpy_ADMETai.xlsx,adme_final,adme_final,other,37,25,True,Sheet1
outputs/generated/adme_legacy/Generated_all_modes_combined_with_ADMET_extra.xlsx,adme_legacy,adme_legacy,other,4870,21,True,Sheet1
outputs/generated/adme_legacy/Generated_combo_no_preservation_with_ADMET_extra.xlsx,adme_legacy,adme_legacy,other,4865,21,True,Sheet1
outputs/generated/adme_legacy/Generated_combo_preserve_or_similar_SMARTS_with_ADMET_extra.xlsx,adme_legacy,adme_legacy,other,37,21,True,Sheet1
outputs/generated/base/Generated_all_modes_combined.xlsx,base,base,other,4870,16,True,Compounds
outputs/generated/base/Generated_combo_no_preservation.xlsx,base,base,other,4865,16,True,Compounds
outputs/generated/base/Generated_combo_preserve_or_similar_SMARTS.xlsx,base,base,other,37,16,True,Compounds
outputs/generated/curriculum_learning/cl_generated_optimal.xlsx,curriculum_learning,curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/curriculum_learning/cl_generated_scored.xlsx,curriculum_learning,curriculum_learning,scored,1953,15,True,Compounds
outputs/generated/libinvent/curriculum_learning/libinvent_cl_generated_optimal.xlsx,libinvent,libinvent/curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/libinvent/curriculum_learning/libinvent_cl_generated_scored.xlsx,libinvent,libinvent/curriculum_learning,scored,123,15,True,Compounds
outputs/generated/libinvent/plain/libinvent_plain_generated_optimal.xlsx,libinvent,libinvent/plain,optimal,0,15,True,Compounds
outputs/generated/libinvent/plain/libinvent_plain_generated_scored.xlsx,libinvent,libinvent/plain,scored,125,15,True,Compounds
outputs/generated/libinvent/reinforcement_learning/libinvent_rl_generated_optimal.xlsx,libinvent,libinvent/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/libinvent/reinforcement_learning/libinvent_rl_generated_scored.xlsx,libinvent,libinvent/reinforcement_learning,scored,121,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/curriculum_learning/libinvent_transformer_pubchem_cl_generated_optimal.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/curriculum_learning/libinvent_transformer_pubchem_cl_generated_scored.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/curriculum_learning,scored,67,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/plain/libinvent_transformer_pubchem_plain_generated_optimal.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/plain,optimal,0,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/plain/libinvent_transformer_pubchem_plain_generated_scored.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/plain,scored,59,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/reinforcement_learning/libinvent_transformer_pubchem_rl_generated_optimal.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/libinvent_transformer_pubchem/reinforcement_learning/libinvent_transformer_pubchem_rl_generated_scored.xlsx,libinvent_transformer_pubchem,libinvent_transformer_pubchem/reinforcement_learning,scored,81,15,True,Compounds
outputs/generated/linkinvent/curriculum_learning/linkinvent_cl_generated_optimal.xlsx,linkinvent,linkinvent/curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/linkinvent/curriculum_learning/linkinvent_cl_generated_scored.xlsx,linkinvent,linkinvent/curriculum_learning,scored,238,15,True,Compounds
outputs/generated/linkinvent/plain/linkinvent_plain_generated_optimal.xlsx,linkinvent,linkinvent/plain,optimal,0,15,True,Compounds
outputs/generated/linkinvent/plain/linkinvent_plain_generated_scored.xlsx,linkinvent,linkinvent/plain,scored,243,15,True,Compounds
outputs/generated/linkinvent/reinforcement_learning/linkinvent_rl_generated_optimal.xlsx,linkinvent,linkinvent/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/linkinvent/reinforcement_learning/linkinvent_rl_generated_scored.xlsx,linkinvent,linkinvent/reinforcement_learning,scored,239,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/curriculum_learning/linkinvent_transformer_pubchem_cl_generated_optimal.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/curriculum_learning,optimal,0,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/curriculum_learning/linkinvent_transformer_pubchem_cl_generated_scored.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/curriculum_learning,scored,103,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/plain/linkinvent_transformer_pubchem_plain_generated_optimal.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/plain,optimal,0,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/plain/linkinvent_transformer_pubchem_plain_generated_scored.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/plain,scored,108,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/reinforcement_learning/linkinvent_transformer_pubchem_rl_generated_optimal.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/reinforcement_learning,optimal,0,15,True,Compounds
outputs/generated/linkinvent_transformer_pubchem/reinforcement_learning/linkinvent_transformer_pubchem_rl_generated_scored.xlsx,linkinvent_transformer_pubchem,linkinvent_transformer_pubchem/reinforcement_learning,scored,98,15,True,Compounds
outputs/generated/manifests/generated_qsar_logIC50_outputs_manifest.xlsx,manifests,manifests,other,3,2,True,Sheet1
outputs/generated/mol2mol/curriculum_learning/mol2mol_cl_generated_optimal.xlsx,mol2mol,mol2mol/curriculum_learning,optimal,56,17,True,Compounds
outputs/generated/mol2mol/curriculum_learning/mol2mol_cl_generated_scored.xlsx,mol2mol,mol2mol/curriculum_learning,scored,1863,17,True,Compounds
outputs/generated/mol2mol/high_similarity/curriculum_learning/mol2mol_high_similarity_cl_generated_optimal.xlsx,mol2mol,mol2mol/high_similarity/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/high_similarity/curriculum_learning/mol2mol_high_similarity_cl_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/curriculum_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/high_similarity/plain/mol2mol_high_similarity_plain_generated_optimal.xlsx,mol2mol,mol2mol/high_similarity/plain,optimal,0,58,True,Compounds
outputs/generated/mol2mol/high_similarity/plain/mol2mol_high_similarity_plain_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/plain,scored,13,58,True,Compounds
outputs/generated/mol2mol/high_similarity/reinforcement_learning/mol2mol_high_similarity_rl_generated_optimal.xlsx,mol2mol,mol2mol/high_similarity/reinforcement_learning,optimal,1,58,True,Compounds
outputs/generated/mol2mol/high_similarity/reinforcement_learning/mol2mol_high_similarity_rl_generated_scored.xlsx,mol2mol,mol2mol/high_similarity/reinforcement_learning,scored,13,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/curriculum_learning/mol2mol_medium_similarity_cl_generated_optimal.xlsx,mol2mol,mol2mol/medium_similarity/curriculum_learning,optimal,0,58,True,Compounds
outputs/generated/mol2mol/medium_similarity/curriculum_learning/mol2mol_medium_similarity_cl_generated_scored.xlsx,mol2mol,mol2mol/medium_similarity/curriculum_learning,scored,13,58,True,Compounds
