canonical_smiles,murcko_scaffold,novel_scaffold,pred_log10_ic50_uM,pred_ic50_uM,max_sim_to_seriesCE,has_spiro_motif,drug_like,mw,logp,hbd,hba,rot_bonds,tpsa,source_mode,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,property_source_logP_solubility,property_source_metabolic_stability
O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,1,-0.0881,0.8163,0.1356,0,1,440.57,3.72,2,6,7,101.1,scaffold_hopping,61.25401,49.004284,22.86549,3.7193000000000023,-5.579534786490968,2.633087027971094e-06,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,1,-0.0237,0.9469,0.1566,0,1,374.51,3.68,0,5,6,64.16,scaffold_hopping,77.79204,86.14515,-7.987779,3.681600000000003,-5.089534568830382,8.137020894077404e-06,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
CCCCCCCCCCCCCCCCOC(=O)c1cc(C(=O)C[n+]2ccc(N3CCCC3)cc2)cc([N+](=O)[O-])c1,O=C(C[n+]1ccc(N2CCCC2)cc1)c1ccccc1,1,0.1908,1.5518,0.3409,0,0,580.79,8.0,0,6,21,93.63,similarity,117.65375,84.00575,82.91882,8.00350000000001,-9.565357755515077,2.720459372336276e-10,Poorly Soluble,adme-py (wlogp + ESOL),admet_ai
CC(C)Cc1nc2c(nnn2Cc2ccccc2)c(=O)n1Cc1ccco1,O=c1c2nnn(Cc3ccccc3)c2ncn1Cc1ccco1,1,0.2854,1.9295,0.13,0,1,363.42,2.88,0,5,6,78.74,scaffold_hopping,86.35672,93.475876,-10.083447,2.876100000000001,-4.570572696781882,2.687987861701537e-05,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
CCCCCCCC(=O)Nc1cc2c(O)n(CCCCC(O)=NO)c(O)c2cc1NC(=O)c1ccc([N+](=O)[O-])s1,O=C(Nc1ccc2c[nH]cc2c1)c1cccs1,1,0.2982,1.9871,0.2019,0,0,575.64,6.09,6,9,15,199.55,scaffold_hopping,56.94468,44.785225,-0.9074669,6.089500000000006,-8.159869716224867,6.920385440644228e-09,Poorly Soluble,adme-py (wlogp + ESOL),admet_ai
COc1ccc(-c2nnc(SCC(=O)NCCSCc3ccco3)n2C)cc1,O=C(CSc1nnc(-c2ccccc2)[nH]1)NCCSCc1ccco1,1,0.3612,2.297,0.1354,0,1,418.54,3.23,1,7,10,82.18,scaffold_hopping,85.751114,97.32475,-1.190794,3.2254000000000014,-5.108241354443536,7.793968488067143e-06,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
ON=C(O)C=Cc1ccc(CN(CCOC2CCCC2)CC2CCC2)o1,c1coc(CN(CCOC2CCCC2)CC2CCC2)c1,1,0.4031,2.5297,0.1287,0,1,362.47,4.2,2,5,10,78.43,scaffold_hopping,23.48065,26.160074,-13.64183,4.199800000000004,-5.2984618089897175,5.029654937109796e-06,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
CCCCCCCCCCCCCCCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1[N+](=O)[O-],O=S(=O)(c1ccccc1)c1cno[nH+]1,1,0.4057,2.5449,0.2165,0,0,511.64,5.91,0,8,19,139.48,scaffold_hopping,124.54939,123.2864,58.464043,5.909100000000006,-7.573733928476475,2.6684930222747988e-08,Poorly Soluble,adme-py (wlogp + ESOL),admet_ai
CCOC(=O)C1CCC2(CNC(c3cc(F)ccc3F)=N2)N1C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,O=C(c1ccccc1)N1CCCC12CNC(c1ccccc1)=N2,1,0.4148,2.5988,0.2828,0,0,503.42,2.7,1,9,6,157.28,scaffold_hopping,37.655754,13.152672,9.202661,2.6952000000000007,-5.188671148136919,6.4763282379054765e-06,Moderately Soluble,adme-py (wlogp + ESOL),admet_ai
CCCCNC(=O)N1C2=C([N+](=O)[O-])CCC(Cc3ccc([N+](=O)[O-])cc3)N2CC1Cc1ccccc1,C1=C2NC(Cc3ccccc3)CN2C(Cc2ccccc2)CC1,1,0.4188,2.6233,0.2,0,1,493.56,4.48,1,6,9,121.86,scaffold_hopping,119.871544,96.50299,6.759668,4.484100000000004,-6.43992382422,3.631417446877015e-07,Poorly Soluble,adme-py (wlogp + ESOL),admet_ai
