canonical_smiles,murcko_scaffold,novel_scaffold,pred_log10_ic50_uM,pred_ic50_uM,max_sim_to_seriesCE,has_spiro_motif,drug_like,mw,logp,hbd,hba,rot_bonds,tpsa,source_mode
CCCCCCC#Cc1cncc(N2CC3(CCN(C4CC4)CC3)OC2=O)c1,O=C1OC2(CCN(C3CC3)CC2)CN1c1cccnc1,1,0.6264,4.2303,0.4625,0,1,381.52,4.36,0,4,6,45.67,scaffold_hopping
Cc1ccc(C(=O)N2CC3(CCN(c4ccc(C#N)c(C(F)(F)F)c4)C3)C2)cc1C,O=C(c1ccccc1)N1CC2(CCN(c3ccccc3)C2)C1,1,0.6343,4.308,0.3625,0,1,413.44,4.55,0,3,2,47.34,similarity
COCC(=O)N1CCCC2(CCN(c3cncc(OCC4CCC4)c3)C2)C1,c1ncc(N2CCC3(CCCNC3)C2)cc1OCC1CCC1,1,0.6446,4.4114,0.3973,0,1,373.5,2.73,0,5,6,54.9,similarity
CCCCCCC#Cc1cncc(N2CCC3(C2)CN(C(OC(C)(C)C)c2ccc(F)cc2F)C3)c1,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1,0,0.6976,4.9845,0.5059,1,0,495.66,6.71,0,4,8,28.6,similarity
COc1cncc(N2CCCC3(CCN(C(=O)c4cnccn4)C3)C2)c1,O=C(c1cnccn1)N1CCC2(CCCN(c3cccnc3)C2)C1,1,0.7139,5.1751,0.4,0,1,353.43,2.01,0,6,3,71.45,similarity
O=C(c1ccc([N+](=O)[O-])cc1)N1CCC2(C1)CN(c1ccccc1)C2,O=C(c1ccccc1)N1CCC2(C1)CN(c1ccccc1)C2,1,0.7517,5.6457,0.5156,0,1,337.38,2.95,0,4,3,66.69,scaffold_hopping
COc1ccc2cccc(C(=O)N3CC4(CCN(c5cncc(C#CC6CC6)c5)C4)C3)c2c1,O=C(c1cccc2ccccc12)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,1,0.7846,6.0894,0.4872,1,1,437.54,4.36,0,4,3,45.67,similarity
O=C(CC(F)(F)F)N1CC2(CCN(c3ccc(C#Cc4ccccc4)cn3)C2)C1,C(#Cc1ccc(N2CCC3(CNC3)C2)nc1)c1ccccc1,1,0.839,6.9032,0.4507,0,1,399.42,3.47,0,3,2,36.44,similarity
O=C1NCCC12CCN(c1cncc(C#Cc3cccc(N4CCCC4)n3)c1)CC2,O=C1NCCC12CCN(c1cncc(C#Cc3cccc(N4CCCC4)n3)c1)CC2,1,0.8533,7.1338,0.3971,0,1,401.51,2.58,1,5,2,61.36,similarity
CC1(NS(C)(=O)=O)C2CC1CN(c1cncc(C#Cc3ccc(-c4ccccc4)cc3)c1)C2,C(#Cc1cncc(N2CC3CC(C3)C2)c1)c1ccc(-c2ccccc2)cc1,1,0.9156,8.2335,0.3881,0,1,457.6,3.91,1,4,4,62.3,similarity
CC(C)(C)OC(=O)N1CCC2(CCC(C)(C(=S)Nc3ccc(Cl)cc3)C2)C1,S=C(Nc1ccccc1)C1CCC2(CCNC2)C1,1,0.9224,8.3639,0.4118,0,0,409.0,5.9,1,3,2,41.57,similarity
CCCCOc1ccc(N2CCC3(C2)CN(c2ccc4ccccc4n2)C3)cn1,c1cncc(N2CCC3(C2)CN(c2ccc4ccccc4n2)C3)c1,1,0.9246,8.4057,0.3133,1,1,388.52,4.53,0,5,6,41.49,similarity
COc1cncc(OC2CN(c3ccc(C(=O)N4CC5(CCN(S(C)(=O)=O)C5)C4)cc3)C2)c1,O=C(c1ccc(N2CC(Oc3cccnc3)C2)cc1)N1CC2(CCNC2)C1,1,0.9454,8.8187,0.3765,0,1,472.57,1.47,0,7,6,92.28,similarity
O=C1C(c2cccnc2)C2(CCN(c3cncc(C#Cc4cccs4)c3)C2)N1C1CCCCC1,O=C1C(c2cccnc2)C2(CCN(c3cncc(C#Cc4cccs4)c3)C2)N1C1CCCCC1,1,0.9646,9.2165,0.359,0,1,468.63,4.85,0,5,3,49.33,scaffold_hopping
C#Cc1cncc(N2CC3(CCN(CC(O)c4cccc5[nH]c(=O)[nH]c45)C3)C2)c1,O=c1[nH]c2cccc(CCN3CCC4(C3)CN(c3cccnc3)C4)c2[nH]1,1,0.9748,9.4373,0.36,0,1,389.46,1.48,3,5,4,88.25,similarity
O=C(c1ccccc1)N1CCC2(CC1)CCN(c1ccccc1)C2,O=C(c1ccccc1)N1CCC2(CC1)CCN(c1ccccc1)C2,1,1.0329,10.788,0.4194,0,1,320.44,3.82,0,2,2,23.55,scaffold_hopping
CCCCCCC#Cc1cccc(N2CC3(CCN(C(c4ccccc4)c4ccc(C(F)(F)F)cc4)CC3)C2)c1,c1ccc(C(c2ccccc2)N2CCC3(CC2)CN(c2ccccc2)C3)cc1,1,1.0384,10.9243,0.3608,0,0,544.71,8.72,0,2,8,6.48,similarity
OC1CN(c2cncc(N3CC4(CCN(c5ncccn5)C4)C3)c2)C1,c1cnc(N2CCC3(CN(c4cncc(N5CCC5)c4)C3)C2)nc1,1,1.0949,12.4426,0.3803,0,1,338.42,0.77,1,7,3,68.62,scaffold_hopping
