canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
COC(=O)CCc1nn(CCN2CCC(C#N)(c3ccccc3)CC2)c2ccc([N+](=O)[O-])cc12,1,42.02,0.10527164417364807,1.2742998857629848,5.894728355826352,3.6074800000000025,-5.627255018942453,2.359092560591783e-06,Moderately Soluble,74.40401,61.76632,17.373156,0
CC(C)OCCN(CCO)C(=O)c1ccc(-c2cc(OCC3CC3)c(C3CC3)cn2)cn1,1,40.44,0.14309350906068175,1.3902519377064948,5.856906490939318,3.6693000000000024,-5.485810912471649,3.267300562483314e-06,Moderately Soluble,84.740906,88.31919,41.42052,0
Cc1ccccc1OCCOc1cc2c(=O)n(CC(=O)NCc3ccco3)ncn2n1,1,32.04,0.29702084746427027,1.9816221474497588,5.70297915253573,1.5666199999999997,-3.945156262247411,0.00011346025041589729,Soluble,72.092186,78.84556,-19.779903,0
Cc1ccc(-c2cc(NC(=O)c3cc(C#N)cs3)ccc2OCCN2CCCC2C)o1,1,39.19,0.3323590368498501,2.14960684746106,5.66764096315015,5.303600000000005,-6.748840569139664,1.7830332043744416e-07,Poorly Soluble,47.532986,57.25992,80.27424,0
CCC(N=C1C=NN(C2CC2)C1=O)C(=O)NC(=O)CN(c1cc(N(C)C)c([N+](=O)[O-])cc1[N+](=O)[O-])C1CC1,1,56.97,0.40074193935737024,2.5161813519244043,5.599258060642629,1.3906000000000005,-4.295106579158564,5.068663041765038e-05,Moderately Soluble,83.77562,44.00094,-1.0959374,0
Cc1ccc(CN(Cc2csc(C(=O)N(C)C)c2)Cc2ccco2)o1,1,32.09,0.42339064230202306,2.650883502166935,5.576609357697977,4.146720000000004,-5.416724751653821,3.8306744793399e-06,Moderately Soluble,88.314865,96.22786,8.34377,0
CC1=NC(C)=C(C(=O)O)C(c2cccc([N+](=O)[O-])c2)C1C(=O)OCc1cn(-c2ccc(C(=O)O)cc2)nn1,1,31.58,0.43287158311210894,2.7093903715957115,5.567128416887891,3.1500000000000012,-5.67385472310722,2.11906987186616e-06,Moderately Soluble,21.259811,-5.233041,21.649845,0
Cc1cc(=NN=Cc2cc(C(=O)O)c(C)o2)c2cc3c(cc2[nH]1)OCO3,1,27.56,0.43406275499566627,2.716831819190512,5.565937245004334,2.73944,-4.343028897621882,4.539114127279212e-05,Moderately Soluble,13.158422,23.692743,27.666393,0
CC1(C)C=C2C(C(=O)C1)C(c1ccc([N+](=O)[O-])cc1)C1=C(CC(C)(C)CC1=O)N2NC(=O)c1ccncc1,1,21.2,0.470432868475794,2.9541522120137333,5.529567131524206,4.876300000000004,-6.879598664152335,1.319475515767469e-07,Poorly Soluble,45.167927,2.8400848,34.981373,0
CCCC(=O)c1c(C(=O)c2cccc(N)c2)nc2cc(C#N)ccc2c1C(=O)NS(=O)(=O)c1ccccc1[N+](=O)[O-],1,57.2,0.5244869079353716,3.3456993189233137,5.475513092064628,3.929380000000002,-6.631067613487997,2.3384731432334354e-07,Poorly Soluble,44.27004,27.879742,77.84286,0
C#Cc1ccc2c(c1)c(Cn1cc([N+](=O)[O-])cn1)cn2COC(=O)CO,1,38.78,0.5406514253886421,3.472573329416136,5.459348574611358,1.2685999999999993,-3.231930893618993,0.0005862314401873199,Soluble,30.337788,46.116142,15.706345,0
CCCCCCCC(=O)N(Cc1ccc([N+](=O)[O-])cc1)Cc1ccc([N+](=O)[O-])cc1,1,28.96,0.5499234282739356,3.5475083656522917,5.450076571726065,5.392300000000006,-6.601867999793358,2.501105436439828e-07,Poorly Soluble,143.87212,145.73586,18.840952,0
COc1cn(C)c2cc(S(=O)(=O)N(C)CC(=O)NCCSCc3ccco3)ccc12,1,36.45,0.5881819540634501,3.8741992620280015,5.41181804593655,2.45,-4.706922935592078,1.9637087008403224e-05,Moderately Soluble,113.36293,120.310776,5.921591,0
COc1cc(NC(=O)c2cc(C)oc2-c2ccco2)cc(OC)c1OC,1,26.42,0.5905386975871474,3.895280148514027,5.409461302412852,4.126120000000003,-5.404173594425731,3.942996627127881e-06,Moderately Soluble,88.91361,99.2357,45.84278,0
COc1cc(C(=O)N2CCC3(CC2)CC(c2ccc(OCCN4CCCC4)c(C#N)c2)CO3)on1,1,39.69,0.6145067942778197,4.1162978695459485,5.38549320572218,3.208380000000002,-5.406565715469172,3.921338059360962e-06,Moderately Soluble,36.844185,28.135809,19.784946,0
