canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
CC(=O)N1CC2C(C1)C2C(=O)NCC#CCCC(=O)NCC#CC#CCCCCC#CCCC(C)C,0,33.57,0.9184190197562258,8.287413715150457,5.081580980243774,2.7334999999999994,-4.970194450057829,1.0710396529236628e-05,Moderately Soluble,34.609577,28.091068,50.305573,0
*NC1CCN(CC#Cc2c(O)c(C(N)=O)cc(OCC(C)C)c2C#N)CC1,0,33.02,0.9406902042083708,8.723488727482263,5.059309795791629,1.26738,-3.1928684030280556,0.0006414039010073775,Soluble,37.51905,42.961308,22.320969,0
*C#CC#CC#CC#CC1CCC(n2nc(C3CC3)cc2C(N)=O)CC1,0,25.62,1.0633064537709036,11.569283243713585,4.936693546229097,2.1111,-3.548120120027475,0.0002830608979048457,Soluble,-14.092554,-21.794582,160.18694,0
*CC=C(C#N)C(c1ccccc1)C1CCCN1C(=O)OC(C)(C)C,0,32.58,1.123693122003583,13.29514634060415,4.8763068779964165,4.587280000000003,-5.381918611240668,4.150318141946381e-06,Moderately Soluble,114.15047,82.850494,41.901176,0
*CCOc1c(CCN(CC#C)C(=O)CCCCOc2ccc(C#CCN(C)C)cc2C(=O)O)ccc(OC)c1OC,0,32.56,1.2347108242090765,17.167648953936627,4.765289175790923,3.9151000000000025,-6.4336810575845425,3.683994239307642e-07,Poorly Soluble,58.426624,45.8073,-1.9454159,0
*C(C)(C)CCCc1cc(O)ccc1CC(N)C(=O)O,0,24.64,1.2877432781374136,19.39738912530335,4.712256721862587,2.4171,-3.383550521735212,0.0004134752117326184,Soluble,22.754276,35.230183,-21.932634,0
*C#CC#CCOCCOCCOC#CC#CCC(=O)NC(CC(C)C)C(=O)Nc1c(OCCC(C)C(N)CC#CCNC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)CC(CNC(=O)C(CSCC#N)NC(=O)C(NC(CO)C(N)=O)C(CC)CC)C(N)=O)cc(NC(=O)CC#C)cc1C(C)(C)C(=O)O,0,105.58,1.3858920266852313,24.315993951596205,4.614107973314769,1.0050799999999913,-10.022006454842147,9.50590665090195e-11,Insoluble,87.0858,-22.433817,50.168434,0
CC#CC(C)(O)C#Cc1cccc(NC(=O)CC#CCCCCC)c1C#CCCC#CC#CC#CCCCCC(=O)O,0,35.37,1.481627497882618,30.31290077321108,4.518372502117382,5.511600000000005,-7.554807659128236,2.7873553626639268e-08,Poorly Soluble,-18.266773,-24.254467,166.69455,0
*N(C)c1nc(NC2CSC(C(=O)OCC(Cc3ccc(F)c(F)c3)N(C)CCNC(=O)C(Cc3cc(F)c(-c4c(C(=O)NC(CCC)C(=O)NC5OCC5O)cccc4C4C(c5nc(C(C)C)sc5CC)CCC(C(N)=O)N4C(=O)C4CC4(C)F)cc3C)N(C)C)C2)nc(OC)n1,0,126.7,1.5255219880393143,33.53682834927543,4.474478011960686,6.758320000000011,-13.951664340565086,1.1177267876394237e-14,Insoluble,133.3096,-4.302457,82.45028,0
*C#CC#CC#CC#Cc1cnc(NC(=O)C2CC(N(C)C)CCN2C(OC)OC(C)(C)C)nc1,0,31.62,1.5265578049503579,33.61691104526784,4.473442195049643,1.4232999999999993,-3.8928533003178023,0.00012798135374485518,Soluble,-8.866637,-20.759075,160.877,0
