canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*C1CCC(CCC(=O)Nc2cc(C3CC3)ccc2C#N)CC1,0,23.47,1.1419037941386212,13.86448665717384,4.858096205861379,4.682380000000004,-5.2593073731969175,5.504179985593978e-06,Moderately Soluble,94.85085,100.11216,45.631336,0
*OCC(C(C)C)C(O)C1CCCC(C#C)(Oc2ccc(C#CCCO)cc2C(=O)O)C1O,0,41.7,1.3265561229789375,21.21075477583285,4.673443877021063,2.1445000000000003,-4.309108648582994,4.907850798099273e-05,Moderately Soluble,23.143215,17.211071,19.144787,0
COCCNC(=O)CCCCC#CCC(=O)N1CCCCC1CCNC(=O)C1C(CNC(=O)CCCCNC(=O)OCC#CC#CCCc2cc(-c3ccc(O)c(CN)c3)sc2C#CCOC(=O)NCC(C)C(C(=O)N(C)C)N2CCC(N(C)c3ccncc3)CC2)OC(=O)N1CCCC(C)C,0,113.25,1.3858920266852313,24.315993951596205,4.614107973314769,6.927400000000018,-14.266897422021298,5.408820612407789e-15,Insoluble,102.75796,-22.354275,123.60783,0
*C(C)CCC(=O)C1C(CC(=O)N2CC(C#N)(c3ccc(OC)cc3)C2)C2C(CCCCC(=O)O)C2C(C)C1C(=O)NC1CC1,0,50.51,1.4007557929215158,25.162616168994113,4.599244207078485,4.679980000000004,-7.214734406119227,6.09909775065579e-08,Poorly Soluble,45.55479,5.5675287,-5.9718823,0
CN(C)CC#Cc1ccc(C#CC2CCC(CC(=O)N(CCC#N)Cc3cccnc3)C2C(=O)NCCCN(C)C)cc1,0,36.81,1.4109993253610174,25.76317154913194,4.589000674638982,3.3890800000000025,-6.1711083506340225,6.743597630149926e-07,Poorly Soluble,9.938185,2.538858,64.48682,0
*CC(O)C(=O)C(N)CCCc1ccc(CCN(C)C(=O)CCC#C)cc1CN,0,38.77,1.4732545881991213,29.734085657272146,4.526745411800879,1.1071999999999993,-3.1596622586032406,0.000692369202114305,Soluble,35.940727,29.64736,-3.0367086,0
CN(C)CCN(C)C(=O)C(C#N)(c1ccccc1)c1ccccc1OCCN(C)C(=O)CC#N,0,29.39,1.4863314426023528,30.64301138932983,4.513668557397647,2.2671600000000005,-4.585500808042499,2.5971629091509736e-05,Moderately Soluble,62.47173,68.02894,-7.854895,0
*C1CC(CCC#C)CCC1COc1c(C(C)(O)C(F)(F)F)ccc(OC)c1NC(=O)C(F)(F)F,0,37.16,1.4883952787097914,30.78897838330305,4.511604721290208,5.512100000000005,-7.142677676042798,7.199831356467641e-08,Poorly Soluble,59.240265,21.626377,74.40175,0
*c1c(C=CC#N)cc(NC(=O)CC(C)(C)C#N)cc1N(C)C,0,34.24,1.491799134839903,31.03124032999152,4.508200865160097,2.34236,-3.5235109358492083,0.00029956361591928387,Soluble,62.291424,51.808575,37.00303,0
CCCCN(CC)C(=O)c1cccc(C#N)c1NCCN(C)C(=O)CC(CC(C)C)NC(=O)CCC(C)(C)C(N)=O,0,42.34,1.5036571355784807,31.89019211662726,4.4963428644215195,3.9034800000000027,-6.409215310541242,3.897487127229866e-07,Poorly Soluble,128.87045,109.18231,13.438304,0
CC#CCNCC(OCCCN(C)C1CC(C#N)C(CC(C)C)N1C(=O)CCC(C)C(=O)NCCCCC(=O)O)(c1c(F)ccc(OC)c1Cl)C(F)(F)F,0,75.34,1.5084376221854576,32.24316176795698,4.491562377814542,6.096980000000005,-9.44607162441172,3.5803738424140023e-10,Poorly Soluble,65.61546,32.008675,13.340813,0
*C(O)(Cc1cccc(CS(=O)(=O)NC(Cc2cccnc2)C(=O)NCC(F)(F)F)c1)C(F)(F)F,0,40.43,1.5210547478339598,33.19362993184178,4.4789452521660404,2.133499999999999,-4.822076050503772,1.5063432631690322e-05,Moderately Soluble,40.537548,5.3741484,7.3359194,0
Cn1cc(C=CC(=O)NCC(O)C(F)(F)F)nc1C1C2CC(C(=O)CCC3(c4ccc(Cl)cc4F)CCN(C(=O)CCc4c(C#Cc5cnc6cccnc6c5NC(=O)C5C6CC5N(C(=O)c5c(N)cccc5Cl)C6)ccc(C(=O)NC5CC(C(F)(F)F)C5)c4F)CC3)C21,0,126.64,1.5255219880393143,33.53682834927543,4.474478011960686,10.044799999999997,-16.153331981299658,7.025350860826183e-17,Insoluble,20.773146,-98.989235,236.24165,0
C#CCCCC(=O)NC(CCC(=O)OCc1ccc(C(=O)CS(=O)(=O)CCCC(=O)COC(=O)C(N)C(C)C)c(OCC(=O)C(CCC)CC[SH](=O)(CCC(=O)NCC(=O)N2C(CC(C)C)CC3C2CCC(C)N3C(=O)CCCC#CC#N)c2ccccc2C(=O)OC)c1)C(=O)OC,0,104.41,1.5255219880393143,33.53682834927543,4.474478011960686,5.659980000000015,-13.127933406336968,7.448461780571475e-14,Insoluble,208.22977,143.60359,11.765444,0
*C(C#N)C(=O)c1c(C#CCCOC(=O)CS(C)(=O)=O)cccc1C(=O)CC(CC)CNC(=O)OC(C)(C)C,0,52.44,1.5319412734191955,34.03621618136312,4.4680587265808045,3.1837800000000014,-5.733034570120415,1.8491214218637778e-06,Moderately Soluble,112.61283,77.17609,34.284878,0
*NCCCCOc1c(C)c(NC(=O)c2ccc(C#N)cc2)cc(C(=O)NC)c1OC(=O)CC,0,43.54,1.5319412734191955,34.03621618136312,4.4680587265808045,3.0069000000000017,-5.0675911750677365,8.558720124982003e-06,Moderately Soluble,36.48864,28.28688,38.865253,0
