canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*N(CC#C)CC#Cc1ccc(OCCCCNC(=O)c2cc(OC)c(Cl)cc2C#N)cc1,0,30.08,1.185855313189768,15.341058046402392,4.814144686810232,3.5602800000000023,-5.469011533321254,3.3961625346737673e-06,Moderately Soluble,108.501205,96.27451,93.74244,0
O=C(CCCc1ccccc1NC(=O)NC1CC2CCC3C(F)(F)CCCCS(=O)(=O)NCCNC(=O)CC3(C2)C1)CCCC(F)(F)F,0,50.66,1.3111269294228407,20.470428299086745,4.688873070577159,6.242500000000006,-9.065725548547775,8.595565447930535e-10,Poorly Soluble,36.63595,16.80406,35.0335,0
*CC(O)C(CCC(NC(=O)C(CCCCN)NC(=O)C1CC(NC(=O)C(N)CCCCN)CC(C(=O)NC(Cc2cnc[nH]2)C(C)C)C1(CCCOS(C)(=O)=O)CC1CC1)C(=O)O)NCC(O)C(CC(F)F)(C(=O)NCCCOc1ccc(CCCC(=O)O)cc1C(=O)O)C(F)(F)F,0,96.33,1.3858920266852313,24.315993951596205,4.614107973314769,3.108899999999987,-11.338532856881436,4.586349461077168e-12,Insoluble,70.25099,-59.659557,30.373022,0
*C(C#N)Cc1ccc(Nc2cc(C#N)ccc2[N+](=O)[O-])cc1,0,29.33,1.4725331113203945,29.684730560684795,4.527466888679605,3.6139600000000023,-4.550860575241487,2.8128037005675494e-05,Moderately Soluble,90.223145,87.60459,31.849997,0
*CCCC(=O)NC(CC1CCNCC1)C(=O)N1CCCC1,0,26.07,1.5218317050814485,33.25306682431707,4.478168294918552,1.2310999999999999,-2.574956663624222,0.002660990575339493,Soluble,-5.07638,-3.7787757,7.7201433,0
*CCC(=O)NC(C(C)C)C(O)C(N)C(O)C(C)CN1CCC(NC(=O)C(F)(F)F)(C(=O)NCCC(C)C)CC1,0,44.93,1.5319412734191957,34.03621618136314,4.4680587265808045,0.8455000000000039,-4.062097388800279,8.667674848221548e-05,Moderately Soluble,69.32796,-4.459354,18.170473,0
Cc1nc(C(=O)NC2CC2)cc(N2CCOCC2CC(=O)NCCC(=O)NCC(CCCCC(=O)NCCC(=O)NCCCCC(NC(=O)C(C)CS(C)(=O)=O)C(N)=O)NCC(O)c2ccccc2)n1,0,55.99,1.539300811498003,34.617907368750984,4.460699188501997,-0.40918000000000365,-6.013365310638528,9.696939574614013e-07,Poorly Soluble,79.165504,5.0246487,-8.957007,0
*CC(=O)C(CCC(CC(O)C(NC(=O)OC(C)(C)C)C(=O)O)C(NC(=O)CCC(NC(=O)CCCC(=O)NCCOc1ccc(CCCC(CO)NC(=O)CCC(C)(C)C(C)C)cc1)C(N)=O)C(=O)NC(CC1CC1)C(=O)CCC(N)=O)N1CCC(NC(=O)CCCC(=O)O)CC1,0,94.86,1.539300811498003,34.617907368750984,4.460699188501997,2.8347999999999995,-10.763717823953204,1.722987695686991e-11,Insoluble,116.399765,-7.7459803,-8.725458,0
CCCCC(CCC1C(CO)C(O)C(O)C1NC(=O)CCC(=O)NC(CC(C)C)C(NC(=O)C(N)CCCCN)C(O)C(O)CNC(=O)CC(C)CC1NC(=O)C2(CCN(S(=O)(=O)c3cncnc3)CC2)C1C(=O)NC1(C#N)CC1)C(N)=O,0,87.46,1.539300811498003,34.617907368750984,4.460699188501997,-2.4422200000000176,-5.71459667110035,1.9293158353511877e-06,Moderately Soluble,86.565346,-41.621944,-10.668688,0
C#CCCCCOc1ccccc1OCC(O)CNC(CCC(=O)NCCCNC(C(CCCCN)NC(=O)CCCC#C)C(Cc1ccccc1)NC(=O)CCC(=O)NCCCC#C)CC(=O)NCC(O)CON=C(CCCC)CCOCCOCCOCCN,0,87.42,1.539300811498003,34.617907368750984,4.460699188501997,4.094700000000005,-11.144351068616754,7.172142856879368e-12,Insoluble,116.43423,63.84024,-5.831092,0
