canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*Oc1c(OC)cc(/N=C2\CCCN2)cc1OC,0,23.02,1.3305067159671446,21.40458026742344,4.669493284032855,1.9602999999999997,-2.8769717801572767,0.0013274807127512242,Soluble,18.654568,18.043306,1.2189286,0
*N(C)C1CC(Oc2ccc3[nH]c(=O)c4sccc4c3c2)C1,0,23.04,1.3583044110631817,22.819409978915488,4.641695588936818,3.048700000000001,-4.221481891755394,6.0050704699172255e-05,Moderately Soluble,50.930195,58.73116,75.26644,0
*N1CCN2c3cc(ccc3C=C(C(N)=O)c3cnccc32)C1,0,29.09,1.3673497413261142,23.299668460021092,4.632650258673886,1.8389000000000002,-3.2484420025931313,0.0005643623034923277,Soluble,31.122044,31.705845,4.2546587,0
*C(C)(C)O,0,0.04,1.4824036762385413,30.367124936790074,4.517596323761459,0.26410000000000006,-0.325466652953451,0.4726431271297935,Very Soluble,-10.463301,49.65963,12.473796,0
*N1CC(COc2ccc(C3CCC(=O)NC3=O)cc2OC)C1,0,19.47,1.4947871071959256,31.245473266849558,4.505212892804074,0.9902999999999995,-2.573449141264437,0.002670243451862495,Soluble,-0.6643871,3.797849,6.822815,0
*N1CC(Oc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,0,6.82,1.6045434989815242,40.22939477854557,4.395456501018476,-0.3849,-1.7166288415267954,0.019203091818421603,Very Soluble,21.75391,17.131641,13.259491,0
*N(C)C1CC(Oc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,0,7.75,1.6345760692230702,43.10980607436051,4.36542393077693,0.3936999999999998,-2.4686128092877286,0.003399281969717235,Soluble,29.349558,21.061573,20.270681,0
*Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,3.51,1.6697236552741266,46.74376126972746,4.330276344725873,-0.0360000000000002,-1.6275352344470313,0.02357570917736845,Very Soluble,30.327108,26.380224,20.89984,0
*CCOc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0,6.75,1.6697236552741266,46.74376126972746,4.330276344725873,0.7939999999999998,-2.330257865464818,0.004674575026240555,Soluble,24.964325,23.416645,5.46609,0
*CCOc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0,7.16,1.6697236552741266,46.74376126972746,4.330276344725873,0.4342,-2.1508311992994553,0.007065921376997143,Soluble,31.957088,26.582464,12.729992,0
*CCNC(=O)NC(=O)c1cc(Nc2nccn3c(-c4ccc(OC)c(F)c4F)cnc23)c(C)cc1F,0,22.94,1.6735244287258098,47.154639470732576,4.32647557127419,4.281220000000002,-6.421945925926939,3.784897075953817e-07,Poorly Soluble,94.3774,59.966667,84.62335,0
*Oc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0,2.59,1.6879343274091645,48.74547732137304,4.312065672590835,-0.06909999999999988,-1.6094938892420323,0.024575712103262898,Very Soluble,27.301764,23.516613,14.554822,0
