canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*OC1CCC(/C=C/c2ccc(Oc3ccccc3)nn2)CC1,0,31.98,1.0574932187243835,11.415454798587177,4.9425067812756165,4.321800000000004,-5.102778804465657,7.89262003404373e-06,Moderately Soluble,113.147964,120.47355,36.773327,0
*N(C(=O)O)C(=O)OCC1c2ccccc2-c2ccccc21,0,16.4,1.3056045207069489,20.21177805922513,4.694395479293052,3.379800000000002,-4.338029325834978,4.591670064320939e-05,Moderately Soluble,13.6309185,14.053064,3.9805565,0
*CCCCC(O)c1cc([N+](=O)[O-])ccc1OP(O)O,0,28.54,1.4735884627048645,29.756953251797665,4.526411537295136,2.3564000000000016,-3.492959410699135,0.00032139609024155874,Soluble,29.798834,19.25349,12.338718,0
*C(C)(C)O,0,0.04,1.4824036762385413,30.367124936790074,4.517596323761459,0.26410000000000006,-0.325466652953451,0.4726431271297935,Very Soluble,-10.463302,49.65963,12.473797,0
*CCN1CCC2(CC1)CN(C(=O)c1csc(C(C)C)n1)CCO2,0,10.39,1.5329172481254552,34.11279058149636,4.467082751874544,2.5411,-3.9238991501664677,0.00011915186647961513,Soluble,49.375996,38.329872,14.909856,0
*N1CC(COc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,0,9.6,1.5383314830084251,34.54072770122435,4.461668516991574,-0.13730000000000014,-1.985654127627351,0.01033584225136358,Very Soluble,15.539381,12.010932,14.397781,0
*OC1CN(c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,0,5.32,1.6045434989815242,40.22939477854557,4.395456501018476,-0.24269999999999986,-1.822094877549671,0.015062779632855869,Very Soluble,30.255976,12.838221,20.517122,0
*CCNC1CC1c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0,13.37,1.6217223114360653,41.85258734545207,4.3782776885639345,0.8606999999999998,-2.6208032555866883,0.002394400223736608,Soluble,-2.8921547,-26.051193,12.353142,0
*CC#Cc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0,7.06,1.6217223114360657,41.852587345452115,4.3782776885639345,0.7666999999999997,-2.2806550390814895,0.005240164986084908,Soluble,11.90707,13.582855,41.66053,0
*Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,4.35,1.6697236552741266,46.74376126972746,4.330276344725873,-0.0360000000000002,-1.6275352344470313,0.02357570917736845,Very Soluble,30.327106,26.380224,20.89984,0
*Oc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0,6.5,1.6879343274091645,48.74547732137304,4.312065672590835,-0.06909999999999988,-1.6094938892420323,0.024575712103262898,Very Soluble,30.363352,23.018,16.199667,0
*Oc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0,7.81,1.6879343274091645,48.74547732137304,4.312065672590835,0.2907,-1.789955489421498,0.016219763242119652,Very Soluble,20.978214,15.691711,9.377086,0
*NCc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0,8.84,1.6879343274091645,48.74547732137304,4.312065672590835,0.0014999999999998903,-1.652187473023907,0.022274734024921507,Very Soluble,6.9576936,2.9116707,3.447681,0
*Oc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0,3.87,1.6879343274091645,48.74547732137304,4.312065672590835,0.2907,-1.789955489421498,0.016219763242119652,Very Soluble,19.675634,19.642792,7.340228,0
*Cc1ccc(NC(=O)N2Cc3ccncc3C2=O)cc1,0,19.77,1.6879343274091645,48.74547732137304,4.312065672590835,2.3188000000000004,-3.456395562570899,0.0003496265763143082,Soluble,66.35303,78.604485,30.9534,0
*c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0,7.65,1.6879343274091645,48.74547732137304,4.312065672590835,-0.7376000000000003,-1.0174101180911932,0.0960704625956866,Very Soluble,16.653551,23.425816,21.54861,0
*Oc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0,2.59,1.6879343274091645,48.74547732137304,4.312065672590835,-0.06909999999999988,-1.6094938892420323,0.024575712103262898,Very Soluble,27.301764,23.516617,14.554823,0
*c1ccc2c(c1)n(C)c(=O)n2C1CCC(=O)NC1=O,0,5.65,1.7470559828142371,55.8542189085485,4.252944017185763,-0.5077,-1.2586837494829723,0.055120893718702574,Very Soluble,6.6639414,22.120281,21.811403,0
