canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*c1ccc2c(c1)CCC(N1CCC(CN3CCC(*)CC3)C1)C2,0,20.87,0.9016068381805213,7.972725987174506,5.098393161819478,2.474,-3.630637213409765,0.00023407917955705205,Soluble,19.868462,17.511787,52.579445,0
*CCCN1CC2(CC)CCC1(c1nnc(C*)n1C)CC2,0,22.07,0.953548558025954,8.985630543789169,5.046451441974046,2.703400000000001,-3.6349254139175655,0.0002317792675360813,Soluble,35.052162,2.9229558,22.701773,0
*c1ccc(N2CC(Cn3c(C#N)c(-c4ccc(*)o4)c4ncc(C#N)cc43)OC2=O)nc1,0,31.12,1.0349730880198282,10.83859748268374,4.965026911980171,1.8092599999999999,-4.026154959978827,9.415535822235977e-05,Moderately Soluble,96.95385,78.03649,92.8697,0
*c1ccc(N2CCC(CN3CCC(*)CC3)CC2)cc1,0,4.54,1.0623052694282866,11.542643153230294,4.937694730571714,2.5112000000000005,-3.4084653482723466,0.00039042233249733655,Soluble,39.770264,36.424587,64.2037,0
*CC1CCN(CCCC(=O)N2CCC(Nc3cc(*)ncn3)CC2)CC1,0,26.09,1.0906766605780134,12.321871079668009,4.909323339421986,1.5138999999999998,-3.203874656460405,0.0006253531525112416,Soluble,24.57997,2.6982353,58.65694,0
*CC1(O)CCN(C2CCN(c3cnc4cc(*)ccc4n3)CC2)CC1,0,30.25,1.0973306706039867,12.512113364425343,4.902669329396013,1.5677,-3.2008280604300334,0.000629755457152696,Soluble,29.293945,12.379396,46.31042,0
*CCCC1CCC(CN2CCCC2C#Cc2nc(CN3CCCCC3C*)ccc2Cl)CC1,0,23.12,1.118431880386145,13.135054538852176,4.8815681196138545,6.427200000000008,-7.556662410823327,2.7754767215740285e-08,Poorly Soluble,77.46555,49.01469,118.20326,0
*c1ccc(C(=O)NC2CC3CCC(=C2C#N)N3c2cc(*)ccn2)cc1,0,21.27,1.1626414815063228,14.542580667619449,4.837358518493677,1.3795800000000003,-3.1129114010077914,0.0007710607545947059,Soluble,53.72124,38.08239,72.715,0
*CCCN1CCCC1c1cc(-n2cccc2*)nc(C)n1,0,16.63,1.199805610999524,15.841839574201662,4.800194389000476,2.2449200000000005,-3.3745830755418766,0.0004221015281580292,Soluble,45.084923,33.316044,35.786335,0
*CCCCn1cc(C)c2cc(-c3ccc(=O)n(C*)n3)ccc21,0,20.42,1.200555303351225,15.869209856705684,4.799444696648775,3.428020000000002,-4.467273836197395,3.409778466740405e-05,Moderately Soluble,99.86001,78.57759,69.35126,0
*Cc1ccc(-c2cc(C(C)=O)ncc2N2CCC(*)CC2)cc1,0,19.23,1.2044764485157415,16.013138078683355,4.7955235514842585,3.938500000000003,-4.7929710778120675,1.6107529009825993e-05,Moderately Soluble,118.1791,101.19132,61.351494,0
*c1cc2c(cc1Cl)cc(CN1CCC(*)CC1)c(=O)n2C1CC1,0,19.68,1.2044764485157415,16.013138078683355,4.7955235514842585,3.0980000000000016,-4.285900857084661,5.1772500731396686e-05,Moderately Soluble,51.655506,43.445366,100.21739,0
*c1cccn2nc(-c3ccc(C(=O)N4CCC(*)CC4)cc3)cc12,0,16.79,1.2072093133771982,16.114220920440538,4.792790686622801,2.7497000000000016,-4.033437311313816,9.258970250391384e-05,Moderately Soluble,84.22996,72.8432,65.40935,0
*c1ccc(-c2nn(CCCN3CCC(*)CC3)c3ccccc23)cc1,0,10.65,1.2072093133771984,16.114220920440545,4.792790686622801,3.7016000000000027,-4.81230958086202,1.5406018645403006e-05,Moderately Soluble,67.79183,59.942585,89.64839,0
*Cc1ccc(-c2nc(C(=O)N3CCC(*)CC3)c(C)[nH]2)c(Cl)c1,0,18.65,1.2100446772419242,16.21976946656385,4.789955322758075,3.661620000000002,-4.7282179984435,1.8697433684543353e-05,Moderately Soluble,105.07925,87.66362,63.308067,0
*CCCCN1CCCC1CCC1CCC(N2CC(C*)CC3CCCN3C2=O)CC1,0,15.36,1.2247209907390477,16.77725829337166,4.775279009260952,5.411500000000006,-6.377688088312198,4.190944520336811e-07,Poorly Soluble,62.642303,40.256126,55.058678,0
*c1ccc(C(=O)N2CCC(Cn3c(*)nccc3=O)CC2)cc1,0,18.15,1.2399449573854686,17.37580593301219,4.760055042614532,0.14489999999999936,-2.0023854167082327,0.009945224319315948,Soluble,34.384907,28.017689,16.648754,0
