canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*CCN1CCC(C(=O)N2CCCC2c2nc(*)no2)CC1,0,15.45,0.9101547610263001,8.131202202848156,5.0898452389737,0.5872999999999995,-2.085123824344918,0.008220082487544276,Soluble,15.588239,-15.383229,12.46739,0
*c1ccc(C(=N)N2CCC(CN3CCC(*)CC3)C2)o1,0,13.29,0.9101547610263001,8.131202202848156,5.0898452389737,1.5350699999999997,-2.6837747090371753,0.0020712155165430474,Soluble,3.2447155,-10.681169,15.014506,0
*C#Cc1cc2cc(C#Cc3nc(C4CC4)oc3*)ccc2o1,0,14.43,0.9727275928155074,9.39134062656077,5.027272407184492,2.730900000000001,-3.8144123320468446,0.0001533160663419451,Soluble,43.630043,16.775019,241.27483,0
*C#Cc1cc(N2C(=O)C3CCC2CC(N2CCCC2)C3=C2CCCCC2)ccc1*,0,33.26,1.0511729286452567,11.250528616248067,4.948827071354743,3.9599000000000038,-5.307865029147207,4.921924764146228e-06,Moderately Soluble,57.348236,19.021774,116.80208,0
*c1ccc(N2CCC(CN3CCC(*)CC3)CC2)cc1,0,6.59,1.0623052694282866,11.542643153230294,4.937694730571714,2.5112000000000005,-3.4084653482723466,0.00039042233249733655,Soluble,39.770267,36.424587,64.2037,0
*CCCN1CCCC(C(=O)N2CCC(N3CCC(C*)CC3)CC2)C1,0,11.0,1.0697193267843736,11.741384945483006,4.930280673215626,2.726700000000001,-3.946265280854194,0.00011317088683659464,Soluble,12.334133,2.2721436,41.1066,0
*CC1CCN(Cc2ccc(CN3C(=O)C(=Cc4ccc(*)cc4)C(=O)N3C3CCCCC3)o2)CC1,0,23.34,1.0738640485152693,11.853976133747608,4.9261359514847305,4.135900000000004,-5.952035690383547,1.1167714675680876e-06,Moderately Soluble,93.967026,60.22115,83.49153,0
*c1ccc(C(=O)N2CCC(CCC#N)(n3cc(*)cn3)C2)nc1,0,17.06,1.0765107624524894,11.926438209479336,4.9234892375475106,0.17247999999999974,-1.9883217523989352,0.010272549616881625,Very Soluble,63.654152,60.541004,12.313551,0
*CCOc1ccsc1C1(CCCC)CCN(S(*)(=O)=O)C1,0,32.5,1.1400543510308518,13.805570275683472,4.859945648969148,3.0223000000000013,-4.1360288883848435,7.310904512174406e-05,Moderately Soluble,110.0226,91.64589,35.161877,0
*c1cccc(C(=N)C2CC2(C#N)N2CCC(c3ccc(C#N)cc3)N(Cc3coc(*)c3)C2=O)c1,0,33.1,1.1421821882756023,13.87337700539767,4.857817811724398,3.2198300000000017,-5.267128284478506,5.4059461531700175e-06,Moderately Soluble,31.713867,-1.4850937,40.05906,0
*CCNC1CCN(CCCCn2ccc(*)nc2=O)CC1,0,14.35,1.1449784212888714,13.962989816781585,4.855021578711129,0.21969999999999978,-1.8183442356039479,0.01519342772979754,Very Soluble,5.320027,-8.118397,20.497143,0
*CCN1CCCC(CNC(=O)c2cn(C)c3cc(Cl)cc(*)c3c2=O)C1,0,18.54,1.1559874714803493,14.321465841378988,4.8440125285196505,1.7758999999999994,-3.5765928952360357,0.00026509839890432577,Soluble,37.310955,19.75547,109.76035,0
*CCOc1cc(C)c(C2CCN(CC*)CC2)cc1C,0,8.54,1.1810690185872845,15.172914780372974,4.8189309814127155,3.796840000000003,-4.371478065983629,4.251301774361564e-05,Moderately Soluble,64.42784,39.388973,59.06134,0
*c1ccc(C2CCN(C(=O)C3CCCN(*)C3)CC2)nc1,0,13.99,1.1951402958835378,15.672572801626327,4.8048597041164625,1.1384999999999996,-2.4873018348457023,0.0032561032303468243,Soluble,45.336445,39.560654,22.449034,0
*CCN1CCC(CCCn2nc(C#N)c3ccc(*)cc32)CC1,0,13.25,1.2072093133771982,16.114220920440538,4.792790686622801,2.5423800000000005,-3.7106811450295387,0.00019467888713441483,Soluble,56.14336,38.290394,84.14769,0
*c1cccc2c(=O)n(C3CCC(CN4CCC(*)CC4)CC3)cnc12,0,18.49,1.2072093133771982,16.114220920440538,4.792790686622801,2.7360000000000007,-4.060791220793326,8.693782667007897e-05,Moderately Soluble,28.580908,16.32572,53.776833,0
*CCn1c([N+](=O)[O-])cc2cc(N3CCC(C*)CC3)ccc21,0,21.24,1.2130243713615205,16.331435926602843,4.78697562863848,3.701100000000002,-4.5205861082704475,3.015878850693539e-05,Moderately Soluble,113.72263,91.054306,65.64634,0
*CCCc1nnc(CCC(=O)N2CCC(C*)CC2)o1,0,21.07,1.228935907193991,16.940877699824973,4.771064092806009,2.1086,-3.1217169611376003,0.0007555844975703569,Soluble,66.49019,64.041885,4.944719,0
*c1nn(CC2CCN(C(=O)C3CC(F)CN3*)CC2)c(=O)o1,0,16.12,1.255703509664713,18.017872511299682,4.744296490335287,-0.8737999999999988,-1.1327299852464454,0.07366649632865781,Very Soluble,36.68038,8.599405,-7.427625,0
*CCN1CCC(n2c(SC)nc3c(*)ncnc32)CC1,0,16.56,1.2825424345601897,19.166483277338976,4.71745756543981,1.3273,-2.7134230838180606,0.0019345364463974298,Soluble,52.551125,28.945126,38.397423,0
*CCCN1CCC(CCC*)(COc2ccc(C*)cc2Cl)CC1,0,23.3,1.3174529511878739,20.770786953615247,4.682547048812126,4.955800000000005,-5.604451074810043,2.4862736381495794e-06,Moderately Soluble,81.795685,62.422432,112.4377,0
*c1ccc(N=NN2CCC(CN3CCC(*)CC3)CC2)cc1,0,11.61,1.3251121606162066,21.140349386582745,4.674887839383794,3.0055000000000014,-3.9463145829337063,0.0001131580401539779,Soluble,14.338747,11.686384,67.19519,0
*CC1CCN(CC2CCN(c3ccc(*)cc3)CC2)CC1,0,7.06,1.3251121606162066,21.140349386582745,4.674887839383794,2.757200000000001,-3.674702863141472,0.0002114935547680748,Soluble,38.037453,30.620243,72.38071,0
*CC1CCN(C2CCN(c3nn(C*)cc3Cl)CC2)CC1,0,11.88,1.3251121606162066,21.140349386582745,4.674887839383794,2.691700000000001,-3.768193219119904,0.00017053235158615487,Soluble,59.6081,40.39165,51.389366,0
*c1noc(C2CCN(CC3CCN(Cc4cc(*)on4)CC3)C2)n1,0,14.35,1.332268398435597,21.49158265602533,4.6677316015644035,0.10830000000000028,-2.0582213999237435,0.008745378290347916,Soluble,16.330639,-12.263463,23.469204,0
*Cc1nnc(C2CCN(C(=O)C3CCCN3CC(*)=O)CC2)n1C,0,13.86,1.332268398435597,21.49158265602533,4.6677316015644035,0.11070000000000002,-1.9880853282308428,0.010278143379383601,Very Soluble,19.438147,-15.469401,-2.2126117,0
*c1cnn(C2CCN(C(=O)C3CCCN3c3nccnc3*)CC2)c1,0,17.67,1.332268398435597,21.49158265602533,4.6677316015644035,-0.1452,-1.9465443614748579,0.011309818580804262,Very Soluble,75.604355,55.009834,19.176426,0
*CC1(C#N)CCC(Cn2c(=O)c3ccccc3n(CC=CC(*)=O)c2=O)CC1,0,23.94,1.3361895436001137,21.686503846626447,4.663810456399887,2.4630800000000006,-4.095462715040713,8.026704686123299e-05,Moderately Soluble,75.58694,54.059074,11.091804,0
*C#Cc1cc(N2CCCC2)c2oc(C#C*)cc2c1,0,10.23,1.3511980012622653,22.449051759001858,4.648801998737735,2.749600000000001,-3.509277175598377,0.00030954430937238885,Soluble,68.92442,37.14455,211.0864,0
*Cn1cc(CN2CCC(*)CC2)c2c(C)cccc21,0,17.24,1.3511980012622653,22.449051759001858,4.648801998737735,3.3901200000000022,-4.024257388618832,9.45676531357404e-05,Moderately Soluble,90.93431,79.98458,58.68971,0
*c1ccc(N2CCC(CNC3CCC(*)CC3)CC2)cc1,0,10.2,1.3705687059045286,23.473005790629205,4.629431294095472,2.9476000000000013,-3.8159175836671793,0.00015278559729028492,Soluble,33.261963,36.270008,57.56901,0
*c1nc2ccc(N3CCC(*)CC3)cc2n(CC2CC2)c1=O,0,12.91,1.3807573754709892,24.030199451094216,4.619242624529011,1.9190999999999998,-3.197982583175011,0.0006338951323010853,Soluble,79.50929,62.280457,36.405212,0
*CC1CCCCN1C(=O)CCCn1ncc2cc(*)ccc21,0,16.97,1.389305298316768,24.507854782158972,4.610694701683232,2.3398000000000003,-3.497902776174715,0.00031775853447680804,Soluble,99.75156,88.081856,48.442276,0
*c1ccc(CN2CCN(C(=O)c3ccc(*)o3)CC2)cc1,0,13.41,1.3913373476482096,24.62279490443706,4.60866265235179,0.5868,-2.1513842863491544,0.00705692844177765,Soluble,81.99752,78.33541,47.934837,0
*CC1CCN(CC2CCN(C(=O)c3ccc(*)cc3)CC2)CC1,0,8.9,1.4252688456724179,26.62372665054133,4.574731154327582,2.3930000000000007,-3.58015265847826,0.00026293435911423275,Soluble,25.57893,19.345436,52.95811,0
*C=Cc1cn(C)c2c(Cl)c(C3CCC(=O)N3CC*)ccc12,0,25.64,1.4356078869423274,27.265149725614933,4.564392113057672,3.982800000000003,-4.835098814888887,1.4618445235827268e-05,Moderately Soluble,98.14884,79.29816,82.243164,0
*c1cccc(C(=O)N2CCC(c3nnc(*)n3C)CC2)c1,0,12.77,1.444453102364864,27.826148747470906,4.555546897635136,0.1840999999999997,-1.8561901868465276,0.013925468433378748,Very Soluble,13.870115,-2.4557679,9.5908375,0
*CCN1CCC(n2cnc3c(*)cccc3c2=O)CC1,0,17.45,1.444453102364864,27.826148747470906,4.555546897635136,1.1755999999999998,-2.4919857053174312,0.0032211748136152757,Soluble,26.446573,12.686944,40.550293,0
*c1cccc(C(=O)N2CCC(c3c(*)cnn3C)CC2)c1,0,8.29,1.444453102364864,27.826148747470906,4.555546897635136,0.7890999999999999,-2.2983684098561916,0.00503073672826765,Soluble,69.63131,60.23211,40.618095,0
*C#Cc1ccc(CCN2C(=O)N(c3ccc(*)cc3)C(c3cccc(Cl)c3)C2CCc2ccc(O)cc2)cc1,0,27.62,1.4883952787097914,30.78897838330305,4.511604721290208,6.3059000000000065,-8.076745001375581,8.380211868945844e-09,Poorly Soluble,119.36019,85.51129,135.94974,0
*Cc1c(C)[nH]c(C2CCN(CC#Cc3ccc4c(Oc5ccc(*)cc5)ncnc4c3Cl)CC2)c1C,0,38.82,1.4911281435712482,30.983333631755443,4.508871856428752,5.475440000000005,-7.219053160519222,6.038747065909618e-08,Poorly Soluble,62.25393,16.763645,181.23123,0
*CC1(C(=O)N2CCCC2)CCN(CC2CCC(*)CC2)C1,0,24.45,1.4937338781431218,31.169790131017205,4.5062661218568785,2.796500000000001,-3.6273108488108097,0.0002358789311604678,Soluble,68.85722,49.845814,36.693592,0
*CC#Cc1ccc(C2C(C(N)=O)C(C#N)=C(N)N2c2ccc(*)cc2)cc1,0,19.68,1.5025656815619404,31.81014740304352,4.49743431843806,1.5369799999999998,-3.3023244034360633,0.0004985119765964216,Soluble,12.807086,-6.645756,69.56065,0
*Cc1ccc(CN2COC(c3ccc(*)cc3)C(C)C2)cc1,0,16.55,1.5028629741386983,31.831930222417313,4.497137025861302,3.0776000000000012,-4.077756353727449,8.36071936647164e-05,Moderately Soluble,101.20442,91.15221,59.445282,0
*c1ccc(C(=O)NC(=O)C23C=C(c4cccc(*)c4)CC(CC2)CC3)cc1,0,16.79,1.506573293950872,32.10504581092053,4.493426706049128,2.956100000000001,-4.374954952394637,4.217402465653383e-05,Moderately Soluble,99.745316,81.84291,94.98131,0
*c1ccc(CN2CCOC(c3ccc(*)cc3)C2)cc1,0,15.9,1.5074030160186471,32.166441312356135,4.492596983981353,1.6093000000000002,-2.8278421565649916,0.0014864758006896614,Soluble,82.838005,82.49129,62.36245,0
*c1ccc(C(=O)N2CCC(CN3CCC(*)CC3)CC2)cc1,0,10.7,1.5135881437571357,32.627826462223794,4.4864118562428645,2.1470000000000002,-3.313012584875905,0.00048639311091041535,Soluble,24.589123,23.055763,45.51888,0
*c1ccc(C2CC(N)CCC2CCCC2CCC(=O)N(c3ccc(*)cc3)C2=O)cc1,0,21.17,1.5210547478339596,33.193629931841755,4.4789452521660404,3.3869000000000025,-5.052238675167327,8.866685917608139e-06,Moderately Soluble,16.806946,10.3636,59.842842,0
*c1ccc(CN2CCC(n3ncc(*)c3Cl)CC2)cc1,0,10.1,1.5253975479441961,33.52722028737043,4.474602452055803,1.7228,-3.040126953644411,0.0009117442778790259,Soluble,78.009125,68.24361,74.74471,0
*CCCN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc(*)cc3)CC2)C1=O,0,12.74,1.5367364438063,34.414102176628944,4.4632635561937,2.500000000000001,-4.229544397222993,5.894617142668783e-05,Moderately Soluble,95.352516,80.59795,40.73016,0
*c1ccc(C(=O)NCC2=CCC(c3ccc(*)cc3)(N3CCCCC3)CC2)cc1,0,25.16,1.5367364438063,34.414102176628944,4.4632635561937,3.2573000000000025,-4.771636982400113,1.691854526288049e-05,Moderately Soluble,59.527397,40.80656,77.28086,0
*Cc1cn(CC2CCC(c3ccc(F)cc3)N2c2ccc(*)cc2Cl)c(=O)[nH]c1=O,0,28.27,1.5367364438063,34.414102176628944,4.4632635561937,2.9633000000000003,-4.890854145798049,1.2857183853064596e-05,Moderately Soluble,62.42262,47.63732,72.943924,0
*c1ccc(C2(O)CN(S(=O)(=O)N3CCC3)C(c3cc(*)ccc3Cl)S2)cc1,0,25.22,1.5367364438063,34.414102176628944,4.4632635561937,1.5324000000000009,-3.748831336877853,0.0001783071108619179,Soluble,115.17854,95.267784,66.047165,0
*CC(O)COc1cc(C(C)(C)c2cc(C)c(O*)cc2C)ccc1C,0,23.34,1.550689538949931,35.53771817500585,4.449310461050069,4.488160000000004,-5.399120008446644,3.989146551794154e-06,Moderately Soluble,135.93712,107.09407,69.144226,0
*c1cccc(-n2ncc3cc(NC(=O)c4ncccc4*)ccc32)c1,0,16.08,1.5508438332449894,35.55034610732735,4.44915616675501,2.022,-3.638104850159384,0.00023008862556298543,Soluble,99.27565,86.77824,100.03801,0
*CC1CCN(C2CCN(C(=O)c3ccc4c(C)c(*)c(=O)oc4c3)CC2)CC1,0,20.98,1.5709448710702556,37.23444382046143,4.429055128929744,2.560220000000001,-4.197996224720632,6.338752214481538e-05,Moderately Soluble,23.829811,14.618706,51.89917,0
*C1CCN(Cc2ccc3oc(=O)c(CN4CCC(*)CC4)cc3c2O)CC1,0,15.95,1.572821283837849,37.395667000562995,4.427178716162151,3.365800000000002,-4.717832376248913,1.9149949090600713e-05,Moderately Soluble,37.554016,15.169467,34.66095,0
*Cc1cc(C(C)=CC(O)c2ccccc2*)ccc1OCC,0,25.57,1.5759241577450747,37.663801972064896,4.424075842254926,3.446100000000002,-4.35066817665064,4.45996882836126e-05,Moderately Soluble,117.244675,104.39652,59.743904,0
*c1ccc(N2CCC(N3CCN(*)CC3)CC2)cc1,0,5.49,1.5860859010754011,38.55546107195153,4.413914098924598,0.9118999999999999,-2.1456085612132436,0.0071514060700932965,Soluble,42.42605,49.977093,37.52491,0
*NC(=O)c1ccc(N2CCC(NCCN)C(C)C2)c(*)c1,0,23.01,1.6018680458220511,39.9823250717662,4.398131954177948,-0.18159999999999843,-1.517731523523304,0.030357672850159115,Very Soluble,4.9940267,-5.9687777,19.1619,0
*CCn1c(=O)n(Cc2ccc(*)cc2)c(=O)c2ccccc21,0,12.85,1.6032587724316294,40.11056434489318,4.396741227568371,1.3536999999999997,-2.866224700098633,0.0013607404653010492,Soluble,81.184235,84.380104,27.423965,0
*c1ccc(Cl)c(N2CCC(CNC(=O)c3ccccc3*)CC2)c1,0,18.0,1.6045434989815242,40.22939477854557,4.395456501018476,2.3356000000000003,-3.8234321925524144,0.00015016468432046376,Soluble,106.35376,92.96088,87.085304,0
*c1ccc(CC2NC(=O)NN(Cc3ccc(*)o3)C2=O)cc1,0,22.69,1.6045434989815246,40.22939477854561,4.395456501018476,-0.20350000000000046,-1.651538015536586,0.022308069274641698,Very Soluble,26.405018,22.307817,19.70097,0
*c1ccc(NC(=O)NCC2CCN(c3ccc(*)cc3)CC2)cc1,0,13.19,1.6045434989815246,40.22939477854561,4.395456501018476,2.0739,-3.5008283380685707,0.0003156251936570931,Soluble,76.02223,59.064903,88.65268,0
*CCc1cccc(C(C)(C)C)c1-c1ccc(Oc2c(C(=O)NCCCC(N)=O)cnn2CC*)cc1,0,35.44,1.6185292536033278,41.5460035234877,4.381470746396673,5.112900000000003,-6.82430218734242,1.4986416996480584e-07,Poorly Soluble,81.88283,42.4395,49.584023,0
*c1ccc(C(C)(C)NS(=O)(=O)c2cccc(*)c2)cc1,0,21.68,1.6239255015831353,42.06544635725608,4.376074498416864,1.2494,-2.70315280935028,0.0019808299352228145,Soluble,70.7103,74.60857,52.541687,0
*c1cccc(CN(C(=O)c2cccc(*)c2)C2CC2)c1,0,16.25,1.6239255015831358,42.06544635725613,4.376074498416864,1.8405999999999998,-2.9826062044713684,0.0010408635386980388,Soluble,116.71405,123.07699,55.934246,0
*c1ccc(C(=O)N2CCc3ccc(*)cc3C2)cc1,0,10.78,1.6332552937634452,42.978899780192094,4.366744706236554,1.2343000000000002,-2.4626894879823027,0.003445962222312849,Soluble,88.30752,97.573906,49.956577,0
*c1ccc(NC(=O)c2ccc(*)cc2)cc1,0,6.33,1.6332552937634452,42.978899780192094,4.366744706236554,1.2881,-2.279286891584004,0.005256698981899536,Soluble,77.44972,92.89265,82.50548,0
