canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*CC1(O)c2nc(OCC)nc(OCc3ccccc3)c2CCN1*,0,27.74,0.8066698020539469,6.4072224454254565,5.193330197946053,1.8894,-3.396505155982004,0.00040132373368405565,Soluble,100.56355,86.23393,23.568716,0
*c1cccc(C#Cc2cncc(N3CCC4(C3)CN4C(*)(C)C)c2)c1,0,20.69,0.8759590334477002,7.515519975466506,5.1240409665522995,2.2058999999999997,-3.650826387137974,0.00022344652905556943,Soluble,67.28666,54.783894,107.92796,0
*CCCCN1CCC2(CCN(C(=O)c3cc(CN*)cc([N+](=O)[O-])c3)C2)C1,0,19.41,0.9002298354972418,7.947487170214953,5.099770164502758,2.4345000000000008,-3.9788152409853943,0.00010499890235004573,Soluble,32.72425,-0.28361663,32.266083,0
*c1ccc2c(c1)CCC21OC(=O)N2Cc3cn(*)cc3C=C21,0,36.15,0.9833261170485169,9.623346360072203,5.016673882951483,2.1235,-3.3449752025588153,0.00045188174528091284,Soluble,64.276,61.53712,54.45362,0
*CCCCCN1CC2(CCN(C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C2)C1,0,10.69,1.232021241567351,17.0616583641439,4.767978758432649,2.788800000000001,-4.3537816497188775,4.4281094851153236e-05,Moderately Soluble,33.97803,9.364105,26.796207,0
*Cc1c(C)cccc1C(=O)N1c2cc(C(=O)N3CCN(*)C3)ccc2OCC12CCN(C(=O)c1ccc3c(c1)OCO3)C2,0,29.48,1.3132344779479286,20.570008821731335,4.686765522052071,3.2767200000000027,-6.077135083992272,8.372688155300408e-07,Poorly Soluble,118.46785,76.87161,44.299732,0
*N1CCN(C(OC(*)(C)C)c2ccc(C(C)(C)O)cn2)CC1,0,27.85,1.3450347590226504,22.132718430733565,4.65496524097735,1.6915,-3.0145212907915857,0.0009671163137137328,Soluble,50.064594,45.265705,16.430498,0
*C(C)(C)OC(=O)N1CC(Oc2cnc(N3CC(OC4CCOC4)C3)cn2)C1,0,17.03,1.3795330236990826,23.962549537505712,4.620466976300918,0.9556999999999995,-3.0144558105188044,0.000967262140605265,Soluble,69.039795,51.81257,21.118063,0
*CC1CCN(c2cncc(N3CC4(CCN(C(=O)OC(C)(C)C)C4)C3)n2)C1,0,13.7,1.3795330236990826,23.962549537505712,4.620466976300918,2.7177000000000007,-4.299046727075728,5.022885438495098e-05,Moderately Soluble,102.854515,62.888203,30.689045,0
*c1ccc(-c2cccc(-c3nccnc3C3CCN(C(=O)C(*)(C)C)C3)c2)cn1,0,26.1,1.3807573754709892,24.030199451094216,4.619242624529011,3.443900000000002,-4.985136421260446,1.0348170572710417e-05,Moderately Soluble,73.18697,47.805122,51.835865,0
*C(=O)/C(=C\C(=O)OC1=C(C2CCC(N(*)c3cncc(C#Cc4ccccc4)c3)C2)N1C)C1NC2(CCN(c3ccccc3)CC2)C1C,0,38.11,1.389003932370917,24.490854172788534,4.610996067629083,5.227900000000005,-7.883945792653331,1.3063339306756732e-08,Poorly Soluble,95.06472,38.333313,118.76066,0
*CCOC(=O)C1(CN2CC=C(c3cnc(C(C)C)s3)C2)CC2(CCN(*)CC2)c2c([nH]c3ccccc23)C2C=CC=CC21,0,61.27,1.4500224628674385,28.18528709306995,4.549977537132562,6.671600000000008,-8.639736001303351,2.2922606475109795e-09,Poorly Soluble,118.38806,50.660774,93.02942,0
*C(=O)OC1CCN(c2nc(OCOC(*)(C)C)nc(-c3cc(F)cc(F)c3)n2)CC1,0,32.41,1.4883952787097914,30.78897838330305,4.511604721290208,3.1098000000000017,-4.873895578370413,1.336916925793207e-05,Moderately Soluble,114.51469,90.46037,66.41743,0
*CCC(O)N1C(=O)C(NCC(=O)OC(*)(C)C)(OCc2ccccc2)Cc2ccccc21,0,36.64,1.5210547478339596,33.193629931841755,4.4789452521660404,2.583100000000001,-4.582665533892888,2.6141738505013774e-05,Moderately Soluble,103.7375,87.20908,16.264406,0
*C(=O)OC(c1cccc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0,7.67,1.5326658180039092,34.0930470638086,4.46733418199609,4.286400000000003,-6.20579124351937,6.225994841002943e-07,Poorly Soluble,69.04299,55.38079,72.63936,0
*C(C)(C)OC(=O)N1CC2(C1)CN(c1cnc(Br)nc1)C(C)(C1CCN(c3cccc(C(C)(C)OC(=O)N4CN5CC(C)(C4)CN(c4ncc(Br)cn4)C5=O)c3)CC1)C2,0,51.04,1.539300811498003,34.617907368750984,4.460699188501997,6.994300000000009,-11.141617540543834,7.217427989026019e-12,Insoluble,115.02156,26.501709,69.603,0
*C(=O)OC(=O)OC(c1cncc(C#Cc2ccccc2)c1)N1CC2(CCN(c3cncc(C4CCCN4C)c3)C2)N1C1CC2(CCN(c3ccccc3)C2)N1C,0,28.31,1.539300811498003,34.617907368750984,4.460699188501997,5.956600000000006,-9.285015924646244,5.187810159941377e-10,Poorly Soluble,84.72609,38.125725,64.354065,0
