canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*NCC1(O)CCn2cc(N3CC(CCC(C)(C)N*)(OCC=O)C3)cc2C1,0,41.61,0.852038151038607,7.112759936690078,5.147961848961393,0.6063000000000001,-2.627427856291606,0.0023581538929416707,Soluble,39.78887,3.7630832,26.543415,0
*CCSC1(CN2CCN(c3ccc4[nH]c(=S)n(CCC5CCCCC5)c4c3)C2=S)CC1,0,44.41,0.8714954622714256,7.438672905649861,5.128504537728574,6.309590000000006,-7.640640554032959,2.287491273530726e-08,Poorly Soluble,132.1413,94.46342,63.689697,0
*CCc1cncc(N2CCC3(CCN(C(=O)OC(C)(C)C)C3)C2)c1,0,11.44,0.9013095456037636,7.967270193294532,5.098690454396237,3.429000000000002,-4.559505752854019,2.757364926846672e-05,Moderately Soluble,96.13866,73.61615,24.056793,0
*C(=O)C1(*)CC2(CCN(c3ccnc(C#Cc4ccccc4)c3)C2)C1,0,13.67,1.0704213284576884,11.76037928562699,4.929578671542312,3.255600000000002,-4.422536005823588,3.779757993624962e-05,Moderately Soluble,86.085434,66.63909,101.371574,0
*OC1CN1c1cnc(N2CCC3(CN(c4ccc(*)cc4)C3)C2)cn1,0,21.8,1.1167261325111624,13.083566089431683,4.883273867488837,0.9948999999999997,-2.78520134851257,0.0016398293358420501,Soluble,97.53929,58.67141,64.38612,0
*C[C@@H]1CC[C@H](OC(*)=O)c2nnc(-c3cccs3)n2C(=O)OC1(C)C,0,33.72,1.1626414815063228,14.542580667619449,4.837358518493677,3.874500000000003,-5.063629239176193,8.6371559432222e-06,Moderately Soluble,81.42412,73.65619,9.493122,0
*Cc1ccc(N2CC(OCCc3ccccc3)C2)c(C(O)C(*)(C)O)n1,0,26.61,1.2044764485157418,16.01313807868336,4.7955235514842585,1.8699999999999997,-3.5390694966405714,0.0002890217347204626,Soluble,59.607025,49.544724,14.565524,0
*c1cccc(NC(=O)c2c(F)cnc3ccc(OC(*)(C)C)cc23)n1,0,27.34,1.2399449573854686,17.37580593301219,4.760055042614532,2.860000000000001,-4.246924892741232,5.66337223412886e-05,Moderately Soluble,95.31932,75.63494,94.197815,0
*C#Cc1cncc(N2CC3C(CN3C(=O)OC(C)(C)C*)C2=O)c1,0,21.19,1.2557035096647131,18.01787251129969,4.744296490335287,1.4696999999999998,-2.979946026119126,0.0010472586927015933,Soluble,73.48846,54.34075,50.182243,0
*C(=O)OC(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2C3N(c4cccc(C#Cc5ccccc5)n4)CCC23C1,0,19.92,1.286118199594613,19.32494202008974,4.713881800405387,4.193000000000003,-6.488799273772708,3.244895582715667e-07,Poorly Soluble,69.51565,30.383274,109.521774,0
