canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
*CCOC1CN(c2cnc3c(ccn3C3CCCCC3)c2)C1,0,13.9,0.7781443733651703,5.999904991230904,5.22185562663483,3.7143000000000033,-4.6167733812423695,2.4167215724861613e-05,Moderately Soluble,91.88983,79.5369,46.989864,0
*c1ccc(C2=CC(C=C)=CC(C#Cc3ncc(*)cn3)=CC=C2)cc1,0,31.79,1.1030807975818566,12.67887725943185,4.896919202418143,2.8695000000000013,-4.0831323369383545,8.25786280066434e-05,Moderately Soluble,75.75993,59.858906,119.4776,0
*COC(C)(C)OC(C)(C)CCCN(*)c1cnn(C)c1,0,23.55,1.135680806091392,13.66723953708674,4.864319193908608,2.5257000000000005,-3.450833258935304,0.00035413327932011453,Soluble,126.412964,115.82617,48.54936,0
*C(C)SCCC(=O)N1CC2(CCN(C(=O)c3ccc([N+](=O)[O-])c(N4CCC5(CC4)CN5C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)c3)C2)C1,0,35.01,1.1607428054275766,14.479141269082767,4.839257194572424,3.599300000000002,-6.9803719472356365,1.0462321290289202e-07,Poorly Soluble,90.264175,25.741674,22.773264,0
*CC1C(CC(*)O)CN1c1cnnc(N2CCC3(CCOC3)OC2)c1,0,34.74,1.1670366021025518,14.690500831680795,4.832963397897448,0.8500999999999999,-2.6488754084526223,0.0022445257468986695,Soluble,55.66381,25.018467,21.191994,0
*CCc1cncc(N2CC3(CN(C(=O)c4c(C)cc([N+](=O)[O-])cc4[N+](=O)[O-])C3)C2)c1,0,16.01,1.1887226776193671,15.442680193443929,4.811277322380633,2.6789200000000006,-4.584369082027441,2.6039396700934125e-05,Moderately Soluble,82.06661,50.72448,8.211539,0
*CC(=O)CN1CC2(CCN(C(=O)c3ccc(*)nc3)C2)C1,0,14.87,1.2307853503017603,17.013174257910848,4.76921464969824,-0.059200000000000585,-1.5918048400650415,0.025597359030495734,Very Soluble,37.481968,16.273142,8.4778385,0
*CCCOC1CCN2C1CCC21CCN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C1,0,16.43,1.286281394602661,19.332205125687686,4.7137186053973394,2.6987000000000005,-4.5595969937918746,2.756785692832505e-05,Moderately Soluble,36.19645,14.177893,21.196835,0
*C(=O)OC(=O)OC(=O)/C=C\C(=O)OC(=O)C(=O)OC(=O)C(=O)N1CC2(CCN(c3cncc(C#Cc4ccc(OC)cc4)c3)C2)N1C1CC1,0,27.04,1.3327167583269024,21.51378173936249,4.667283241673098,0.7054000000000014,-4.801902559311706,1.5779652709146567e-05,Moderately Soluble,128.89684,79.22926,42.281303,0
*CCCN1CC2(CCN(C(=O)c3cc(O*)cc([N+](=O)[O-])c3)C2)C1,0,15.21,1.3361895436001139,21.686503846626458,4.663810456399887,1.9435,-3.3607062722226666,0.00043580652445520096,Soluble,60.25768,38.352654,30.093128,0
