canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
Cn1cnc(C#Cc2ccc(N3CCC4(CN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)nn2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5114503816793893,9.31,-0.10776256207089578,0.7802565766176098,6.107762562070896,2.1385999999999994,-4.65287312594389,2.2239594995293037e-05,Moderately Soluble,22.25432,6.154943,47.172176,1
Cn1cnc(C#Cc2cncc(N3CC4(CCN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)CC4)C3)n2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4888888888888889,8.74,-0.02122850058725829,0.952294989756517,6.021228500587259,2.5287000000000006,-5.029222125939372,9.349273702631112e-06,Moderately Soluble,20.731003,-3.1804745,54.70344,1
Cn1cnc(C#Cc2ccc(F)c(N3CCC4(CC3)CN(Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C4)c2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4817518248175182,10.43,-0.02122850058725829,0.952294989756517,6.021228500587259,3.272800000000002,-5.688110875537986,2.050638583220873e-06,Moderately Soluble,18.904898,-3.8251152,74.47726,1
Cn1cnc(C#Cc2ccc(N3CCC4(CC3)CN(C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C4)nc2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5606060606060606,8.41,-0.02122850058725829,0.952294989756517,6.021228500587259,2.773900000000001,-5.295039449992184,5.069446568696448e-06,Moderately Soluble,30.634201,8.576708,57.843067,1
Cn1cnc(C#Cc2ccc(N3CC4(CCN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)CC4)C3)nn2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4460431654676259,7.12,0.06931836825936813,1.1730549818552225,5.930681631740632,2.5287000000000006,-5.029222125939371,9.349273702631131e-06,Moderately Soluble,16.530186,-8.511043,51.1582,1
Cn1ccnc1C#Cc1ccc(N2CCC3(CC2)CN(Cc2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C3)nc1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4888888888888889,10.97,0.06931836825936813,1.1730549818552225,5.930681631740632,3.133700000000002,-5.471400348949036,3.377533389520697e-06,Moderately Soluble,32.42648,7.866595,75.62158,1
Cc1cnc(C#Cc2cccc(N3CCC4(CC3)CN(Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C4)n2)nc1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4782608695652174,10.32,0.2787898177464073,1.9001584518798558,5.721210182253593,3.4986200000000016,-5.827571497538959,1.4874024840895033e-06,Moderately Soluble,31.93472,12.28092,75.27212,1
Cc1nc(C#Cc2cccc(N3CCC4(CC3)CN(Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C4)n2)cn1C,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.460431654676259,15.56,0.2787898177464073,1.9001584518798558,5.721210182253593,3.442120000000002,-5.787480283789513,1.63124696330816e-06,Moderately Soluble,24.979649,7.0362206,70.46972,1
Cn1cc(C#Cc2cccc(N3CCC4(CC3)CN(Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)C4)n2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4888888888888889,8.42,0.2928186979558484,1.9625408168696554,5.707181302044152,3.133700000000002,-5.471400348949036,3.377533389520697e-06,Moderately Soluble,29.281397,9.868721,73.572205,1
CCn1cc(C#Cc2cccnc2N2CCC3(CC2)CN(C(=O)c2cc(N)cc([N+](=O)[O-])c2)C3)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4468085106382978,12.04,0.41173241210701106,2.5806696368421287,5.588267587892989,2.9308000000000005,-5.311323668810959,4.882883146394517e-06,Moderately Soluble,33.32022,25.375149,48.80094,1
