canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
COc1ccc(C#Cc2cncc(N3CCC4(CCN(C(=O)c5cc(C(C)C)cc([N+](=O)[O-])c5)C4)C3)c2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5661764705882353,4.83,5,KNN | KNN | DT | LGBM | ET,0.3251355934146116,2.1141490066307145,5.674864406585389,0.9022562372789477,0.4668920059172424,12.593557646058763,9.330230058924306,5.097743762721052,0.4668920059172424,0.9708405456653839,65.66962992618038,4.182635431123257,6.0128520943188475,0.4668920059172424,4.659200000000005,-6.850186284452304,1.4119317866218142e-07,Poorly Soluble,73.92185,48.754265,75.51714,0,3,0,0.27528802,0.2160655,0.9596709,0.06202178,0.8837535,0.030601194,0.47753435,0.7894907,0.037052907,0.98733616,0.9999753,0.82550335,0.94281614,0.9646654,-4.8052683,103.18237,7.2476044,525.6090000000003,4.659200000000005,0.27125194843854455,3.0,3.949766570650734,0.6722481588165852,3,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(OC4CCCC4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6585365853658537,3.38,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8418702379606995,0.2928629952003296,8.910360256600843,6.905344531229256,5.158129762039301,0.2928629952003296,1.8529289526469768,26.05443792667267,4.5841182914466545,5.732141232631946,0.2928629952003296,3.8502000000000027,-5.14901574225931,7.0955204773151595e-06,Moderately Soluble,111.234085,98.01593,23.541525,0,0,0,0.07851774,0.24385777,0.5876729,0.06658612,0.8348808,0.21347776,0.6391624,0.51370746,0.1516554,0.7173736,0.99997365,0.8372113,0.98683274,0.73099947,-4.7843,97.44094,5.95905,373.49700000000024,3.8502000000000027,0.8054472398308022,4.0,3.1886490732432105,0.7568167696396433,0,0,0
COc1ccc(C(=O)N2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.543859649122807,3.52,5,KNN | KNN | DT | LGBM | ET,0.7139220416573109,5.175139269034289,5.286077958342689,1.265422587305808,0.29466286937208824,21.997765579362618,10.314429598492332,4.7345774126941915,0.29466286937208824,4.873975741841912,69.65652604918596,4.157038188724899,5.312116636663485,0.29466286937208824,1.7865,-3.7324842299741183,0.0001851466123101316,Soluble,22.196392,22.769064,5.4185066,0,1,0,0.14155635,0.29176465,0.86014163,0.060021542,0.5783525,0.035290904,0.13038279,0.27098432,0.023409804,0.7041918,0.998888,0.8858849,0.8279892,0.451653,-4.9727526,83.10986,1.7990615,377.44400000000013,1.7865,0.8264519424217517,4.0,3.1175944617358677,0.7647117264737925,1,0,0
COc1ccc(CCC(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.6160714285714286,5.12,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.0952796997970353,0.25705620841506854,14.727121386486564,8.102987746237037,4.904720300202965,0.25705620841506854,3.9034581838223246,39.729204413088105,4.40089013170943,5.408550468696499,0.25705620841506854,4.161500000000004,-6.020300630777284,9.543317422185737e-07,Poorly Soluble,69.7745,73.92232,55.06836,0,1,0,0.17462274,0.32409364,0.85555536,0.047540963,0.9039264,0.08837191,0.48659706,0.720623,0.07024668,0.9824953,0.99997693,0.8024275,0.95306844,0.9541775,-4.7910213,103.19751,4.189132,451.57000000000016,4.161500000000004,0.546723797687468,4.0,3.0912617857199987,0.7676375793644445,1,0,0
O=C(O)C1CCN(c2cncc(N3CC(OCCCc4ccccc4)C3)c2)CC1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.6052631578947368,2.43,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.1850754947481639,0.2736862259353703,18.311043494579692,9.88167754124198,4.814924505251836,0.2736862259353703,4.452977409573263,52.66238182589521,4.27849950241851,5.351349508085162,0.2736862259353703,3.220600000000002,-4.892002024824031,1.2823246040220894e-05,Moderately Soluble,18.645166,28.713614,-18.150814,0,1,0,0.034748845,0.290096,0.86404735,0.2406642,0.67863446,0.10354529,0.59753174,0.6691724,0.09669711,0.41520795,0.9976055,0.9001096,0.79746705,0.76424253,-5.2935114,90.830795,-0.3681325,395.5030000000002,3.220600000000002,0.69259076252751,4.0,2.395170416026719,0.8449810648859201,1,0,0
COc1ccc(CN2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5918367346938775,3.69,5,KNN | KNN | DT | LGBM | ET,0.8221300100415319,6.639417977295063,5.177869989958468,0.9363857384664314,0.09717366208134573,8.854964225333235,1.9587373572587912,5.063614261533568,0.09717366208134573,5.570899974682985,13.392020829780268,4.8731538838541315,5.254074639213006,0.09717366208134573,4.202300000000004,-5.7978227529065,1.5928586822734822e-06,Moderately Soluble,53.911304,55.84556,69.0762,0,1,0,0.22094262,0.65932953,0.7533671,0.105826974,0.9751293,0.19196014,0.47377425,0.62753,0.4184204,0.9190792,0.99987966,0.77071375,0.8920698,0.97113734,-4.949767,101.15401,7.470479,409.53300000000013,4.202300000000004,0.6040394191361669,4.0,3.0095038159418763,0.7767217982286804,1,0,0
COc1ccc(C(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1OC,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.639344262295082,4.03,5,KNN | KNN | DT | LGBM | ET,0.8995735596053323,7.935486544842275,5.100426440394668,1.3056027430882007,0.5667894374137629,51.43805325221425,74.71415633120381,4.694397256911799,0.5667894374137629,1.5656527521754828,260.9216044572599,3.583489959580824,5.805304554242775,0.5667894374137629,3.8511000000000033,-5.806579162310692,1.561064464394117e-06,Moderately Soluble,58.32876,56.180103,52.919487,0,1,0,0.18318054,0.25295535,0.9197823,0.041500725,0.8116158,0.06142559,0.29451892,0.5124827,0.018546835,0.93942916,0.9999542,0.8843254,0.9566038,0.88343155,-4.7361364,101.42372,3.8158767,453.5420000000002,3.8511000000000033,0.5619697469974758,4.0,3.0842540220550934,0.7684162197716563,1,0,0
CC(C)(C)c1ccc(C(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.7047619047619048,4.65,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.2993002185593236,0.5948184981515249,59.872522076471384,95.21780912343911,4.700699781440676,0.5948184981515249,1.3597402775112688,291.83977037425535,3.534855525063688,5.866544037817665,0.5948184981515249,5.131400000000005,-6.736962253076533,1.8324736858225324e-07,Poorly Soluble,80.67955,62.49964,82.140434,0,1,0,0.13603234,0.17410402,0.91784716,0.090134405,0.82101744,0.04599906,0.36884207,0.624843,0.017643873,0.7913915,0.9999099,0.8299158,0.9185505,0.9541559,-4.880128,104.147194,7.082063,449.5980000000002,5.131400000000005,0.5090193865065413,3.0,3.132900340979173,0.7630110732245363,1,0,0
CN1CCC2(CCN(c3cncc(C#Cc4ccccc4)c3)CC2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.6746987951807228,4.59,5,KNN | KNN | DT | LGBM | ET,1.0151292616454692,10.354503080437357,4.98487073835453,1.2191593393391191,0.3136243512797875,21.24513586920788,14.756063755114964,4.780840660660881,0.3136243512797875,4.0221254381816,68.21235880747693,4.166136932152497,5.395544389169264,0.3136243512797875,3.403500000000002,-4.656482412766782,2.2055534508996774e-05,Moderately Soluble,-3.534692,18.576706,64.186424,0,1,0,0.12440137,0.64429176,0.50026476,0.05799768,0.91080654,0.28997484,0.1240439,0.20703384,0.32853648,0.6293596,0.99968386,0.84143627,0.93463886,0.8200799,-4.5871077,88.915764,15.012228,331.46300000000014,3.403500000000002,0.7467356995633645,4.0,3.071434348676042,0.7698406279248843,1,0,0
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(c1cccc(C(F)(F)F)n1)CC2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,0.5054945054945055,4.1,5,KNN | KNN | DT | LGBM | ET,1.0443688153823762,11.075639599232163,4.955631184617624,1.120294978216922,0.25422543326708036,15.613165494020052,9.079276645735549,4.879705021783078,0.25422543326708036,4.188062257196211,41.55055483674115,4.3814231725796,5.377986870986556,0.25422543326708036,4.717900000000005,-5.967782846722455,1.0770035957873318e-06,Moderately Soluble,59.616478,38.724007,38.39796,0,0,0,0.020301165,0.19026768,0.2701031,0.09353568,0.74314356,0.14436926,0.111593865,0.0392425,0.17140165,0.01531716,0.9998268,0.87206966,0.984194,0.5223074,-4.754941,96.71618,7.2410073,399.45700000000005,4.717900000000005,0.6856813794699815,4.0,3.0177981280695345,0.7758002079922739,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4cccc(C(F)(F)F)c4)c3)CC2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.6274509803921569,5.79,5,KNN | KNN | DT | LGBM | ET,1.168785665789645,14.749784182035203,4.831214334210355,1.0643685083949328,0.2666435573810905,13.748095552430362,7.1417914163172345,4.935631491605067,0.2666435573810905,3.4813455778699995,38.635797474014495,4.41301011913813,5.458252864072005,0.2666435573810905,5.604700000000006,-7.008309450020178,9.810486624065223e-08,Poorly Soluble,70.67418,40.19521,68.93593,0,0,0,0.15168954,0.3677147,0.7879546,0.059506208,0.9064682,0.41479605,0.48575002,0.47392455,0.07569946,0.77435267,0.9999852,0.89759624,0.9837904,0.8866032,-4.938764,100.60154,8.383162,447.50100000000015,5.604700000000006,0.6008691820139153,3.0,3.0500254776509603,0.7722193913721155,0,0,0
