canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
COc1ccc(C#Cc2cncc(N3CCC4(CC3)CN(C(=O)c3cc(C(C)C)cc([N+](=O)[O-])c3)C4)c2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5588235294117647,5.53,5,KNN | KNN | DT | LGBM | ET,0.5486359222623458,3.5370070239901654,5.451364077737654,0.9857801597264922,0.4444408826656758,14.532769882666887,9.907430956847344,5.014219840273507,0.4444408826656758,1.3021950186965858,71.92573188075986,4.143115710248783,5.8853239702982325,0.4444408826656758,4.659200000000004,-6.850186284452304,1.4119317866218142e-07,Poorly Soluble,72.084694,47.177856,75.89047,0,3,0,0.28094205,0.22021966,0.96447545,0.076256074,0.86788476,0.01883199,0.358607,0.70065343,0.026885685,0.9755262,0.99992245,0.84347343,0.9300324,0.96096927,-4.8009133,103.42096,7.065118,525.6090000000003,4.659200000000004,0.2712519484385446,3.0,3.484878525246401,0.7239023860837333,3,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(OC4CCCC4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6585365853658537,3.41,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8418702379606995,0.2928629952003296,8.910360256600843,6.905344531229256,5.158129762039301,0.2928629952003296,1.8529289526469768,26.05443792667267,4.5841182914466545,5.732141232631946,0.2928629952003296,3.8502000000000027,-5.14901574225931,7.0955204773151595e-06,Moderately Soluble,111.234085,98.01593,23.541527,0,0,0,0.07851772,0.24385777,0.5876729,0.06658612,0.8348808,0.21347776,0.6391624,0.51370746,0.15165544,0.71737367,0.99997365,0.8372113,0.98683274,0.73099947,-4.7843,97.44094,5.95905,373.49700000000024,3.8502000000000027,0.8054472398308022,4.0,3.1886490732432105,0.7568167696396433,0,0,0
CC(C)(C)c1cncc(N2CCC3(CCN(C(=O)c4cc(C#N)cc(C(F)(F)F)c4)C3)C2)c1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.4201680672268907,6.84,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.0246468073821182,0.35697570538636036,14.573718307689443,11.021996110406729,4.975353192617882,0.35697570538636036,2.1133645822091816,53.0052869482702,4.275680810060615,5.675025575175148,0.35697570538636036,5.012180000000005,-6.62360678360813,2.3789932861079178e-07,Poorly Soluble,71.87112,52.407696,41.58081,0,0,0,0.06411542,0.18184082,0.82113886,0.03547976,0.82287294,0.10335388,0.3302802,0.5118419,0.013454588,0.9376165,0.999993,0.89217603,0.9820241,0.8624507,-4.823134,96.07716,6.5821533,456.5120000000001,5.012180000000005,0.6373447671823065,3.0,3.7563469336442763,0.6937392295950804,0,0,0
COc1ccc(C(=O)N2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.543859649122807,3.35,5,KNN | KNN | DT | LGBM | ET,0.7139220416573109,5.175139269034289,5.286077958342689,1.265422587305808,0.29466286937208824,21.997765579362618,10.314429598492332,4.7345774126941915,0.29466286937208824,4.873975741841912,69.65652604918596,4.157038188724899,5.312116636663485,0.29466286937208824,1.7865,-3.7324842299741183,0.0001851466123101316,Soluble,22.196394,22.769068,5.418502,0,1,0,0.14155635,0.29176468,0.86014163,0.06002155,0.5783526,0.03529091,0.1303828,0.27098435,0.023409816,0.7041918,0.998888,0.8858849,0.8279892,0.451653,-4.9727526,83.10986,1.7990614,377.44400000000013,1.7865,0.8264519424217517,4.0,3.1175944617358677,0.7647117264737925,1,0,0
COc1ccc(C#Cc2cncc(N3CCC4(CC3)CN(C(=O)c3cc5c(cc3C)OCO5)C4)c2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4893617021276595,3.62,5,KNN | KNN | DT | LGBM | ET,0.7755878411937298,5.96468950531659,5.22441215880627,1.3187082888645332,0.5778285416449518,60.26169517678302,95.04054065532175,4.681291711135467,0.5778285416449518,1.5351978278338894,282.6521091337586,3.5487477695113614,5.813835652759572,0.5778285416449518,4.269720000000004,-6.380241300694625,4.166378287620753e-07,Poorly Soluble,65.703125,54.553856,76.08323,0,1,0,0.16618654,0.38958323,0.89888984,0.03980018,0.9403612,0.10686163,0.49928728,0.76867664,0.10592773,0.99222267,0.9999884,0.7774874,0.938844,0.9713443,-4.8144937,102.55898,5.844372,495.5790000000003,4.269720000000004,0.5060149156779609,4.0,3.285758822153003,0.7460267975385553,1,0,0
O=C(O)C1CCN(c2cncc(N3CC(OCCCc4ccccc4)C3)c2)CC1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.6052631578947368,2.6,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.1850754947481639,0.2736862259353703,18.311043494579692,9.88167754124198,4.814924505251836,0.2736862259353703,4.452977409573263,52.66238182589521,4.27849950241851,5.351349508085162,0.2736862259353703,3.220600000000002,-4.892002024824031,1.2823246040220894e-05,Moderately Soluble,18.645166,28.713612,-18.150814,0,1,0,0.03474884,0.29009604,0.8640472,0.24066421,0.6786345,0.10354531,0.59753174,0.6691724,0.09669713,0.41520795,0.9976055,0.9001096,0.7974671,0.76424253,-5.2935114,90.830795,-0.36813298,395.5030000000002,3.220600000000002,0.69259076252751,4.0,2.395170416026719,0.8449810648859201,1,0,0
COc1ccc(CCC(=O)N2CC3(CCN(c4cncc(C#CCOc5ccccc5)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.5333333333333333,5.75,5,KNN | KNN | DT | LGBM | ET,0.899573559605332,7.935486544842272,5.100426440394668,1.2742126160113618,0.599869249523095,59.01581848474304,95.61484370126738,4.725787383988639,0.599869249523095,1.254494862057058,281.80996439732775,3.550043654923372,5.901531113053904,0.599869249523095,4.192200000000003,-6.222218716425498,5.994890896123034e-07,Poorly Soluble,88.535706,84.67977,32.635757,0,1,0,0.13880007,0.31188637,0.847406,0.044584148,0.9531293,0.12167206,0.779783,0.88662016,0.14615293,0.9935012,0.9999939,0.71673363,0.9556985,0.9784094,-4.898106,104.66848,1.0165509,481.59600000000023,4.192200000000003,0.47388001934458185,4.0,3.162353806756288,0.759738465915968,1,0,0
COc1ccc(CN2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.475,4.82,5,KNN | KNN | DT | LGBM | ET,0.9308981548081219,8.52900079336653,5.069101845191878,1.1075200799288218,0.2757265589624545,15.261178725488218,7.960209657836912,4.892479920071178,0.2757265589624545,3.6905919011083683,44.45740769932838,4.352055864504767,5.432903975637589,0.2757265589624545,2.1463,-3.910170869356536,0.00012297848275578724,Soluble,21.661835,25.168499,15.396222,0,1,0,0.12027727,0.5919077,0.6235892,0.10902901,0.93322265,0.13362107,0.2767418,0.43667442,0.40952888,0.80981237,0.99882966,0.80151606,0.8358437,0.7785546,-5.1161942,85.71501,6.199836,363.4610000000001,2.1463,0.8438117907437765,4.0,3.119353884828385,0.7645162350190683,1,0,0
CN1CCC2(CCN(c3cncc(C#Cc4ccccc4)c3)CC2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.6746987951807228,4.84,5,KNN | KNN | DT | LGBM | ET,1.0151292616454692,10.354503080437357,4.98487073835453,1.2191593393391191,0.3136243512797875,21.24513586920788,14.756063755114964,4.780840660660881,0.3136243512797875,4.0221254381816,68.21235880747693,4.166136932152497,5.395544389169264,0.3136243512797875,3.403500000000002,-4.656482412766782,2.2055534508996774e-05,Moderately Soluble,-3.534694,18.576704,64.18643,0,1,0,0.12440135,0.64429176,0.50026464,0.05799768,0.91080654,0.28997484,0.12404388,0.20703384,0.32853645,0.6293596,0.99968386,0.84143627,0.93463886,0.8200799,-4.5871077,88.915764,15.012228,331.46300000000014,3.403500000000002,0.7467356995633645,4.0,3.071434348676042,0.7698406279248843,1,0,0
CC(C)(C)OC(=O)N1CCC2(CC1)CN(c1cncc(N3CCOCC3)c1)C2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,0.5274725274725275,4.95,5,KNN | KNN | DT | LGBM | ET,1.140561776334365,13.821709992010106,4.859438223665635,1.174976306701575,0.40357134554190904,20.906278721578197,14.03716572827786,4.825023693298425,0.40357134554190904,2.420897876229253,92.46473811507367,4.034023856036283,5.616023530560566,0.40357134554190904,2.7555000000000014,-4.436481368232745,3.660316434287632e-05,Moderately Soluble,61.306934,45.165493,12.27883,0,0,0,0.06589248,0.22953478,0.75036275,0.069688,0.5418252,0.068424925,0.18668702,0.16424489,0.016493995,0.25037563,0.9998576,0.9287758,0.9629458,0.30277258,-4.751568,69.31239,5.1924925,388.5120000000002,2.7555000000000014,0.7765193091473215,4.0,3.078574685689129,0.7690472571456524,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(O)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.8181818181818182,3.25,5,KNN | KNN | DT | LGBM | ET,1.1634537316049933,14.569804742543779,4.836546268395007,1.4146909025062941,0.528781102980466,56.29693274907121,73.06970400208205,4.585309097493706,0.528781102980466,2.3893509316706254,282.5542631979246,3.5488981356519926,5.621720059335419,0.528781102980466,2.2344,-3.5285185414803557,0.00029612935351948285,Soluble,63.993122,65.67104,-15.484886,0,0,0,0.07635341,0.3105843,0.61205727,0.096236944,0.49692553,0.06117352,0.22690547,0.20309563,0.08871059,0.25520796,0.99844086,0.86793864,0.83739316,0.18269286,-4.9355726,74.35585,0.9065553,305.37800000000004,2.2344,0.8616655845708648,4.0,3.1958587357984234,0.7560156960223974,0,0,0
