canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CCCO)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8173076923076923,2.28,5,KNN | KNN | DT | LGBM | ET,-0.0718092801926226,0.8475995545675238,6.071809280192623,0.239783711912504,0.2468091154126051,2.0430903547473465,1.1653849153197906,5.760216288087496,0.2468091154126051,0.5702139602443032,5.290900302627223,5.27647042187879,6.243962154296202,0.2468091154126051,2.3442,-4.509838873595349,3.091442167256979e-05,Moderately Soluble,24.313732,13.715652,30.16102,0,3,0,0.77598,0.357425,0.8488776,0.23310634,0.85125864,0.07513792,0.4632148,0.4811152,0.32551163,0.82097214,0.9979432,0.7536879,0.7755263,0.7186276,-5.164727,86.082825,8.913671,437.45600000000024,2.3442,0.4146088741506959,4.0,3.519029428699911,0.7201078412555655,3,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4ccccc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.7889908256880734,2.84,5,KNN | KNN | DT | LGBM | ET,0.6976196075069574,4.9844771279029025,5.302380392493043,0.8599222750350703,0.2098368720556624,8.148260948258176,4.003636080172351,5.14007772496493,0.2098368720556624,2.809583901603184,18.672503274217437,4.728797455735831,5.551357994194028,0.2098368720556624,5.075000000000005,-6.476393243810659,3.33892570951567e-07,Poorly Soluble,92.69792,90.46995,52.127205,0,2,0,0.14532822,0.30008078,0.69743407,0.04859394,0.92861253,0.3054709,0.7313148,0.8083555,0.1986367,0.9856613,0.9999956,0.6399278,0.9688452,0.95177805,-4.822689,104.65474,7.3587036,429.60800000000023,5.075000000000005,0.4339292755493894,3.0,3.1656221334145513,0.7593753185094942,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccccc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.7701149425287356,2.77,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,0.886179538575362,0.3282221040942069,10.1887229109764,7.325623376833676,5.113820461424638,0.3282221040942069,1.7492996713627216,33.84502682126549,4.470505137399993,5.757135785449283,0.3282221040942069,4.195800000000004,-5.450468317515244,3.5443098565144216e-06,Moderately Soluble,94.22554,79.29782,22.891336,0,0,0,0.16539651,0.3454656,0.79433125,0.09549526,0.80631363,0.540007,0.5647845,0.49027103,0.10603634,0.5781293,0.999962,0.9162694,0.984138,0.67796385,-4.8143845,97.803024,3.1523411,365.4770000000001,4.195800000000004,0.8002638840171412,4.0,2.917013040854547,0.7869985510161615,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CCC(O)CC4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6428571428571429,2.48,5,KNN | KNN | DT | LGBM | ET,0.8679607879934845,7.378376085152375,5.132039212006515,1.1843142554857773,0.3943225663097085,21.926059065107573,16.458542083318203,4.815685744514223,0.3943225663097085,2.578944675089904,90.6121604743339,4.042813514547194,5.588557974481251,0.3943225663097085,2.4899000000000004,-4.239492766491002,5.7611241407580254e-05,Moderately Soluble,54.427727,36.9813,12.2482395,0,0,0,0.07589595,0.266494,0.61905116,0.066709794,0.663839,0.024556655,0.25336012,0.23043592,0.05096013,0.35291052,0.9993469,0.8824975,0.9331547,0.47856355,-4.9690976,71.093765,6.041607,388.5120000000002,2.4899000000000004,0.839522943151043,4.0,3.248941384812791,0.75011762390969,0,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccccc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.7102803738317757,2.72,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.0374880002985531,0.21912003603988647,12.559668177086277,7.4715974792795,4.962511999701447,0.21912003603988647,4.05520421534446,29.306453848329742,4.533036729063269,5.391987270339625,0.21912003603988647,4.756000000000005,-6.0718126308101,8.475930152928055e-07,Poorly Soluble,75.663216,75.1025,48.353004,0,2,0,0.1303871,0.20115085,0.7972591,0.06207787,0.84358853,0.39572078,0.7298089,0.8461071,0.10716327,0.956704,0.9999841,0.7262639,0.9680896,0.9060539,-4.7417407,102.9678,7.157737,401.55400000000014,4.756000000000005,0.5173878926869456,4.0,3.1133723291217414,0.7651808523198065,2,0,0
C(#Cc1cncc(N2CCC3(C2)CN(C2CCCCC2)C3)c1)c1ccccc1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.6444444444444445,4.41,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.0896639168516136,0.3779202108041575,16.79737229187834,11.676861449876213,4.910336083148387,0.3779202108041575,2.233265226323897,67.66865275784609,4.169612469972238,5.651059696324535,0.3779202108041575,4.326200000000004,-5.580437369978066,2.627620430798511e-06,Moderately Soluble,29.545984,36.680687,64.043625,0,1,0,0.11433059,0.665274,0.4820776,0.07110317,0.962817,0.1360179,0.16684945,0.277852,0.5458202,0.75050056,0.99952525,0.7055239,0.85998267,0.9219341,-4.7703385,100.15857,10.157509,371.528,4.326200000000004,0.732843736760621,4.0,3.1655452773058403,0.7593838580771288,1,0,0
O=C(c1cccc(C(F)(F)F)c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.6311475409836066,1.56,5,KNN | KNN | DT | LGBM | ET,0.9604516698985662,9.129598316617248,5.039548330101434,1.312936716136975,0.5291650669306939,50.41462842605202,74.97105234339297,4.687063283863025,0.5291650669306939,1.8870055823834364,223.92379577086535,3.649899752678865,5.724226815047185,0.5291650669306939,4.852700000000005,-6.608890198635626,2.460989730112281e-07,Poorly Soluble,34.748863,25.404606,94.61275,0,1,0,0.1678123,0.17580277,0.90364707,0.06204751,0.7920606,0.1517285,0.40516385,0.63755196,0.026092276,0.90853345,0.9999755,0.85313714,0.9583367,0.9054006,-4.8069854,100.413246,6.0945463,461.4870000000002,4.852700000000005,0.5121296892659696,4.0,3.1775591831679115,0.7580489796480099,1,0,0
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C(F)(F)F)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6491228070175439,2.18,5,KNN | KNN | DT | LGBM | ET,0.9846367536753213,9.652432064694946,5.015363246324679,0.37638301429737153,0.34103531539324405,3.3919358057996662,3.215252057870461,5.623616985702628,0.34103531539324405,0.5104506910797098,11.086953663851046,4.95518776753187,6.292046203873387,0.34103531539324405,3.269300000000002,-5.294830605818449,5.071884957912393e-06,Moderately Soluble,33.67915,10.276018,28.571136,0,2,0,0.75156873,0.10297716,0.96639806,0.123462535,0.72882813,0.03957377,0.45793778,0.4210829,0.055911433,0.86730874,0.99991864,0.8653814,0.9639754,0.78899455,-4.761534,88.82848,3.7174957,451.36100000000016,3.269300000000002,0.5163527737792861,4.0,3.302744388912112,0.7441395123430987,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCc5ccccc5)C4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.8640776699029126,2.48,5,KNN | KNN | DT | LGBM | ET,1.0473835511646792,11.152790677403084,4.952616448835321,1.2131344323569055,0.30670249564102503,19.98282710293256,10.322551707431012,4.786865567643094,0.30670249564102503,4.0925834238572545,65.20356235972359,4.185728676186685,5.3880024590995035,0.30670249564102503,3.9342000000000033,-5.774528736941557,1.680626716214654e-06,Moderately Soluble,100.86952,74.83462,21.60844,0,0,0,0.14555636,0.27680925,0.82409525,0.08662299,0.8965249,0.12045238,0.7287904,0.69717705,0.122557506,0.8440598,0.99995935,0.83418304,0.9823774,0.8839165,-4.9373164,96.551155,4.9973106,450.58300000000025,3.9342000000000033,0.6879700810607539,4.0,3.2198230245060646,0.7533529972771039,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4cccc(C(N)=O)c4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.7127659574468085,3.14,5,KNN | KNN | DT | LGBM | ET,1.1584661685232154,14.403438033038238,4.841533831476784,1.3849169065514815,0.5931380804742629,56.099634598520325,72.7749721258858,4.6150830934485185,0.5931380804742629,1.6686539038060098,352.7504238698542,3.4525324557189636,5.777633731178073,0.5931380804742629,3.2947000000000015,-5.04431239236104,9.029997033462333e-06,Moderately Soluble,57.444195,38.540855,6.906999,0,0,0,0.15203658,0.46588963,0.8415915,0.118835285,0.6965508,0.12981708,0.14802364,0.20074825,0.08132297,0.40730953,0.9991263,0.91481495,0.90291464,0.43589982,-5.004318,91.16118,1.1542636,408.5020000000002,3.2947000000000015,0.8418151032938361,4.0,3.0735674651033333,0.7696036149885185,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C#N)cn3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,0.6621621621621622,2.88,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,1.476741870344258,0.6099633100986529,63.936122220671976,70.66761813124717,4.523258129655742,0.6099633100986529,1.9107936200644124,470.18628632681924,3.3277300418623823,5.718786217449102,0.6099633100986529,2.400480000000001,-3.706239138276361,0.0001966802998495661,Soluble,83.499374,71.595345,12.216875,0,0,0,0.17003164,0.22728777,0.7285908,0.13216037,0.35106134,0.13667187,0.10656927,0.05338512,0.023770574,0.049945135,0.99922496,0.9388784,0.9585196,0.10174177,-4.5204477,79.08711,-0.19905357,314.38900000000007,2.400480000000001,0.7958763929851745,4.0,3.0931615252118743,0.7674264971986806,0,0,0
