canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6548672566371682,2.76,5,KNN | KNN | DT | LGBM | ET,0.11572690500459815,1.3053497941104732,5.884273094995402,0.17495720139379942,0.16680102739213717,1.6147992414835457,0.662505198633303,5.8250427986062006,0.16680102739213717,0.7047371855468627,3.176049153516051,5.498112784917612,6.151972812294789,0.16680102739213717,3.1279000000000012,-5.006923564586388,9.841843060160865e-06,Moderately Soluble,44.4951,18.082073,15.51662,0,2,0,0.77390087,0.099933356,0.9471553,0.11403175,0.7477239,0.028175835,0.56064826,0.52099484,0.097879425,0.88043004,0.9999111,0.7817397,0.95278203,0.83075416,-4.8099313,88.3186,2.1490064,423.42900000000026,3.1279000000000012,0.534579459207272,4.0,3.2995479194233663,0.744494675619626,2,1,0
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CCCO)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8173076923076923,2.08,5,KNN | KNN | DT | LGBM | ET,-0.0718092801926226,0.8475995545675238,6.071809280192623,0.239783711912504,0.2468091154126051,2.0430903547473465,1.1653849153197906,5.760216288087496,0.2468091154126051,0.5702139602443032,5.290900302627223,5.27647042187879,6.243962154296202,0.2468091154126051,2.3442,-4.509838873595349,3.091442167256979e-05,Moderately Soluble,24.31373,13.715652,30.161016,0,3,0,0.77597994,0.35742503,0.8488776,0.23310637,0.85125864,0.07513794,0.4632148,0.48111525,0.32551163,0.82097226,0.9979432,0.7536879,0.7755263,0.71862745,-5.164727,86.082825,8.9136715,437.45600000000024,2.3442,0.4146088741506959,4.0,3.519029428699911,0.7201078412555655,3,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4C)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.8440366972477065,3.29,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,0.8051443483181189,0.1907298881602833,7.020679626761833,2.998863589837107,5.194855651681881,0.1907298881602833,2.6996891898232467,15.099929829961052,4.821025070887726,5.568686232476036,0.1907298881602833,4.793120000000004,-6.46312823621415,3.4424826791807195e-07,Poorly Soluble,94.49799,81.24811,61.150665,0,2,0,0.124712124,0.34140453,0.79594743,0.040184014,0.9475772,0.40726513,0.8192347,0.8935649,0.29338464,0.99604833,0.999998,0.64911467,0.96456593,0.9541251,-4.853863,104.722694,7.2114244,459.5900000000003,4.793120000000004,0.45912968313696967,4.0,3.4260081821806816,0.7304435353132577,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccc(C(N)=O)cc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.7448979591836735,3.93,5,KNN | KNN | DT | LGBM | ET,0.8426102758765776,6.960016607210942,5.157389724123423,1.3715675591883394,0.5442749521020005,54.16181232773973,73.64164398302927,4.628432440811661,0.5442749521020005,2.017384376165943,274.376217883112,3.5616535346917395,5.695211346931582,0.5442749521020005,3.0275000000000016,-4.997811187789009,1.0050526481606106e-05,Moderately Soluble,39.946533,27.54667,53.395874,0,1,0,0.20317033,0.28889778,0.9180908,0.13962504,0.56810105,0.054152638,0.19589177,0.3453513,0.03651894,0.529878,0.99082196,0.8610994,0.77973557,0.6591467,-4.7451377,98.71117,7.5169096,432.5240000000002,3.0275000000000016,0.7372088555455428,4.0,3.2754770864354352,0.747169212618285,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CCC(O)CC4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6428571428571429,2.31,5,KNN | KNN | DT | LGBM | ET,0.8679607879934845,7.378376085152375,5.132039212006515,1.1843142554857773,0.3943225663097085,21.926059065107573,16.458542083318203,4.815685744514223,0.3943225663097085,2.578944675089904,90.6121604743339,4.042813514547194,5.588557974481251,0.3943225663097085,2.4899000000000004,-4.239492766491002,5.7611241407580254e-05,Moderately Soluble,54.427723,36.981297,12.248241,0,0,0,0.07589595,0.266494,0.61905116,0.0667098,0.663839,0.024556674,0.2533601,0.23043594,0.050960124,0.35291046,0.9993469,0.8824975,0.93315476,0.4785635,-4.969098,71.093765,6.041607,388.5120000000002,2.4899000000000004,0.839522943151043,4.0,3.248941384812791,0.75011762390969,0,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccccc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.7102803738317757,3.35,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.0374880002985531,0.21912003603988647,12.559668177086277,7.4715974792795,4.962511999701447,0.21912003603988647,4.05520421534446,29.306453848329742,4.533036729063269,5.391987270339625,0.21912003603988647,4.756000000000005,-6.0718126308101,8.475930152928055e-07,Poorly Soluble,75.663216,75.1025,48.353004,0,2,0,0.1303871,0.20115085,0.7972591,0.062077872,0.84358853,0.39572078,0.7298088,0.8461071,0.10716329,0.956704,0.9999841,0.7262639,0.9680896,0.9060539,-4.7417407,102.9678,7.1577377,401.55400000000014,4.756000000000005,0.5173878926869456,4.0,3.1133723291217414,0.7651808523198065,2,0,0
C(#Cc1cncc(N2CCC3(CN(CC4CC4)C3)C2)c1)c1ccccc1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.6987951807228916,3.03,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.1275451398145588,0.32047792179892554,17.262264829281456,11.629824972144423,4.872454860185441,0.32047792179892554,3.157973003827085,56.974676314792184,4.244318133459547,5.5005915869113355,0.32047792179892554,3.403500000000002,-4.721149490341535,1.9004240143334945e-05,Moderately Soluble,21.287708,35.832314,66.04449,0,1,0,0.22390625,0.6725458,0.526068,0.11346941,0.9487507,0.26899278,0.2503767,0.3354207,0.57758147,0.7788312,0.99905366,0.71515214,0.8752376,0.865767,-4.650818,96.3809,11.551359,343.47399999999993,3.403500000000002,0.7964409743242827,4.0,3.1846932891279582,0.7572563012080047,1,0,0
O=C(c1cccc(C(F)(F)F)c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.6311475409836066,1.97,5,KNN | KNN | DT | LGBM | ET,0.9604516698985662,9.129598316617248,5.039548330101434,1.312936716136975,0.5291650669306939,50.41462842605202,74.97105234339297,4.687063283863025,0.5291650669306939,1.8870055823834364,223.92379577086535,3.649899752678865,5.724226815047185,0.5291650669306939,4.852700000000005,-6.608890198635626,2.460989730112281e-07,Poorly Soluble,34.74886,25.404608,94.61275,0,1,0,0.1678123,0.17580278,0.90364707,0.06204752,0.7920605,0.15172853,0.40516385,0.6375519,0.026092276,0.9085334,0.9999755,0.85313714,0.9583367,0.90540045,-4.8069854,100.41324,6.094545,461.4870000000002,4.852700000000005,0.5121296892659696,4.0,3.1775591831679115,0.7580489796480099,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCc5ccccc5)C4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.8640776699029126,2.51,5,KNN | KNN | DT | LGBM | ET,1.0473835511646792,11.152790677403084,4.952616448835321,1.2131344323569055,0.30670249564102503,19.98282710293256,10.322551707431012,4.786865567643094,0.30670249564102503,4.0925834238572545,65.20356235972359,4.185728676186685,5.3880024590995035,0.30670249564102503,3.9342000000000033,-5.774528736941557,1.680626716214654e-06,Moderately Soluble,100.86952,74.83462,21.608444,0,0,0,0.14555636,0.27680925,0.82409525,0.086623,0.8965249,0.12045239,0.7287904,0.69717705,0.1225575,0.8440598,0.99995935,0.83418304,0.9823774,0.8839165,-4.9373164,96.55115,4.9973116,450.58300000000025,3.9342000000000033,0.6879700810607539,4.0,3.2198230245060646,0.7533529972771039,0,0,0
O=C(CCc1c[nH]c2ccccc12)N1CCC2(CCN(c3cncc(-c4ccccc4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.549618320610687,2.19,5,KNN | KNN | DT | LGBM | ET,1.1571856577960833,14.36103226043281,4.8428143422039165,1.15539409869965,0.31089027557291604,17.247459104597876,7.8476923530063365,4.8446059013003495,0.31089027557291604,3.5160023654172217,58.17535455612975,4.235260961177435,5.453950841423265,0.31089027557291604,5.2915000000000045,-6.88949428763559,1.2897505221403753e-07,Poorly Soluble,69.01085,59.078754,39.916817,0,0,0,0.42513433,0.6175422,0.74728847,0.061218183,0.98117745,0.75270575,0.79654723,0.8063837,0.5305487,0.9904149,0.9999976,0.79179156,0.96719825,0.9553281,-5.115231,100.46687,5.03835,450.5860000000001,5.2915000000000045,0.449406754850635,3.0,3.4193925655640953,0.7311786038262116,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4cccc(C(N)=O)c4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.7127659574468085,3.17,5,KNN | KNN | DT | LGBM | ET,1.1584661685232154,14.403438033038238,4.841533831476784,1.3849169065514815,0.5931380804742629,56.099634598520325,72.7749721258858,4.6150830934485185,0.5931380804742629,1.6686539038060098,352.7504238698542,3.4525324557189636,5.777633731178073,0.5931380804742629,3.2947000000000015,-5.04431239236104,9.029997033462333e-06,Moderately Soluble,57.444202,38.540855,6.9069977,0,0,0,0.1520366,0.4658896,0.8415915,0.118835256,0.6965507,0.1298171,0.14802364,0.20074825,0.081322975,0.4073096,0.9991263,0.91481507,0.90291464,0.43589982,-5.004318,91.16118,1.1542641,408.5020000000002,3.2947000000000015,0.8418151032938361,4.0,3.0735674651033333,0.7696036149885185,0,0,0
