canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.9175257731958762,0.83,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8647084633740695,0.23011555810677142,8.370845939606648,4.095285468236077,5.135291536625931,0.23011555810677142,2.592280359883595,20.68878361206943,4.684265042736659,5.586318030515202,0.23011555810677142,3.704500000000002,-5.398870113210818,3.991442587356469e-06,Moderately Soluble,68.76301,68.46986,38.943047,0,2,0,0.1522854,0.422438,0.7843769,0.05307273,0.9301809,0.49198514,0.7105164,0.819678,0.32388857,0.9908408,0.99998903,0.7353251,0.9596008,0.8961894,-4.7483253,101.55848,5.2235303,417.5090000000002,3.704500000000002,0.5608548501847509,4.0,3.3064790822140635,0.7437245464206597,2,0,0
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.96875,0.58,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8874642147038966,0.23302162594240441,8.790315022058294,4.026892154879831,5.112535785296103,0.23302162594240441,2.696136201860873,22.089536413116104,4.655813398448991,5.569258172143216,0.23302162594240441,4.094600000000003,-5.772362307477528,1.6890312798605053e-06,Moderately Soluble,75.19877,71.6588,46.894787,0,2,0,0.14949223,0.40583223,0.7886429,0.05226,0.9404734,0.49352145,0.77584165,0.8653201,0.34066927,0.99327374,0.99999344,0.6960021,0.9597027,0.9293051,-4.7875,102.856544,6.1979756,431.53600000000023,4.094600000000003,0.5271696227957308,4.0,3.301703026714801,0.744255219253911,2,0,0
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc(F)c(F)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6915887850467289,2.83,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,0.9065040588482489,0.25199693176568605,9.707146917240639,6.539498341552819,5.093495941151751,0.25199693176568605,2.585771072349187,25.143054983852483,4.599581954891006,5.587409927412496,0.25199693176568605,4.254000000000004,-5.758817048584549,1.7425407836217788e-06,Moderately Soluble,57.12809,56.85547,55.40789,0,2,0,0.16175674,0.23758695,0.79562557,0.05468883,0.7937467,0.39969212,0.5931622,0.6951221,0.09189461,0.9457515,0.9999746,0.7920359,0.9723996,0.81605923,-4.51576,98.33341,8.169174,409.4800000000001,4.254000000000004,0.5594883550574182,4.0,3.2584402710783635,0.7490621921024041,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4cccc(F)c4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8043478260869565,3.06,5,KNN | KNN | DT | LGBM | ET,0.6269673230267181,4.236110917115642,5.373032676973282,0.8945940369087098,0.2429947921075749,9.394641275102643,6.4565129457408235,5.1054059630912905,0.2429947921075749,2.6201384742472293,23.488962223483373,4.629136170560443,5.581675755622137,0.2429947921075749,4.067700000000003,-5.617829583376547,2.4108512581879575e-06,Moderately Soluble,72.995255,58.319202,85.51796,0,1,0,0.15093572,0.20782371,0.8801359,0.09739002,0.7378355,0.28367296,0.5841882,0.6879986,0.04824301,0.82290304,0.99982435,0.82189083,0.9573504,0.83910656,-4.613019,100.96709,10.6666355,407.48900000000015,4.067700000000003,0.6689093697320725,4.0,3.2836386421190884,0.746262373097879,1,0,0
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc(F)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7641509433962265,1.49,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,0.9685491461650061,0.44597073916276886,14.216606777226747,11.075427859744671,5.031450853834994,0.44597073916276886,1.2429295046126403,69.60682024538066,4.157348205075967,5.905553502594021,0.44597073916276886,4.382900000000004,-5.928154985792434,1.1798994921670802e-06,Moderately Soluble,61.39518,56.040253,64.20723,0,4,0,0.43880025,0.5802042,0.7296251,0.15490618,0.96299016,0.3177101,0.65620613,0.6548128,0.5785564,0.9581192,0.9999305,0.72556007,0.9430925,0.9345188,-4.7101374,100.12337,10.902876,422.50400000000013,4.382900000000004,0.29916985062314894,4.0,3.4349155157804976,0.7294538315799447,4,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(F)(F)C4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6835443037974683,1.86,5,KNN | KNN | DT | LGBM | ET,0.7328223915646678,5.405332220631853,5.267177608435333,0.9278773157816289,0.41709555739399395,14.038499146759083,15.204459730174465,5.072122684218371,0.41709555739399395,1.289347621052354,55.639678039926466,4.2546153917261424,5.889629976710599,0.41709555739399395,2.9841000000000015,-4.556017065802997,2.779604039783909e-05,Moderately Soluble,67.67146,36.426155,19.08414,0,0,0,0.1179806,0.19760844,0.7097894,0.112277344,0.5657781,0.04825435,0.32552606,0.21713081,0.037845276,0.31701928,0.9993864,0.88979894,0.9593622,0.31531525,-4.728081,79.81403,3.5968544,380.43900000000014,2.9841000000000015,0.7895429032657217,4.0,3.4768831950334604,0.7247907561073933,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(C#N)cc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.8275862068965517,2.6,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.1225081234395655,0.3530373005936126,17.519828174443568,10.932689331955876,4.877491876560434,0.3530373005936126,2.6949766970420983,65.23208088319511,4.185538767396954,5.569444985723916,0.3530373005936126,4.067480000000003,-5.507644888952525,3.107099142056911e-06,Moderately Soluble,85.14439,65.30559,28.103613,0,0,0,0.22471225,0.39966947,0.9073229,0.096372634,0.74853355,0.2209023,0.28295296,0.41201815,0.038230736,0.6409488,0.9994961,0.9088212,0.94729596,0.711141,-4.7678986,96.30434,2.6253943,390.48700000000014,4.067480000000003,0.7731483558409437,4.0,3.0924449155175076,0.7675061204980547,0,0,0
COc1cc(C)cc(C#Cc2cncc(N3CCC4(C3)CN(c3ccc(C#N)cc3)C4)c2)c1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.4628099173553719,4.81,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.3578397331466543,0.5600723779823654,61.559372072076926,94.47867134351524,4.642160266853345,0.5600723779823654,1.820110991336845,285.48388222720206,3.5444184060079094,5.739902127698782,0.5600723779823654,4.386800000000004,-6.088526457023444,8.155931000565121e-07,Poorly Soluble,69.660484,57.857277,94.47905,0,1,0,0.1465979,0.21726432,0.9373493,0.057965707,0.79063493,0.08251463,0.4448216,0.73904943,0.026765872,0.9309578,0.99990714,0.83647615,0.923532,0.9289812,-4.8562517,103.45121,6.144464,434.5430000000002,4.386800000000004,0.5726340602907186,4.0,3.3364817681393415,0.7403909146511842,1,0,0
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.9705882352941176,1.45,5,KNN | KNN | DT | LGBM | ET,0.8667228734117224,7.357374680396813,5.133277126588277,1.1353473174957154,0.18663511338719413,14.951335526212258,6.285848792258854,4.864652682504285,0.18663511338719413,5.8822366839247815,31.706780035787975,4.498847860265384,5.230457504743185,0.18663511338719413,5.166200000000004,-6.741106327022442,1.8150712298961673e-07,Poorly Soluble,79.89182,67.95406,69.98491,0,2,0,0.17581084,0.42307281,0.75982964,0.058440696,0.95369864,0.4214171,0.77528846,0.86530656,0.3169669,0.9929225,0.9999918,0.66879636,0.95895636,0.9589656,-4.983963,103.833496,10.049285,454.6180000000002,5.166200000000004,0.39599548488261366,3.0,3.331994652852866,0.7408894830163482,2,0,0
Clc1ccc(N2CCC3(CNC3)C2)cc1N1CCC(c2ccccc2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.4536082474226804,1.82,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,1.1664497777748184,0.2560975511731344,17.504792038525395,10.714158501389552,4.833550222225181,0.2560975511731344,4.618474791188513,46.60161612155259,4.331599021925838,5.3355014225245245,0.2560975511731344,4.133600000000003,-5.424355125666668,3.763958915318178e-06,Moderately Soluble,19.275526,15.011701,32.71958,0,0,0,0.13397169,0.29000372,0.2530264,0.08583818,0.96037996,0.16319312,0.2363842,0.1725463,0.62160856,0.82285595,0.99938697,0.6575013,0.8772764,0.6577647,-4.9060917,98.47127,7.376101,367.9240000000001,4.133600000000003,0.879338769067855,4.0,3.4350532426384106,0.7294385285957321,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,1.0,1.74,5,KNN | KNN | DT | LGBM | ET,1.0473835511646792,11.152790677403084,4.952616448835321,1.2339905656168775,0.20513457827562037,19.08150284195176,8.552292780442057,4.766009434383123,0.20513457827562037,6.790891508140837,43.25679506622685,4.363945660962907,5.168073207803339,0.20513457827562037,4.366800000000004,-6.2651626113362795,5.430469622811789e-07,Poorly Soluble,109.72929,82.824165,26.468012,0,1,0,0.15872769,0.34024137,0.7977499,0.08055026,0.9492241,0.102217734,0.75658405,0.75554675,0.16717313,0.9392638,0.99996674,0.7686156,0.9798876,0.9652575,-4.9882684,99.33996,6.1352344,478.63700000000034,4.366800000000004,0.5511809657558118,4.0,3.2752381127296655,0.7471957652522594,1,0,0
