canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
O=C(c1cccnc1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.6521739130434783,2.0,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.0495464850778418,0.32110824392017623,14.40593205637999,9.308768866920222,4.950453514922158,0.32110824392017623,2.6313240005981977,47.743982597883516,4.321081356838613,5.579825673005704,0.32110824392017623,3.228900000000002,-4.9914583526768945,1.0198625566105796e-05,Moderately Soluble,26.02737,38.71286,44.43934,0,1,0,0.08078642,0.26769644,0.91112506,0.060602345,0.7347054,0.19262572,0.3471564,0.6611266,0.041531578,0.9054707,0.9999298,0.85595787,0.914508,0.69047517,-4.6878605,96.02678,5.685157,394.4780000000001,3.228900000000002,0.6264679145160487,4.0,3.133247383377829,0.762972512958019,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.9175257731958762,1.6,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8647084633740695,0.23011555810677142,8.370845939606648,4.095285468236077,5.135291536625931,0.23011555810677142,2.592280359883595,20.68878361206943,4.684265042736659,5.586318030515202,0.23011555810677142,3.704500000000002,-5.398870113210818,3.991442587356469e-06,Moderately Soluble,68.763,68.46986,38.943047,0,2,0,0.1522854,0.422438,0.784377,0.05307273,0.9301809,0.49198514,0.7105165,0.819678,0.32388863,0.9908408,0.99998903,0.73532516,0.9596008,0.89618933,-4.7483253,101.55848,5.22353,417.5090000000002,3.704500000000002,0.5608548501847509,4.0,3.3064790822140635,0.7437245464206597,2,0,0
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8130841121495327,1.98,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.1067855555253068,0.6962898678790119,47.313153751202236,76.56521656842567,4.893214444474693,0.6962898678790119,0.5521504296987185,296.15133626898256,3.52848630343183,6.257942585517556,0.6962898678790119,3.856300000000002,-5.693168125236591,2.02689790950478e-06,Moderately Soluble,43.387646,36.537895,48.927284,0,5,0,0.533431,0.22943684,0.92461044,0.075929806,0.8763546,0.1577626,0.71875525,0.81797105,0.13190255,0.97915304,0.9999317,0.7500564,0.95702183,0.92565507,-4.7979975,99.637146,8.282623,447.5390000000002,3.856300000000002,0.23700426105802028,4.0,3.464249327235592,0.7261945191960453,5,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(O)C4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.7021276595744681,1.11,5,KNN | KNN | DT | LGBM | ET,0.7110089654286706,5.140542634355664,5.288991034571329,1.126979977765385,0.48304217905312835,22.780818303904,20.517598450501158,4.8730200222346145,0.48304217905312835,1.5143187747192468,118.50663014781968,3.9262573512904835,5.819782693178746,0.48304217905312835,1.7097,-3.4823188980287902,0.0003293677719502388,Soluble,44.600277,25.577023,5.263467,0,0,0,0.06735749,0.21810076,0.6587793,0.09192984,0.49422035,0.015528296,0.2662955,0.1907126,0.04350662,0.22361009,0.99705285,0.87853765,0.8590423,0.23375574,-4.947116,69.14047,2.8795977,360.45800000000014,1.7097,0.8659352615088404,4.0,3.304680989418771,0.7439243345090254,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(C#N)cc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.8275862068965517,2.18,5,KNN | KNN | DT | LGBM | ET,0.7845766600619155,6.089430246544679,5.215423339938084,1.1225081234395655,0.3530373005936126,17.519828174443568,10.932689331955876,4.877491876560434,0.3530373005936126,2.6949766970420983,65.23208088319511,4.185538767396954,5.569444985723916,0.3530373005936126,4.067480000000003,-5.507644888952525,3.107099142056911e-06,Moderately Soluble,85.14439,65.30559,28.103611,0,0,0,0.22471225,0.39966947,0.9073229,0.09637264,0.7485336,0.22090225,0.282953,0.4120182,0.03823074,0.6409489,0.9994961,0.9088212,0.94729596,0.7111411,-4.7678986,96.30434,2.625393,390.48700000000014,4.067480000000003,0.7731483558409437,4.0,3.0924449155175076,0.7675061204980547,0,0,0
CC(C)C#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.7477477477477478,2.52,5,KNN | KNN | DT | LGBM | ET,0.8667228734117224,7.357374680396813,5.133277126588277,1.1605330797270397,0.2251105243915935,16.34939606936938,7.241780404916138,4.83946692027296,0.2251105243915935,5.239821009909109,39.971432012992274,4.398250292465438,5.280683548080484,0.2251105243915935,4.241900000000003,-5.89213897904137,1.2819202883284513e-06,Moderately Soluble,57.438892,52.444897,44.30526,0,1,0,0.21507499,0.4531836,0.7585333,0.06907542,0.9283724,0.34166119,0.62610507,0.7575409,0.2702047,0.97881615,0.9999526,0.73680294,0.9510584,0.89663565,-4.974633,99.09384,8.519243,426.56400000000014,4.241900000000003,0.6350714661165865,4.0,3.3916795290343593,0.7342578301072934,1,0,0
COc1ccc(C#Cc2cncc(N3CCC4(CC3)CN(C(N)=O)C4)c2)cc1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.5283018867924528,3.25,5,KNN | KNN | DT | LGBM | ET,0.8933448048285054,7.8224861850148235,5.106655195171495,1.2403155024432289,0.32011989180529005,21.913735856321885,12.388096829177249,4.759684497556771,0.32011989180529005,4.100912608930737,73.74804132668281,4.132249509618402,5.387119485495139,0.32011989180529005,2.4709000000000003,-4.237029365904704,5.7938951823481835e-05,Moderately Soluble,18.322113,23.971762,42.540718,0,1,0,0.43596983,0.4503626,0.83758056,0.058729805,0.7241477,0.08936314,0.106644824,0.19422242,0.047325235,0.6743919,0.99742544,0.8643259,0.8622677,0.60817075,-4.8647203,94.461464,8.700045,376.4600000000001,2.4709000000000003,0.8176392579192762,4.0,3.126180807889714,0.763757688012254,1,0,0
c1ccc(CCCOC2CN(c3cncc(N4CCC5(CCNC5)C4)c3)C2)cc1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.6818181818181818,1.75,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,0.9961423279219705,0.21451776799630992,11.139524150873056,5.247347983139555,5.00385767207803,0.21451776799630992,3.7643283860600016,26.097394655662367,4.583402846805262,5.424312497350797,0.21451776799630992,3.1094000000000017,-4.793428783498131,1.609056212601412e-05,Moderately Soluble,16.74467,18.701147,13.191679,0,1,0,0.26812539,0.5412663,0.48616982,0.07020903,0.9826172,0.42284244,0.51187444,0.5060719,0.6375619,0.990553,0.9999914,0.7398184,0.96219635,0.8669801,-5.2514796,71.54608,8.021457,392.54700000000025,3.1094000000000017,0.7335020877068229,4.0,3.637175893413609,0.7069804562873767,1,0,0
CN1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.7837837837837838,2.53,5,KNN | KNN | DT | LGBM | ET,1.2327764304986475,17.091352466101434,4.767223569501352,1.2708379505475238,0.361641553947535,24.771560681933416,15.907529415354576,4.729162049452476,0.361641553947535,3.6477116885078638,95.42351196551337,4.020344603715308,5.437979495189644,0.361641553947535,2.6233000000000013,-3.910073709453775,0.00012300599844982765,Soluble,6.194504,33.70334,49.660522,0,1,0,0.26831946,0.4969368,0.60859394,0.09118529,0.80034703,0.25778335,0.14703047,0.166092,0.17985715,0.4329757,0.9986574,0.8824156,0.8829058,0.4532973,-4.481137,91.601234,10.302315,303.4090000000001,2.6233000000000013,0.7550694486661751,4.0,3.1451133375786116,0.7616540736023765,1,0,0
CC(C)CC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc(C(F)(F)F)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5950413223140496,2.99,5,KNN | KNN | DT | LGBM | ET,1.2883885532767132,19.426231205334453,4.711611446723287,1.2673366223940241,0.14573696625055327,19.627262082392487,7.097049661838484,4.732663377605975,0.14573696625055327,9.587208415027728,35.72572708431021,4.447018923754891,5.018307831457061,0.14573696625055327,5.118500000000005,-6.793363657555921,1.6092975215837316e-07,Poorly Soluble,54.52892,31.561228,84.93317,0,3,0,0.36199373,0.5562763,0.71115506,0.13996792,0.9686197,0.1708189,0.5454164,0.51074183,0.48748225,0.94416094,0.99993277,0.74407595,0.94982624,0.95226336,-4.879098,100.56692,10.578901,472.51100000000014,5.118500000000005,0.3435188388954591,3.0,3.5815103499217535,0.7131655166753608,3,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C(N)=O)cc3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,0.5822784810126582,4.45,5,KNN | KNN | DT | LGBM | ET,1.5910115965406117,38.99523990548873,4.4089884034593885,1.6037764233542755,0.47649192188320927,67.4443264137388,67.88033331982523,4.396223576645724,0.47649192188320927,4.675760485659726,344.9058735722876,3.4622994097546345,5.3301477435368145,0.47649192188320927,2.2327000000000004,-3.686331018200697,0.0002059059904552724,Soluble,47.329033,37.35903,0.2359478,0,0,0,0.16539614,0.20160647,0.5283672,0.12297068,0.2534742,0.023205798,0.04366743,0.017795142,0.044204928,0.020071361,0.9963583,0.9172103,0.8645269,0.084942095,-4.749189,71.68763,0.1009727,331.4160000000001,2.2327000000000004,0.9015139602780252,4.0,2.8297545731342293,0.796693936318419,0,0,0
