canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7685185185185185,3.17,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0419202754552284,0.7651771522401469,47.29585719623411,76.68581794464112,4.958079724544771,0.7651771522401469,0.34847614766665386,348.0707217953223,3.4583325061540835,6.457826942935459,0.7651771522401469,3.4662000000000015,-5.319363432139666,4.793321595802333e-06,Moderately Soluble,38.25124,34.256706,42.674057,0,5,0,0.5682805,0.23421836,0.9264919,0.077040404,0.8519454,0.15603247,0.628715,0.75360346,0.11655255,0.9704455,0.99988997,0.78353405,0.95196533,0.8813807,-4.7867393,98.07588,7.3760757,433.51200000000017,3.4662000000000015,0.25447386960465257,4.0,3.4731771210076037,0.7252025421102662,5,0,1
O=C(c1ccccn1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.6504854368932039,2.78,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.0216530957074412,0.3455998804685126,14.010518968153082,9.501496051454724,4.978346904292559,0.3455998804685126,2.209415161911022,50.00677663205475,4.300971138574274,5.655722670010843,0.3455998804685126,3.228900000000002,-4.9914583526768945,1.0198625566105796e-05,Moderately Soluble,41.463856,52.532707,46.454075,0,1,0,0.1700788,0.2487143,0.9200981,0.103715286,0.6989552,0.27335173,0.38581306,0.59708345,0.05148838,0.8106805,0.9998435,0.86643994,0.93355167,0.66935223,-4.675616,98.50614,4.973418,394.4780000000001,3.228900000000002,0.6264679145160487,4.0,3.1469928379232837,0.7614452402307462,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.9175257731958762,2.57,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8647084633740695,0.23011555810677142,8.370845939606648,4.095285468236077,5.135291536625931,0.23011555810677142,2.592280359883595,20.68878361206943,4.684265042736659,5.586318030515202,0.23011555810677142,3.704500000000002,-5.398870113210818,3.991442587356469e-06,Moderately Soluble,68.763,68.46985,38.943047,0,2,0,0.1522854,0.422438,0.7843769,0.05307272,0.9301809,0.49198514,0.71051645,0.819678,0.3238886,0.9908408,0.99998903,0.73532516,0.9596008,0.89618933,-4.7483253,101.55848,5.2235293,417.5090000000002,3.704500000000002,0.5608548501847509,4.0,3.3064790822140635,0.7437245464206597,2,0,0
CC(C)CC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.7619047619047619,3.88,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.9331408834815385,0.2789743926442158,10.356627088400437,5.828795649005993,5.0668591165184615,0.2789743926442158,2.434170943039111,30.194698195058738,4.520069306935799,5.613648926101124,0.2789743926442158,3.5604000000000022,-5.295446442244452,5.064698041821419e-06,Moderately Soluble,73.741135,68.28808,34.654102,0,1,0,0.16151442,0.4674085,0.7722436,0.06151948,0.9323596,0.38539252,0.63736784,0.72986203,0.33598807,0.9833523,0.99997056,0.7456676,0.95354444,0.8743103,-4.7622294,101.083786,4.7235003,417.5090000000002,3.5604000000000022,0.7151047536332866,4.0,3.3774316664837265,0.7358409259462526,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(O)C4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.7021276595744681,1.46,5,KNN | KNN | DT | LGBM | ET,0.7110089654286706,5.140542634355664,5.288991034571329,1.126979977765385,0.48304217905312835,22.780818303904,20.517598450501158,4.8730200222346145,0.48304217905312835,1.5143187747192468,118.50663014781968,3.9262573512904835,5.819782693178746,0.48304217905312835,1.7097,-3.4823188980287902,0.0003293677719502388,Soluble,44.600273,25.577017,5.2634673,0,0,0,0.06735748,0.21810076,0.6587793,0.091929846,0.49422035,0.015528299,0.2662955,0.19071254,0.04350663,0.22361004,0.99705285,0.87853754,0.8590423,0.23375568,-4.947116,69.140465,2.8795981,360.45800000000014,1.7097,0.8659352615088404,4.0,3.304680989418771,0.7439243345090254,0,0,0
CC(C)C#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.7477477477477478,3.63,5,KNN | KNN | DT | LGBM | ET,0.8667228734117224,7.357374680396813,5.133277126588277,1.1605330797270397,0.2251105243915935,16.34939606936938,7.241780404916138,4.83946692027296,0.2251105243915935,5.239821009909109,39.971432012992274,4.398250292465438,5.280683548080484,0.2251105243915935,4.241900000000003,-5.89213897904137,1.2819202883284513e-06,Moderately Soluble,57.438896,52.444893,44.30526,0,1,0,0.21507497,0.45318365,0.75853336,0.06907543,0.9283724,0.34166119,0.626105,0.7575408,0.2702047,0.97881615,0.9999526,0.73680294,0.9510584,0.89663553,-4.974633,99.09384,8.519244,426.56400000000014,4.241900000000003,0.6350714661165865,4.0,3.3916795290343593,0.7342578301072934,1,0,0
COc1ccc(C#Cc2cncc(N3CCC4(CC3)CN(C(N)=O)C4)c2)cc1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.5283018867924528,2.96,5,KNN | KNN | DT | LGBM | ET,0.8933448048285054,7.8224861850148235,5.106655195171495,1.2403155024432289,0.32011989180529005,21.913735856321885,12.388096829177249,4.759684497556771,0.32011989180529005,4.100912608930737,73.74804132668281,4.132249509618402,5.387119485495139,0.32011989180529005,2.4709000000000003,-4.237029365904704,5.7938951823481835e-05,Moderately Soluble,18.322113,23.971762,42.540718,0,1,0,0.43596992,0.45036253,0.8375805,0.058729816,0.7241478,0.0893631,0.10664479,0.19422239,0.047325216,0.67439187,0.99742544,0.8643258,0.8622677,0.6081708,-4.8647203,94.46145,8.700045,376.4600000000001,2.4709000000000003,0.8176392579192762,4.0,3.126180807889714,0.763757688012254,1,0,0
c1ccc(CCCOC2CN(c3cncc(N4CCC5(CCNC5)C4)c3)C2)cc1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.6818181818181818,2.03,5,KNN | KNN | DT | LGBM | ET,0.9245715264383414,8.4056543322193,5.075428473561659,0.9961423279219705,0.21451776799630992,11.139524150873056,5.247347983139555,5.00385767207803,0.21451776799630992,3.7643283860600016,26.097394655662367,4.583402846805262,5.424312497350797,0.21451776799630992,3.1094000000000017,-4.793428783498131,1.609056212601412e-05,Moderately Soluble,16.74467,18.701147,13.191678,0,1,0,0.2681254,0.5412664,0.48616982,0.07020901,0.9826172,0.4228425,0.5118743,0.50607187,0.6375619,0.990553,0.9999914,0.73981845,0.96219635,0.8669801,-5.2514796,71.54608,8.021457,392.54700000000025,3.1094000000000017,0.7335020877068229,4.0,3.637175893413609,0.7069804562873767,1,0,0
CC(C)CCc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc(C(F)(F)F)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5079365079365079,4.05,5,KNN | KNN | DT | LGBM | ET,0.9562390802777632,9.041470721346892,5.043760919722237,1.2693324091647367,0.18610822395084958,20.244546117281118,7.894813720677292,4.730667590835264,0.18610822395084958,8.027129884556908,43.063024420152594,4.365895471891598,5.095439709778929,0.18610822395084958,5.309500000000005,-6.866573319470632,1.3596486021564753e-07,Poorly Soluble,79.88181,56.48771,64.18185,0,2,0,0.2646988,0.55957896,0.6279039,0.12915298,0.9852258,0.11709756,0.5507281,0.43414053,0.59276867,0.9405425,0.99998426,0.8034422,0.97581655,0.9624835,-5.0498285,99.96635,10.9087515,462.51600000000013,5.309500000000005,0.41228226339007457,3.0,3.3544717579066585,0.7383920268992601,2,0,0
CN1CC2(CNC2)CC1c1cncc(/C=C/c2ccccc2)c1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.4193548387096774,3.43,5,KNN | KNN | DT | LGBM | ET,1.1335558272122865,13.600529826520306,4.8664441727877135,1.3807672784459646,0.4420932568667163,34.82864395824201,21.511945543438657,4.619232721554035,0.4420932568667163,3.2678679199650613,176.71363560773884,3.7527299380952712,5.4857355050128,0.4420932568667163,3.218200000000002,-4.357726044273575,4.388074130010635e-05,Moderately Soluble,5.458165,21.479183,-7.2653017,0,0,0,0.1913039,0.06482224,0.16391382,0.0951262,0.6530981,0.0935574,0.05745562,0.02228613,0.11569872,0.18269233,0.93279856,0.6052951,0.46605054,0.030792242,-5.2588844,71.75633,1.1973253,305.425,3.218200000000002,0.9435350729470644,4.0,3.7206196231937216,0.6977089307562532,0,0,0
CC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,0.7804878048780488,1.36,5,KNN | KNN | DT | LGBM | ET,1.2327764304986477,17.091352466101444,4.767223569501352,0.9408368745982619,0.40316518372135407,13.47955000196703,12.6180772975901,5.059163125401738,0.40316518372135407,1.4145982435620985,53.832014799657,4.268959365307884,5.849366885495592,0.40316518372135407,2.9463000000000017,-4.2822765403928145,5.22063655041372e-05,Moderately Soluble,28.300257,40.52899,13.480379,0,0,0,0.4035844,0.40108138,0.73052126,0.071274444,0.60695595,0.26391217,0.08880398,0.04879676,0.029345939,0.2009337,0.9999348,0.9490507,0.9560604,0.16862503,-4.588251,80.28585,1.5281783,325.3870000000001,2.9463000000000017,0.8516731098266325,4.0,2.9186718477600557,0.7868142391377716,0,0,0
