canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4ccc([N+](=O)[O-])cc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7363636363636363,4.32,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.1463948817906604,0.5882417145370318,46.020643688604295,77.01675525463567,4.853605118209339,0.5882417145370318,0.9850110926244424,199.2272050412129,3.7006513577167572,6.006558878701922,0.5882417145370318,5.0240000000000045,-6.458144971171919,3.482210564986583e-07,Poorly Soluble,73.538925,62.278687,65.54146,0,4,0,0.37097922,0.57360053,0.7484403,0.16847645,0.9740547,0.20279455,0.690122,0.722507,0.56365854,0.9513116,0.99989873,0.6515273,0.9198446,0.97167385,-4.889964,103.08038,10.795461,432.5680000000002,5.0240000000000045,0.253533367518328,3.0,3.2474929069607814,0.7502785658932465,4,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc(OC)c(OC)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,0.7232142857142857,3.59,5,KNN | KNN | DT | LGBM | ET,0.7763736344083072,5.9754915199192835,5.223626365591693,0.8920409519969384,0.1352164611854933,8.230586632167448,2.9927135762850905,5.107959048003061,0.1352164611854933,4.2365924514363025,14.357050101063324,4.842934784079494,5.372983311926628,0.1352164611854933,4.7732000000000046,-6.454784591655718,3.5092588864566234e-07,Poorly Soluble,89.31734,77.77275,47.970795,0,2,0,0.11223851,0.24478988,0.836695,0.029565921,0.8880456,0.1396983,0.58328354,0.7427828,0.04853647,0.9864138,0.9999946,0.7900244,0.9766083,0.9334925,-4.7945843,103.24773,7.304677,461.6060000000003,4.7732000000000046,0.41859159082944314,4.0,3.2001155669902754,0.7555427147788583,2,0,0
c1ccc(CCCOC2CN(c3cncc(N4CCCCC4)c3)C2)cc1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,0.6146788990825688,3.24,5,KNN | KNN | DT | LGBM | ET,0.8533209691330461,7.133800651204482,5.146679030866954,1.0071155076616578,0.10584058939901089,10.471495982434098,2.5599909341653504,4.992884492338343,0.10584058939901089,6.304751192053739,16.389400306468595,4.78543693711628,5.200332047560403,0.10584058939901089,3.909900000000003,-5.135970353429549,7.311889954834601e-06,Moderately Soluble,93.1788,100.9424,20.122307,0,1,0,0.19251993,0.106155135,0.6922003,0.03046294,0.91668403,0.8889788,0.9860508,0.8961582,0.42844972,0.9314594,0.9999999,0.71012086,0.9761804,0.897882,-4.9212174,98.92149,5.4877253,351.4940000000002,3.909900000000003,0.7073155842444041,4.0,2.2752784405126114,0.8583023954985988,1,0,0
O=C(c1cc([N+](=O)[O-])cc(C(F)(F)F)c1)N1CCC2(CC1)CC(c1cncc(-c3cccnc3)c1)CO2,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.3529411764705882,7.03,5,KNN | KNN | DT | LGBM | ET,0.9098305475412365,8.12513428869873,5.090169452458763,1.3703509999412056,0.35432832800798253,33.88746827469594,32.48591189442949,4.629649000058794,0.35432832800798253,4.740972945867055,116.10061568919285,3.9351654771631486,5.32413252295444,0.35432832800798253,5.249500000000005,-7.215301237794545,6.091142534057215e-08,Poorly Soluble,36.432045,21.030762,45.959877,0,2,0,0.10624435,0.19759262,0.9262808,0.03349472,0.92393845,0.38171312,0.88489187,0.913686,0.21122813,0.9941062,0.9999994,0.8558854,0.975414,0.91896784,-4.96943,95.19124,5.623271,512.4880000000003,5.249500000000005,0.34989298877569786,2.0,3.8241503392056675,0.6862055178660369,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CC2)CN(C(=O)c2ccc(C)cc2)C3)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6637168141592921,6.1,5,KNN | KNN | DT | LGBM | ET,0.9457866797492827,8.82646248653527,5.054213320250717,0.9326289449339408,0.09203810331436611,8.769836138952874,2.037073508827666,5.067371055066059,0.09203810331436611,5.652417892147465,12.972498448631084,4.886976372569902,5.247765737562217,0.09203810331436611,5.454520000000006,-6.764776433334993,1.7187929618808204e-07,Poorly Soluble,78.690475,70.66582,60.336742,0,2,0,0.12523325,0.17535336,0.7818021,0.04210063,0.86498165,0.25478095,0.5744945,0.75111467,0.058907162,0.9627247,0.99999446,0.7011584,0.96390694,0.9415973,-4.8235908,103.186264,9.540346,429.6080000000002,5.454520000000006,0.4522116444198902,3.0,3.080211803281851,0.7688653551909055,2,0,0
NC1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)CC2)C1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,0.6875,4.06,5,KNN | KNN | DT | LGBM | ET,0.9911846927068252,9.799066223599594,5.008815307293175,1.1732117552796855,0.3408740232719258,19.209889182207952,11.631492740046156,4.826788244720315,0.3408740232719258,3.199621966203413,69.39446643716936,4.158675159107339,5.494901330333289,0.3408740232719258,3.1891000000000016,-4.413219523750128,3.861717286716282e-05,Moderately Soluble,-6.8498673,13.365842,54.459625,0,1,0,0.10932864,0.43405938,0.6094775,0.079262815,0.85655355,0.60760975,0.558898,0.63280785,0.3649308,0.76847017,0.99988526,0.7747148,0.93378943,0.8052837,-4.907102,91.44833,14.759829,317.43600000000015,3.1891000000000016,0.8214626373357071,4.0,3.1201613694148707,0.7644265145094589,1,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CCC(C(N)=O)CC4)c3)C2)C1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,0.6067415730337079,3.67,5,KNN | KNN | DT | LGBM | ET,0.9959945001747166,9.908193972590668,5.004005499825284,1.177191739544274,0.42266566846769,21.864766359482815,15.713757633198368,4.8228082604557265,0.42266566846769,2.232374378382046,101.30163379806307,3.9943835502590535,5.651232970652399,0.42266566846769,2.2305,-4.216308584666147,6.077030490220236e-05,Moderately Soluble,45.601357,13.723717,1.3616692,0,0,0,0.06594457,0.27606362,0.59453666,0.06820337,0.60758257,0.016941976,0.16937114,0.14504722,0.049810976,0.34739098,0.9994208,0.89226425,0.93173426,0.31660315,-5.1797414,71.36998,2.8079634,415.5380000000003,2.2305,0.8139537730610362,4.0,3.2283207551867434,0.7524088049792508,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)n3)CC2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.6868686868686869,5.57,5,KNN | KNN | DT | LGBM | ET,1.1854704421319961,15.327468848167582,4.814529557868004,1.3489763206743026,0.6326412273171628,55.63872472714386,73.23851837526529,4.651023679325697,0.6326412273171628,1.285285224988309,388.10847484217715,3.4110468737840582,5.8910004848673365,0.6326412273171628,3.713700000000003,-5.3356006970456145,4.6174191837776295e-06,Moderately Soluble,70.73551,55.214344,67.795876,0,1,0,0.15758955,0.22027306,0.92919385,0.13475332,0.72125995,0.39168537,0.5223752,0.69658446,0.029989624,0.6404754,0.9997519,0.8548678,0.95991766,0.82368803,-4.674735,102.635056,7.7868576,404.5140000000002,3.713700000000003,0.678359018700503,4.0,3.2337778276394484,0.7518024635956169,1,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4ccc(O)cc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,1,0.7130434782608696,3.74,5,KNN | KNN | DT | LGBM | ET,1.188806688549204,15.445667750196208,4.811193311450796,1.0309652097013908,0.14997433097330762,11.371710186784636,3.679224861208009,4.969034790298609,0.14997433097330762,5.457773659573182,21.130749345092646,4.675085101590926,5.262984479006292,0.14997433097330762,4.780600000000004,-6.35901624287026,4.3750574187897473e-07,Poorly Soluble,81.74876,83.62678,33.195457,0,2,0,0.13023064,0.34625834,0.7261253,0.072232395,0.89834213,0.09833558,0.4808894,0.70356303,0.21004686,0.9600857,0.9997633,0.66604584,0.8865777,0.9423052,-5.002068,103.33396,7.188994,445.60700000000026,4.780600000000004,0.46928097486432474,4.0,3.2710798248195037,0.7476577972422773,2,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C(F)(F)F)cn3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,0.6282051282051282,4.38,5,KNN | KNN | DT | LGBM | ET,1.2225812015988153,16.694799266880263,4.777418798401184,1.3245627755277924,0.2686359658658786,25.06365573486456,13.371018406760804,4.6754372244722076,0.2686359658658786,6.281108311257889,70.97236356746716,4.148910731375086,5.201963717569329,0.2686359658658786,3.5476000000000028,-4.832443608385153,1.4708093824443849e-05,Moderately Soluble,78.14732,60.17948,38.714912,0,0,0,0.11745814,0.1508353,0.56129247,0.104454264,0.5259054,0.15459421,0.20823729,0.061640322,0.03434,0.1159086,0.9999685,0.94525623,0.99325716,0.19521111,-4.6906524,93.884415,6.3428564,357.37600000000003,3.5476000000000028,0.7711597542206964,4.0,3.0557671658790095,0.7715814260134434,0,0,0
CC(C)(C)OC(=O)N1CC2(CCN(c3ccc(C(F)(F)F)nn3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,0.6075949367088608,4.57,5,KNN | KNN | DT | LGBM | ET,1.2225812015988153,16.694799266880263,4.777418798401184,1.4805139324232928,0.5635631305967236,62.70835263194298,71.55828688571789,4.5194860675767075,0.5635631305967236,2.3764582911006524,384.6782825348894,3.414902331607129,5.624069803546286,0.5635631305967236,2.9426000000000014,-4.390265385375489,4.071314150005127e-05,Moderately Soluble,54.337646,28.549078,20.118683,0,0,0,0.25928682,0.116474345,0.66661495,0.15541145,0.3635941,0.16857447,0.20593381,0.039041527,0.022489231,0.033533797,0.9999019,0.94362223,0.99111235,0.10389342,-4.7297964,79.93679,3.1372776,358.36400000000003,2.9426000000000014,0.7725451059637947,4.0,3.250109301355473,0.7499878554049475,0,0,0
