canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#Cc5ccccn5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6583333333333333,8.03,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545735,0.7802565878921075,6.107762555795457,0.1682527880551086,0.18628406875173273,1.6178463099969285,0.7275772195562755,5.831747211944891,0.18628406875173273,0.6355299373521903,3.414833732331387,5.466630437191495,6.196863986698288,0.18628406875173273,3.405100000000002,-5.57797908440674,2.642536018615744e-06,Moderately Soluble,28.533756,16.464306,71.78799,0,3,0,0.7126554,0.4039282,0.932768,0.25177702,0.90962327,0.09275787,0.55269915,0.6553168,0.32938504,0.90675896,0.9994466,0.7856483,0.8212091,0.88343793,-4.8113327,97.81917,9.302688,470.4890000000002,3.405100000000002,0.3162266505360035,4.0,3.5128654414009945,0.7207927287332228,3,1,1
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#Cc5ccncc5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6583333333333333,6.99,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545735,0.7802565878921075,6.107762555795457,0.11018727383518576,0.19647214774838637,1.4443586572278786,0.7686198380441241,5.8898127261648145,0.19647214774838637,0.5310089783654643,3.1280427761042686,5.504727316577977,6.274898135751652,0.19647214774838637,3.405100000000002,-5.57797908440674,2.642536018615744e-06,Moderately Soluble,23.046673,11.811268,71.49638,0,3,0,0.623344,0.43316513,0.93307364,0.16422932,0.9509636,0.17113581,0.7060615,0.81640565,0.4312029,0.9854106,0.9999426,0.7325322,0.8329047,0.94243824,-4.9154058,95.59947,10.372423,470.4890000000002,3.405100000000002,0.3162266505360035,4.0,3.513181133708688,0.7207576518101457,3,1,1
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CCn5cccn5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7008547008547008,9.68,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545735,0.7802565878921075,6.107762555795457,0.1746923885437307,0.22963792175733586,1.7273735738755,0.9697268453507708,5.825307611456269,0.22963792175733586,0.5303982248595273,4.214855743666482,5.375217284811891,6.275397938100648,0.22963792175733586,2.858500000000001,-5.176818140511567,6.655517956405146e-06,Moderately Soluble,34.08233,16.001554,46.165775,0,3,0,0.6347889,0.37399438,0.9012725,0.23529144,0.93071425,0.06754566,0.6805767,0.7619542,0.44788274,0.96445495,0.9996977,0.724352,0.81684226,0.86376417,-5.11922,90.438,8.781619,473.4930000000002,2.858500000000001,0.30415535141515254,4.0,3.661604979862531,0.7042661133486077,3,1,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7232142857142857,12.06,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.12600390996717428,0.19640324418480787,1.483226727875655,0.6936795727134542,5.873996090032826,0.19640324418480787,0.5508756188032885,3.243054660202117,5.489045731430602,6.258946448635049,0.19640324418480787,3.0120000000000013,-5.073293876546985,8.447070589372393e-06,Moderately Soluble,27.392437,11.224358,46.60781,0,3,0,0.82018423,0.072818704,0.9605489,0.10557313,0.6796711,0.043555398,0.5586082,0.58400023,0.124287486,0.9126684,0.9997829,0.6728486,0.92212546,0.85606813,-4.641429,95.052124,5.5660286,447.4510000000003,3.0120000000000013,0.40094786880797495,4.0,3.5437636815348696,0.7173595909405701,3,1,1
Cn1ccc(C#Cc2cncc(N3CCC4(CN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)c2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6779661016949152,11.62,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.20942653737852104,0.19838966788196488,1.7917663425279629,0.8001307017964062,5.790573462621479,0.19838966788196488,0.6615806407123931,3.9652473762225107,5.401729713572828,6.17941721167013,0.19838966788196488,2.7436000000000007,-5.095051348953554,8.034311226216476e-06,Moderately Soluble,25.290329,11.04232,63.321674,0,3,0,0.82003117,0.36120436,0.9238089,0.19727218,0.91206706,0.086052135,0.5783236,0.638307,0.30111748,0.9383847,0.9996765,0.7644925,0.83846724,0.86935246,-5.0185843,94.791435,9.910358,473.4930000000002,2.7436000000000007,0.3148138041396938,4.0,3.7094073434988957,0.6989547396112339,3,1,1
Cn1cc(C#Cc2cncc(N3CCC4(CN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)c2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6779661016949152,9.2,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.21136815953902316,0.20773355941621185,1.823967459064135,0.8962024963321958,5.788631840460977,0.20773355941621185,0.6371040752768063,4.154568615162382,5.381474064005202,6.195789616916752,0.20773355941621185,2.7436000000000007,-5.095051348953554,8.034311226216476e-06,Moderately Soluble,27.897776,12.721983,60.03829,0,3,0,0.79108405,0.341747,0.93172276,0.17413898,0.88779676,0.06853442,0.48438483,0.5814401,0.23301479,0.93542737,0.99958926,0.7916447,0.82835615,0.81287366,-5.138854,93.602585,10.536356,473.4930000000002,2.7436000000000007,0.3148138041396938,4.0,3.6901961546877073,0.7010893161458103,3,1,1
Cn1cccc1C#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6779661016949152,12.94,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.16994170179209336,0.20991670532192672,1.6747431361498744,0.9009521628325371,5.8300582982079066,0.20991670532192672,0.5734624150771653,3.8139802888331817,5.41862155577693,6.241495040638883,0.20991670532192672,3.348600000000002,-5.53722957196322,2.9024879676707127e-06,Moderately Soluble,31.851068,16.558838,78.42695,0,3,0,0.7821786,0.39117676,0.9109391,0.2138261,0.9355091,0.12310475,0.6231258,0.675147,0.35851243,0.95173043,0.99980056,0.7519711,0.87067384,0.9196436,-4.822337,97.72383,10.694832,472.5050000000003,3.348600000000002,0.3180821676408803,4.0,3.725368182659735,0.6971813130378073,3,1,1
Cn1cncc1C#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6779661016949152,13.81,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.21820787537967296,0.21275782110727798,1.8627358146011637,0.9336824524914962,5.781792124620327,0.21275782110727798,0.6327068640384425,4.317309710776006,5.364786795250062,6.198797453990592,0.21275782110727798,2.7436000000000007,-5.095051348953555,8.03431122621646e-06,Moderately Soluble,26.534588,13.921346,54.753365,0,3,0,0.6807497,0.40399042,0.9318735,0.154099,0.94653684,0.15889373,0.68640745,0.7934214,0.39571053,0.98527944,0.9999329,0.73949534,0.8506223,0.89564717,-5.085141,91.345566,9.774706,473.4930000000003,2.7436000000000007,0.3148138041396936,4.0,3.744626923918476,0.6950414528979472,3,1,1
Cn1cc(C#Cc2cncc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)c2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6833333333333333,9.33,5,KNN | KNN | DT | LGBM | ET,-0.07180928019262259,0.8475995545675238,6.071809280192623,0.1946218738692052,0.17577527498173628,1.6986513710579794,0.6976715573494255,5.805378126130795,0.17577527498173628,0.708112620721844,3.4605203924618992,5.460858587166592,6.149897665094998,0.17577527498173628,2.383800000000001,-4.918379586724503,1.2067586299028102e-05,Moderately Soluble,30.577307,11.526679,49.991364,0,3,0,0.8537504,0.07695467,0.9880083,0.11039023,0.650696,0.020395404,0.32763234,0.50715023,0.03877213,0.92155075,0.9995697,0.79864234,0.8846432,0.77002645,-5.000661,93.78066,6.473268,487.4760000000002,2.383800000000001,0.3103247828299788,4.0,3.6668432725380296,0.7036840808291078,3,1,1
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CCF)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7884615384615384,10.9,5,KNN | KNN | DT | LGBM | ET,-0.07180928019262259,0.8475995545675238,6.071809280192623,0.15854370484532398,0.192408933020701,1.5991877392930633,0.7830899693409589,5.841456295154676,0.192408933020701,0.6045360389853898,3.432932099765312,5.464334786434102,6.21857780387525,0.192408933020701,2.931300000000001,-4.874278710140936,1.3357380264517373e-05,Moderately Soluble,24.265112,1.9356877,53.172554,0,3,0,0.7757356,0.35082954,0.8746666,0.2151232,0.8962989,0.15996994,0.62792015,0.61107254,0.40290856,0.9106864,0.9997163,0.7515024,0.8843978,0.83067846,-4.746269,91.47211,8.6224165,425.4200000000002,2.931300000000001,0.4119078523033639,4.0,3.6298985517100855,0.7077890498099906,3,1,1
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CCCF)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8173076923076923,10.38,5,KNN | KNN | DT | LGBM | ET,-0.07180928019262259,0.8475995545675238,6.071809280192623,0.17715977902034566,0.2131281005353675,1.7167064298814503,0.9763318142857068,5.822840220979654,0.2131281005353675,0.5746834654434135,3.934511835590186,5.405109143930334,6.240571298028975,0.2131281005353675,3.3214000000000024,-5.247770904407646,5.652350645159449e-06,Moderately Soluble,30.222092,6.477563,51.484985,0,3,0,0.79110825,0.3712425,0.8618496,0.21892397,0.90530443,0.13944614,0.5986514,0.5663974,0.41120386,0.9116932,0.99970853,0.74655116,0.8902934,0.84545165,-4.740135,94.02158,8.339453,439.44700000000023,3.3214000000000024,0.38613443884020465,4.0,3.639355582546064,0.7067382686059929,3,1,1
