canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C(C)(C)N)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.584070796460177,12.53,5,KNN | KNN | DT | LGBM | ET,0.6736750385683135,4.717099515728281,5.326324961431687,1.1960342236490225,0.5831712914652263,47.50124066547174,76.37014685823269,4.803965776350978,0.5831712914652263,1.1298440227143984,218.29809957869173,3.660950045079134,5.946981507622821,0.5831712914652263,3.179500000000001,-4.697726188509208,2.0057361938476055e-05,Moderately Soluble,44.497368,36.57278,42.224243,0,2,0,0.12134741,0.37936798,0.63083196,0.067992605,0.8862755,0.18757562,0.4857034,0.5998517,0.16219127,0.96894014,0.9997834,0.732749,0.9529389,0.8042116,-4.7990375,94.31734,12.379204,382.5520000000002,3.179500000000001,0.6062696116808681,4.0,3.5175727457595354,0.7202696949156071,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(c(N)n4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7033898305084746,9.66,5,KNN | KNN | DT | LGBM | ET,0.6922399241634253,4.923114359555983,5.307760075836574,1.2450244410836286,0.5927358158413236,49.97127390291917,75.51939823741807,4.754975558916371,0.5927358158413236,1.211329355336148,255.14475214831887,3.593213359867377,5.9167377579653655,0.5927358158413236,3.461900000000001,-5.488866073692056,3.244396515601069e-06,Moderately Soluble,56.63966,48.72274,43.81205,0,2,0,0.21920522,0.40161198,0.8977292,0.07054201,0.9418826,0.4947546,0.8435237,0.92296153,0.2877493,0.9939089,0.9999846,0.7264094,0.96721447,0.93120146,-4.82689,102.37975,6.8131742,461.5660000000003,3.461900000000001,0.5200375068799599,4.0,3.7139191711916695,0.6984534254231478,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C4CCOC4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5714285714285714,11.87,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,0.8836030068125652,0.1803645338738967,8.32240433842561,3.344459505055267,5.1163969931874345,0.1803645338738967,3.38913228359138,17.263048600635663,4.762882506794597,5.469911479580272,0.1803645338738967,3.4787000000000026,-5.002432848934182,9.944138193685663e-06,Moderately Soluble,53.134483,56.530212,44.11494,0,2,0,0.24694693,0.28107774,0.6463785,0.054092787,0.80091536,0.20607252,0.504534,0.50279146,0.09001477,0.9486679,0.99994314,0.74727786,0.97485715,0.76421523,-4.632004,97.15896,10.618893,395.54700000000025,3.4787000000000026,0.5464877990227248,4.0,3.868812272151152,0.6812430808720943,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cnn(C)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6403508771929824,10.99,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.0878967214311837,0.2832139466588319,14.992020213664455,9.017290093260469,4.912103278568816,0.2832139466588319,3.410337699636223,43.95376246978022,4.357003943117506,5.467202614020127,0.2832139466588319,3.4895000000000023,-5.14467691804052,7.166763644850976e-06,Moderately Soluble,54.144432,48.6145,42.27074,0,2,0,0.12226893,0.21559982,0.8456917,0.06358656,0.76040995,0.2809679,0.5562871,0.70781124,0.05011357,0.9613455,0.9999286,0.82094383,0.968595,0.7425564,-4.842192,98.20294,9.877104,405.54600000000016,3.4895000000000023,0.5453323613042372,4.0,3.415974062512648,0.7315584374985946,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccnn4C)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6120689655172413,10.3,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.077329349319045,0.3004071563362712,15.021571223620338,9.557065069708871,4.9226706506809546,0.3004071563362712,3.079862464391477,46.35828656292931,4.333872624261863,5.511468677100047,0.3004071563362712,3.4895000000000023,-5.14467691804052,7.166763644850976e-06,Moderately Soluble,62.848106,55.03955,48.487526,0,2,0,0.15968648,0.2792691,0.8238638,0.05655996,0.865709,0.43183082,0.7112659,0.808346,0.11344223,0.9875735,0.9999877,0.7667805,0.978607,0.8238351,-4.7871184,99.266396,10.565268,405.54600000000016,3.4895000000000023,0.5453323613042372,4.0,3.4588520589348297,0.7267942156739078,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc(S(N)(=O)=O)cc4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6416666666666667,9.01,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.1648761686545688,0.3027107069978565,18.237767902440588,11.241061541709696,4.835123831345431,0.3027107069978565,3.728749283678181,57.30455632167204,4.241810845629632,5.42843681706123,0.3027107069978565,3.4034000000000013,-5.5681401567822455,2.7030858755704285e-06,Moderately Soluble,43.701714,27.25896,48.615173,0,2,0,0.059361808,0.25905526,0.89567596,0.18569188,0.701832,0.0677734,0.23259428,0.6252276,0.1200999,0.9302724,0.9975115,0.8354298,0.82307875,0.79093975,-5.250342,96.24811,6.668382,480.6340000000002,3.4034000000000013,0.4839543874003267,4.0,3.2734298364193,0.7473966848422999,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc[nH]n4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6228070175438597,12.75,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.322618471770968,0.5542971669935401,52.04389975844849,74.57724903228805,4.677381528229032,0.5542971669935401,1.7226459381883743,256.47256727142786,3.590959080921693,5.763803975536371,0.5542971669935401,3.4791000000000016,-5.04957989485515,8.921134870987701e-06,Moderately Soluble,62.83623,60.166515,48.18215,0,2,0,0.12829737,0.26079115,0.84360206,0.08913101,0.8110897,0.40758133,0.71752435,0.82290745,0.15410285,0.967027,0.99977815,0.73629487,0.94621384,0.7763729,-4.8445563,100.94724,9.59996,391.5190000000001,3.4791000000000016,0.6048053035660904,4.0,3.687574036396629,0.7013806626225969,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc(F)c5ccoc45)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6209677419354839,12.72,5,KNN | KNN | DT | LGBM | ET,0.1430935290674003,1.3902520017514717,5.8569064709326,0.881719121405132,0.8849295548142073,45.51820224618224,77.43713536625424,5.118280878594868,0.8849295548142073,0.1403644712309986,413.219729279048,3.383818951159021,6.852742806030714,0.8849295548142073,5.6413000000000055,-7.1296460553218814,7.419146463166878e-08,Poorly Soluble,72.531784,54.959545,98.37386,0,2,0,0.16478728,0.2611125,0.8556202,0.06301452,0.87596655,0.35849634,0.7176403,0.87315685,0.13004482,0.97708625,0.9999908,0.6870643,0.9599396,0.9470897,-4.714389,103.36223,10.825905,459.5650000000002,5.6413000000000055,0.3535297731397217,3.0,3.544090442777227,0.7173232841358637,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5ncccc5o4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6147540983606558,9.65,5,KNN | KNN | DT | LGBM | ET,0.257737883326919,1.810247195493376,5.742262116673081,0.8458702400926843,0.8697920169410661,44.28572863574705,77.95032199366906,5.154129759907316,0.8697920169410661,0.1383814531660777,355.3551331782334,3.449337406702826,6.858922113111805,0.8697920169410661,4.897200000000004,-6.4710157065401255,3.380526100941598e-07,Poorly Soluble,68.55284,56.698986,73.573326,0,2,0,0.11937459,0.29831257,0.87453526,0.081298016,0.87042844,0.567405,0.81360996,0.91790944,0.18339428,0.9803139,0.99998343,0.71915644,0.9667966,0.8990265,-4.882173,101.887695,9.928832,442.5630000000002,4.897200000000004,0.4014723249587739,4.0,3.4477715201636334,0.7280253866484852,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5cccnc5o4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6147540983606558,9.23,5,KNN | KNN | DT | LGBM | ET,0.257737883326919,1.810247195493376,5.742262116673081,0.8679459231797392,0.8741236672570102,44.803041749447736,77.72081669080515,5.1320540768202605,0.8741236672570102,0.1427787368101188,381.26620446411664,3.4187716889965207,6.845336464644001,0.8741236672570102,4.897200000000004,-6.4710157065401255,3.380526100941598e-07,Poorly Soluble,74.58582,65.01394,66.38812,0,2,0,0.13805261,0.29517272,0.89128894,0.084383324,0.8491154,0.5122312,0.7701586,0.8992914,0.14608827,0.974408,0.99998313,0.73592865,0.96560514,0.9046383,-4.8487387,103.14915,8.461163,442.5630000000002,4.897200000000004,0.4014723249587739,4.0,3.5299945970867084,0.7188894892125879,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5ccncc5o4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6147540983606558,11.78,5,KNN | KNN | DT | LGBM | ET,0.257737883326919,1.810247195493376,5.742262116673081,0.8694855451190422,0.8746352218563826,44.84640135773356,77.70218907211981,5.130514454880958,0.8746352218563826,0.1429553819710818,383.5046021501528,3.416229420042448,6.844799489719468,0.8746352218563826,4.897200000000004,-6.4710157065401255,3.380526100941598e-07,Poorly Soluble,70.61107,58.581657,69.47896,0,2,0,0.081858836,0.36525154,0.86825323,0.05213613,0.9364222,0.6833344,0.88976604,0.9570421,0.3307888,0.99624586,0.99999774,0.69288266,0.96758175,0.92540646,-4.909933,102.64897,9.037382,442.5630000000002,4.897200000000004,0.4014723249587739,4.0,3.502723443240555,0.721919617417716,2,0,0
