canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc(C(=O)NCCO)co4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.576,7.47,5,KNN | KNN | DT | LGBM | ET,0.14309352906740033,1.3902520017514715,5.8569064709326,0.6530831378735463,0.6709746263398718,11.083415174062706,12.031466558971596,5.346916862126454,0.6709746263398718,0.21775737382000207,92.93801779458317,4.0318065945003045,6.662027129752603,0.6709746263398718,3.430900000000002,-5.4596639463804495,3.4700525650436915e-06,Moderately Soluble,36.153137,30.185974,51.35653,0,2,0,0.1472664,0.5605789,0.6898241,0.17802724,0.9353399,0.16128114,0.47467312,0.6338269,0.44919124,0.9392443,0.99835837,0.6840333,0.8427881,0.8624755,-5.1896553,96.65824,13.996968,464.6100000000003,3.430900000000002,0.4141916569142641,4.0,3.5582898148337403,0.7157455761295843,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc(C(N)=O)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6982758620689655,11.73,5,KNN | KNN | DT | LGBM | ET,0.547305243864102,3.52618621954716,5.452694756135898,1.256329110255067,0.5761239570200914,49.27521152638887,75.51392113008087,4.743670889744933,0.5761239570200914,1.340065895193698,242.9584823129852,3.6144679339855537,5.872873845504312,0.5761239570200914,3.437100000000002,-5.453978433333979,3.5157789913112063e-06,Moderately Soluble,37.79554,34.144463,42.603096,0,3,0,0.16990265,0.3739383,0.87298715,0.0723286,0.847878,0.065676555,0.33152246,0.625622,0.09675826,0.9551486,0.9994402,0.79296297,0.90544426,0.86380184,-5.0898237,97.52566,6.9582124,459.5940000000003,3.437100000000002,0.37485211740722907,4.0,3.4343755094962223,0.7295138322781975,3,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(C(N)=O)c[nH]4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6410256410256411,11.21,5,KNN | KNN | DT | LGBM | ET,0.547305243864102,3.52618621954716,5.452694756135898,1.2199120761170432,0.6118417889544182,49.266304361768164,75.7167591268892,4.780087923882957,0.6118417889544182,1.048822920756441,262.49557243216265,3.580878017532297,5.979297830233616,0.6118417889544182,3.1830000000000007,-5.0893890259969465,8.139748268220529e-06,Moderately Soluble,41.498894,26.971827,42.35153,0,2,0,0.14391808,0.32207894,0.85597676,0.10777408,0.77152383,0.14101097,0.3957088,0.6398536,0.13729617,0.92195463,0.99868315,0.7922579,0.8886444,0.79268706,-5.0904107,98.599106,7.1954527,433.5560000000002,3.1830000000000007,0.5178328733596673,4.0,3.5434200119628017,0.7173977764485776,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc(C(=O)NCCN)co4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.576,9.82,5,KNN | KNN | DT | LGBM | ET,0.6283101119015886,4.249228756636055,5.371689888098412,0.7869046962269411,0.5951596058731246,11.771365050127065,11.214255041942568,5.213095303773059,0.5951596058731246,0.41724569907819886,89.82919829885051,4.046582476261735,6.379608131284383,0.5951596058731246,3.3973000000000004,-5.428235638964309,3.730476951164329e-06,Moderately Soluble,27.013641,17.195587,44.863396,0,2,0,0.18120247,0.50671047,0.59491056,0.1587771,0.9621647,0.22378416,0.4548684,0.5593987,0.5417875,0.9633301,0.99894035,0.63885164,0.8722911,0.8383812,-5.3460503,92.82687,14.082535,463.6260000000003,3.3973000000000004,0.4148337125188803,4.0,3.5814157175025008,0.7131760313886111,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(C(=O)NC)c[nH]4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.625,8.97,5,KNN | KNN | DT | LGBM | ET,0.6619495981236208,4.591447238832131,5.338050401876379,1.2633782585864364,0.5733752574286951,49.693069797612345,75.38836878147958,4.736621741413564,0.5733752574286951,1.3789951985327191,243.8898705282405,3.612806236853321,5.860437245973806,0.5733752574286951,3.4437000000000015,-5.371076299549277,4.2552364793158385e-06,Moderately Soluble,40.26304,20.094105,53.47331,0,2,0,0.10420404,0.32384437,0.87000334,0.09911175,0.8365711,0.20924667,0.51641434,0.778785,0.12889609,0.9669012,0.9994354,0.7853068,0.9309902,0.8581543,-5.143739,98.66547,9.494032,447.5830000000002,3.4437000000000015,0.5032668594229877,4.0,3.526813510752831,0.7192429432496854,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C(C)(C)N)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.584070796460177,10.17,5,KNN | KNN | DT | LGBM | ET,0.6736750385683135,4.717099515728281,5.326324961431687,1.1960342236490225,0.5831712914652263,47.50124066547174,76.37014685823269,4.803965776350978,0.5831712914652263,1.1298440227143984,218.29809957869173,3.660950045079134,5.946981507622821,0.5831712914652263,3.179500000000001,-4.697726188509208,2.0057361938476058e-05,Moderately Soluble,44.497368,36.572784,42.224236,0,2,0,0.121347465,0.37936795,0.63083196,0.06799261,0.8862755,0.18757562,0.48570338,0.5998517,0.16219127,0.96894014,0.9997834,0.732749,0.9529389,0.8042116,-4.799038,94.31734,12.379203,382.5520000000002,3.179500000000001,0.6062696116808681,4.0,3.5175727457595354,0.7202696949156071,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4nccn4C)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6120689655172413,10.21,5,KNN | KNN | DT | LGBM | ET,0.675645077157386,4.7385457404366935,5.324354922842614,1.146291335207776,0.31563898486104935,17.892727806244388,11.728968156660306,4.853708664792224,0.31563898486104935,3.3700700244345883,58.20278224216447,4.235056254464567,5.472361075119881,0.31563898486104935,3.4895000000000023,-5.14467691804052,7.1667636448509754e-06,Moderately Soluble,60.57782,51.047066,46.696636,0,2,0,0.08343183,0.2892421,0.8284596,0.07322673,0.83108723,0.30186963,0.55996186,0.70306575,0.090640485,0.96274775,0.9999448,0.80734044,0.96436435,0.7601016,-4.802273,99.00502,10.158651,405.54600000000016,3.4895000000000023,0.5453323613042372,4.0,3.5229243308489613,0.7196750743501155,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C4CCN(CC(=O)OC)CC4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5037037037037037,13.2,5,KNN | KNN | DT | LGBM | ET,0.6832511052952395,4.822265362277439,5.3167488947047605,1.0484811251205937,0.29546334619181025,14.18041414710945,10.135809205161138,4.951518874879406,0.29546334619181025,2.946951351787156,42.42181870858682,4.372410716343458,5.530627033415355,0.29546334619181025,3.327200000000002,-5.430929261578579,3.707411036336084e-06,Moderately Soluble,64.52751,49.23424,42.04615,0,2,0,0.18271215,0.44148976,0.5754063,0.07122081,0.915116,0.07872845,0.5084763,0.5589987,0.22479343,0.96024734,0.99988014,0.6342812,0.95358145,0.8581561,-4.8016386,97.192055,12.079501,480.6530000000004,3.327200000000002,0.3231070043861436,4.0,3.3851055952471487,0.7349882671947612,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(CCN4CC[C@@H](N)C4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5245901639344263,12.87,5,KNN | KNN | DT | LGBM | ET,0.6976196075069574,4.9844771279029025,5.302380392493043,1.028421096331223,0.2062357101216952,11.865137586318344,5.182019366217724,4.971578903668777,0.2062357101216952,4.209195568474934,27.079652575483674,4.567356911830254,5.375800895507299,0.2062357101216952,2.9486000000000017,-4.692519179690164,2.0299288703980176e-05,Moderately Soluble,34.44804,32.922718,44.389046,0,2,0,0.18896031,0.23789275,0.14659978,0.07425313,0.9734167,0.058289193,0.15166317,0.133738,0.56824625,0.9111208,0.9623256,0.3302415,0.7865296,0.7827952,-5.1246634,89.68164,16.074085,409.6220000000003,2.9486000000000017,0.5284072890901179,4.0,3.8823226148952106,0.67974193167831,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C4CN(CC)C4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5537190082644629,10.81,5,KNN | KNN | DT | LGBM | ET,0.6976196075069574,4.9844771279029025,5.302380392493043,1.0894804079683469,0.2523153740755062,14.403173373661428,7.786090752769389,4.910519592031653,0.2523153740755062,3.9349776934605383,38.37236272981531,4.415981458843661,5.4050577252196454,0.2523153740755062,3.393900000000002,-5.019412607146894,9.562851084154006e-06,Moderately Soluble,49.284798,43.934807,55.54072,0,2,0,0.2930011,0.56372046,0.56757414,0.07100473,0.9091897,0.073608145,0.25174233,0.304873,0.22760387,0.8889592,0.99919736,0.7263251,0.93052846,0.81478786,-4.763751,94.78116,14.945089,408.59000000000026,3.393900000000002,0.5121422530524579,4.0,3.4354706783181834,0.7293921468535352,2,0,1
CCCCCCC#Cc1cncc(N2CCC3(CN(C[C@H](O)CO)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5714285714285714,11.65,5,KNN | KNN | DT | LGBM | ET,0.6976196075069574,4.9844771279029025,5.302380392493043,1.226968975439208,0.31947199901516077,20.982770994264744,11.143329850530815,4.773031024560792,0.31947199901516077,3.988447294008948,71.30731658334305,4.146865906491077,5.399196142630507,0.31947199901516077,2.2687999999999997,-3.9458322454235537,0.00011328378590933752,Soluble,25.220829,35.520546,41.39876,0,2,0,0.13364443,0.29046732,0.37851173,0.12624861,0.90188646,0.12796764,0.24567802,0.347061,0.37893933,0.8378087,0.98086035,0.5761967,0.74708635,0.733809,-5.1076417,92.453064,14.291153,371.52500000000015,2.2687999999999997,0.5422566679204117,4.0,3.8537894463340816,0.6829122837406576,2,0,1
