canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7685185185185185,4.63,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0419202754552284,0.7651771522401469,47.29585719623411,76.68581794464112,4.958079724544771,0.7651771522401469,0.3484761476666538,348.0707217953223,3.4583325061540835,6.457826942935459,0.7651771522401469,3.466200000000001,-5.319363432139666,4.793321595802333e-06,Moderately Soluble,38.25124,34.256706,42.67406,0,5,0,0.56828034,0.23421839,0.9264919,0.07704042,0.8519454,0.15603243,0.62871504,0.75360346,0.11655253,0.9704455,0.99988997,0.78353405,0.95196533,0.8813807,-4.78674,98.07588,7.376075,433.51200000000017,3.466200000000001,0.2544738696046525,4.0,3.473177121007604,0.7252025421102662,5,0,1
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc(S(=O)(=O)N(C)C)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7008547008547008,11.59,5,KNN | KNN | DT | LGBM | ET,0.4651304597910375,2.918303525461396,5.5348695402089625,0.9970009323160608,0.592251287607766,18.652598233958138,13.659983380151274,5.002999067683939,0.592251287607766,0.6857856741628916,143.81806989620586,3.842186543972718,6.163811591395161,0.592251287607766,3.494100000000002,-5.828723649219072,1.4834617430189251e-06,Moderately Soluble,62.794647,37.008644,50.705524,0,4,0,0.35208955,0.46733946,0.8214842,0.23166534,0.9373929,0.053475343,0.47748405,0.6655544,0.41967344,0.97035015,0.9991869,0.74102867,0.8547223,0.91856384,-4.961644,98.92704,6.640059,511.64800000000025,3.494100000000002,0.231461140304896,3.0,3.552431872690354,0.7163964585899607,4,0,1
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc(N)cc(C(N)=O)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6260869565217392,8.14,5,KNN | KNN | DT | LGBM | ET,0.5473052438641018,3.526186219547159,5.452694756135898,1.3080867795133506,0.5802504888132622,51.79560562003868,74.52754547638385,4.691913220486649,0.5802504888132622,1.4818212601172611,278.85455155862024,3.5546222624126558,5.829204178560643,0.5802504888132622,3.016700000000001,-4.882161144127976,1.3117131001017674e-05,Moderately Soluble,23.218798,26.074291,42.78295,0,3,0,0.17930707,0.63169116,0.6344317,0.09223626,0.9331738,0.13519439,0.21332756,0.35508457,0.38974148,0.8482102,0.9978949,0.74985635,0.7835757,0.71666324,-5.2609243,92.48932,10.360543,417.5570000000002,3.016700000000001,0.4284922319693887,4.0,3.445734396899377,0.7282517336778469,3,0,1
CCCCC#Cc1cncc(N2CC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5916666666666667,13.68,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.8822108624019729,0.2899644985417485,9.632762994425908,6.8618223071807565,5.117789137598027,0.2899644985417485,2.0600627309150408,28.21897790775852,4.5494587204562,5.686119554739854,0.2899644985417485,3.453500000000002,-5.238920776532085,5.768716860216767e-06,Moderately Soluble,62.390816,57.58206,51.680298,0,2,0,0.049705632,0.23964243,0.88493234,0.081054,0.8425237,0.29719734,0.7376928,0.87146986,0.19943972,0.95847046,0.99987614,0.7683823,0.9477032,0.8606227,-4.6623406,99.6412,6.217147,421.4720000000002,3.453500000000002,0.5591748064230898,4.0,3.4725219843119657,0.7252753350764483,2,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,6.56,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.9332508602781384,0.3024548628820531,10.96066001159812,7.922061390836396,5.066749139721861,0.3024548628820531,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.3024548628820531,3.453500000000002,-5.242372322098043,5.723051814844524e-06,Moderately Soluble,54.03302,51.58976,46.119293,0,1,0,0.15149388,0.37941295,0.7905056,0.052814685,0.89460784,0.41001114,0.61639684,0.7340326,0.25901982,0.9837438,0.999976,0.75405467,0.95566493,0.83751124,-4.5782623,98.41604,6.4619102,421.47200000000015,3.453500000000002,0.7109076812540762,4.0,3.5375694365788,0.7180478403801334,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([18F])c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,12.57,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.9332508602781384,0.3024548628820531,10.96066001159812,7.922061390836396,5.066749139721861,0.3024548628820531,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.3024548628820531,3.453500000000002,-5.235777868917642,5.810615403983823e-06,Moderately Soluble,54.02366,51.6074,46.01803,0,1,0,0.15155977,0.37942404,0.7904849,0.052787166,0.8945648,0.4096335,0.6159688,0.7336847,0.2587462,0.9837338,0.999976,0.75415254,0.9556651,0.83736247,-4.5780916,98.40773,6.452359,420.4749380000002,3.453500000000002,0.7122693165783467,4.0,3.5375694365788,0.7180478403801334,1,0,1
C#CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5967741935483871,12.05,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1272926035981654,0.3196670958514118,16.588721400559404,8.69228791066691,4.872707396401834,0.3196670958514118,3.1677076668504407,56.73356983737003,4.246159888533068,5.499254904270602,0.3196670958514118,3.456900000000002,-5.390321245440994,4.07079052085649e-06,Moderately Soluble,49.530586,50.502678,42.527897,0,2,0,0.15037666,0.40144306,0.7944497,0.068018295,0.9175645,0.42865676,0.71772087,0.85299236,0.37752444,0.9936367,0.99997103,0.653423,0.93607044,0.8994921,-4.609431,99.28875,4.949752,445.49400000000026,3.456900000000002,0.5330893071011114,4.0,3.712554966519909,0.6986050037200102,2,0,1
O=C(c1cc2c(cc1F)OCO2)N1CC2(CCN(c3cncc(C#CCCCl)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6842105263157895,10.41,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.9042563426665992,0.2814547288330222,9.94652234047509,6.771393448582403,5.095743657333401,0.2814547288330222,2.2521902506526668,28.56982703875488,4.544092388820677,5.6473949258461245,0.2814547288330222,3.282300000000002,-5.250440040770092,5.617718319114626e-06,Moderately Soluble,62.37113,55.22407,42.230213,0,2,1,0.31010354,0.39234748,0.8259281,0.0668307,0.89606774,0.3563961,0.64077246,0.7509438,0.29862824,0.98874664,0.9999655,0.71026766,0.94082326,0.8539096,-4.6599946,99.01403,5.339963,441.8900000000002,3.282300000000002,0.5401999713995431,4.0,3.543929332862292,0.7173411852375231,3,0,1
CCOCC#Cc1cncc(N2CCC3(CN(Cc4cc(OC)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6379310344827587,11.61,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.9612163861567088,0.4573929864232385,14.325988221830087,11.211399980790532,5.038783613843291,0.4573929864232385,1.160716432197726,72.06205446387305,4.142293360453744,5.935273867232839,0.4573929864232385,3.098700000000002,-5.05973681784407,8.71491553246284e-06,Moderately Soluble,63.142498,59.44233,40.98333,0,4,0,0.4299601,0.5681505,0.76902133,0.11543193,0.96226674,0.2106578,0.5720455,0.60045207,0.44094905,0.9696973,0.9998843,0.7959489,0.9459795,0.9088639,-4.8261952,94.99932,9.7673645,436.51200000000017,3.098700000000002,0.2855145108635298,4.0,3.485622209765,0.7238197544705556,4,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(c(N(C)C)c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6016260162601627,12.47,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2458978079737015,0.572257881379526,48.73741213137368,75.73271444707508,4.7541021920262985,0.572257881379526,1.3312890517443836,233.08979262010905,3.6324767445224273,5.87572763953017,0.572257881379526,3.3804000000000025,-5.340574064292892,4.564843950177818e-06,Moderately Soluble,67.93006,55.205128,40.69406,0,1,0,0.24267252,0.52741706,0.81955445,0.05707134,0.9460127,0.32557952,0.6021594,0.7146464,0.27555102,0.98808014,0.99995756,0.7738901,0.95603484,0.9067276,-4.787169,100.11344,7.3367486,446.5510000000002,3.3804000000000025,0.6714891134739217,4.0,3.659550990294565,0.7044943344117149,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(NC)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6115702479338843,12.37,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2384445559864266,0.5761692979434486,48.60572225291012,75.81157343115541,4.761555444013574,0.5761692979434486,1.2857387470747843,233.20420653430452,3.632263620044414,5.890847267982733,0.5761692979434486,3.3561000000000023,-5.234622157396311,5.826098765227984e-06,Moderately Soluble,50.034077,47.676655,41.624615,0,1,0,0.25274056,0.46888262,0.835169,0.048830636,0.93860704,0.3703397,0.6521977,0.7791669,0.2660719,0.9907934,0.9999765,0.7638531,0.9541949,0.8792739,-4.856976,99.01522,8.199435,432.52400000000017,3.3561000000000023,0.7477497026220111,4.0,3.5932584588002454,0.7118601712444173,1,0,1
