canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc(N)cc(C(N)=O)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6260869565217392,8.14,5,KNN | KNN | DT | LGBM | ET,0.5473052438641018,3.526186219547159,5.452694756135898,1.3080867795133506,0.5802504888132622,51.79560562003868,74.52754547638385,4.691913220486649,0.5802504888132622,1.4818212601172613,278.85455155862024,3.5546222624126553,5.829204178560643,0.5802504888132622,3.016700000000001,-4.882161144127976,1.3117131001017674e-05,Moderately Soluble,23.2188,26.074295,42.78295,0,3,0,0.17930707,0.6316912,0.63443184,0.092236266,0.93317384,0.13519442,0.2133276,0.3550846,0.38974148,0.84821016,0.9978949,0.74985635,0.7835757,0.71666324,-5.2609243,92.48932,10.36054,417.5570000000002,3.016700000000001,0.4284922319693887,4.0,3.445734396899377,0.7282517336778469,3,0,1
CCCCC#Cc1cncc(N2CC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5916666666666667,13.68,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.8822108624019729,0.2899644985417485,9.632762994425908,6.8618223071807565,5.117789137598027,0.2899644985417485,2.0600627309150408,28.21897790775852,4.5494587204562,5.686119554739854,0.2899644985417485,3.453500000000002,-5.238920776532085,5.768716860216767e-06,Moderately Soluble,62.390816,57.582054,51.68029,0,2,0,0.049705632,0.23964243,0.88493234,0.081053995,0.8425237,0.29719737,0.73769283,0.87146986,0.1994397,0.9584705,0.99987614,0.7683823,0.9477032,0.8606226,-4.6623406,99.6412,6.217147,421.4720000000002,3.453500000000002,0.5591748064230898,4.0,3.4725219843119657,0.7252753350764483,2,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,6.56,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.9332508602781384,0.30245486288205314,10.960660011598119,7.922061390836396,5.066749139721861,0.30245486288205314,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.30245486288205314,3.453500000000002,-5.242372322098043,5.723051814844524e-06,Moderately Soluble,54.033012,51.58976,46.11929,0,1,0,0.15149388,0.3794129,0.7905056,0.05281468,0.89460784,0.41001114,0.6163969,0.7340326,0.2590198,0.9837438,0.999976,0.75405467,0.95566493,0.83751124,-4.5782623,98.41604,6.461911,421.47200000000015,3.453500000000002,0.7109076812540762,4.0,3.5375694365788,0.7180478403801334,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([18F])c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,12.57,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.9332508602781384,0.30245486288205314,10.960660011598119,7.922061390836396,5.066749139721861,0.30245486288205314,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.30245486288205314,3.453500000000002,-5.235777868917642,5.810615403983823e-06,Moderately Soluble,54.02366,51.6074,46.01803,0,1,0,0.15155977,0.379424,0.7904849,0.052787166,0.8945648,0.40963346,0.6159688,0.7336847,0.2587462,0.9837338,0.999976,0.7541526,0.9556651,0.83736247,-4.5780916,98.40773,6.4523597,420.4749380000002,3.453500000000002,0.7122693165783467,4.0,3.5375694365788,0.7180478403801334,1,0,1
C#CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5967741935483871,12.05,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.1272926035981654,0.3196670958514118,16.588721400559404,8.69228791066691,4.872707396401834,0.3196670958514118,3.1677076668504407,56.73356983737003,4.246159888533068,5.499254904270602,0.3196670958514118,3.456900000000002,-5.390321245440994,4.07079052085649e-06,Moderately Soluble,49.530586,50.502678,42.5279,0,2,0,0.15037665,0.40144306,0.7944497,0.068018295,0.9175645,0.42865676,0.71772087,0.85299236,0.37752444,0.9936367,0.99997103,0.653423,0.93607044,0.8994921,-4.609431,99.28875,4.949752,445.49400000000026,3.456900000000002,0.5330893071011114,4.0,3.7125549665199085,0.6986050037200102,2,0,1
O=C(c1cc2c(cc1F)OCO2)N1CC2(CCN(c3cncc(C#CCCCl)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6842105263157895,10.41,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.9042563426665993,0.2814547288330222,9.94652234047509,6.771393448582403,5.095743657333401,0.2814547288330222,2.2521902506526668,28.569827038754877,4.544092388820677,5.6473949258461245,0.2814547288330222,3.282300000000002,-5.250440040770092,5.617718319114626e-06,Moderately Soluble,62.37113,55.224068,42.230217,0,2,1,0.31010354,0.39234743,0.8259281,0.06683069,0.89606774,0.35639608,0.6407725,0.7509438,0.29862818,0.98874664,0.9999655,0.71026766,0.94082326,0.8539096,-4.6599946,99.01403,5.339963,441.8900000000002,3.282300000000002,0.5401999713995431,4.0,3.543929332862292,0.7173411852375231,3,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(c(N(C)C)c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6016260162601627,12.47,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2458978079737015,0.572257881379526,48.73741213137368,75.73271444707508,4.7541021920262985,0.572257881379526,1.3312890517443836,233.08979262010905,3.6324767445224273,5.87572763953017,0.572257881379526,3.3804000000000025,-5.340574064292892,4.564843950177818e-06,Moderately Soluble,67.93005,55.205128,40.694057,0,1,0,0.24267249,0.52741706,0.81955445,0.05707134,0.9460127,0.32557946,0.6021594,0.7146464,0.27555102,0.98808014,0.99995756,0.77389,0.95603484,0.9067276,-4.7871685,100.11344,7.336749,446.5510000000002,3.3804000000000025,0.6714891134739217,4.0,3.659550990294565,0.7044943344117149,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(NC)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6115702479338843,12.37,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2384445559864266,0.5761692979434486,48.60572225291012,75.81157343115541,4.761555444013574,0.5761692979434486,1.2857387470747845,233.20420653430455,3.632263620044414,5.890847267982733,0.5761692979434486,3.3561000000000023,-5.234622157396311,5.826098765227984e-06,Moderately Soluble,50.034073,47.67666,41.62461,0,1,0,0.2527406,0.46888262,0.835169,0.04883065,0.93860704,0.3703397,0.65219766,0.7791668,0.26607192,0.9907934,0.9999765,0.7638532,0.9541949,0.8792738,-4.856976,99.01522,8.199435,432.52400000000017,3.3561000000000023,0.7477497026220111,4.0,3.5932584588002454,0.7118601712444173,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4N)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7727272727272727,11.11,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.202643999226805,0.6027867767415637,48.16748725694215,76.0808612751983,4.7973560007731955,0.6027867767415637,1.0499821519639987,242.16204843716574,3.6158939183597303,5.97881808318666,0.6027867767415637,3.2867000000000006,-5.183149985103852,6.559187033864989e-06,Moderately Soluble,59.470905,57.217213,40.80253,0,3,0,0.18446867,0.42024356,0.83583164,0.04515017,0.93863076,0.4181107,0.74428266,0.86179936,0.29756492,0.993687,0.99998724,0.7217901,0.9570225,0.9055355,-4.767286,101.187904,5.7485113,432.5240000000002,3.2867000000000006,0.4537042148229764,4.0,3.4819910674958976,0.724223214722678,3,0,1
CC(C)(C#Cc1cncc(N2CCC3(CN(Cc4cc(F)cc(F)c4)C3)C2)c1)CO,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4878048780487805,11.94,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.0628072562740076,0.3276109864609245,14.937046110372105,9.749179286565441,4.937192743725992,0.3276109864609245,2.6344485588660334,50.69029162249384,4.29507521026258,5.579310277189404,0.3276109864609245,3.442100000000003,-5.169985558383089,6.761054575879949e-06,Moderately Soluble,12.386873,28.634815,41.372986,0,1,0,0.15777676,0.5154688,0.37346572,0.09895943,0.92358553,0.05056568,0.17175983,0.17193317,0.48686185,0.6581208,0.9986151,0.7258269,0.8411422,0.70368737,-4.7425666,86.3644,11.66603,411.4960000000001,3.442100000000003,0.7827965706123682,4.0,3.6248556750861214,0.7083493694348755,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc(N(C)C)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5798319327731093,10.69,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,1.3500830324185447,0.5538972903245317,52.857449733932924,73.97049186169482,4.649916967581455,0.5538972903245317,1.8384183379231736,272.72297230245334,3.5642782785453733,5.735555656617537,0.5538972903245317,3.233900000000002,-5.050155817708335,8.909312293304308e-06,Moderately Soluble,39.755817,32.816788,42.638268,0,2,0,0.33495972,0.49716583,0.8305775,0.05206188,0.92138946,0.22050786,0.46190757,0.5620791,0.15094154,0.95748794,0.99985045,0.8074137,0.94909114,0.80773985,-4.965895,95.56563,10.711881,417.55700000000013,3.233900000000002,0.6111796571419246,4.0,3.5052004084740105,0.7216443990584434,2,0,1
