canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN4COCOc5cc(N)c(cc53)C4=O)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4961832061068702,11.28,5,KNN | KNN | DT | LGBM | ET,0.547305243864102,3.52618621954716,5.452694756135898,1.190455835561637,0.498262021714247,30.013994252431512,35.71154865366999,4.809544164438363,0.498262021714247,1.6362975231588706,146.90933677837197,3.832950601878439,5.786137726998287,0.498262021714247,3.133400000000001,-5.07290291377595,8.454678277705419e-06,Moderately Soluble,34.036575,35.331997,45.15724,0,3,0,0.41281828,0.31707034,0.87895423,0.050427984,0.86947584,0.4486383,0.7849495,0.8201219,0.20358637,0.97658396,0.9999568,0.7418512,0.95144796,0.85977507,-4.7797728,96.93355,8.543523,432.5240000000002,3.133400000000001,0.45600806226862134,4.0,5.559767419573375,0.4933591756029583,3,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,4.35,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,0.9332508602781384,0.30245486288205314,10.960660011598119,7.922061390836396,5.066749139721861,0.30245486288205314,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.30245486288205314,3.453500000000002,-5.242372322098043,5.723051814844524e-06,Moderately Soluble,54.03302,51.58976,46.119286,0,1,0,0.15149389,0.37941292,0.7905056,0.052814685,0.89460784,0.4100112,0.61639696,0.7340326,0.2590198,0.9837438,0.999976,0.75405467,0.9556648,0.83751124,-4.5782623,98.41604,6.4619102,421.47200000000015,3.453500000000002,0.7109076812540762,4.0,3.5375694365788,0.7180478403801334,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4NCCO)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7435897435897436,11.22,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.1118412304951395,0.32820617783214867,16.431809456578,9.936063026787181,4.8881587695048605,0.32820617783214867,2.9414205478705386,56.90171276650422,4.244874660953849,5.531442878055872,0.32820617783214867,3.1087000000000016,-5.318438009262026,4.803546406630866e-06,Moderately Soluble,45.32907,40.659,48.05016,1,2,0,0.10279328,0.47630525,0.84662086,0.07957595,0.9252825,0.12095591,0.5362285,0.78782034,0.28618973,0.9864607,0.99981844,0.73671025,0.8996855,0.9100499,-5.027267,98.09505,11.374337,476.5770000000003,3.1087000000000016,0.46906525699168994,4.0,3.5467549859554506,0.7170272237827278,3,0,1
CCCC#Cc1cncc(N2CCC3(CN4COCOc5c3cc(c(F)c5F)C4=O)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4130434782608695,10.13,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.1859014060553617,0.3507033780105655,19.749108641979223,11.379058790341325,4.814098593944639,0.3507033780105655,3.1515397206342213,74.69302132415551,4.1267199730439295,5.501477214845346,0.3507033780105655,3.439300000000002,-5.3491196539240775,4.475899701785773e-06,Moderately Soluble,43.115532,43.159588,47.59581,0,1,0,0.3113523,0.2100279,0.87138397,0.05258895,0.75673676,0.4072733,0.71211904,0.7431509,0.12708199,0.9562613,0.999976,0.762909,0.9607937,0.7639258,-4.439185,93.70292,8.161908,439.46200000000016,3.439300000000002,0.6714516222248436,4.0,5.692319404685037,0.47863117725721815,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4c(N)cc5c(c4C#N)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6129032258064516,10.98,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.116369260872761,0.3644202176835537,17.425726954196662,10.725681061920302,4.8836307391272396,0.3644202176835537,2.524094637813421,67.7068934064308,4.169367112467474,5.597894365787004,0.3644202176835537,3.158380000000001,-5.243989103401232,5.701785780790203e-06,Moderately Soluble,65.06654,61.676556,43.610893,0,3,0,0.12717709,0.22025856,0.8942957,0.06135304,0.8039292,0.23058763,0.6877052,0.87265956,0.15373239,0.9824176,0.9999364,0.6918768,0.9350003,0.8881651,-4.572171,102.910934,1.542145,457.5340000000003,3.158380000000001,0.4271398436899604,4.0,3.810074329876872,0.6877695189025699,3,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4c(N)cc5c(c4F)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.628099173553719,9.06,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.6109771573069493,5.442375258869468,1.2723171610628063,0.5999825960243118,51.01200879946104,74.95474377372595,4.727682838937193,0.5999825960243118,1.2483928506244208,280.72626613480264,3.5517169507295425,5.903648727144844,0.5999825960243118,3.4258000000000015,-5.400456887088002,3.976885735164984e-06,Moderately Soluble,65.059166,60.00358,44.66688,0,3,0,0.12885758,0.32989573,0.85265684,0.05069896,0.90884364,0.41204515,0.7709028,0.8821434,0.25823575,0.9915574,0.9999841,0.72024536,0.95791256,0.8994635,-4.6295714,100.51958,5.7631335,450.51400000000024,3.4258000000000015,0.4368048816560142,4.0,3.7477701392307363,0.6946922067521404,3,0,1
O=C(c1cc2c(cc1F)OCO2)N1CC2(CCN(c3cncc(C#CCCCl)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6842105263157895,8.21,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.9042563426665993,0.2814547288330222,9.94652234047509,6.771393448582403,5.095743657333401,0.2814547288330222,2.2521902506526668,28.569827038754877,4.544092388820677,5.6473949258461245,0.2814547288330222,3.282300000000002,-5.250440040770092,5.617718319114626e-06,Moderately Soluble,62.37113,55.224068,42.230206,0,2,1,0.31010354,0.39234746,0.8259281,0.06683069,0.89606774,0.35639608,0.64077246,0.7509437,0.2986282,0.98874664,0.9999655,0.71026766,0.94082326,0.8539096,-4.6599946,99.01403,5.339963,441.8900000000002,3.282300000000002,0.5401999713995431,4.0,3.543929332862292,0.7173411852375231,3,0,1
O=C(c1cc2c(cc1F)OCO2)N1CCC2(C1)CN(c1cncc(C#CCCCl)c1)C2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6410256410256411,11.16,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,0.906621558983175,0.28522718429516125,10.070533284959229,7.001241194902727,5.093378441016825,0.28522718429516125,2.226262022311256,29.219100365742978,4.534333159798309,5.652423722235341,0.28522718429516125,3.282300000000002,-5.250440040770092,5.617718319114626e-06,Moderately Soluble,59.43584,52.184082,41.87752,0,2,1,0.2669618,0.38221273,0.82093716,0.06480167,0.8890543,0.3441813,0.65968114,0.75501317,0.30460852,0.98773557,0.9999671,0.70976794,0.9410902,0.8390314,-4.6387825,98.336525,5.691189,441.8900000000002,3.282300000000002,0.5401999713995431,4.0,3.533162003562378,0.7185375551597357,3,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4NC)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7105263157894737,8.64,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.0993286174855097,0.31084762568896307,15.668326947585225,9.595393641891512,4.90067138251449,0.31084762568896307,3.090774148665433,51.11989626220988,4.291410036164123,5.509932728864858,0.31084762568896307,3.3561000000000023,-5.234622157396311,5.826098765227984e-06,Moderately Soluble,63.35163,56.546864,48.162033,1,1,0,0.18382385,0.4433763,0.822871,0.042804994,0.9336031,0.38419133,0.6688297,0.7798103,0.28541282,0.9915239,0.99998367,0.75912815,0.9587962,0.8767231,-4.8473086,100.10387,8.695141,432.52400000000017,3.3561000000000023,0.7477497026220111,4.0,3.5404534420778377,0.7177273953246848,2,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(NC)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6115702479338843,10.3,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2384445559864266,0.5761692979434486,48.60572225291012,75.81157343115541,4.761555444013574,0.5761692979434486,1.2857387470747845,233.20420653430455,3.632263620044414,5.890847267982733,0.5761692979434486,3.3561000000000023,-5.234622157396311,5.826098765227984e-06,Moderately Soluble,50.034077,47.67666,41.62461,0,1,0,0.25274056,0.46888262,0.835169,0.048830636,0.93860704,0.3703397,0.6521977,0.7791668,0.26607192,0.9907934,0.9999765,0.7638532,0.9541949,0.8792738,-4.856976,99.01522,8.199435,432.52400000000017,3.3561000000000023,0.7477497026220111,4.0,3.5932584588002454,0.7118601712444173,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4c(N)cc5c(c4C)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5901639344262295,9.81,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.236328046374225,0.5868595924697575,48.9029195113136,75.72097697906982,4.763671953625775,0.5868595924697575,1.219223276031201,243.54142768039625,3.61342715238505,5.9139167548664995,0.5868595924697575,3.205020000000002,-5.126021602242607,7.481322867362147e-06,Moderately Soluble,57.037304,52.212536,41.39736,0,2,0,0.13656816,0.34496814,0.8326092,0.045918204,0.90814626,0.39769644,0.71104324,0.8270397,0.23878448,0.99024737,0.99998444,0.7519134,0.96036893,0.8537232,-4.6937857,100.21779,4.9889436,432.5240000000002,3.205020000000002,0.5926430331169392,4.0,3.724874618894331,0.6972361534561855,2,0,1
