canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cc(C#N)cc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5555555555555556,10.35,5,KNN | KNN | DT | LGBM | ET,0.2546435817310873,1.797395217266017,5.745356418268913,0.9490477680685252,0.645608364834293,19.69167417364944,18.368600707741233,5.050952231931475,0.645608364834293,0.48267563098497734,163.8476297363782,3.785559836856261,6.316344627006689,0.645608364834293,3.337880000000001,-5.380202550437045,4.166750052497886e-06,Moderately Soluble,38.83727,27.846125,54.71383,0,5,0,0.7050535,0.13590047,0.9692953,0.114777744,0.6722616,0.062094726,0.34343442,0.5287976,0.049341623,0.81577265,0.9988241,0.79739296,0.9129696,0.8404393,-4.509645,100.863525,5.058473,458.5220000000002,3.337880000000001,0.2390767877123571,4.0,3.6664138799415653,0.7037317911176039,5,0,1
Cc1cc(C#Cc2cncc(N3CCC4(CN(C(=O)c5cc(N)cc([N+](=O)[O-])c5)C4)C3)c2)cc(C)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5419847328244275,11.41,5,KNN | KNN | DT | LGBM | ET,0.29387629022241757,1.9673258126216957,5.706123709777582,0.9593603778762987,0.5865015442523913,17.661946442760346,14.590573904405705,5.0406396221237015,0.5865015442523913,0.6453827468536318,128.50008194272476,3.8910965953890146,6.190182648858388,0.5865015442523913,3.336140000000002,-5.607377457814004,2.4695768318157994e-06,Moderately Soluble,22.119955,15.303189,64.84742,0,4,0,0.68741095,0.24751608,0.961697,0.054169953,0.8486786,0.04348854,0.3607344,0.5717939,0.041660026,0.9678427,0.99988526,0.83888495,0.9328613,0.85997105,-4.9726133,94.4829,9.023936,482.54400000000027,3.336140000000002,0.2632057811171729,4.0,3.600188436285176,0.7110901737460915,4,0,1
C#Cc1cc(C(=O)N2CC3(CCN(c4cncc(C#CCOC)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6324786324786325,10.93,5,KNN | KNN | DT | LGBM | ET,0.30180751998399163,2.0035838389620944,5.698192480016008,1.1517207034659567,0.7100965150698624,50.03834412879016,75.76723604289033,4.848279296534043,0.7100965150698624,0.5753492269831001,349.5504559888429,3.456490126997113,6.240068466070974,0.7100965150698624,2.3215000000000003,-4.4536616836702505,3.5183441356189895e-05,Moderately Soluble,38.104713,34.048878,45.394882,0,3,0,0.5117926,0.1782094,0.94002855,0.08713205,0.67815214,0.06579231,0.3784433,0.5829014,0.07781957,0.9259176,0.9991983,0.7702008,0.8776213,0.78189373,-4.599085,95.53986,6.3210855,430.4640000000003,2.3215000000000003,0.42026638610108735,4.0,3.6781940440845258,0.7024228839906083,3,0,1
C#Cc1cc(C(=O)N2CC3(CCN(c4cncc(C#CC(C)C)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5966386554621849,9.42,5,KNN | KNN | DT | LGBM | ET,0.30180751998399163,2.0035838389620944,5.698192480016008,1.0620551059630017,0.7139863058170697,46.72085878354451,76.8950788239177,4.937944894036998,0.7139863058170697,0.4598772721138534,289.3798354577622,3.5385317346355416,6.337358053438455,0.7139863058170697,3.331100000000002,-5.192864670745516,6.414094131908537e-06,Moderately Soluble,44.897724,37.12272,54.215233,0,3,0,0.5276154,0.16173986,0.93099225,0.108053505,0.68451756,0.07082416,0.45459765,0.6241042,0.09125399,0.90333414,0.99930847,0.7409398,0.8814324,0.83869874,-4.602338,98.03916,6.857873,428.49200000000025,3.331100000000002,0.4256636424040926,4.0,3.689134821958337,0.7012072420046291,3,0,1
Cc1cc(C#Cc2cncc(N3CCC4(CN(C(=O)c5cc(N)cc([N+](=O)[O-])c5)C4)C3)c2)ccn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5503875968992248,11.25,5,KNN | KNN | DT | LGBM | ET,0.3180120805413912,2.079754537738204,5.681987919458609,1.0257670820745832,0.45767340761504727,16.20145253149514,11.298859449279544,4.974232917925416,0.45767340761504727,1.3450152335295147,83.71570925284671,4.0771930389999245,5.871272796850909,0.45767340761504727,3.0277200000000013,-5.2919466786301825,5.105676820912185e-06,Moderately Soluble,16.927929,14.345369,62.35636,0,4,0,0.63345826,0.24970488,0.9644762,0.05652017,0.83066607,0.065057896,0.34558108,0.5909743,0.043851256,0.96399117,0.99988234,0.84287107,0.91177666,0.7976556,-4.9739733,93.643166,8.636014,468.5170000000002,3.0277200000000013,0.27160508572129294,4.0,3.5613108400023936,0.7154099066664007,4,0,1
CCOCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(C#N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6949152542372882,11.45,5,KNN | KNN | DT | LGBM | ET,0.4207212335521988,2.634639711281976,5.579278766447802,0.9081200819865135,0.5086248969631056,13.933979982715314,11.394385484790456,5.091879918013486,0.5086248969631056,0.8151082408604274,80.35721562267874,4.094975119965799,6.088784716061173,0.5086248969631056,3.3821800000000026,-5.501138336496567,3.1539998148866065e-06,Moderately Soluble,38.755627,35.39855,42.41897,0,4,0,0.49137965,0.1660678,0.9371557,0.07453201,0.7391564,0.024837738,0.32330972,0.5435677,0.041168652,0.9496067,0.99964637,0.7962904,0.9241354,0.8797948,-4.6552424,91.176865,8.762598,473.5330000000003,3.3821800000000026,0.26216104762194475,4.0,3.585509441400993,0.7127211731776675,4,0,1
CCNc1cc(C(=O)N2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6608695652173913,11.28,5,KNN | KNN | DT | LGBM | ET,0.4207212335521988,2.634639711281976,5.579278766447802,1.2530775549403628,0.7287114037903731,56.052042574526084,74.05328576845,4.746922445059637,0.7287114037903731,0.6680411323710935,480.1223314781849,3.3186480936305056,6.175196796488769,0.7287114037903731,2.1178999999999997,-4.332407022972495,4.651499483053592e-05,Moderately Soluble,30.229904,15.190285,44.451088,0,3,0,0.51109165,0.26465517,0.9259766,0.09728346,0.73447186,0.035063546,0.27630642,0.45657486,0.0778335,0.8481102,0.99782276,0.82634,0.7933857,0.67400056,-5.149089,86.21724,12.194184,435.4840000000002,2.1178999999999997,0.4202853442349619,4.0,3.4632894286999107,0.7263011745888988,3,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])ccc4N)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6608695652173913,9.76,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0574280658310993,0.37330005151858336,15.469377105700849,10.532286515119566,4.9425719341689005,0.37330005151858336,2.117190637692317,61.531310779638346,4.210903833192477,5.674240035145324,0.37330005151858336,3.4662000000000015,-5.319363432139666,4.793321595802333e-06,Moderately Soluble,55.786743,48.016937,44.59555,0,5,0,0.5681269,0.19179882,0.9204572,0.06635593,0.82666254,0.113881074,0.6232723,0.74900234,0.10246734,0.9661043,0.99993765,0.7673098,0.9524191,0.8936982,-4.6704836,100.23134,6.8016624,433.51200000000017,3.4662000000000015,0.25447386960465257,4.0,3.412455582546065,0.7319493797171039,5,0,1
CCCC#Cc1cc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)cnc1C,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5702479338842975,10.24,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0543410757372143,0.4077370059331967,16.282487593265333,11.570180194019743,4.945658924262785,0.4077370059331967,1.7996023188945756,71.36834197422174,4.14649439263372,5.744823455891851,0.4077370059331967,3.384520000000002,-5.26223504927842,5.467199864884203e-06,Moderately Soluble,36.54281,30.86818,42.644043,0,4,0,0.7405501,0.24601631,0.89354885,0.082347766,0.79586494,0.0943901,0.37762505,0.3834401,0.082974754,0.88879395,0.9996371,0.82008755,0.9473367,0.76467454,-4.6990824,97.4559,7.181546,433.51200000000017,3.384520000000002,0.34292498273662175,4.0,3.5950229809903167,0.7116641132232981,4,0,1
CCCC#Cc1cc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)ccn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5666666666666667,10.39,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.361430330599171,0.6225409120585323,56.54352113099126,73.18247475625608,4.6385696694008285,0.6225409120585323,1.3843635087963808,381.60189107227967,3.4183894817661056,5.858749857035552,0.6225409120585323,3.076100000000002,-4.945871237872957,1.1327361535874557e-05,Moderately Soluble,27.647953,24.628311,48.722065,0,4,0,0.76836497,0.20348155,0.9317107,0.11035331,0.6975292,0.11818997,0.3319593,0.3823709,0.06478962,0.78421295,0.9991926,0.82737094,0.92372245,0.6687598,-4.6402817,96.40202,8.53682,419.4850000000001,3.076100000000002,0.35334013834927464,4.0,3.517166986723348,0.7203147792529614,4,0,1
CCCCC#Cc1ccc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6050420168067226,7.97,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.2143286600075034,0.644536901806263,50.001069163468905,75.47430796863506,4.785671339992497,0.644536901806263,0.8933802195432445,300.3454018931083,3.5223790124522214,6.048963667532772,0.644536901806263,3.4662000000000015,-5.319363432139666,4.793321595802333e-06,Moderately Soluble,36.988903,32.04943,51.67928,0,5,0,0.7108399,0.18567875,0.9378875,0.11580638,0.74750924,0.11322953,0.480138,0.55901206,0.0703555,0.8489332,0.99904984,0.79461277,0.9304463,0.8419987,-4.658812,99.21094,8.115971,433.51200000000017,3.4662000000000015,0.25447386960465257,4.0,3.466054044084526,0.7259939951017194,5,0,1
