canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CCCCC#Cc1cncc(N2CCC3(CN4COCOc5cc(N)c(cc53)C4=O)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4961832061068702,11.22,5,KNN | KNN | DT | LGBM | ET,0.547305243864102,3.52618621954716,5.452694756135898,1.190455835561637,0.498262021714247,30.013994252431512,35.71154865366999,4.809544164438363,0.498262021714247,1.6362975231588706,146.90933677837197,3.832950601878439,5.786137726998287,0.498262021714247,3.133400000000001,-5.07290291377595,8.454678277705419e-06,Moderately Soluble,34.03658,35.331997,45.15725,0,3,0,0.41281834,0.31707034,0.87895423,0.050427984,0.86947584,0.4486383,0.7849495,0.8201219,0.20358637,0.97658396,0.9999568,0.7418512,0.95144796,0.85977507,-4.7797728,96.93355,8.543521,432.5240000000002,3.133400000000001,0.4560080622686213,4.0,5.559767419573375,0.4933591756029583,3,0,1
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)nc(N)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6578947368421053,11.42,5,KNN | KNN | DT | LGBM | ET,0.547305243864102,3.52618621954716,5.452694756135898,1.3509730248546532,0.5990026861033019,55.68607920047455,73.79130591976713,4.649026975145347,0.5990026861033019,1.5028919564513878,334.97954598831024,3.474981710382875,5.823072239907819,0.5990026861033019,2.925300000000001,-4.824358208606556,1.4984483967364484e-05,Moderately Soluble,30.858707,25.46169,41.372627,0,2,0,0.28608924,0.514184,0.87901336,0.048903164,0.90004,0.0713475,0.35095486,0.53671515,0.10454122,0.9280899,0.9995311,0.77435154,0.87365067,0.77839136,-5.08228,96.35707,9.466904,418.5450000000002,2.925300000000001,0.5718515345864986,4.0,3.5225931381581197,0.7197118735379868,2,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,5.09,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.9332508602781384,0.3024548628820531,10.96066001159812,7.922061390836396,5.066749139721861,0.3024548628820531,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.3024548628820531,3.453500000000002,-5.242372322098043,5.723051814844524e-06,Moderately Soluble,54.03302,51.589752,46.119293,0,1,0,0.15149389,0.37941295,0.7905056,0.05281468,0.89460784,0.41001114,0.61639684,0.7340326,0.2590198,0.98374367,0.999976,0.75405467,0.95566493,0.83751124,-4.5782623,98.41604,6.4619102,421.47200000000015,3.453500000000002,0.7109076812540762,4.0,3.5375694365788,0.7180478403801334,1,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([18F])c5c(c4)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6271186440677966,9.63,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,0.9332508602781384,0.3024548628820531,10.96066001159812,7.922061390836396,5.066749139721861,0.3024548628820531,2.189975866909783,33.57858503776772,4.473937608473038,5.659560670970686,0.3024548628820531,3.453500000000002,-5.235777868917642,5.810615403983823e-06,Moderately Soluble,54.023643,51.6074,46.018032,0,1,0,0.15155976,0.379424,0.7904849,0.052787174,0.8945648,0.4096335,0.61596876,0.7336847,0.25874612,0.9837338,0.999976,0.75415254,0.9556651,0.8373624,-4.5780916,98.40773,6.452359,420.4749380000002,3.453500000000002,0.7122693165783467,4.0,3.5375694365788,0.7180478403801334,1,0,1
CNc1cc(CN2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc(C(F)(F)F)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5,10.23,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.1134366768630664,0.4498076455120736,20.90991817294041,18.735633969469184,4.886563323136934,0.4498076455120736,1.7053506523063384,98.8688908429691,4.004940337933269,5.7681863083405975,0.4498076455120736,3.1982000000000017,-5.109109607233802,7.778402149652514e-06,Moderately Soluble,10.30675,4.9538383,63.282013,0,1,0,0.17245199,0.6441282,0.62988687,0.09360765,0.9688535,0.24282221,0.28000587,0.3691545,0.53879106,0.9079671,0.99942243,0.80155945,0.89591235,0.8629839,-5.2640705,90.626175,15.848185,430.47400000000016,3.1982000000000017,0.7301132337038804,4.0,3.496978657810881,0.7225579269099021,1,0,1
CCCCC#Cc1ccc(N2CCC3(CN(C(=O)c4cc5c(cc4N)OCO5)C3)C2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6115702479338843,11.5,5,KNN | KNN | DT | LGBM | ET,0.5576247411305315,3.610977157306949,5.442375258869468,1.2851912990736687,0.5885768164687759,51.08388057955189,74.84643175913052,4.714808700926332,0.5885768164687759,1.3538817646539358,274.6640751631294,3.5611981406475306,5.868419261205132,0.5885768164687759,3.286700000000001,-5.183149985103853,6.559187033864976e-06,Moderately Soluble,62.001686,58.013092,53.0703,0,3,0,0.3010248,0.37638074,0.85511714,0.07315777,0.88616896,0.26708633,0.62090534,0.7570826,0.18812536,0.9700538,0.999872,0.7435268,0.9412748,0.89536154,-4.69036,101.88533,6.7632113,432.5240000000002,3.286700000000001,0.4537042148229764,4.0,3.4750228400711496,0.7249974622143167,3,0,1
CCCC#Cc1ccc(N2CCC3(CN(C(=O)c4cc(F)c5c(c4)OCO5)C3)C2)cn1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4883720930232558,11.47,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.0047713540996166,0.3347623126543536,13.13000513882993,8.363187868173434,4.995228645900383,0.3347623126543536,2.2317072345990066,45.80421946864273,4.33909451309785,5.651362778702916,0.3347623126543536,3.4535000000000027,-5.242372322098045,5.7230518148445005e-06,Moderately Soluble,57.12315,53.158905,59.376385,0,1,0,0.26344675,0.326809,0.8230132,0.09272345,0.79963285,0.30183804,0.45264333,0.55170834,0.151251,0.91234255,0.99970686,0.7845498,0.9428171,0.80346584,-4.5162125,98.88427,7.638234,421.47200000000015,3.4535000000000027,0.7109076812540762,4.0,3.5303663250835537,0.7188481861018274,1,0,1
CCCCC#Cc1cncc(N2CCC3(CN4COCOc5cc(C#N)c(cc53)C4=O)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4850746268656716,10.97,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.2520791223332897,0.5958091510126513,49.880708908140726,75.34879473122852,4.747920877666711,0.5958091510126513,1.214208269474237,262.9450855906345,3.580134941681914,5.915706813651507,0.5958091510126513,3.422880000000002,-5.34886473594606,4.478527693339253e-06,Moderately Soluble,50.92689,50.97572,40.63363,0,2,0,0.27544314,0.20867963,0.90909624,0.061691236,0.7485303,0.27238548,0.6565517,0.79908913,0.10865948,0.96281034,0.99993116,0.72914803,0.9398983,0.8420952,-4.587053,98.45798,5.0011234,442.5190000000002,3.422880000000002,0.5354297161641219,4.0,5.607484765379528,0.4880572482911636,2,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4N)OCO5)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.7727272727272727,5.37,5,KNN | KNN | DT | LGBM | ET,0.5576247411305316,3.6109771573069502,5.442375258869468,1.202643999226805,0.6027867767415637,48.16748725694215,76.0808612751983,4.797356000773196,0.6027867767415637,1.049982151963999,242.1620484371657,3.6158939183597294,5.97881808318666,0.6027867767415637,3.2867000000000006,-5.183149985103852,6.559187033864989e-06,Moderately Soluble,59.470898,57.217213,40.802532,0,3,0,0.18446866,0.4202435,0.8358315,0.045150165,0.9386307,0.41811085,0.74428266,0.86179936,0.29756486,0.993687,0.99998724,0.72179,0.95702255,0.9055355,-4.767286,101.187904,5.748511,432.5240000000002,3.2867000000000006,0.4537042148229764,4.0,3.4819910674958976,0.724223214722678,3,0,1
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc(N(C)C)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5798319327731093,11.57,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,1.3500830324185449,0.5538972903245317,52.85744973393293,73.97049186169482,4.649916967581455,0.5538972903245317,1.8384183379231736,272.72297230245334,3.5642782785453733,5.735555656617537,0.5538972903245317,3.233900000000002,-5.050155817708335,8.909312293304308e-06,Moderately Soluble,39.75581,32.816788,42.63827,0,2,0,0.33495972,0.49716583,0.8305775,0.052061856,0.9213896,0.22050783,0.46190754,0.5620791,0.1509415,0.95748794,0.99985045,0.8074137,0.94909114,0.80773985,-4.965895,95.56563,10.711881,417.5570000000001,3.233900000000002,0.6111796571419246,4.0,3.5052004084740105,0.7216443990584434,2,0,1
CC(C)CC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc(N)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5289256198347108,8.57,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,1.332427676584167,0.5611803271318311,52.31606860382773,74.25133344613076,4.667572323415833,0.5611803271318311,1.7081037077636698,270.6083029741987,3.567658882237444,5.7674857645942215,0.5611803271318311,2.996100000000001,-4.789964315096382,1.621943362959058e-05,Moderately Soluble,24.800014,23.347813,43.050114,0,2,0,0.32297772,0.4890484,0.8431567,0.04133587,0.89748776,0.08953448,0.3851623,0.47742862,0.10859209,0.90890753,0.9997042,0.7743038,0.88718814,0.6713687,-5.0520735,93.55834,10.056996,403.53000000000014,2.996100000000001,0.6075338398766694,4.0,3.522390839921285,0.7197343511198573,2,0,1
