canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7232142857142857,9.18,5,KNN | KNN | DT | LGBM | ET,-0.10776255579545732,0.7802565878921076,6.107762555795457,0.12600390996717428,0.19640324418480787,1.483226727875655,0.6936795727134542,5.873996090032826,0.19640324418480787,0.5508756188032885,3.243054660202117,5.489045731430602,6.258946448635049,0.19640324418480787,3.0120000000000013,-5.073293876546985,8.447070589372393e-06,Moderately Soluble,27.392431,11.224356,46.60781,0,3,0,0.82018423,0.0728187,0.9605489,0.10557313,0.6796711,0.043555394,0.5586082,0.58400023,0.1242875,0.9126684,0.9997829,0.6728486,0.92212546,0.85606825,-4.641429,95.052124,5.5660315,447.4510000000003,3.0120000000000013,0.40094786880797495,4.0,3.5437636815348696,0.7173595909405701,3,1,1
O=[N+]([O-])c1cc(CN2CC3(CCN(c4cncc(C#CC5CC5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7181818181818181,9.74,5,KNN | KNN | DT | LGBM | ET,0.11572690500459815,1.3053497941104732,5.884273094995402,0.198129864438462,0.1521528385707531,1.6884141116918996,0.6838130867894727,5.801870135561538,0.1521528385707531,0.7941641911524214,3.1358077422063797,5.5036505719628614,6.100089699160214,0.1521528385707531,3.371800000000002,-5.249058400108637,5.635618678787396e-06,Moderately Soluble,24.31335,11.852104,57.372803,0,3,0,0.789972,0.34679267,0.83832616,0.19772243,0.9073472,0.14407751,0.6598395,0.6209571,0.4613287,0.9274925,0.99976903,0.6818091,0.8865957,0.86943847,-4.7909956,95.04632,9.456762,433.46800000000025,3.371800000000002,0.40426628022465716,4.0,3.572658659469141,0.7141490378367621,3,1,1
N#Cc1cc(C(=O)N2CC3(CCN(c4cncc(C#CC5CC5)c4)CC3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.515625,9.78,5,KNN | KNN | DT | LGBM | ET,0.4117324146840131,2.58066965215522,5.588267585315987,0.906578148545373,0.44754865435191565,12.552901875125382,9.71013983038491,5.093421851454627,0.44754865435191565,1.069997556760918,60.78179354644233,4.216226488924873,5.970617213984382,0.44754865435191565,3.3655800000000022,-5.2995677449293925,5.016863156547127e-06,Moderately Soluble,23.10389,18.739658,44.578938,0,3,0,0.53344226,0.17125244,0.91199607,0.07755528,0.7042548,0.051000565,0.31617016,0.51494044,0.066394374,0.9267763,0.999557,0.7322213,0.9077922,0.8503741,-4.583415,93.71976,5.3420143,441.4910000000003,3.3655800000000022,0.4110187535194017,4.0,3.5223957292207047,0.7197338078643661,3,0,1
O=C(c1cc(F)cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5932203389830508,6.7,5,KNN | KNN | DT | LGBM | ET,0.4207212335521988,2.634639711281976,5.579278766447802,0.8726582777150437,0.4343912362366834,11.904701264391178,11.13613992602521,5.127341722284957,0.4343912362366834,1.050150285291231,52.9742846388216,4.275934899261057,5.978748545308855,0.4343912362366834,3.2429000000000023,-5.079376714187515,8.329583493722114e-06,Moderately Soluble,33.43278,32.67581,46.762466,0,3,0,0.5444437,0.15939347,0.87861204,0.078359775,0.7173141,0.119241536,0.5052239,0.5596098,0.12150214,0.919333,0.99988383,0.73302203,0.9446642,0.8055361,-4.466086,95.18449,6.629981,420.44400000000024,3.2429000000000023,0.4327273065047823,4.0,3.5020667214713574,0.7219925865031824,3,0,1
O=C(Nc1cccc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4651162790697674,8.43,5,KNN | KNN | DT | LGBM | ET,0.4207212335521988,2.634639711281976,5.579278766447802,1.3025348667021324,0.625245470712189,53.12221394895862,74.13786945297711,4.697465133297868,0.625245470712189,1.1941358700862084,337.2997266996212,3.471984010701977,5.922946255893758,0.625245470712189,3.4955000000000025,-5.247047247346574,5.661776906301673e-06,Moderately Soluble,33.463398,31.66836,49.93486,0,3,0,0.58538926,0.21523619,0.90966624,0.10510699,0.7597822,0.19702777,0.5736011,0.64569354,0.15836537,0.9019536,0.99939156,0.77697235,0.9346789,0.76722854,-4.74271,97.84731,5.5594726,417.4690000000002,3.4955000000000025,0.4688932813754169,4.0,3.3945335227735054,0.7339407196918327,3,0,1
Nc1cc(C(=O)N2CC3(CCN(c4cncc(C#CC5CC5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5932203389830508,9.05,5,KNN | KNN | DT | LGBM | ET,0.4207212335521988,2.634639711281976,5.579278766447802,1.0632572008558372,0.7350957384445835,47.064960270306884,76.70270667776236,4.936742799144163,0.7350957384445835,0.419246604099984,319.1867452062806,3.495955151792779,6.3775304464955465,0.7350957384445835,2.686000000000001,-4.646662182926614,2.2559933600342124e-05,Moderately Soluble,15.104546,15.9073925,43.130665,0,4,0,0.6553272,0.20781446,0.9159778,0.06549107,0.7860152,0.11830562,0.5261588,0.6298332,0.11490868,0.9475306,0.99981564,0.7480128,0.93032295,0.7847223,-4.8313723,92.1042,6.9422407,417.4690000000002,2.686000000000001,0.3562486782899815,4.0,3.5572794535668484,0.7158578384925725,4,0,1
N#Cc1cc(CN2CC3(CCN(c4cncc(C#CC5CC5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5714285714285714,7.85,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,0.8927844962086805,0.49573840993841284,13.273692852446198,11.407649869210026,5.10721550379132,0.49573840993841284,0.8339446227892051,73.18663503541805,4.13556822031203,6.078862787270609,0.49573840993841284,3.335280000000002,-5.098388528658376,7.97281104264379e-06,Moderately Soluble,23.97931,23.716982,49.541664,0,3,0,0.55360895,0.47432575,0.77981585,0.12944366,0.8830212,0.13539223,0.4238152,0.5433621,0.3357931,0.92910635,0.9991945,0.70547885,0.84448755,0.8291238,-4.7362967,94.65166,7.238927,413.4810000000002,3.335280000000002,0.4341256933267933,4.0,3.622692963332944,0.7085896707407839,3,0,1
CCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6551724137931034,9.55,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.1327626624062124,0.633349876618885,46.57444147848943,76.8017237462029,4.867237337593788,0.633349876618885,0.7787479281499307,236.6619401756978,3.625871579420773,6.108603095766802,0.633349876618885,3.4662000000000015,-5.322814977705624,4.755377759510836e-06,Moderately Soluble,33.096546,27.93637,42.595848,0,4,0,0.5997941,0.28147942,0.9014804,0.06442964,0.8834075,0.2646338,0.66785395,0.7659069,0.15353025,0.9828761,0.9999558,0.76664793,0.95948,0.8880172,-4.8425827,94.57998,8.963029,433.51200000000017,3.4662000000000015,0.34255474914715556,4.0,3.8948799721467413,0.6783466697614732,4,0,1
CNc1cc(C(=O)N2CC3(CCN(c4cncc(C#CCCCCO)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7280701754385965,9.84,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.2123786081219599,0.6616915480785701,50.52233649007206,75.29376864008364,4.78762139187804,0.6616915480785701,0.823120037287316,323.0680738167517,3.4907059576440425,6.084536826112037,0.6616915480785701,2.8981000000000012,-5.080301334570364,8.311868532362252e-06,Moderately Soluble,26.097233,27.409801,41.994904,0,4,0,0.57045406,0.26881593,0.91209286,0.08498739,0.85277015,0.06141494,0.5452275,0.6899304,0.13291647,0.96948373,0.99963206,0.7670266,0.9187334,0.8780092,-5.1576014,90.42839,12.174445,463.53800000000035,2.8981000000000012,0.2810214295341864,4.0,3.529269259496221,0.7189700822781977,4,0,1
CNC(=O)c1cc(CN2CC3(CCN(c4cncc(C#CC5CC5)c4)C3)C2)cc([N+](=O)[O-])c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5737704918032787,9.75,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0245590435195415,0.7301358480980961,45.83703480046711,77.22251224145928,4.975440956480458,0.7301358480980961,0.39218662743376176,285.5126176655541,3.54437469420819,6.4065072187527266,0.7301358480980961,2.823200000000001,-4.91706271893505,1.2104233168153374e-05,Moderately Soluble,14.707876,8.443899,51.974987,0,3,0,0.47795373,0.5108358,0.75849557,0.15150039,0.90625966,0.10456894,0.39357784,0.5065527,0.37599203,0.9187897,0.9990045,0.73420817,0.82743853,0.8205721,-5.1454906,89.957855,9.628456,445.52300000000025,2.823200000000001,0.43236009020698773,4.0,3.5272895257467587,0.7191900526948045,3,0,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc(N)cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7685185185185185,9.26,5,KNN | KNN | DT | LGBM | ET,0.4207212335521989,2.6346397112819764,5.579278766447801,1.0419202754552284,0.7651771522401469,47.29585719623411,76.68581794464112,4.958079724544771,0.7651771522401469,0.34847614766665386,348.0707217953223,3.4583325061540835,6.457826942935459,0.7651771522401469,3.4662000000000015,-5.319363432139666,4.793321595802333e-06,Moderately Soluble,38.25124,34.25671,42.674053,0,5,0,0.56828034,0.23421836,0.9264919,0.07704042,0.8519453,0.15603246,0.628715,0.75360346,0.11655255,0.9704455,0.99988997,0.78353405,0.95196533,0.8813807,-4.78674,98.07588,7.376075,433.51200000000017,3.4662000000000015,0.25447386960465257,4.0,3.4731771210076037,0.7252025421102662,5,0,1
O=C(c1cc2c(cc1[N+](=O)[O-])OCO2)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.6693548387096774,8.41,5,KNN | KNN | DT | LGBM | ET,0.45873922024559555,2.8756711489225864,5.5412607797544045,0.9656825076107367,0.4144507565937986,13.854608632531159,10.828950520362655,5.034317492389263,0.4144507565937986,1.4235050909919937,59.97993496601116,4.221994009465418,5.846640975313108,0.4144507565937986,3.4708000000000023,-5.7069338057670835,1.963659550802752e-06,Moderately Soluble,61.197197,57.89742,52.037098,0,3,0,0.49143618,0.24947155,0.95616245,0.10474871,0.8720349,0.10152154,0.58805597,0.7895737,0.14743945,0.97765744,0.9999398,0.7514311,0.9085928,0.9489415,-4.6429486,102.82129,1.4585049,482.4960000000002,3.4708000000000023,0.3202997029679085,4.0,3.3990658016844364,0.7334371331461738,3,0,1
O=[N+]([O-])c1cccc(S(=O)(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4142857142857143,8.61,5,KNN | KNN | DT | LGBM | ET,0.45873922024559555,2.8756711489225864,5.5412607797544045,1.2443456767997012,0.6628595708995422,52.02424052889556,74.70586769184766,4.755654323200298,0.6628595708995422,0.8813347979994021,349.583105248683,3.456449564237196,6.054859082163402,0.6628595708995422,3.290600000000002,-5.529762492274818,2.952823630529195e-06,Moderately Soluble,61.55067,58.72869,58.906654,0,3,0,0.73974264,0.19409972,0.9423461,0.19009365,0.8388074,0.13074055,0.6069986,0.7154144,0.15610202,0.935808,0.99980676,0.73569363,0.8999283,0.9399322,-4.6946,104.149704,0.08050299,474.5420000000002,3.290600000000002,0.3270867944484248,4.0,3.2506269071964606,0.7499303436448377,3,0,1
