canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CC(C)(C)OC(=O)N1CCC2(C1)CN(c1cncc(C#CC3CC3)c1)C2,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3565891472868217,9.82,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,0.8824989854002624,0.3228250251742512,10.342975340305824,8.855951904205119,5.117501014599737,0.3228250251742512,1.7773048911049687,32.751864965253965,4.484763965258205,5.750238063941271,0.3228250251742512,3.290300000000002,-4.6118160103259,2.444465935948885e-05,Moderately Soluble,56.564636,51.99233,40.707268,0,1,0,0.17725909,0.22454536,0.69295204,0.08837866,0.6438459,0.23384671,0.5687932,0.5209888,0.08753233,0.71432614,0.9997827,0.76941246,0.9653592,0.59678096,-4.5518446,94.36017,8.904187,353.4660000000002,3.290300000000002,0.7270065061949308,4.0,3.444288329613787,0.7284124078206904,1,0,1
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3779527559055118,7.29,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,0.8957491087190782,0.3281876103103728,10.649348716837403,8.772131703379241,5.1042508912809215,0.3281876103103728,1.788551263863722,34.59368487158814,4.461003175072591,5.747498607489253,0.3281876103103728,3.290300000000002,-4.6118160103259,2.444465935948885e-05,Moderately Soluble,60.528114,54.043922,41.54251,0,1,0,0.18171215,0.22591281,0.69511676,0.090102755,0.66564715,0.28713456,0.586772,0.5658632,0.099892415,0.767943,0.9997622,0.76465195,0.967028,0.64511657,-4.5823603,95.09494,8.9233265,353.4660000000002,3.290300000000002,0.7270065061949308,4.0,3.459755637306096,0.7266938180771005,1,0,1
CC(C)(O)CC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3969465648854962,9.77,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.071027324227294,0.4534855701030449,17.842686284929112,11.893997153798123,4.928972675772706,0.4534855701030449,1.5212325406613056,91.17148772678068,4.040140958370738,5.817804393174674,0.4534855701030449,2.6811000000000016,-4.4694168911836085,3.3929941340270896e-05,Moderately Soluble,16.769436,33.807205,41.897144,0,1,0,0.26162606,0.2681746,0.7960621,0.071016625,0.6336731,0.074511,0.2241443,0.28974348,0.031945884,0.6579321,0.9988958,0.8549616,0.8917742,0.54440176,-4.5918508,92.46043,9.764013,389.49900000000014,2.6811000000000016,0.8204014514733262,4.0,3.349548292628201,0.7389390785968666,1,0,1
C=CCOC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3893129770992366,8.62,5,KNN | KNN | DT | LGBM | ET,0.6269673230267181,4.236110917115642,5.373032676973282,0.8742033556651265,0.3438296648732025,10.15776370613573,7.669484797807399,5.125796644334874,0.3438296648732025,1.5859781965982718,35.32722292124513,4.451890501183397,5.799702787486351,0.3438296648732025,3.3161000000000023,-4.8405725349965785,1.4435354877431438e-05,Moderately Soluble,60.202934,61.034718,46.73542,0,2,0,0.20313148,0.25116894,0.84506524,0.10271151,0.6776825,0.49718076,0.5462123,0.6626511,0.08121009,0.86473036,0.9997215,0.82279646,0.9525008,0.68568385,-4.631179,98.99516,5.8764067,373.4560000000001,3.3161000000000023,0.6116733295874957,4.0,3.29505762412903,0.7449935973189967,2,0,1
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)C4CCOCC4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5327868852459017,9.43,5,KNN | KNN | DT | LGBM | ET,0.6976196075069574,4.984477127902903,5.302380392493043,0.8953558571396633,0.1873493021644952,8.59946376203514,3.5349885009552757,5.104644142860336,0.1873493021644952,3.3740477531375,18.304610387387648,4.737439510617926,5.471848775102748,0.1873493021644952,3.4787000000000026,-5.005884394500141,9.865420597934993e-06,Moderately Soluble,45.217934,49.328346,40.18856,0,2,0,0.11760173,0.2769882,0.61942303,0.040371437,0.6872638,0.068919234,0.23162445,0.24135622,0.039409444,0.7943634,0.9999027,0.8274047,0.96171296,0.5726358,-4.615781,93.75774,10.074144,395.54700000000025,3.4787000000000026,0.5656513031600198,4.0,3.398238871561463,0.7335290142709485,2,0,1
COc1cc2[nH]ncc2cc1C(=O)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4444444444444444,9.01,5,KNN | KNN | DT | LGBM | ET,0.6976196075069575,4.984477127902903,5.302380392493043,1.219938036588334,0.3677264463853308,22.344092140418056,14.090832393472102,4.780061963411666,0.3677264463853308,3.156415749265656,87.23321353587414,4.059318128496417,5.5008057983269145,0.3677264463853308,3.0805000000000016,-5.040453903585137,9.1105814768203e-06,Moderately Soluble,31.945572,25.616272,50.80401,0,1,0,0.11818119,0.28831375,0.8626954,0.029384654,0.79312974,0.1443173,0.4411754,0.6368087,0.07752671,0.958148,0.99997723,0.76773345,0.9165694,0.59797406,-5.045365,96.46507,7.689546,427.50800000000027,3.0805000000000016,0.6505517843454918,4.0,3.5803755156564323,0.7132916093715076,1,0,1
CCCCCCC#Cc1cncc(N2CCC3(CC2)CN(C(=O)c2ccc(C(=O)O)o2)C3)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5634920634920635,9.06,5,KNN | KNN | DT | LGBM | ET,0.1341047101992145,1.361772971994834,5.865895289800785,0.8631034279271187,0.8458993683949397,44.38094244693066,77.91013118183844,5.136896572072882,0.8458993683949397,0.1603764758189842,331.94504479919834,3.4789338100188,6.794859334126963,0.8458993683949397,4.437300000000003,-6.121019663830166,7.567986281877057e-07,Poorly Soluble,20.530535,20.605288,16.719671,0,2,0,0.1845971,0.33543968,0.911839,0.30526477,0.5019604,0.08925916,0.23792437,0.49311274,0.11056545,0.4566748,0.9469158,0.80135775,0.55121297,0.69860834,-5.072677,96.61949,0.9402169,449.5510000000002,4.437300000000003,0.4968383608595456,4.0,3.3564748855482485,0.7381694571613058,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cc(C)c(C)o4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5853658536585366,9.68,5,KNN | KNN | DT | LGBM | ET,0.1430935290674003,1.3902520017514717,5.8569064709326,0.3736989840731217,0.5101719200823789,4.008016443433631,3.509711355033372,5.626301015926878,0.5101719200823789,0.2364623605378419,23.639372678979804,4.626364052565416,6.626237979288341,0.5101719200823789,5.355940000000006,-6.704718124953496,1.9737033354284858e-07,Poorly Soluble,88.006035,75.17561,67.06689,0,2,0,0.18815707,0.18175352,0.76757413,0.035251226,0.86814916,0.5606315,0.8131684,0.8362125,0.09313409,0.9831995,0.99999845,0.64446354,0.97850496,0.9065731,-4.7865286,102.622536,10.835154,433.5960000000002,5.355940000000006,0.4547593638293553,3.0,3.877126579886829,0.6803192689014634,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4ccco4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.5785123966942148,9.27,5,KNN | KNN | DT | LGBM | ET,0.1430935290674003,1.3902520017514717,5.8569064709326,0.4135197350354211,0.5490163888214585,4.514469387694802,3.578405577075432,5.586480264964579,0.5490163888214585,0.2174941664441268,30.873925874788725,4.51040814287452,6.662552387054637,0.5490163888214585,4.739100000000004,-6.071446233346612,8.4830839847791e-07,Poorly Soluble,67.51124,64.23879,52.541527,0,2,0,0.192682,0.2690695,0.7466689,0.05569192,0.8822273,0.73264843,0.8641097,0.89372647,0.24592486,0.98331964,0.9999962,0.6255848,0.97273767,0.8996903,-4.6951942,100.909096,10.051107,405.54200000000014,4.739100000000004,0.5145173502024664,4.0,3.716768985765718,0.6981367793593647,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4occc4C)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5819672131147541,9.55,5,KNN | KNN | DT | LGBM | ET,0.1430935290674003,1.3902520017514717,5.8569064709326,0.4019332316128988,0.5509277934948847,4.412150712742845,3.548413475599535,5.598066768387101,0.5509277934948847,0.2099494572993862,30.32157155563952,4.518248293137127,6.677885243637075,0.5509277934948847,5.047520000000005,-6.3879246276564885,4.093316935866061e-07,Poorly Soluble,73.17897,64.022865,59.200554,0,2,0,0.15150952,0.19952248,0.7380518,0.039319605,0.88465023,0.6562086,0.8761341,0.8969342,0.17288503,0.988897,0.99999857,0.5893533,0.97457945,0.91466093,-4.6983223,101.569046,10.476922,419.5690000000002,5.047520000000005,0.4857362820783368,3.0,3.851220614671884,0.6831977094809019,2,0,0
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4ccc(C)o4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.5819672131147541,9.65,5,KNN | KNN | DT | LGBM | ET,0.1430935290674003,1.3902520017514717,5.8569064709326,0.4428044464124607,0.5823227154283331,5.073053052889355,3.9555334707523824,5.55719555358754,0.5823227154283331,0.2001943996759098,38.38459552790332,4.415843031348007,6.698548075827072,0.5823227154283331,5.047520000000005,-6.3879246276564885,4.093316935866061e-07,Poorly Soluble,77.75716,72.052055,58.765434,0,2,0,0.19643363,0.20968989,0.744253,0.039936338,0.87612647,0.6497862,0.8539322,0.87251264,0.16886468,0.9863836,0.9999984,0.6111208,0.97675496,0.9048564,-4.7276325,101.46922,10.84102,419.5690000000002,5.047520000000005,0.4857362820783368,3.0,3.7621698454411145,0.6930922393954317,2,0,0
