canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,qsar_model_count,qsar_models_used,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_logIC50_uM_ensemble_mean,pred_logIC50_uM_ensemble_std,pred_ic50_uM_ensemble_mean,pred_ic50_uM_ensemble_std,pred_pIC50_ensemble_mean,pred_pIC50_ensemble_std,pred_ic50_uM_lower95,pred_ic50_uM_upper95,pred_pIC50_lower95,pred_pIC50_upper95,pred_pIC50_uncertainty,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,PAINS_alert,BRENK_alert,NIH_alert,AMES,ClinTox,DILI,Carcinogens_Lagunin,hERG,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,HIA_Hou,Bioavailability_Ma,PAMPA_NCATS,Pgp_Broccatelli,Caco2_Wang,PPBR_AZ,VDss_Lombardo,molecular_weight,logP,QED,Lipinski,sa_score,sa_accessibility,liability_alert_count,passes_qsar_uncertainty,passes_optimal
CC(=O)N1CCCC(C(=O)N2CCC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3333333333333333,8.89,5,KNN | KNN | DT | LGBM | ET,0.5327965792122313,3.4103313644243727,5.467203420787769,0.9112486873462657,0.3135618067127634,10.55684983060588,7.467656669072315,5.088751312653734,0.3135618067127634,1.9800107409827417,33.560608648280166,4.474170171496718,5.70333245381075,0.3135618067127634,3.168700000000001,-5.252302762494774,5.593675100811715e-06,Moderately Soluble,24.966103,30.07188,44.145947,0,1,0,0.34641495,0.3849507,0.73799074,0.0476397,0.8529968,0.06335581,0.22555098,0.36574253,0.069392644,0.94281274,0.99988616,0.7685629,0.94101924,0.8313616,-4.693535,89.08027,11.201996,456.5900000000002,3.168700000000001,0.6517375756074286,4.0,3.9431597468003687,0.6729822503555145,1,0,1
CN1CC(NC(=O)c2cc(N)cc(C#N)c2)CC2(CCN(c3cncc(C#CCCO)c3)CC2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3862068965517241,9.48,5,KNN | KNN | DT | LGBM | ET,0.5327965792122313,3.4103313644243727,5.467203420787769,1.2756196569813727,0.4454948601292287,28.078141390973496,19.70457437138685,4.724380343018627,0.4454948601292287,2.526095301833284,140.86061585517197,3.851210417165339,5.597550268871916,0.4454948601292287,1.990079999999999,-4.4727916124532365,3.366730764864765e-05,Moderately Soluble,-4.083333,-4.8349824,40.40204,0,2,0,0.17058931,0.6717828,0.7626541,0.04786701,0.8273655,0.02234799,0.047127493,0.17458138,0.07404958,0.7154611,0.9920664,0.86115724,0.62466973,0.49334413,-5.633456,68.32504,12.525262,472.59300000000036,1.990079999999999,0.4599641083221186,4.0,4.078277281551121,0.6579691909387644,2,0,1
CNC(=O)c1ccc2[nH]cc(C(=O)N3CCC4(CC3)CCN(c3cncc(C#CCOC)c3)C4)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3892617449664429,8.82,5,KNN | KNN | DT | LGBM | ET,0.5383164249959161,3.4539530113608636,5.461683575004084,1.2051004886798258,0.39097175467696765,22.027427407281408,14.404950877471153,4.794899511320175,0.39097175467696765,2.7466027434212936,93.62786663488626,4.028594872153318,5.561204150487031,0.39097175467696765,3.0531000000000015,-5.378614481661365,4.18201434646961e-06,Moderately Soluble,27.366766,8.899173,56.92856,0,1,0,0.11825086,0.46685553,0.87807494,0.06814478,0.84046966,0.15011182,0.22029357,0.6095049,0.09269878,0.94161445,0.99953777,0.8356821,0.8891842,0.8300702,-5.385392,86.55037,11.612652,485.58800000000036,3.0531000000000015,0.5546715554853021,4.0,3.4553956833412416,0.7271782574065286,1,0,1
CC(=O)Nc1ccc2[nH]cc(C(=O)N3CCC4(CC3)CCN(c3cncc(C#CCO)c3)C4)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3972602739726027,9.24,5,KNN | KNN | DT | LGBM | ET,0.5383164249959161,3.4539530113608636,5.461683575004084,1.2049137838838442,0.39421194630409173,21.902866137953065,13.171408733343911,4.795086216116156,0.39421194630409173,2.7055674732381974,94.96623023093396,4.0224308013601355,5.567741630872176,0.39421194630409173,2.9978000000000016,-5.253352881706665,5.580165995840151e-06,Moderately Soluble,18.614702,5.7308183,58.931816,0,1,0,0.14090335,0.5110797,0.88417053,0.097428665,0.80278885,0.07023059,0.1908526,0.5615813,0.096871406,0.8482539,0.9975885,0.82362366,0.73457056,0.77755314,-5.4740396,86.53185,11.296179,471.5610000000003,2.9978000000000016,0.5100385458311665,4.0,3.3695667148206443,0.7367148094643728,1,0,1
N#Cc1ccc2[nH]cc(C(=O)N3CCC4(CC3)CCN(c3cncc(C#CCO)c3)C4)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3916083916083916,9.84,5,KNN | KNN | DT | LGBM | ET,0.5383164249959161,3.4539530113608636,5.461683575004084,1.246777043431765,0.4190771549730092,25.086247637261447,16.197448374369433,4.753222956568235,0.4190771549730092,2.6630898520550055,116.99526007637449,3.931831732821137,5.574614180315333,0.4190771549730092,2.911080000000001,-4.991635753328997,1.0194460481280137e-05,Moderately Soluble,21.069244,7.3167253,50.413986,0,1,0,0.14136271,0.42054987,0.9040928,0.09064941,0.75146306,0.12541878,0.22588465,0.63371384,0.061556555,0.89310277,0.99881506,0.8253436,0.82745373,0.8134619,-5.1536093,89.10318,8.630932,439.5190000000001,2.911080000000001,0.5988180513414227,4.0,3.4370220009328643,0.7292197776741263,1,0,1
N#Cc1ccc2[nH]cc(C(=O)N3CC4(CCN(c5cncc(C#CCO)c5)CC4)C3)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4130434782608695,9.63,5,KNN | KNN | DT | LGBM | ET,0.5383164249959161,3.4539530113608636,5.461683575004084,1.277196146317707,0.4494151485860583,28.58106516888546,20.693837550353674,4.722803853682293,0.4494151485860583,2.490820635846663,143.8963697335989,3.8419501624536188,5.603657544910967,0.4494151485860583,2.5209800000000007,-4.6155904476332,2.4233132246137025e-05,Moderately Soluble,17.112034,6.4423485,45.947132,0,1,0,0.23488979,0.3777772,0.914021,0.077455804,0.64773566,0.07433494,0.14587864,0.4439538,0.03482164,0.79042256,0.997406,0.8409802,0.78106457,0.60781384,-5.0869164,87.78947,6.9225626,425.49200000000025,2.5209800000000007,0.6153440768297018,4.0,3.4125781912417166,0.7319357565286981,1,0,1
NC(=O)c1ccc2[nH]cc(C(=O)N3CCC4(CC3)CCN(c3cncc(C#CCO)c3)C4)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3958333333333333,7.67,5,KNN | KNN | DT | LGBM | ET,0.5383164249959163,3.4539530113608645,5.461683575004084,1.244606571996729,0.4167292337857686,24.839917395949932,15.837598468160783,4.755393428003271,0.4167292337857686,2.678041321468936,115.18498503403207,3.9386041297831644,5.572182726223377,0.4167292337857686,2.1383,-4.528484036993857,2.9615288178801108e-05,Moderately Soluble,17.787409,1.9849689,42.258976,0,1,0,0.12582874,0.45812225,0.8723117,0.09618829,0.6371511,0.04952653,0.089391805,0.35516256,0.06723066,0.6644631,0.9931906,0.84101427,0.599953,0.5326552,-5.559249,81.044395,8.659089,457.5340000000002,2.1383,0.5214236369205517,4.0,3.3892635981932386,0.734526266867418,1,0,1
CC(=O)Nc1ccc2nccc(N3CCC4(CC3)CN(c3cncc(C#CCO)c3)C4)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3655172413793103,10.14,5,KNN | KNN | DT | LGBM | ET,0.5961650780225352,3.9460726623836266,5.403834921977465,1.2365947045519747,0.4329715488881947,26.509467451637118,22.4314774269455,4.763405295448026,0.4329715488881947,2.443264409317934,121.67992696528825,3.9147810596271637,5.612029531268887,0.4329715488881947,3.038800000000001,-5.109161014975685,7.777481469236081e-06,Moderately Soluble,12.618446,3.0796657,64.0122,0,1,0,0.21966891,0.5951234,0.90630996,0.089135155,0.81619346,0.09744379,0.18332848,0.4187563,0.08148815,0.74571085,0.9973219,0.83881104,0.73966223,0.662166,-5.3776174,88.479095,11.9395485,441.5350000000002,3.038800000000001,0.6083802560202322,4.0,3.3227522134834704,0.7419164207240588,1,0,1
CN1CCC2(CCN(c3cncc(C#CCCCN4CCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3692307692307692,7.97,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.1225053737667445,0.32677017795478086,17.03939254360327,10.88512557011415,4.877494626233256,0.32677017795478086,3.034141460365158,57.93952394741562,4.237025077441885,5.517964175024626,0.32677017795478086,2.3677,-3.999814735548187,0.00010004266781662505,Soluble,-6.545726,3.2948215,47.54159,0,2,0,0.28920546,0.6124959,0.27899247,0.07092592,0.90476733,0.11105807,0.1230947,0.082519315,0.5067145,0.7055359,0.9995586,0.7140973,0.9144508,0.55702555,-4.8291245,48.141342,13.463539,366.50900000000024,2.3677,0.6058640236494688,4.0,3.7706226586913427,0.6921530379231842,2,0,1
CN1CC2(CCN(c3cncc(C#CCCCN4CCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3888888888888889,8.8,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.1232925320159548,0.3356238583081816,17.37933083118037,11.651619133421596,4.876707467984045,0.3356238583081816,2.9205844577759668,60.41089838845019,4.21888470570001,5.534530230268081,0.3356238583081816,1.9776,-3.621357913772641,0.000239134417299762,Soluble,-8.814028,2.08881,46.665222,0,2,1,0.36782485,0.6005585,0.29483765,0.08644184,0.88602334,0.10501746,0.11306469,0.06489382,0.4695449,0.6544495,0.9991741,0.7290127,0.89186734,0.4496602,-4.7880864,49.353153,12.359415,352.48200000000014,1.9776,0.47192135743286817,4.0,3.836573485553388,0.6848251682718458,3,0,1
CN1CCC2(CCN(c3cncc(C#CCCN4CCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3461538461538461,7.42,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.0912107802314885,0.36202150885853074,17.03437900525775,12.619931445526031,4.9087892197685115,0.36202150885853074,2.4079564212116193,63.208129358533654,4.199227062405791,5.618351377131232,0.36202150885853074,1.9776,-3.624809459338599,0.00023724143411465044,Soluble,-1.5742649,6.706004,40.211395,0,1,0,0.2724735,0.56776893,0.28239578,0.07963232,0.8710238,0.10629634,0.12660837,0.08495347,0.43447337,0.64835566,0.99953306,0.7362069,0.9086925,0.39710522,-4.7457724,50.065674,10.765714,352.4820000000002,1.9776,0.780128223972601,4.0,3.7877329997234295,0.690251888919619,1,0,1
CN(C)CCN1CCC2(CCN(c3cncc(C#Cc4cccnc4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.316546762589928,8.39,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.2065648225534538,0.3798117050872217,22.73682457327484,18.15114745610793,4.793435177446546,0.3798117050872217,2.8982368936457354,89.32967717756713,4.049004235475592,5.537866119417501,0.3798117050872217,1.8667999999999998,-3.862046701765551,0.00013738942256426572,Soluble,8.312476,23.922867,43.406982,0,1,0,0.23937479,0.66586006,0.6856173,0.06390014,0.8735777,0.13957325,0.088886775,0.18302596,0.10419619,0.91158074,0.999658,0.86826307,0.8863783,0.4177025,-4.8530626,64.49318,14.420657,389.50300000000016,1.8667999999999998,0.7475440816188155,4.0,3.8035639205028,0.6884928977219111,1,0,1
CN(C)CCN1CCC2(CCN(c3cncc(C#Cc4ccccn4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.316546762589928,9.7,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.198316344805694,0.40131413797782545,23.658264824035157,21.099739522597925,4.8016836551943065,0.40131413797782545,2.5807184957247826,96.58107949592166,4.015107944757768,5.588259365630844,0.40131413797782545,1.8668,-3.8620467017655513,0.00013738942256426558,Soluble,12.689898,30.118336,50.957573,0,1,0,0.3580076,0.6448127,0.68618214,0.09838351,0.7963563,0.13568419,0.06005933,0.10159196,0.09456886,0.65646476,0.9982964,0.8935097,0.8746303,0.31304675,-4.616787,74.89381,15.087336,389.50300000000016,1.8668,0.7475440816188155,4.0,3.813519964458843,0.6873866706156841,1,0,1
Cn1nccc1C(=O)N1CCC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3617021276595745,9.78,5,KNN | KNN | DT | LGBM | ET,0.6051538968907209,4.028597666980577,5.394846103109279,1.0376320237873702,0.4014146226016999,16.438478708955888,13.85670769512326,4.962367976212629,0.4014146226016999,1.7818016775674954,66.7428402374173,4.175595315913299,5.749140636511962,0.4014146226016999,2.9575000000000014,-4.880809195948167,1.3158027933963174e-05,Moderately Soluble,28.769485,30.298223,57.05619,0,1,0,0.27850896,0.3208362,0.8894663,0.06087876,0.83137816,0.40186614,0.43571243,0.6800966,0.06176295,0.97449017,0.9999784,0.8366035,0.9628682,0.7784509,-4.7196517,96.51109,9.312529,411.5090000000002,2.9575000000000014,0.6087087794533765,4.0,3.724260986607641,0.6973043348213732,1,0,1
CC(=O)Nc1ccc2nccc(N3CCC4(CCN(c5cncc(C#CCO)c5)C4)C3)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3724137931034483,8.92,5,KNN | KNN | DT | LGBM | ET,0.605153896890721,4.028597666980578,5.394846103109279,1.204463493590013,0.40542888580105946,23.04068158531356,16.783059377872117,4.795536506409987,0.40542888580105946,2.569347686776966,99.7939262729257,4.00089589023991,5.590177122580064,0.40542888580105946,3.038800000000001,-5.109161014975685,7.777481469236081e-06,Moderately Soluble,12.864903,4.243158,61.92736,0,1,0,0.21917582,0.6002016,0.9018386,0.08756998,0.84994584,0.1537114,0.2473582,0.5446519,0.10639371,0.8695242,0.9986016,0.82827806,0.7916745,0.7248057,-5.372579,88.33854,11.474947,441.5350000000002,3.038800000000001,0.6083802560202322,4.0,3.804905360313761,0.6883438488540266,1,0,1
COc1ccc2[nH]cc(C(=O)N3CCC4(CCN(c5cncc(C#CCO)c5)C4)C3)c2c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.4306569343065693,9.86,5,KNN | KNN | DT | LGBM | ET,0.6089094503777877,4.06358595292238,5.391090549622213,1.1994571917142838,0.37427900689624416,21.282880453583527,12.952975270163705,4.800542808285716,0.37427900689624416,2.923279481018798,85.71247686098349,4.066955954769078,5.534129661802355,0.37427900689624416,2.6579000000000006,-4.746864145647471,1.7911660721847875e-05,Moderately Soluble,28.943918,17.927105,40.13547,0,1,0,0.20080583,0.41309443,0.8726428,0.057534885,0.86335385,0.20623998,0.39479893,0.70737183,0.090408534,0.96993935,0.9998747,0.83159095,0.9254982,0.8082193,-5.1333265,91.22485,7.8332415,430.5080000000002,2.6579000000000006,0.6246838533799877,4.0,3.7610259487507838,0.6932193390276906,1,0,1
CC(=O)N1CCC2(CCN(c3cncc(C#CCCCN4CCCCC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.4135338345864661,10.04,5,KNN | KNN | DT | LGBM | ET,0.6263690502016621,4.230279378090881,5.373630949798338,1.0579345374277918,0.29128258083981595,14.087601904687833,8.54660575292647,4.9420654625722085,0.29128258083981595,3.0691681237055426,42.54498705716743,4.371151604126169,5.512979321018247,0.29128258083981595,3.1479000000000017,-4.757482134014245,1.7479051661788735e-05,Moderately Soluble,2.87426,10.275834,44.119232,0,2,0,0.30128497,0.59037197,0.22508554,0.050800104,0.9012715,0.01740883,0.037443772,0.028780501,0.3926112,0.4730034,0.99896985,0.69668996,0.8672644,0.5419316,-5.026197,46.880356,14.848928,394.56300000000033,3.1479000000000017,0.5810001654806543,4.0,3.726719027160847,0.6970312192043504,2,0,1
CC(C)N1CCC2(CCN(c3cncc(C#CCCN4CCCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3260869565217391,8.32,5,KNN | KNN | DT | LGBM | ET,0.6263690502016621,4.230279378090881,5.373630949798338,1.0251739157284407,0.3066403130818613,13.497345946638976,8.999977794829745,4.974826084271559,0.3066403130818613,2.6555770215794445,42.285252608070195,4.3738110706311115,5.575841097912007,0.3066403130818613,3.146300000000002,-4.756295455690498,1.7526877218974643e-05,Moderately Soluble,20.701385,22.910816,48.151543,0,1,0,0.27798605,0.68901634,0.37923232,0.08449985,0.94920313,0.0867733,0.22088233,0.17047012,0.57159084,0.811107,0.99949706,0.6690661,0.9248945,0.8146342,-4.7868094,66.96467,14.685974,394.5630000000003,3.146300000000002,0.7357977417090517,4.0,3.8302589754478538,0.6855267805057941,1,0,1
CC(=O)N1COC2(CCN(c3cncc(C#CCCCN4CCCCC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,0.3823529411764705,9.87,5,KNN | KNN | DT | LGBM | ET,0.6263690502016621,4.230279378090881,5.373630949798338,0.968935807598033,0.3104225113908731,12.163231843003295,9.43702113590266,5.031064192401967,0.3104225113908731,2.293547216682971,37.78887213303131,4.422636070075855,5.639492314728078,0.3104225113908731,2.4843,-4.278349880014888,5.268052810669035e-05,Moderately Soluble,1.3576447,11.359089,40.9588,0,2,0,0.62137735,0.63240206,0.32666254,0.07832857,0.84265125,0.027555889,0.07026384,0.034687754,0.27896795,0.3763378,0.99873716,0.77576065,0.85861033,0.38443378,-4.941066,47.206913,13.283503,396.53500000000037,2.4843,0.578114586140499,4.0,3.9886670814594893,0.6679258798378345,2,0,1
CN1CCC2(CCN(c3cncc(C#CCCCN4CCCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3609022556390977,7.12,5,KNN | KNN | DT | LGBM | ET,0.6263690502016621,4.230279378090881,5.373630949798338,1.1116642126642375,0.31259283895323836,16.328870805189027,10.137383141299392,4.8883357873357625,0.31259283895323836,3.154875665943301,53.0085808008604,4.275653822987415,5.50101775168411,0.31259283895323836,2.7578000000000014,-4.378531782234852,4.18281077178342e-05,Moderately Soluble,-2.3222866,7.645903,48.58298,0,2,0,0.30275577,0.68377817,0.3125993,0.07063645,0.9334525,0.10960071,0.12875494,0.087931484,0.5680162,0.6939274,0.99938583,0.6859882,0.9007071,0.71218264,-4.8638163,53.960827,14.659735,380.5360000000003,2.7578000000000014,0.5948438251967896,4.0,3.760131134906633,0.6933187627881519,2,0,1
CC(C)N1CC2(CCN(c3cncc(C#CCCN4CCCCC4)c3)C2)C1=O,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.3432835820895522,9.23,5,KNN | KNN | DT | LGBM | ET,0.6263690502016621,4.230279378090881,5.373630949798338,1.1239675063198362,0.31306396130103054,16.753456546168582,10.249451082769589,4.876032493680164,0.31306396130103054,3.238636022926275,54.64782360229056,4.262427129530144,5.489637857830184,0.31306396130103054,2.7562000000000015,-4.377345103911106,4.1942556292982544e-05,Moderately Soluble,17.396149,20.667704,45.78909,0,1,1,0.33986157,0.67916954,0.39347392,0.09107198,0.9413973,0.0928716,0.20545144,0.14170034,0.5397447,0.81537133,0.9994694,0.6984916,0.9212165,0.73717064,-4.7488465,66.955124,13.075735,380.5360000000003,2.7562000000000015,0.5948429402681562,4.0,3.9107675326552256,0.6765813852605305,2,0,1
