canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
COc1cc2oc(CCN3CCOCC3)c(C#N)c2cc1-c1cnco1,1,30.12,0.5373768663618216,3.4464887591242173,5.4626231336381785,2.842780000000001,-4.396667234254418,4.011739880065739e-05,Moderately Soluble,44.71778,52.14369,47.472206,1
COc1c2ccoc2c(CCCCCCCCCCCN2C(=O)C=CC2=O)c2oc(=O)ccc12,1,36.29,0.2695843376422467,1.8603057894819492,5.730415662357753,5.526200000000005,-7.034602773724518,9.234156406400401e-08,Poorly Soluble,57.813576,48.008324,89.1973,0
COCCNC(=O)c1ccc2oc(-c3ccc(C=CC(O)=NO)cc3)c(C3CCCCC3)c2c1,1,35.87,0.5196924727365575,3.308967279859589,5.4803075272634425,5.882600000000005,-7.321424879400723,4.770623252033462e-08,Poorly Soluble,2.2911365,-5.8149858,58.99763,0
N#CC1CCCCC1n1cc(C(N)=O)c(=Nc2ccc([N+](=O)[O-])cc2)[nH]1,1,21.21,0.6365939138712126,4.331057144189094,5.363406086128787,2.31058,-3.962778367878706,0.00010894859453847054,Soluble,16.78141,12.560165,2.898829,0
CC1=C2CCCCC2n2c(c(O)n(Cc3ccc4c(c3)OCO4)c2=O)O1,1,34.01,0.6605393418721965,4.576561911714971,5.339460658127804,2.913900000000001,-4.430428868562859,3.71168516790757e-05,Moderately Soluble,55.85022,72.57344,-16.601034,0
O=C(NCc1ccco1)c1coc(-c2cccc([N+](=O)[O-])n2)cc1=NO,1,33.41,0.6783401382813736,4.768042724442655,5.321659861718627,2.0627,-3.8865708137144437,0.00012984618263893038,Soluble,43.08081,58.563507,-10.183652,0
O=C(O)CCCC=CCC1C(=O)CC(O)C1C=CC(O)CCc1ccc(C(=O)c2ccccc2)o1,1,33.24,0.6880559126006476,4.875912602782138,5.311944087399352,4.127600000000004,-6.067565061466037,8.559234765939264e-07,Poorly Soluble,16.788242,-1.2538036,6.1319213,0
CC(C)(C)C1CCC2(CC1)C(Nc1ccc(Cl)cc1)=NC(=S)N2c1ccc(Cl)cc1,1,25.41,0.6933641885255637,4.935875406625097,5.306635811474436,7.584000000000006,-8.572762841170222,2.674466478308992e-09,Poorly Soluble,96.52954,53.166492,131.9721,0
Cc1ccc2c(c1)C(=O)C1(CCCC1)C1(CCN(C(=O)c3c[nH]c(C)n3)CC1)O2,1,32.82,0.6940596970235597,4.943786383566026,5.30594030297644,3.837040000000002,-5.34532852242081,4.515142668186976e-06,Moderately Soluble,52.440563,47.391205,5.01592,0
O=C(C#Cc1ccccc1)NCCC1CCN(CCCCCNC(=O)C=Cc2ccccc2)CC1,1,25.92,0.7102058800994603,5.131045668740089,5.28979411990054,4.256300000000003,-6.123157174999901,7.530829670473583e-07,Poorly Soluble,19.438457,19.54046,54.681805,0
