canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
CCOc1ccc(NC(=O)CSc2nnc(-c3ccoc3C)n2C2CC2)cc1,1,24.44,-0.10719088544430737,0.7812843312251087,6.107190885444307,4.310920000000003,-5.787598281295878,1.6308038148557497e-06,Moderately Soluble,98.79564,102.76229,38.96474,0
N#Cc1c(NC(=O)COCc2ccc(C3(C(F)(F)F)CC3)o2)sc2c1CCCCC2,1,36.52,0.041604730808123366,1.1005372096042083,5.958395269191876,5.230880000000004,-6.639766981200373,2.2920971375678978e-07,Poorly Soluble,97.47807,87.296074,66.86766,0
OCCN(Cc1ccc(C(F)(F)F)cc1)Cc1ccc(C=CC(O)=NO)o1,1,25.05,0.44422759825593794,2.7811703981714992,5.555772401744062,3.6518000000000015,-5.135351738981097,7.322312522862573e-06,Moderately Soluble,10.953367,14.031314,6.3803325,0
O=C(NN=c1scc(O)n1Cc1ccco1)c1cc(-c2ccccc2)on1,1,26.07,0.46913937414744905,2.9453667116853883,5.530860625852551,2.797200000000001,-4.656824678457362,2.2038159480679207e-05,Moderately Soluble,64.91825,77.83938,3.0744712,0
Cc1onc(-c2ccccn2)c1COc1cnc(N2CC(C)(C)OC2=O)nc1,1,28.91,0.5086634150645217,3.2259929582174407,5.491336584935478,3.1492200000000015,-4.838502470765772,1.4504325225556066e-05,Moderately Soluble,62.65492,68.01648,-5.1106,0
O=C(Cn1nnc(-c2cccs2)n1)Nc1cc([N+](=O)[O-])ccc1N1CCCCC1,1,27.83,0.534410435813432,3.423027875301717,5.465589564186568,2.9388000000000014,-4.86747965009226,1.3568141055837723e-05,Moderately Soluble,65.52082,54.42866,0.14506912,0
CCCc1n[nH]c(=NC(=O)CSc2nnc(-c3ccco3)n2CC)s1,1,23.37,0.6176763917635155,4.146449608140079,5.382323608236485,2.5147000000000004,-4.338708001127235,4.584500230200799e-05,Moderately Soluble,87.40755,97.010414,-5.402439,0
O=C(O)Cc1sc(=NN=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)[nH]c1O,1,22.68,0.6176763917635155,4.146449608140079,5.382323608236485,2.511900000000001,-4.402257417834649,3.960432193729311e-05,Moderately Soluble,1.4767433,5.776457,5.46647,0
NC(=O)c1ccc2c(c1)nc(-c1ccc([N+](=O)[O-])cc1)c(=O)c(=O)n2C1CCOCC1,1,34.98,0.6583228094895444,4.553263768193114,5.341677190510456,1.7822999999999998,-4.074302853443086,8.427468667986885e-05,Moderately Soluble,15.449262,20.488352,8.25648,0
Cc1ccc(CNC(=O)Cn2nc(-c3ccc(C)o3)oc2=O)o1,1,26.25,0.6783401382813736,4.768042724442655,5.321659861718627,1.62254,-3.301507607890754,0.000499450430850945,Soluble,57.31847,76.321396,-19.415432,0
CN(C)C(=O)c1cc(NC(=O)c2ccc(N3CCCC3)nc2)cn1C1CCC1,1,27.85,0.685168965701227,4.843607753194116,5.3148310342987735,3.1624000000000017,-4.757520811514903,1.7477495077587272e-05,Moderately Soluble,54.385033,42.3192,31.759283,0
CN1CCN=C1c1ccc(C2C(CO)N(C(=O)C3CCC3)C2CN2CCCCCC2)cc1,1,33.49,0.6976196057554537,4.984477107800574,5.302380394244547,2.71,-4.708893735871866,1.9548177063551375e-05,Moderately Soluble,4.006401,-15.066664,19.817513,0
CN1CCC2(C)c3cc(OC(=O)NC4CCCC4)ccc3N(Cc3ccccc3)C2O1,1,26.62,0.7267280062063772,5.330009783620187,5.273271993793623,4.588700000000004,-6.081325405278872,8.292292153398833e-07,Poorly Soluble,58.99633,45.848682,26.066742,0
O=C1CCC(CCN2CCC(O)CC2)(c2ccc(Cl)c(Cl)c2)CN1CC1CC1,1,24.12,0.7375698535909135,5.464744398591844,5.262430146409087,4.110400000000004,-5.671542205533994,2.130383522905764e-06,Moderately Soluble,-0.12570801,19.898184,68.20327,0
COC1CCN(CC2CCN(c3ccc4[nH]nc(-c5ccc(F)cc5)c4c3)CC2)CC1,1,34.04,0.7375698535909135,5.464744398591844,5.262430146409087,4.696200000000005,-6.205513837145218,6.229972976686627e-07,Poorly Soluble,24.234848,14.932752,86.25987,0
C[N+]1(C)CCCC1CN(CCC1CCN(Cc2ccccc2)CC1)C1CCCc2cccnc21,1,39.03,0.7375698535909135,5.464744398591844,5.262430146409087,5.302100000000005,-6.847796700143493,1.4197219596162514e-07,Poorly Soluble,26.036524,27.450653,25.267948,0
COc1ccc2[nH]c(=O)c(CN(CCN3CCCC3)C(=O)NCc3ccc(F)cc3)cc2c1,1,25.88,0.7503142116450535,5.627483258193998,5.249685788354946,3.4834000000000014,-5.4943711894453235,3.2035301119990038e-06,Moderately Soluble,69.50626,71.90128,16.045818,0
CC(CN1CCCC1)N(C)C(=O)c1cccc(COc2ccc3c(=O)c([N+](=O)[O-])c(O)oc3c2)c1,1,34.28,0.752148717175926,5.651304615397432,5.247851282824074,3.5421000000000022,-5.717735282167735,1.9154230873237118e-06,Moderately Soluble,16.318344,13.102928,16.69762,0
CC(C)Oc1ccc2n[nH]c(-c3cc(N4CCC(F)C4)ncn3)c2c1,1,21.32,0.7552125530312226,5.6913140780580465,5.244787446968777,3.3553000000000015,-4.727184934245831,1.874196255056305e-05,Moderately Soluble,76.020004,62.62201,59.00352,0
CCCCCOc1cccc(CN2C(=O)C(=O)c3cc(C(=O)NCCCO)ccc32)c1,1,34.53,0.777619803698921,5.992662283218339,5.222380196301079,3.0973000000000015,-4.970582697187498,1.0700826012585663e-05,Moderately Soluble,59.597023,72.395325,17.863934,0
COc1cccc(OCC23CCOC2CCC3OCC2CCN(C(C)C)CC2)c1,1,44.14,0.7845766593177025,6.089430236109748,5.215423340682298,4.148700000000003,-5.545468206217986,2.8479462846764024e-06,Moderately Soluble,29.742395,47.092316,39.77849,0
O=C1C(=O)N(C=c2[nH]c3n(c2=O)CCN(C(=O)Cc2ccc([N+](=O)[O-])cc2)CC=3)c2cc(Cl)ccc21,1,44.38,0.7887304525349218,6.147951779709867,5.211269547465078,0.5709000000000011,-3.7088147222994006,0.000195517338939603,Soluble,21.603405,12.594774,46.15925,0
N#Cc1ccc(-c2cn(C=Cc3cc(OCc4ccc5ccccc5c4)c(O)o3)nn2)o1,1,33.55,0.7953224118637202,6.241980561399137,5.2046775881362795,5.068480000000004,-6.617284745320245,2.413877655814977e-07,Poorly Soluble,95.0627,93.7901,42.93477,0
COc1ccc(CN2CCC(n3[nH]ccc3=NC(=O)C(O)c3ccccc3)CC2)c(OC)c1,1,28.79,0.7981870589649134,6.2832893386395545,5.201812941035087,2.8314000000000012,-5.0139996918157985,9.682785433711625e-06,Moderately Soluble,29.431376,24.696293,-2.0147183,0
COc1cc(C)cc(C(C)=O)c1OCC(O)CN1C(=O)C2(OCCO2)c2ccccc21,1,34.77,0.799946442229226,6.308795387823563,5.200053557770774,2.1923199999999996,-4.332739429453412,4.6479406144342557e-05,Moderately Soluble,90.8511,97.905975,-11.496241,0
COc1ccccc1CC1CN(Cc2cn(Cc3ccc(C)cc3)nn2)CCO1,1,30.29,0.8030854003510823,6.354558766113089,5.196914599648918,3.086920000000002,-4.849956046328624,1.4126805106412446e-05,Moderately Soluble,87.85412,87.85575,-6.6819854,0
COc1ccc(-c2cn3ccc(N4CCOCC4C)nc3n2)nc1,1,28.85,0.8030854003510826,6.354558766113093,5.196914599648918,2.025,-3.6487026248152215,0.00022454189069445748,Soluble,61.94337,74.607544,7.264435,0
COc1ccc(-c2n[nH]cc2CN2CCCC2c2nonc2C)cc1,1,25.68,0.8030854003510826,6.354558766113093,5.196914599648918,3.1138200000000014,-4.548515654260351,2.828032172036891e-05,Moderately Soluble,47.246716,49.728634,0.88996565,0
O=C(Nc1cccnc1N1CCCCC1)NC1CCC(Oc2cc(F)ccc2Cl)CC1,1,30.79,0.805791812648039,6.394282398667925,5.194208187351961,5.376100000000005,-6.829946583544415,1.4792903236748502e-07,Poorly Soluble,72.83382,66.79492,75.72089,0
COc1cccc(N2CCOc3cc(S(=O)(=O)N=c4cco[nH]4)ccc32)n1,1,25.69,0.8226802968931919,6.647835998342857,5.177319703106808,1.8314,-3.9205293732698596,0.00012007998548264112,Soluble,31.378656,42.08071,22.165457,0
COc1ccc2sn(CC(=O)NN=Cc3ccco3)c(=O)c2c1,1,28.58,0.8273764558995571,6.720111143761877,5.172623544100443,1.8148999999999997,-3.5185817788831133,0.00030298297185370367,Soluble,47.240685,61.55755,-6.6718903,0
O=C(CCc1ccccc1)NCc1nnc(SCc2cccnc2)n1-c1ccccc1,1,27.22,0.8333541604991718,6.813247421029542,5.166645839500828,4.203600000000003,-5.982662461495755,1.0407287175213525e-06,Moderately Soluble,70.2113,94.322754,-11.940773,0
Cc1c(C(=O)N2CCCCC2C)oc2c1-c1nn(Cc3ccc(F)cc3F)cc1CC2,1,29.14,0.8403673742055384,6.924164455055864,5.159632625794462,4.891220000000005,-6.390193427264316,4.071988780607945e-07,Poorly Soluble,102.07365,89.61458,67.222115,0
COc1ccc(-c2ccc(C)cc2OCCCC(C)N(C)C)cc1OC1CCCC1,1,37.1,0.8425109632541403,6.958425202060873,5.15748903674586,6.101120000000006,-7.12199740737049,7.550967353907618e-08,Poorly Soluble,68.431496,71.06471,63.665154,0
O=C(Nc1ccc(C(=O)c2cn(CCN3CCOCC3)c3ccccc23)cc1)c1ccccn1,1,29.1,0.8426244966251859,6.960244513092994,5.157375503374814,3.8518000000000026,-5.840888368866611,1.442486080763793e-06,Moderately Soluble,71.62892,75.676346,74.63138,0
c1cc(NN2CCCCC2)cc(OCc2ccc3ccccc3n2)c1,1,24.11,0.8476356676161849,7.041021454002544,5.152364332383815,4.626600000000004,-5.631059967091278,2.3385143158744117e-06,Moderately Soluble,53.117817,78.36212,24.820658,0
CCCOc1ccc(-c2coc3c(OCOC)c(OCOC(C)=O)ccc3c2=O)cc1,1,36.46,0.8480070825233955,7.047045612749075,5.151992917476605,4.130900000000003,-5.821686940019875,1.5076934912635801e-06,Moderately Soluble,98.97744,103.57719,35.60432,0
COc1ccccc1CNCCC(c1ccccc1)c1ccccc1,1,21.44,0.8506739251197155,7.09045206171788,5.1493260748802845,5.007000000000004,-5.923868937903776,1.191601557231061e-06,Moderately Soluble,42.659874,63.84037,22.149433,0
OC1CN(c2ncnc3oc(-c4ccccc4)cc23)CCC1CNC1CCOCC1,1,35.67,0.85332096847342,7.133800640369343,5.14667903152658,2.845600000000001,-4.7469483696741435,1.7908187396765943e-05,Moderately Soluble,10.208681,12.980342,43.22268,0
N#CC(=C(F)c1ccc(Cl)cc1)c1ccc2ncn(-c3ccc(F)cn3)c2c1,1,36.25,0.8568791285256576,7.1924877108858825,5.143120871474342,5.574380000000003,-6.780400935319802,1.658055504228142e-07,Poorly Soluble,92.18904,81.309456,92.45326,0
Cc1cccc(C)c1CN1CCCC(NC(=O)c2ccc3n[nH]c(-c4cccs4)c3c2)C1,1,27.79,0.8577340537302149,7.206660341591385,5.142265946269785,5.302640000000005,-6.861326456191611,1.3761746189493934e-07,Poorly Soluble,70.35805,55.56551,63.633904,0
COc1ccc(-c2ccc3ccccc3c2)c(OC2CCCC2)c1,1,32.07,0.859838505494037,7.241666251353491,5.140161494505963,5.836800000000005,-6.444118018479173,3.596515874225636e-07,Poorly Soluble,128.74861,133.37106,68.58314,0
CC(C)C1Oc2ccccc2N(CCCC(CC(=O)NCc2cccnc2)=NO)C1=O,1,38.47,0.860452140771432,7.251905577272262,5.139547859228568,3.148500000000001,-5.015485950218363,9.649705288863521e-06,Moderately Soluble,66.581184,87.70237,-26.973486,0
COc1ccc(C=C2C(C)=C(Cc3ccc(Cl)cc3)c3cc(Cl)ccc32)cc1,1,31.13,0.8612408555795339,7.265087605622425,5.138759144420466,7.572400000000005,-8.309351648259717,4.9051054890490415e-09,Poorly Soluble,131.53813,107.01701,158.2449,0
COc1ccc(C)cc1NC(=S)NCCCN(C1CCCCC1)C1CCCC1,1,27.87,0.8615555722546759,7.270354246026232,5.138444427745324,5.257420000000006,-6.3714093829977045,4.2519741641854256e-07,Poorly Soluble,72.40298,68.37297,29.669262,0
Cc1nn2c(C3CCN(C(=O)C4(O)CCOC4)CC3)nc(C)c2c2ccccc12,1,40.12,0.8635159911258871,7.303247036116837,5.136484008874113,2.3567400000000003,-4.279907985044867,5.249186641746493e-05,Moderately Soluble,19.706882,9.413794,23.756664,0
Cc1cc([N+](=O)[O-])c(C)cc1NNc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(N=Cc1ccccc1Cl)c1ccc(Br)cc1Cl,1,51.56,0.8640054502058824,7.31148259016849,5.135994549794118,7.857540000000004,-10.455043184965367,3.50716997952323e-11,Insoluble,133.13672,91.429016,170.19699,0
COc1ccc(C(C)N(C)Cc2nncn2Cc2ccc(C#N)cc2)cc1,1,24.6,0.8646896069234579,7.323009658237124,5.1353103930765425,3.3996800000000027,-4.895043284584823,1.273376161823439e-05,Moderately Soluble,56.007008,65.04282,-9.912828,0
CCN(CC)C(=O)c1cccn(Cc2ccc3cc2N=CC(NC(=O)OC)=N3)c1=O,1,48.47,0.866364509196862,7.351306143061566,5.133635490803138,2.4805,-4.439781876459692,3.63260455802879e-05,Moderately Soluble,40.17942,29.131369,8.498527,0
COc1ccc(CNc2ccc3ccn(Cc4ccc(C(=O)O)cc4)c3c2)nc1,1,34.11,0.8702094527185729,7.416678486381555,5.129790547281427,4.403500000000002,-5.851729309374077,1.4069241701336064e-06,Moderately Soluble,25.592804,40.556843,17.466702,0
COc1cc(CCCCCCN(C)c2ccc(C(=O)O)cc2)nc2ccccc12,1,38.62,0.8702094527185729,7.416678486381555,5.129790547281427,5.180900000000005,-6.3779271559726185,4.1886381507450147e-07,Poorly Soluble,45.39897,57.838722,0.045084763,0
O=C(c1cccc(C(F)(F)F)c1)N1CCCN(C(=O)c2cc(Cl)ccc2-c2ncc[nH]2)CC1,1,38.82,0.8717827694983196,7.443595582901779,5.12821723050168,4.737200000000005,-6.615544114587984,2.4235717714647713e-07,Poorly Soluble,40.99148,37.532555,60.499603,0
CN1CCC(C(=O)c2ccccc2COc2cc(Cl)ccc2Cl)CC1,1,28.42,0.8732672052753443,7.4690816193823535,5.1267327947246555,5.096900000000004,-6.208394808665852,6.188782091284471e-07,Poorly Soluble,34.439617,58.295704,80.51144,0
O=C1NCN(c2ccccc2)C12CCN(C1(c3cccc(C(F)(F)F)c3)CCCCC1)CC2,1,23.04,0.8764692685225841,7.524354845690166,5.123530731477416,5.293300000000006,-6.835453693071781,1.4606504839353327e-07,Poorly Soluble,32.57937,16.170784,45.479626,0
COc1cc(C=C2CCC(=Cc3ccc(N4CCCCC4)cc3)C2=O)ccc1-n1cnc(C)c1,1,26.68,0.8813631494323314,7.6096231432859245,5.118636850567668,6.009520000000006,-7.391725802109573,4.0576463976824584e-08,Poorly Soluble,92.97307,59.233704,65.82239,0
N#Cc1ccnc(N2CN3CC(Oc4ccccc4)CC3CC2=O)c1,1,31.62,0.8939102136286877,7.83267692667772,5.106089786371312,2.1693799999999994,-3.7535507515725093,0.00017637996351346956,Soluble,40.79568,67.73649,-2.6160805,0
C=CCOc1ccc(C2Nc3ccc(C)cc3N=C3CCCC(=O)C32)cc1,1,28.7,0.8939102136286877,7.83267692667772,5.106089786371312,5.168320000000004,-6.131656276949088,7.384884767638309e-07,Poorly Soluble,51.986397,55.027092,21.846096,0
Cc1ccc(NC(=O)Cn2cc(COc3ccc(C)cc3Br)nn2)cc1,1,26.25,0.8948119804564263,7.848957553403831,5.105188019543574,3.8751400000000027,-5.617558166333041,2.4123584167199097e-06,Moderately Soluble,83.13451,94.288025,30.13886,0
CCOc1ccc(N=c2cc(C)n(C(=O)CCc3ccc(OC)cc3)[nH]2)cc1Cl,1,33.4,0.9004729748486173,7.951937809051982,5.0995270251513825,4.690720000000004,-6.181003093023255,6.591692006580163e-07,Poorly Soluble,44.61576,57.951195,23.912003,0
COc1cc2c(=Nc3ccc(F)c(Cl)c3)c(C#N)c[nH]c2cc1OCCCCO,1,26.52,0.9004729748486173,7.951937809051982,5.0995270251513825,4.2243800000000045,-5.833309874901485,1.467878552992867e-06,Moderately Soluble,33.02909,49.26947,78.25612,0
COc1ccc(Oc2c(Cl)cnn(Cc3ccccc3C)c2=O)cc1,1,21.81,0.9004729748486173,7.951937809051982,5.0995270251513825,4.054320000000002,-5.395307612703041,4.02431889064996e-06,Moderately Soluble,85.35167,108.662155,11.844011,0
COc1cc2c(cc1OS(C)(=O)=O)CCC(NC(=S)N=c1ccc(Br)c[nH]1)C2,1,32.44,0.9004729748486173,7.951937809051982,5.0995270251513825,2.4569,-4.94695931198098,1.1299017675284479e-05,Moderately Soluble,44.0635,17.790804,35.621307,0
CC1=C(C(=O)Nc2ccc([N+](=O)[O-])cc2)C(c2ccccc2)n2c(sc(=C=Nc3cccc(Cl)c3)c2=O)=N1,1,34.2,0.9029614726195021,7.997633028003107,5.097038527380498,4.279700000000003,-6.7515664858335525,1.7718767690157356e-07,Poorly Soluble,50.617657,44.548206,98.21776,0
COc1ccc(CCNC(=O)CCc2c[nH]c3ccc(-n4cnnc4)cc23)cc1OC,1,28.11,0.9047839141922097,8.031264224193945,5.09521608580779,3.0573000000000015,-5.024669627974814,9.447793057757178e-06,Moderately Soluble,58.74865,55.23548,6.538101,0
OC(c1ccc(OC(F)F)c(OC2CCC2)c1)C1CCNCC1,1,25.11,0.9065423053043012,8.063847487277384,5.093457694695699,3.252300000000001,-4.406615568663933,3.920887950003758e-05,Moderately Soluble,-10.443833,3.9372482,23.856806,0
CC(NC(=O)CN)c1ccc(OC2CCN(c3ccc(OCC4CC4(F)F)cn3)C2)cc1,1,24.75,0.9081055649319405,8.092925918341548,5.09189443506806,2.909200000000001,-4.978332766095385,1.0511561459513557e-05,Moderately Soluble,23.71458,22.827246,16.315458,0
CCN1C(=C2CCCC(=Cc3cc(OC)ccc3OC)C2=O)N(C)c2ccccc21,1,28.78,0.9110674878992675,8.148308961589786,5.088932512100732,5.028100000000006,-6.300075847765524,5.010997109575917e-07,Poorly Soluble,146.55986,130.4638,39.713127,0
Clc1ccc(CN2CCC(N3CCC(=C4c5ccc(Cl)cc5CCc5cccnc54)CC3)CC2)cc1,1,23.08,0.9155827068415405,8.233466197439684,5.0844172931584595,7.049300000000008,-8.599351995930057,2.5156371758669793e-09,Poorly Soluble,31.21553,12.58148,123.42947,0
CCc1cc(=NCc2ccc3c(c2)OCO3)[nH]c(N2CCOCC2)n1,1,23.61,0.9189162747435399,8.296908005464417,5.08108372525646,1.6382999999999996,-3.409254359283758,0.0003897136708019366,Soluble,43.64568,58.919456,-7.5514936,0
O=c1ccc2ccc(OCCCCCCN3CCOCC3)cc2o1,1,21.66,0.9189162747435399,8.296908005464417,5.08108372525646,3.064400000000002,-4.353486916163309,4.431115637540199e-05,Moderately Soluble,26.32153,64.99405,30.663538,0
CCOc1ccc(N(CN2CCOCC2)C(=O)c2cc(CC)nc3ccccc23)cc1,1,36.07,0.9241043004822267,8.396616160580193,5.0758956995177735,4.132400000000004,-5.77421114654156,1.681856172588779e-06,Moderately Soluble,96.265274,112.59043,20.908419,0
c1ccc2c(c1)CN(c1nccc3ccccc13)C21CN(CC2CCC2)C1,1,37.86,0.9245715258179527,8.40565432021184,5.075428474182047,4.566000000000003,-5.718646444210324,1.9114086884265148e-06,Moderately Soluble,82.85388,82.19883,39.105995,0
CCc1c(O)c(C(=O)NCCO)nc(OC)c1OC,1,30.2,0.9254071054455937,8.421842309717384,5.0745928945544065,0.08889999999999998,-1.7062534849822748,0.019667380271931906,Very Soluble,32.325344,54.311073,-9.123476,0
CCc1ccc(N=c2[nH]cnc3cc(OCCCN4CCC(CO)CC4)c(OC)cc23)c(F)c1,1,31.87,0.9267627954344893,8.448172936934544,5.073237204565511,3.978600000000003,-5.958224729886642,1.1009694548062977e-06,Moderately Soluble,17.912058,8.327698,68.213715,0
CNC(=O)c1cc(-c2ccc(OC)cc2)oc1NC(=O)c1ccco1,1,28.07,0.9279683022003677,8.471655799107848,5.072031697799632,3.1601000000000017,-4.589030920923028,2.5761377344732104e-05,Moderately Soluble,46.39085,56.866783,36.605125,0
COc1ccccc1N1CCOc2cc(S(=O)(=O)N=c3ccc(F)c[nH]3)ccc21,1,22.35,0.929574005576819,8.503035760906698,5.070425994423181,2.982500000000001,-4.949305668131716,1.1238137252366665e-05,Moderately Soluble,47.951958,54.43676,24.061443,0
COc1cc(C=C2SC(=S)N(Cc3ccccc3)C2=O)ccc1OCC(=O)c1ccc(Cl)cc1,1,27.6,0.9302164239865324,8.515622954768919,5.069783576013467,6.011700000000005,-7.768878527889436,1.702634668498024e-08,Poorly Soluble,130.71973,104.588,79.22438,0
Cc1ccc(N=c2[nH]c(=Nc3ccc(OCc4ccccn4)cc3)c3ccccc3[nH]2)cc1,1,28.52,0.9304920534368172,8.521029197658844,5.069507946563183,5.243220000000004,-6.8391748817632925,1.4481885793345707e-07,Poorly Soluble,31.670086,29.00652,55.83083,0
COc1cccc(OC)c1C1CC(O)C(=O)N1Cc1ccc(Cl)cc1F,1,27.79,0.9308394195959065,8.527847385209492,5.069160580404094,3.3308000000000018,-4.900681889441526,1.2569503133158376e-05,Moderately Soluble,54.606873,71.916626,32.25358,0
COc1cc(CC2CCN(C)C2=O)cc(OC)c1Oc1ccc(C)cc1C,1,30.91,0.9367517880213365,8.644737055934286,5.063248211978664,4.133740000000004,-5.41698356670822,3.828392293165193e-06,Moderately Soluble,82.03615,105.3146,7.583453,0
CCOc1c(F)cc(N=c2[nH]cc(Cl)c(=Nc3ccc(-c4cncnc4)c(OC)c3)[nH]2)cc1OC,1,41.25,0.9367517880213365,8.644737055934286,5.063248211978664,4.4730000000000025,-6.61105848932774,2.448733432410838e-07,Poorly Soluble,31.93162,13.5603695,56.34419,0
COc1ccc(C(c2ccc(Cl)cc2)c2c(C)[nH]c3ccc(Cl)cc23)c(OC)c1OC,1,29.98,0.9367517880213365,8.644737055934286,5.063248211978664,6.989120000000005,-8.208849218494443,6.182310048028234e-09,Poorly Soluble,96.28401,73.582016,169.09175,0
COc1cc(OC)c(C2Nc3nn(-c4ccc(Br)cc4)c(C)c3NC(=O)O2)cc1Br,1,45.92,0.9367517880213365,8.644737055934286,5.063248211978664,5.3957200000000025,-7.527955226739758,2.965137062324193e-08,Poorly Soluble,42.96037,25.138128,97.46285,0
COc1cc(C2CN=C(c3ccc(C(F)(F)F)cc3)O2)cc(OC)c1OC,1,20.15,0.9367517880213365,8.644737055934286,5.063248211978664,4.249300000000003,-5.584775430283194,2.601504429646928e-06,Moderately Soluble,71.96237,75.22648,28.348633,0
COc1cc2c(-c3cc(OC)c(OC)c(OC)c3)cc(OC)c(Oc3ccc(Br)cc3)c2cc1OC,1,30.26,0.9367517880213365,8.644737055934286,5.063248211978664,7.113200000000006,-8.917376217335747,1.2095498798669545e-09,Poorly Soluble,96.64714,70.28395,146.07019,0
COc1ccc(C2=C(C(C)=O)Sc3nnc(-c4ccc(Cl)cc4)n3N2C(C)=O)cc1OC,1,25.62,0.9367517880213366,8.64473705593429,5.063248211978664,4.163700000000003,-6.150813578633738,7.066208069022012e-07,Poorly Soluble,56.22619,46.667213,39.2502,0
COc1cc(CN2CCN(C)c3ncnc(OC)c3C2)cc(OC)c1OC,1,28.13,0.9367517880213366,8.64473705593429,5.063248211978664,1.9629999999999996,-3.8399393975775897,0.00014456414847147691,Soluble,86.9492,74.285675,0.090394214,0
COc1ccc(C(=O)CSc2nnc(CN3CCCC3=O)n2-c2ccc(OC)cc2)cc1,1,27.04,0.9367517880213366,8.64473705593429,5.063248211978664,3.3819000000000026,-5.435457992821095,3.6689518069959848e-06,Moderately Soluble,99.73072,117.42738,-14.310129,0
COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC(C)=O,1,25.15,0.9367517880213366,8.64473705593429,5.063248211978664,3.4197000000000024,-5.137641040930822,7.283815878083055e-06,Moderately Soluble,76.816315,79.90975,39.17852,0
COc1ccc(C=C2CCC(=Cc3ccc(OC)c(OC)c3)C2=O)cc1OC,1,19.82,0.9367517880213366,8.64473705593429,5.063248211978664,4.550900000000003,-5.792228265909934,1.6135102702045177e-06,Moderately Soluble,114.69354,104.42485,31.97752,0
CC(=O)N1CCC(C(=O)NC(C)c2ccc(OC3CN(c4cccc(C)n4)C3)cc2)CC1,1,28.12,0.9373033682740448,8.655723369885477,5.062696631725955,3.093320000000001,-5.0594891684764844,8.719886488527668e-06,Moderately Soluble,39.522537,43.033764,0.6128464,0
O=C(Nc1cccc(CN2CCN(Cc3ccccc3)CC2)c1)c1ccc(-c2ccccc2)cc1,1,20.32,0.9378698203820501,8.667020431856926,5.06213017961795,5.9237000000000055,-7.453395867890937,3.520498244630642e-08,Poorly Soluble,75.36724,64.58172,66.61646,0
O=C(NC1Cc2ccccc2C1)C1CCN(c2cnc(N3CCOCC3)cn2)CC1,1,28.06,0.9379608837440753,8.668837933121972,5.062039116255924,1.8131999999999997,-3.935562823784555,0.00011599444098053033,Soluble,41.334324,18.88464,10.051936,0
COc1cccc(-n2nnc3c(=O)n(CC(=O)N4CCCC4)cnc32)c1,1,23.96,0.9387305944450002,8.684215549024547,5.061269405555,0.6081999999999994,-2.765744142494632,0.0017149673549778516,Soluble,45.95551,59.283936,-24.937353,0
COCCNC(=O)c1ccc2cc(OCc3c(C)noc3C)ccc2n1,1,30.95,0.9387305944450002,8.684215549024547,5.061269405555,2.7948400000000007,-4.383936054951902,4.131083231335098e-05,Moderately Soluble,56.95822,81.78115,9.2181835,0
CCn1c(C)nc2cc(C(=O)NN=Cc3ccc(OC)cc3)ccc21,1,23.94,0.9387305944450002,8.684215549024547,5.061269405555,3.1371200000000012,-4.528878611312671,2.9588393696124443e-05,Moderately Soluble,58.55912,72.6464,23.193272,0
