canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8737864077669902,4.82,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4021000000000026,-5.372502931493327,4.241281210305655e-06,Moderately Soluble,45.876976,25.867062,41.361168,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cccnc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8378378378378378,5.69,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.045300000000002,-5.400969029793234,3.97219874819039e-06,Moderately Soluble,27.12641,12.452688,51.777515,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccncc4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8378378378378378,6.13,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.045300000000001,-5.400969029793233,3.9721987481903986e-06,Moderately Soluble,25.803196,11.004225,61.201317,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccn4)c3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8214285714285714,6.19,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.045300000000001,-5.400969029793233,3.9721987481903986e-06,Moderately Soluble,31.19405,15.936048,61.20503,1
CCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8235294117647058,5.53,0.031154115388807836,1.074370599932744,5.968845884611192,3.371800000000002,-5.174775260788269,6.68689862455778e-06,Moderately Soluble,36.462536,21.971153,48.044304,1
CC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7766990291262136,6.03,0.031154115388807836,1.074370599932744,5.968845884611192,2.981700000000001,-4.798175269668837,1.591566283723579e-05,Moderately Soluble,37.67869,23.21204,44.112507,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(C1)CN(c1cncc(C#Cc3ccccc3)c1)C2,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.9047619047619048,4.52,0.2882706748059049,1.9420959151972945,5.711729325194095,3.260200000000002,-5.467136545191872,3.4108565507031004e-06,Moderately Soluble,35.801773,18.904072,66.53066,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)n3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8053097345132744,6.16,0.2882706748059049,1.9420959151972945,5.711729325194095,3.045300000000001,-5.400969029793233,3.9721987481903986e-06,Moderately Soluble,34.5299,16.45829,64.265976,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cc(C#Cc4ccccc4)ncn3)C2)C1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.7586206896551724,6.65,0.37881754365253134,2.3923104847431267,5.621182456347468,3.045300000000001,-5.400969029793233,3.9721987481903986e-06,Moderately Soluble,35.838905,13.253128,73.98339,1
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4cccnc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8021978021978022,5.93,0.6051538950805847,4.028597650189412,5.394846104919416,3.3236000000000017,-4.959380014851133,1.0980446117613654e-05,Moderately Soluble,55.56289,49.001213,41.85369,1
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccncc4)c3)C2)C1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,0.8021978021978022,6.25,0.6051538950805847,4.028597650189412,5.394846104919416,3.3236000000000017,-4.959380014851133,1.0980446117613654e-05,Moderately Soluble,55.554455,48.25472,52.94804,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.9215686274509804,4.45,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.792200000000003,-5.74659254999427,1.7922865678038991e-06,Moderately Soluble,51.17113,29.567455,47.90557,0
CCCCCc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7870370370370371,6.4,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.9832000000000027,-5.819802211908981,1.5142507174063324e-06,Moderately Soluble,74.7168,46.39562,20.980331,0
CCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.92,4.44,-0.10776256207089578,0.7802565766176098,6.107762562070896,4.152000000000004,-5.922072148151903,1.1965417365960396e-06,Moderately Soluble,48.0057,29.57661,59.692036,0
CCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8712871287128713,4.85,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.7619000000000025,-5.548267455054978,2.8296488537530407e-06,Moderately Soluble,41.840168,25.38052,52.79621,0
CCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8269230769230769,5.51,-0.07180928615661585,0.8475995429277765,6.071809286156616,3.0120000000000013,-4.998698238396402,1.003001913608753e-05,Moderately Soluble,39.96984,21.706272,37.219254,0
CC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.780952380952381,5.99,-0.07180928615661585,0.8475995429277765,6.071809286156616,2.621900000000001,-4.621754498563735,2.389161465437197e-05,Moderately Soluble,40.729065,22.29574,32.962807,0
CCCCCCC#Cc1cncc(N2CCN(C(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)CC2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7909090909090909,6.69,0.015982406507105595,1.0374863858594414,5.9840175934928945,4.182300000000003,-6.042350059374655,9.070890839859521e-07,Poorly Soluble,74.81565,53.893116,54.254204,0
CCCCCCC#Cc1cncc(N2CCN(Cc3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)CC2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7870370370370371,6.85,0.01598240650710562,1.0374863858594416,5.9840175934928945,4.542100000000004,-6.217829657532287,6.05578352980559e-07,Poorly Soluble,69.09758,47.395874,69.29967,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,1.0,3.06,0.06931836825936812,1.1730549818552225,5.930681631740632,4.5724000000000045,-6.495531588073545,3.1949819718120263e-07,Poorly Soluble,60.790436,33.77584,61.61419,0
CCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.9702970297029704,3.93,0.06931836825936812,1.1730549818552225,5.930681631740632,4.182300000000003,-6.120942671721747,7.569328060085745e-07,Poorly Soluble,56.420948,32.184986,54.749218,0
CCCCCCC#Cc1cccc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8363636363636363,4.84,0.06931836825936812,1.1730549818552225,5.930681631740632,5.177400000000005,-6.937709811083209,1.1542242351590265e-07,Poorly Soluble,65.260925,36.594536,86.60748,0
CCCCCCC#Cc1cncc(N2CC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.903846153846154,5.05,0.06931836825936812,1.1730549818552225,5.930681631740632,4.182300000000003,-6.11749112615579,7.62972480652172e-07,Poorly Soluble,61.10769,34.390556,59.096302,0
CCCCCCC#Cc1cncc(N2CC3(CCN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.9423076923076924,5.11,0.06931836825936812,1.1730549818552225,5.930681631740632,4.5724000000000045,-6.495531588073545,3.1949819718120263e-07,Poorly Soluble,58.789715,31.431253,61.985626,0
CCCCCCc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8148148148148148,5.72,0.06931836825936812,1.1730549818552225,5.930681631740632,4.373300000000004,-6.193891830409925,6.398941938818531e-07,Poorly Soluble,78.71777,48.584007,27.10675,0
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8035714285714286,5.9,0.06931836825936812,1.1730549818552225,5.930681631740632,3.967400000000003,-6.05335336506388,8.843957256535565e-07,Poorly Soluble,60.47219,32.35385,55.987255,0
CCCCCCC#Cc1ccnc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8035714285714286,5.92,0.06931836825936812,1.1730549818552225,5.930681631740632,4.5724000000000045,-6.495531588073545,3.1949819718120263e-07,Poorly Soluble,66.56391,34.10924,76.14839,0
CCCCCCC#Cc1ccc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)nc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8035714285714286,6.16,0.06931836825936812,1.1730549818552225,5.930681631740632,4.5724000000000045,-6.495531588073545,3.1949819718120263e-07,Poorly Soluble,67.01969,35.104427,70.05449,0
CCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8796296296296297,6.38,0.06931836825936812,1.1730549818552225,5.930681631740632,4.5724000000000045,-6.498983133639502,3.169690559485582e-07,Poorly Soluble,55.313545,29.094791,60.27137,0
