canonical_smiles,Input_SMILES,SMILES_state,Tanimoto,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal
CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.8737864077669902,4.94,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4021000000000026,-5.372502931493327,4.241281210305655e-06,Moderately Soluble,45.876976,25.86706,41.361168,1
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7232142857142857,8.09,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.0120000000000013,-5.073293876546985,8.447070589372393e-06,Moderately Soluble,27.392435,11.2243595,46.607807,1
CCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7477477477477478,8.51,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4021000000000017,-5.375954477059284,4.207707314481321e-06,Moderately Soluble,39.58185,18.96471,42.377144,1
CCCC#CC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7927927927927928,8.65,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4055000000000017,-5.52504625326702,2.985064686380604e-06,Moderately Soluble,24.698778,5.263409,85.362465,1
CCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)n1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7345132743362832,9.07,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.1872000000000016,-5.304414326984606,4.961187868027525e-06,Moderately Soluble,50.758377,28.078846,42.410866,1
CC#CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7927927927927928,9.53,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4055000000000017,-5.525046253267021,2.985064686380598e-06,Moderately Soluble,45.98083,20.49435,54.594917,1
CCC#Cc1cncc(N2CC[C@@]3(CCN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7477477477477478,9.94,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4021000000000017,-5.375954477059284,4.207707314481321e-06,Moderately Soluble,42.635273,21.94453,42.88844,1
CCCC#Cc1ccc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)nc1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.6929824561403509,9.99,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.4021000000000026,-5.372502931493327,4.241281210305655e-06,Moderately Soluble,50.92108,26.235271,48.510197,1
CCC#CC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.7614678899082569,8.99,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.375200000000002,-5.326175729697177,4.718720678164001e-06,Moderately Soluble,15.584578,2.2414746,89.02905,1
C#CCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,0.794392523364486,9.2,-0.10776256207089578,0.7802565766176098,6.107762562070896,3.375200000000002,-5.322724184131219,4.756372022383597e-06,Moderately Soluble,35.995064,24.179972,46.669453,1
