rank,canonical_smiles,SMILES_state,NLL,pred_logIC50_uM,pred_ic50_uM,pred_pIC50,pred_cLogP,pred_logS_ESOL,pred_Solubility_ESOL_mol_per_L,pred_Solubility_ESOL_class,pred_MetStab_Clearance_Microsome_AZ,pred_MetStab_Clearance_Hepatocyte_AZ,pred_MetStab_Half_Life_Obach,passes_optimal,pred_pIC50_uncertainty,source_file,source_family,source_mode,Input_SMILES,Tanimoto,clogp_score_individual,solubility_score_individual,microsome_stability_score,hepatocyte_stability_score,half_life_stability_score,metabolic_stability_ensemble_score,qikprop_star_count,qikprop_clogp,qikprop_logS,qikprop_metab_sites,qikprop_human_oral_absorption_class,qikprop_percent_human_oral_absorption,qikprop_caco2,qikprop_status,clogp_score_qikprop,solubility_score_qikprop,clogp_ensemble_value,solubility_ensemble_value,clogp_ensemble_score,solubility_ensemble_score,clogp_uncertainty,solubility_uncertainty,metstab_uncertainty,adme_ensemble_uncertainty,adme_individual_score,adme_ensemble_score,passes_metabolic_stability,passes_adme_individual,passes_adme_ensemble,triage_score,murcko_scaffold,scaffold_bucket
1,C#CC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,8.83,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.2352,-4.39589872880976,4.0188451357795664e-05,Moderately Soluble,17.242805,6.723849,59.520752,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7431192660550459,0.9881599999999999,0.90102531779756,0.8768371071428571,0.95797594375,0.7440094,0.8594635310461279,,,,,,,,not_run,0.0,1.0,2.2352,-5.816997364404881,0.49407999999999996,0.7728753294493899,0.49407999999999996,0.338667473490658,0.1701735455759408,0.3343070063555329,0.9148977418678411,0.7099322447807986,1,1,1,0.9209589654252539,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1
2,CNCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,8.46,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.1812,-4.382437956746296,4.145358003390246e-05,Moderately Soluble,14.505023,-4.254146,30.117085,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7830188679245284,0.94496,0.904390510813426,0.8963926928571428,1.0,0.3764635625,0.8350344478844213,,,,,,,,not_run,0.0,1.0,2.1811999999999996,-5.833360978373149,0.4724799999999999,0.7708298777033564,0.4724799999999999,0.3439560224976749,0.16599213201280413,0.32747605150349296,0.890847406857125,0.6920892485796075,0,0,0,0.9053262476682884,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1
3,COCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,6.89,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.2484,-4.529876273451695,2.952050119111602e-05,Moderately Soluble,34.95135,15.838251,29.279804,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7870370370370371,0.9987200000000002,0.8675309316370763,0.7503475,0.90101093125,0.36599755,0.8087125583006038,,,,,,,,not_run,0.0,1.0,2.2484,-5.993957136725848,0.4993600000000001,0.750755357909269,0.4993600000000001,0.35931642156303045,0.175285769773782,0.3446540637789375,0.8899197562295107,0.6859498627975588,0,0,0,0.9047232747603391,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1
4,CNCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,8.83,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.2115,-4.580763051685589,2.6256506910249796e-05,Moderately Soluble,13.561099,-3.9085078,26.609278,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.8148148148148148,0.9692000000000001,0.8548092370786027,0.9031350071428572,1.0,0.332615975,0.8277936727914301,,,,,,,,not_run,0.0,1.0,2.2115,-6.0833110258427965,0.48460000000000003,0.7395861217696504,0.48460000000000003,0.37197710068308515,0.17255947929674684,0.343045526659944,0.8840397783862228,0.6856239995589848,0,0,0,0.900901289162202,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cccnc3)C2)C1
5,C[C@H](O)C#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,9.11,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3426,-4.512103740837561,3.075362108769872e-05,Moderately Soluble,12.570406,-3.2887352,36.81881,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7407407407407407,0.92592,0.8719740647906098,0.9102113857142857,1.0,0.46023512499999997,0.8338827729270305,,,,,,,,not_run,0.0,1.0,2.3426,-5.936182870418781,0.46296,0.7579771411976524,0.46296,0.34921355487904726,0.18148220566987852,0.3312185868496419,0.8756186253684646,0.6850833944702253,0,0,0,0.8954275397006591,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1
6,CC(O)C#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,1,8.73,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3426,-4.512103740837561,3.075362108769872e-05,Moderately Soluble,13.22334,-2.3125503,36.263588,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7407407407407407,0.92592,0.8719740647906098,0.9055475714285715,1.0,0.45329484999999997,0.8328674151145304,,,,,,,,not_run,0.0,1.0,2.3426,-5.936182870418781,0.46296,0.7579771411976524,0.46296,0.34921355487904726,0.1815016988626315,0.33122508458055955,0.8752124822434646,0.6846772513452253,0,0,0,0.8951635466694091,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1,c1ccc(CN2CC3(CCN(c4cccnc4)C3)C2)cc1
7,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cc[nH]n4)c3)C2)C1,1,9.94,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3734,-4.823644186432861,1.5009140172743363e-05,Moderately Soluble,21.381178,8.659559,62.201805,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7631578947368421,0.9012799999999999,0.7940889533917848,0.8472773,0.94587775625,0.7775225625,0.8466452673570892,,,,,,,,not_run,0.0,1.0,2.3734,-6.278101093216431,0.45063999999999993,0.715237363347946,0.45063999999999993,0.38366314933917717,0.19018929175563334,0.3414974803649368,0.8526283452907818,0.6751914477798222,1,1,0,0.8804838576501653,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cc[nH]n4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cc[nH]n4)c3)C2)C1
8,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ncc[nH]4)c3)C2)C1,1,9.13,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3734,-4.823644186432861,1.5009140172743363e-05,Moderately Soluble,24.810795,7.596303,59.772633,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7478260869565218,0.9012799999999999,0.7940889533917848,0.8227800357142857,0.9525231062499999,0.7471579125,0.8423432511070892,,,,,,,,not_run,0.0,1.0,2.3734,-6.278101093216431,0.45063999999999993,0.715237363347946,0.45063999999999993,0.38366314933917717,0.19019021776387718,0.3414977890343514,0.8509075387907818,0.6734706412798221,1,1,0,0.8793653334251653,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncc[nH]4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4ncc[nH]4)c3)C2)C1
9,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#CC4(O)CC4)c3)C2)C1,1,9.82,0.0187375826900105,1.0440891500477762,5.981262417309989,2.1269,-4.518094997362836,3.0332276248945425e-05,Moderately Soluble,18.783606,-3.064185,35.642796,0,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7105263157894737,0.90152,0.8704762506592909,0.8658313857142856,1.0,0.44553495,0.8394233669079646,,,,,,,,not_run,0.0,1.0,2.1269,-6.010219998681421,0.45076,0.7487225001648223,0.45076,0.3643028119362617,0.16423478023581867,0.3264325307240268,0.8689204094280085,0.6807159718043914,0,0,0,0.8787239978083096,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#CC4CC4)c3)C2)C1
10,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4cnc[nH]4)c3)C2)C1,1,9.19,-0.0718092861566158,0.8475995429277765,6.071809286156616,2.3734,-4.823644186432861,1.5009140172743363e-05,Moderately Soluble,18.606976,4.6010237,50.698006,1,0.0,reinvent_pubchem/plain/reinvent_pubchem_plain_generated_scored.csv,reinvent_pubchem,plain,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7478260869565218,0.9012799999999999,0.7940889533917848,0.8670930285714286,0.971243601875,0.633725075,0.8376993018727141,,,,,,,,not_run,0.0,1.0,2.3734,-6.278101093216431,0.45063999999999993,0.715237363347946,0.45063999999999993,0.38366314933917717,0.19021169464111157,0.34150494799342956,0.8490499590970317,0.6716130615860721,1,1,0,0.8781579066242278,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cnc[nH]4)c3)C2)C1,O=C(c1ccccc1)N1CC2(CCN(c3cncc(C#Cc4cnc[nH]4)c3)C2)C1
