Descriptor,Model,R2
RDKit,RF,-0.7225592764782045
RDKit,ET,-0.027573866710022044
RDKit,GB,-1.7274577906335442
RDKit,XGB,-0.7358463503695134
RDKit,LGBM,0.2118580811465609
RDKit,CAT,-0.12937306425124384
RDKit,SVR,-4.309776643775306
RDKit,KNN,0.886833040439035
RDKit,MLP,-1.7674529807970054
RDKit,Ridge,-0.4235742185880138
RDKit,Lasso,-4.626171758131587
RDKit,ElasticNet,-4.626171758131587
RDKit,BayesianRidge,0.18000290621718973
RDKit,Huber,-10.971839053321043
RDKit,DT,-4.2001439693865175
ECFP_r1,RF,-2.26505483225303
ECFP_r1,ET,-3.198660582286819
ECFP_r1,GB,-6.103671203629828
ECFP_r1,XGB,-4.639551299778874
ECFP_r1,LGBM,-0.091197929337681
ECFP_r1,CAT,-3.704359464896103
ECFP_r1,SVR,-7.903467142385722
ECFP_r1,KNN,-3.3375311506215573
ECFP_r1,MLP,-0.029278893028574116
ECFP_r1,Ridge,-8.85007985888183
ECFP_r1,Lasso,-4.626171758131587
ECFP_r1,ElasticNet,-4.626171758131587
ECFP_r1,BayesianRidge,-4.070687853370067
ECFP_r1,Huber,-14.577609625602005
ECFP_r1,DT,-3.944535366671732
ECFP_r2,RF,0.07683006039361961
ECFP_r2,ET,0.4950975964771078
ECFP_r2,GB,0.8008049733652266
ECFP_r2,XGB,-3.8480537499585274
ECFP_r2,LGBM,0.07401540568278653
ECFP_r2,CAT,-0.265702811421207
ECFP_r2,SVR,-6.033137278394609
ECFP_r2,KNN,-0.18871624877198268
ECFP_r2,MLP,-0.8272332630996257
ECFP_r2,Ridge,-3.0592223572467176
ECFP_r2,Lasso,-4.626171758131587
ECFP_r2,ElasticNet,-4.626171758131587
ECFP_r2,BayesianRidge,-2.0473728039545485
ECFP_r2,Huber,-4.855236975635227
ECFP_r2,DT,0.6967974149103557
ECFP_r3,RF,-1.5197187639285161
ECFP_r3,ET,-5.695343935341866
ECFP_r3,GB,-0.7740892044111742
ECFP_r3,XGB,-3.4351637174385665
ECFP_r3,LGBM,-0.08557427365464121
ECFP_r3,CAT,0.005683742293539851
ECFP_r3,SVR,-6.3537584941902905
ECFP_r3,KNN,0.5607404002015095
ECFP_r3,MLP,-0.9956532936289557
ECFP_r3,Ridge,-6.817631116417607
ECFP_r3,Lasso,-4.626171758131587
ECFP_r3,ElasticNet,-4.626171758131587
ECFP_r3,BayesianRidge,-2.3146060655421183
ECFP_r3,Huber,-4.689765774079386
ECFP_r3,DT,-6.40083137377078
MACCS,RF,-0.11466159498157125
MACCS,ET,0.1933183410692063
MACCS,GB,-1.9818120290567212
MACCS,XGB,0.48238792209510895
MACCS,LGBM,-0.60166927047799
MACCS,CAT,-1.0675561896730397
MACCS,SVR,-5.190518347951703
MACCS,KNN,-1.1403866222132284
MACCS,MLP,0.0021445425110327987
MACCS,Ridge,-10.246801272679406
MACCS,Lasso,-4.626171758131587
MACCS,ElasticNet,-4.626171758131587
MACCS,BayesianRidge,-0.6867859855402745
MACCS,Huber,-22.00256450579289
MACCS,DT,-0.02176763787351743
Mordred,RF,-0.7575354114018171
Mordred,ET,-0.6920849190477238
Mordred,GB,-0.2568086927252238
Mordred,XGB,0.07373401542412672
Mordred,LGBM,0.5693659098106281
Mordred,CAT,-0.938067007106604
Mordred,SVR,-3.9250857052282813
Mordred,KNN,-0.7758014916330425
Mordred,MLP,-4.03551352320248
Mordred,Ridge,-14.435861782981672
Mordred,Lasso,-4.626171758131587
Mordred,ElasticNet,-4.626171758131587
Mordred,BayesianRidge,-0.8007829093000671
Mordred,Huber,-4.509241407336072
Mordred,DT,0.6342577423965332
