Descriptor,Model,R2
RDKit,RF,-0.5945856393467706
RDKit,ET,0.4326369609220009
RDKit,GB,-0.5783265058768501
RDKit,XGB,0.09572987209967843
RDKit,LGBM,0.5404661596268534
RDKit,CAT,-0.2914506877295555
RDKit,SVR,-4.053426320235288
RDKit,KNN,0.886833040439035
RDKit,MLP,-2.849978528364197
RDKit,Ridge,-0.906032907885455
RDKit,Lasso,-4.626171758131587
RDKit,ElasticNet,-4.626171758131587
RDKit,BayesianRidge,0.19110830248463628
RDKit,Huber,-2.2683235792898215
RDKit,DT,0.6650381748937777
ECFP_r1,RF,-2.8417079871498063
ECFP_r1,ET,-3.75160196777537
ECFP_r1,GB,-5.4784178978640865
ECFP_r1,XGB,-2.0133296233137505
ECFP_r1,LGBM,-0.17801563135482779
ECFP_r1,CAT,-4.4865099059077105
ECFP_r1,SVR,-7.669137534511568
ECFP_r1,KNN,-3.1809198494898157
ECFP_r1,MLP,-1.9381401097132467
ECFP_r1,Ridge,-7.418108290960069
ECFP_r1,Lasso,-4.626171758131587
ECFP_r1,ElasticNet,-4.626171758131587
ECFP_r1,BayesianRidge,-3.644062811561014
ECFP_r1,Huber,-10.465867092222505
ECFP_r1,DT,-6.761054445609387
ECFP_r2,RF,-0.12585749693736004
ECFP_r2,ET,0.007605431451440214
ECFP_r2,GB,-2.9211599356252465
ECFP_r2,XGB,-4.0390462449991755
ECFP_r2,LGBM,0.04530043825421304
ECFP_r2,CAT,-0.8692759123405871
ECFP_r2,SVR,-5.723675310295339
ECFP_r2,KNN,-0.5087310709289252
ECFP_r2,MLP,-1.6611336144223912
ECFP_r2,Ridge,-2.5147720179044484
ECFP_r2,Lasso,-4.626171758131587
ECFP_r2,ElasticNet,-4.626171758131587
ECFP_r2,BayesianRidge,-1.870295120756568
ECFP_r2,Huber,-3.9510610668974495
ECFP_r2,DT,-7.283176701800405
ECFP_r3,RF,-1.8266710439565101
ECFP_r3,ET,-1.4952638851820987
ECFP_r3,GB,-0.13370185063344375
ECFP_r3,XGB,-1.6466183782733221
ECFP_r3,LGBM,-0.6329399112309413
ECFP_r3,CAT,-1.6758122097526837
ECFP_r3,SVR,-6.234259849712354
ECFP_r3,KNN,0.677226091970615
ECFP_r3,MLP,-5.608635377875352
ECFP_r3,Ridge,-6.242421573698189
ECFP_r3,Lasso,-4.626171758131587
ECFP_r3,ElasticNet,-4.626171758131587
ECFP_r3,BayesianRidge,-2.289456305218413
ECFP_r3,Huber,-3.8007812133360543
ECFP_r3,DT,-6.19751934689056
MACCS,RF,-0.0647256187749774
MACCS,ET,0.34147966614141045
MACCS,GB,-1.7314160002039145
MACCS,XGB,-0.7419101887536204
MACCS,LGBM,-1.0036733496530479
MACCS,CAT,-0.7234856618729737
MACCS,SVR,-4.9050982628916495
MACCS,KNN,-1.1306365149671973
MACCS,MLP,-1.2385618831731557
MACCS,Ridge,-12.098689885617404
MACCS,Lasso,-4.626171758131587
MACCS,ElasticNet,-4.626171758131587
MACCS,BayesianRidge,-0.9083143433760907
MACCS,Huber,-13.006363247852915
MACCS,DT,0.2501284524693346
Mordred,RF,-0.6923850593815126
Mordred,ET,-1.1844305527702934
Mordred,GB,-0.8250619564145649
Mordred,XGB,-2.3653449713666026
Mordred,LGBM,0.452674535271437
Mordred,CAT,-0.8114394861967167
Mordred,SVR,-4.326997613605975
Mordred,KNN,-0.790241576956423
Mordred,MLP,0.1245621044747004
Mordred,Ridge,-10.319577910796681
Mordred,Lasso,-4.626171758131587
Mordred,ElasticNet,-4.626171758131587
Mordred,BayesianRidge,-1.1198297268081174
Mordred,Huber,-6.26777855892766
Mordred,DT,-1.7981754352466348
