Identifier,Series,Canonical SMILES,Smiles,IC50 uM,PIC50
TB-VS0012,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Cl)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Cl)C=C3)N2C)=CN=C1,5.3,5.275724130399211
TB-VS12-2,Series A,BrC1=CC(C2=NN=C(N2C)S)=CN=C1,BrC1=CC(C2=NN=C(N2C)S)=CN=C1,200,3.6989700043360187
TB-VS12-3,Series A,BrC1=CC(C2=NN=C(N2C)SCC3=CC=C(C=C3)Cl)=CN=C1,BrC1=CC(C2=NN=C(N2C)SCC3=CC=C(C=C3)Cl)=CN=C1,200,3.6989700043360187
TB-VS12-4,Series A,CCCCCCC#CC1=CC(C2=NN=C(N2C)S)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(N2C)S)=CN=C1,22.57,4.646468440922238
TB-VS12-5,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=CC=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=CC=C3)N2C)=CN=C1,175,3.7569619513137056
TB-VS12-6,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Br)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(Br)C=C3)N2C)=CN=C1,4.594,5.337809009140993
TB-VS12-7,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(F)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(F)C=C3)N2C)=CN=C1,6.944,5.158390287831565
TB-VS12-9,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(Cl)=C(Cl)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC(Cl)=C(Cl)C=C3)N2C)=CN=C1,6.775,5.169090700453557
TB-VS12-10,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C4=CC=CC=C4)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C4=CC=CC=C4)C=C3)N2C)=CN=C1,197.6,3.704213059748391
TB-VS12-11,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C(F)(F)F)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C(F)(F)F)C=C3)N2C)=CN=C1,43.9,4.357535479757878
TB-VS12-12,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]#[C-])C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]#[C-])C=C3)N2C)=CN=C1,27.07,4.567511744229494
TB-VS12-13,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(C)C=C3)N2C)=CN=C1,6.071,5.216739767127051
TB-VS12-14,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(OC)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(OC)C=C3)N2C)=CN=C1,8.652,5.062883489232946
TB-VS12-15,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]([O-])=O)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C([N+]([O-])=O)C=C3)N2C)=CN=C1,16.21,4.790216985151485
TB-VS12-16,Series A,CCCCCCC#CC1=CC(C2=NN=C(N2C)SCCCN3C(NC(C=C3)=O)=O)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(N2C)SCCCN3C(NC(C=C3)=O)=O)=CN=C1,25.12,4.599980364934842
TB-VS12-17,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(O)C=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=C(O)C=C3)N2C)=CN=C1,200,3.6989700043360187
TB-VS12-18,Series A,CCCCCCC#CC1=CC(C2=NN=C(SC[C@@H]3[C@H]4OC(C)(C)O[C@H]4[C@H](N5C(NC(C=C5)=O)=O)O3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SC[C@@H]3[C@H]4OC(C)(C)O[C@H]4[C@H](N5C(NC(C=C5)=O)=O)O3)N2C)=CN=C1,26.45,4.577574323628795
TB-VS12-19,Series A,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CC=C(C#CCCCCCC)N=C3)N2C,ClC(C=C1)=CC=C1CSC2=NN=C(C3=CC=C(C#CCCCCCC)N=C3)N2C,200,3.6989700043360187
TB-VS12-20,Series A,CN1C(C2=CN=CC(C#CCCCCCC)=C2)=NN=C1S(CC3=CC=C(Cl)C=C3)=O,CN1C(C2=CN=CC(C#CCCCCCC)=C2)=NN=C1S(CC3=CC=C(Cl)C=C3)=O,200,3.6989700043360187
TB-VS12-21,Series A,ClC(C=C1)=CC=C1CSC(N2)=NN=C2C3=CN=CC(C#CCCCCCC)=C3,ClC(C=C1)=CC=C1CSC(N2)=NN=C2C3=CN=CC(C#CCCCCCC)=C3,200,3.6989700043360187
TB-VS12-22,Series A,CCN1C(SCC2=CC=C(C=C2)Cl)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,CCN1C(SCC2=CC=C(C=C2)Cl)=NN=C1C3=CN=CC(C#CCCCCCC)=C3,4.741,5.324130044681043
TB-VS12-23,Series A,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=CC(Cl)=C3)N2C)=CN=C1,CCCCCCC#CC1=CC(C2=NN=C(SCC3=CC=CC(Cl)=C3)N2C)=CN=C1,15.21,4.817870785947002
