SMILES,SMILES_state,NLL
CC(=O)NCC1OC(=O)N2c3ccc(Nc4ccccc4C)cc3OCC12,1,26.72
O=C(O)C1CCC(Oc2ccc(-c3cc(=Nc4ccc(C(F)(F)F)cc4)n4[nH]ccc4n3)cc2OC(F)(F)F)CC1,1,37.19
C=C1C(OCCC(C)C)CCOC1C1=NCCSC1,1,43.89
CC(C)(C)c1ccc(-n2nc(Oc3ccc(F)cc3)oc2=O)cc1,1,24.67
Cc1nc(N2CCC3(CCC(C)O3)C2)c(N2CC3CCC2C3=NOCc2ccc(Br)cc2)nc1-c1ccncc1,1,53.84
NC1=Nc2ccc(Cl)cc2CN1CCCO,1,26.73
C=CCNC(=S)N1CCN(c2cccc(Cl)c2)CC1,1,19.04
NC(CC(=O)N1CCC2CCCCC21)Cc1ccc(F)cc1F,1,24.72
CCCNC(=O)CC(=O)N=c1[nH]c(-c2ccccc2)cs1,1,26.27
C(#Cc1cccnc1)c1ccccc1,1,16.56
COc1cc(NC(=O)c2sc3ccccc3c2Cl)c(OC)cc1Cl,1,24.82
CN1C2CN(c3cc(C#N)c4ccccc4c3)CC1c1c2c(O)n(-c2cccc(N)c2)c1O,1,41.02
c1ccc(N2CCN(c3nc4ccccc4n4cnnc34)CC2)nc1,1,23.4
Cc1c(C(=O)O)sc2[nH]c(N3CC(N(C)CCc4cccnc4)C3)nc(=Nc3ccc(F)cc3)c12,1,40.58
Cc1ccc(CCNC(=O)c2ccc(-n3c(-c4ncc(C)o4)cc4cc(Cl)cnc43)cc2)cc1,1,38.4
CCC(=O)N(C(C)CC)C1CC2CC1C1CC3CCN(CC3)C21,1,45.03
CC(C)(C)OC(=O)NCc1ccncc1,1,18.95
CN(c1nc2ccccc2s1)C1OC(CO)C(O)C(O)C1O,1,26.58
CC(CN(C(=O)OC(C)(C)C)C(=S)NCCc1ccccc1)c1cccc(F)c1,1,34.99
CC(C)NC(=S)Nc1ccc(C(=O)NCCc2ccc(Cl)cc2Cl)cc1,1,27.15
c12nc(C)cc(N(C)c3ccc(Cl)cc3)n1nc1c(n2)CN(Cc2ccco2)C1,0,39.19
Cc1ccc(-c2cc(-c3cc(Cl)c(N)c(Cl)c3)c(C#N)c(Sc3ccccc3)n2)o1,1,29.51
Cc1c(NC(=O)c2nccs2)ccc2[nH]cnc12,1,29.29
C=CCn1c(=O)n(Cc2ccccc2)c(=O)c2cc(Oc3cc(Cl)cc(C#N)c3)c(CN3CCC(O)CC3)cc21,1,41.42
O=c1on(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(=O)n1Cc1cccc(-c2ccccc2)c1,1,27.2
CCCCCCCCCCCCCCNC(=O)C1CCC2C3CCc4cc(C(C)=O)c(O)cc4C3CCC12C,1,30.89
C#CCOc1ccc2c(=O)c3c(O)cc(O)cc3oc2c1,1,23.73
NC1(C(=O)O)C2CC(C2)C1C(=O)O,1,20.99
