SMILES,SMILES_state,NLL
O=C1Nc2ccccc2C12N=C(SCCN1CCCCC1)c1ccccc12,1,27.25
CCC(Cc1ncco1)c1c[nH]c(=N)c(-c2ccnc(OC)c2)c1,1,38.93
C=c1c(C)c(O)c(=C2CC23CN=C2C=C4C(=O)N(C)C(C(C)=O)CC5(OC5CN5CCCC5)C2(C(=O)N4C)C3=O)c(C)c1O,1,75.22
C=CCNC(=S)N1CCn2cccc2C1c1ccncc1,1,26.3
CCC(CC)C(=O)N1CCC1(C)C(=O)OCCN1CCCCC1,1,27.3
CC(C)CC(OC1OC(C(=O)Nc2ccc(F)cc2)CC(=O)C1O)C(=O)NC1CCCCN(Cc2ccc(-c3ccc(C#N)cc3)cc2)C1=O,1,46.9
CC(CCCC(C)CCCC(C)C(=O)O)CCCC(C)CCCC(C)C1CCC2(C)C3=CCC4C(C)(C)C(OC5OCC(O)C(O)C5O)CCC4(C)C3CCC12C,1,40.91
CCOc1ccc(NC(=O)N2CCN(C(C)=O)CC2)cc1,1,23.08
Cc1nc(CC2C(=O)N=c3ccc(C(F)(F)F)cc3=NC2=O)cs1,1,32.95
CC1(C(=O)NN)CCc2ncccc2N1,1,29.11
CCC1(CCCC(=O)OC)C=C(C)C=CN1,1,33.7
O=c1sc2c(n1CCc1ccccc1F)CCCC2=Cc1ccccc1,1,35.34
CN(C(=O)OC1=CCC(=O)C2(C1)CC(c1ccccc1)=NO2)C1CCCCC1,1,32.35
CC(=O)c1ccc2c(c1)N(C(=O)CN1CCCCC1)c1ccccc1S2,1,27.56
Cc1nn(C)cc1C=NNC(=O)CSc1nc2ccccc2n1Cc1ccccn1,1,32.95
OC(CCNC1CCC(N=c2nc3c(c[nH]2)ncn3-c2ccccc2)CC1)(c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,1,45.89
O=C(C=Cc1ccncc1)c1ccccc1-c1ccc(F)cc1F,1,25.68
