canonical_smiles,murcko_scaffold,novel_scaffold,pred_log10_ic50_uM,pred_ic50_uM,max_sim_to_seriesCE,has_spiro_motif,drug_like,mw,logp,hbd,hba,rot_bonds,tpsa
O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,1,-0.0881,0.8163,0.1356,0,1,440.57,3.72,2,6,7,101.1
O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,1,-0.0237,0.9469,0.1566,0,1,374.51,3.68,0,5,6,64.16
CCCCCCCCCCCCCCCCOC(=O)c1cc(C(=O)C[n+]2ccc(N3CCCC3)cc2)cc([N+](=O)[O-])c1,O=C(C[n+]1ccc(N2CCCC2)cc1)c1ccccc1,1,0.1908,1.5518,0.3409,0,0,580.79,8.0,0,6,21,93.63
CC(C)Cc1nc2c(nnn2Cc2ccccc2)c(=O)n1Cc1ccco1,O=c1c2nnn(Cc3ccccc3)c2ncn1Cc1ccco1,1,0.2854,1.9295,0.13,0,1,363.42,2.88,0,5,6,78.74
CCCCCCCC(=O)Nc1cc2c(O)n(CCCCC(O)=NO)c(O)c2cc1NC(=O)c1ccc([N+](=O)[O-])s1,O=C(Nc1ccc2c[nH]cc2c1)c1cccs1,1,0.2982,1.9871,0.2019,0,0,575.64,6.09,6,9,15,199.55
COc1ccc(-c2nnc(SCC(=O)NCCSCc3ccco3)n2C)cc1,O=C(CSc1nnc(-c2ccccc2)[nH]1)NCCSCc1ccco1,1,0.3612,2.297,0.1354,0,1,418.54,3.23,1,7,10,82.18
ON=C(O)C=Cc1ccc(CN(CCOC2CCCC2)CC2CCC2)o1,c1coc(CN(CCOC2CCCC2)CC2CCC2)c1,1,0.4031,2.5297,0.1287,0,1,362.47,4.2,2,5,10,78.43
CCCCCCCCCCCCCCCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1[N+](=O)[O-],O=S(=O)(c1ccccc1)c1cno[nH+]1,1,0.4057,2.5449,0.2165,0,0,511.64,5.91,0,8,19,139.48
CCOC(=O)C1CCC2(CNC(c3cc(F)ccc3F)=N2)N1C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,O=C(c1ccccc1)N1CCCC12CNC(c1ccccc1)=N2,1,0.4148,2.5988,0.2828,0,0,503.42,2.7,1,9,6,157.28
CCCCNC(=O)N1C2=C([N+](=O)[O-])CCC(Cc3ccc([N+](=O)[O-])cc3)N2CC1Cc1ccccc1,C1=C2NC(Cc3ccccc3)CN2C(Cc2ccccc2)CC1,1,0.4188,2.6233,0.2,0,1,493.56,4.48,1,6,9,121.86
CCCCN(CCC)c1cc(Oc2cc(C(=O)O)cc(C(=O)O)c2)c([N+](=O)[O-])cc1[N+](=O)[O-],c1ccc(Oc2ccccc2)cc1,1,0.4329,2.7094,0.1978,0,0,461.43,4.71,2,8,12,173.35
CCOc1ccc(C=c2sc3n(c2=O)C(c2ccc([N+](=O)[O-])o2)C(C#N)C(=N)N=3)cc1OC,N=C1CC(c2ccco2)n2c(sc(=Cc3ccccc3)c2=O)=N1,1,0.4352,2.7237,0.1379,0,0,467.46,1.99,1,9,6,156.74
CCc1nc2ccccc2n1CCCCOC(=O)c1cccc(C23CC4CC(CC(C4)C2)C3)c1,O=C(OCCCCn1cnc2ccccc21)c1cccc(C23CC4CC(CC(C4)C2)C3)c1,1,0.4586,2.8748,0.1863,0,0,456.63,6.7,0,3,8,44.12
Fc1cccc(CN=c2cc(-c3cc4c(cn3)cnn4C34CC5CC(CC(C5)C3)C4)[nH]cn2)c1,c1ccc(CN=c2cc(-c3cc4c(cn3)cnn4C34CC5CC(CC(C5)C3)C4)[nH]cn2)cc1,1,0.4586,2.8748,0.1348,0,1,454.55,4.99,1,4,4,71.75
Cc1onc(-c2ccccc2)c1COc1ccc(C(=O)NC23CC4CC(CC(C4)C2)C3)cn1,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccc(OCc2conc2-c2ccccc2)nc1,1,0.4765,2.9955,0.1782,0,0,443.55,5.32,1,5,6,77.25
CCCCCCCCCCc1ccc(CN2CCC(NC(=O)c3ccc([N+](=O)[O-])cc3)C2)cc1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccccc1,1,0.4903,3.0925,0.2841,0,0,465.64,6.28,1,4,14,75.48
Cc1nc(C2CCCCC2)ncc1CN(C)C(=O)CN1CCCC(CO)(Cc2ccccc2F)C1,O=C(CN1CCCC(Cc2ccccc2)C1)NCc1cnc(C2CCCCC2)nc1,1,0.5328,3.4103,0.1818,0,1,482.64,4.25,1,5,8,69.56
O=C1Nc2ccccc2C1(CCC1CCN(Cc2ccccc2[N+](=O)[O-])CC1)CC1CCCC1,O=C1Nc2ccccc2C1(CCC1CCN(Cc2ccccc2)CC1)CC1CCCC1,1,0.5383,3.454,0.181,0,0,461.61,6.06,1,4,8,75.48
CC(=O)NC1CCC(NCc2c(F)cncc2-c2nc3cc(N4CCCCC4)ccc3[nH]2)CC1,c1cc(CNC2CCCCC2)c(-c2nc3cc(N4CCCCC4)ccc3[nH]2)cn1,1,0.5383,3.454,0.2105,0,1,464.59,4.29,3,5,6,85.94
