canonical_smiles,murcko_scaffold,novel_scaffold,pred_log10_ic50_uM,pred_ic50_uM,max_sim_to_seriesCE,has_spiro_motif,drug_like,mw,logp,hbd,hba,rot_bonds,tpsa
O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,O=C(CSc1nc(=NCc2ccco2)c2cnn(C3CCCC3)c2[nH]1)NC1CCCC1,1,-0.0881,0.8163,0.1356,0,1,440.57,3.72,2,6,7,101.1
O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,O=C(CSc1nnc(C2CCCCC2)n1Cc1ccco1)N1CCCC1,1,-0.0237,0.9469,0.1566,0,1,374.51,3.68,0,5,6,64.16
CC(C)Cc1nc2c(nnn2Cc2ccccc2)c(=O)n1Cc1ccco1,O=c1c2nnn(Cc3ccccc3)c2ncn1Cc1ccco1,1,0.2854,1.9295,0.13,0,1,363.42,2.88,0,5,6,78.74
COc1ccc(-c2nnc(SCC(=O)NCCSCc3ccco3)n2C)cc1,O=C(CSc1nnc(-c2ccccc2)[nH]1)NCCSCc1ccco1,1,0.3612,2.297,0.1354,0,1,418.54,3.23,1,7,10,82.18
ON=C(O)C=Cc1ccc(CN(CCOC2CCCC2)CC2CCC2)o1,c1coc(CN(CCOC2CCCC2)CC2CCC2)c1,1,0.4031,2.5297,0.1287,0,1,362.47,4.2,2,5,10,78.43
CCCCNC(=O)N1C2=C([N+](=O)[O-])CCC(Cc3ccc([N+](=O)[O-])cc3)N2CC1Cc1ccccc1,C1=C2NC(Cc3ccccc3)CN2C(Cc2ccccc2)CC1,1,0.4188,2.6233,0.2,0,1,493.56,4.48,1,6,9,121.86
Fc1cccc(CN=c2cc(-c3cc4c(cn3)cnn4C34CC5CC(CC(C5)C3)C4)[nH]cn2)c1,c1ccc(CN=c2cc(-c3cc4c(cn3)cnn4C34CC5CC(CC(C5)C3)C4)[nH]cn2)cc1,1,0.4586,2.8748,0.1348,0,1,454.55,4.99,1,4,4,71.75
Cc1nc(C2CCCCC2)ncc1CN(C)C(=O)CN1CCCC(CO)(Cc2ccccc2F)C1,O=C(CN1CCCC(Cc2ccccc2)C1)NCc1cnc(C2CCCCC2)nc1,1,0.5328,3.4103,0.1818,0,1,482.64,4.25,1,5,8,69.56
O=C(NC1CC1)C1CCC(Cn2c(=O)n(CC(=O)N3CCCCC3)c3ccccc32)CC1,O=C(NC1CC1)C1CCC(Cn2c(=O)n(CC(=O)N3CCCCC3)c3ccccc32)CC1,1,0.5383,3.454,0.1562,0,1,438.57,2.9,1,3,6,76.34
CC(=O)NC1CCC(NCc2c(F)cncc2-c2nc3cc(N4CCCCC4)ccc3[nH]2)CC1,c1cc(CNC2CCCCC2)c(-c2nc3cc(N4CCCCC4)ccc3[nH]2)cn1,1,0.5383,3.454,0.2105,0,1,464.59,4.29,3,5,6,85.94
COC1CCN(C(=O)C(C)N2CCn3c(c(C(N)=O)c(-c4ccccc4)c3C3CC3)C2)CC1,O=C(CN1CCn2c(cc(-c3ccccc3)c2C2CC2)C1)N1CCCCC1,1,0.5383,3.454,0.18,0,1,450.58,2.97,1,4,6,80.8
CC(F)(F)CNC(=O)c1ccc(-c2c[nH]c(=N)c(C3CCN(c4ccc(C#N)cn4)CC3)c2)cc1F,N=c1[nH]cc(-c2ccccc2)cc1C1CCN(c2ccccn2)CC1,1,0.5601,3.6319,0.1942,0,1,494.52,4.34,3,5,6,108.66
C[N+](C)(CC1CC1)CC1CN(CCc2ccc(F)cc2)S(=O)(=O)c2cc([N+](=O)[O-])ccc2O1,O=S1(=O)c2ccccc2OC(C[NH2+]CC2CC2)CN1CCc1ccccc1,1,0.5628,3.6541,0.1635,0,1,478.57,3.21,0,5,8,89.75
O=C(c1cc(F)c(F)c(F)c1)N1CCC2(CC1)CN(c1cncnc1C1CC1)C2,O=C(c1ccccc1)N1CCC2(CC1)CN(c1cncnc1C1CC1)C2,1,0.6052,4.0286,0.2963,0,1,402.42,3.51,0,4,3,49.33
O=C(Nc1cnccc1N1CCCNCC1)c1nc(C2CC2)ccc1Nc1ccccc1,O=C(Nc1cnccc1N1CCCNCC1)c1nc(C2CC2)ccc1Nc1ccccc1,1,0.6107,4.0801,0.2079,0,1,428.54,4.15,3,6,6,82.18
CCCCCCC#Cc1cncc(N2CC3(CCN(C4CC4)CC3)OC2=O)c1,O=C1OC2(CCN(C3CC3)CC2)CN1c1cccnc1,1,0.6264,4.2303,0.4625,0,1,381.52,4.36,0,4,6,45.67
N#Cc1cccc(OCCCN2CCC3(CC2)C(=O)NCN3c2cccnc2)c1,O=C1NCN(c2cccnc2)C12CCN(CCCOc1ccccc1)CC2,1,0.627,4.2361,0.2346,0,1,391.48,2.15,1,6,6,81.49
Cc1ccc(C(=O)N2CC3(CCN(c4ccc(C#N)c(C(F)(F)F)c4)C3)C2)cc1C,O=C(c1ccccc1)N1CC2(CCN(c3ccccc3)C2)C1,1,0.6343,4.308,0.3625,0,1,413.44,4.55,0,3,2,47.34
Cc1[nH]c2cc(F)ccc2c1C1CCN(CCCN2C(=O)c3ccccc3C2=O)CC1,O=C1c2ccccc2C(=O)N1CCCN1CCC(c2c[nH]c3ccccc23)CC1,1,0.6422,4.3877,0.1714,0,1,419.5,4.48,1,3,5,56.41
COCC(=O)N1CCCC2(CCN(c3cncc(OCC4CCC4)c3)C2)C1,c1ncc(N2CCC3(CCCNC3)C2)cc1OCC1CCC1,1,0.6446,4.4114,0.3973,0,1,373.5,2.73,0,5,6,54.9
