SMILES,SMILES_state,NLL
5([nH]3[nH]#2[O-]n3#343C43nn[nH]c#[O-]#=N[N+]313=C1Nnc1C,0,387.75
F1c#F15F[nH]c,0,390.81
-4[nH][nH]1n2=1N=[nH][N+](1BrCCBr,0,393.94
(()OBrCn2NN,0,391.43
2)11[O-]1[nH]BrN[nH])CF4C425n[nH]C334c=5c[N+],0,391.6
,0,390.82
25O(-,0,391.53
2[N+]F1((4[N+]cBr[O-]O[nH](=11,0,391.26
#-=Br1O5(F5=C4=,0,392.5
2C[O-]#O,0,390.52
3[O-]5nnc,0,390.49
5[nH]C2541nc)[O-]C-[nH]3Brn(5O)(4#=C[nH][O-]NNn[O-]O43[N+]22([N+],0,390.4
C4nNcC[O-][N+]5)4OO1F(F[nH]n214[nH]O4n[N+]-5(nCc,0,390.68
BrBrON,0,391.62
(BrCc[N+]=F2=1Br[O-][nH]1nN--ONc=FFFc3-[N+]OOOBrN4N3#Br)[nH])5[nH]OF[O-]1nBrO,0,393.35
-C2FOCO,0,392.29
3F,0,390.69
[N+]n[N+][O-]22([O-]Br5,0,391.86
[N+]nN-[N+]nn5C-N[N+]5,0,391.65
N#BrBr[nH]5=-F)(nN1=c,0,391.84
n(-3[N+]Br)4c)2n)Oc(C([O-]1n)cCO=Cc=-[O-]=FO[nH]Cc)N4[O-][N+])OCCBrc[O-]F4F=-c2,0,390.39
[O-]5C[O-]([N+][O-]1231345O)-F=11c[N+]#n#[nH]NF,0,393.1
CO#4-2[N+]4[O-][nH]N-2[O-]n5[nH]2C=#[O-][N+]CNO3C45-Br[N+]n#,0,392.65
FN1-[O-]2C[N+])C[nH]O,0,391.13
OF#15c(11)F[N+]Br2c5Br=2)F,0,390.59
cc)C===23nNFOc[N+][O-],0,390.39
##)[N+]N=[nH]Br4[N+][nH]44[N+]nc(,0,393.01
-[N+]#n,0,390.59
=c=[O-]N4c[O-]CBr(4[N+]Br[N+]c(5[O-]#4=-4O52O,0,393.17
=C=-n)N[nH]5[N+]O(13)(4NBrn)-Br),0,393.19
[N+]##2[nH]3[N+]#F2F3-cNO[N+]-c[O-][nH]2[O-]F#C#)=,0,390.4
=[N+],0,392.94
O-3O5C5c=FCn[nH]2(cC[N+]-c[N+]25Br[N+][N+]O=O=[N+]cnF53O[nH]3(F[O-]F)(=)1FBr[N+]#BrFF1,0,391.04
)F=1(C=2Br[N+](41)O3n[nH]C[nH]n[O-]43N[N+]4O),0,391.96
)##O5ccN,0,392.55
FBr2,0,392.46
F[N+]OOF3(C[O-]51,0,393.08
4[nH],0,391.81
#,0,389.89
),0,391.78
O2C,0,393.55
3c#-F1[N+]-[nH](#O,0,390.46
n(n(BrBr[N+]F1OBr1Br2[O-](3-(#Br-=1,0,392.83
,0,390.75
5-53([O-]Br(-1NFC4cnc(3[nH]O41[O-][nH]N#(4CCO[nH])43-)c-35#,0,392.4
4CO[O-]nF[N+]C51[nH]-ONCO)[N+][nH]1[O-]BrO,0,390.8
O2-cC#Br[nH]53=4#,0,390.76
3N[N+][N+]N-F2nn)-Nn5n(FBr3,0,391.4
[N+]-=[O-]3c4N)[O-]N=[nH]#nF-,0,393.99
2[nH],0,392.11
2O)N#[nH]#4(n5[N+]n(#[nH]([N+],0,393.63
[nH]F,0,389.1
c([nH]FC,0,392.04
2[N+]4F3)3[nH]cc#c[nH]#FO--3,0,390.64
(1=[O-]5n-CC[nH]NcN(C2N1=2nN[O-]-FBr[N+]11)1-)2n[O-]NC,0,390.87
)[nH](n344#NBrC[nH]=(4n,0,390.96
F5C[nH]2C[nH]nc#FC=[O-]2=c[N+]22[O-][N+]#)[nH]4)##NCFN()(FC,0,393.78
cn[N+],0,391.02
([nH][N+]2,0,394.14
)(Brcn3Cc4[N+])N2F3C,0,392.42
-On#1=[nH]5=Br,0,393.03
41[N+]3C()3)2c4[O-]51#-[nH]N[nH]5c[O-]c(151C5,0,391.2
3([O-]c[N+]#2-c[nH]=Br=N,0,392.15
C,1,392.4
2OBr[nH])F=,0,390.22
#))[N+]N(C),0,391.41
5N41cc,0,392.61
C3-=F[O-]2BrcFC1,0,391.99
Br(O3[nH]n#1#-F-[O-])5#C3N2Brn2[nH],0,390.93
