SMILES,SMILES_state,NLL
BrCBr[nH]BrCBrc2()NccCCncC33N1c2)2),0,127.76
315)-C2)N5C([nH]3#C1C3,0,102.25
N)#2F1CCC3)c3CcCCn3Cc,0,92.64
43Cn4c(CcC3c34Ccc,0,82.76
Br[nH]n[O-]C2c)1cCC)cCccCcCC(c2#C1cC,0,122.2
,0,121.07
[O-]2,0,126.57
=34()Nc(C(Cc4C22cC3Ccn(,0,107.46
,0,104.01
[nH]4,0,141.69
(=N(n[O-]4)-1)c((C4C2(nC4C2C1(1(,0,137.84
c[O-](NC()nCCccN4C1C4CC2,0,101.41
C-CF4c)(CCC2c)c)cCc))cCC,0,102.6
CF[nH]Onc)c([nH][O-]NCN2,0,83.03
C1#N13c(C)cn)33c),0,84.89
-12(#CC2ccN1cccccCcc(c,0,97.07
[N+]Br[N+][nH]4[nH]4cBrN31c2Cc,0,109.17
N[nH]FC(343CNNC)=ccC(cCBr,0,97.48
(1(n[N+]c3C)N)(2n(c3313CC,0,102.2
FcO1121)c1CCNCncN)F3NcC3CcC(N,0,131.92
,0,154.31
N22#3[O-](FC)cCC(CCccCCc11Cc(c,0,110.75
=cc((()31cCCCNC)1,0,81.04
-c4nNBrC1C))cN1Nc((CcCcCC,0,104.4
O(,0,130.93
,0,110.2
1c[O-][O-]42cc)cCNCc(cc4Cc3N2)[N+],0,116.38
([N+]c23(2cc3c3NFc[O-]C2(2)C,0,109.73
1()C2CcC23CcCc1cCc(Ncc(22C13C1,0,127.96
2c[O-]#[N+]NCC1(n4Cc-cN[O-])3(c2Nc,0,121.83
1=N2(#2c2n2)4)C1c32CC1,0,107.05
BrCCNC3c3)N2c)cC)C(c1,0,91.46
n(N[N+](13CCC2CCNcNNC3C(n()c3CcC,0,123.18
-32C[N+],0,96.44
N2,0,92.49
4(1,0,100.23
Br2N141[N+]c2C22C)cCc3(14C-cNcC(,0,133.4
N1O3cCccN)ncNcc[O-])CCcC4C)Ccc(3,0,126.85
n)#CnCC)2Cccc)(1NccCCC3,0,106.28
[O-]-[N+][O-]n2113(cC()2CC2)CC3CCCC),0,110.05
,0,107.44
52[nH]2[N+]FF4(cC4C)1(NN(2#(cC(CCn,0,127.53
N3cccCcc(Cc21Cc3C)cNcNCBrNnCc(CN,0,136.25
=FO23[nH](,0,130.81
,0,91.2
3[N+])nC4cCCccc)(cC22cc(2nCc4NCc,0,125.95
3)4C3N(NCNcccOCcC1C(c2,0,100.54
3#1nFn)C=)[O-]C(CC)cCCcc,0,105.16
Oc#Br[nH]c[N+]cccCCC)CC(Cc1CCC-#,0,114.38
5#cN[N+]c(=cC(((CCCn24cCCNcCCcN,0,122.73
)FBr=C(c11c12)2NC5(4N)1)1,0,119.62
n[N+]11F1)[N+]2cC(CC3NC(CCC,0,92.31
1[O-]2(2FCnCc)CncN()3Cc),0,95.18
)[nH]44)4)c14CC((C)(1CC24CN21nccC,0,135.22
[nH]n,0,128.81
12NcCNc3C1C2CCcC)(,0,84.69
3((5(Cn)C21C1NCCNCcc,0,89.06
n51c)c(N4N-N))CCCCCF,0,95.01
F3C)C(3)3cnccNCC)C22)CCN2CNCC,0,132.8
c#2NC-n)(-C)CCnC)c=cCc,0,110.62
4[O-]c([nH]#CO(cNcCc(1()2-22c=C(=,0,130.41
(NC14)(22NCcc-CFN(cNCc2C,0,113.39
OFCn11(C()(51)cCC)),0,94.01
4n2([nH]Cc2cc(2Cc1cCCC)3N)Nc,0,115.74
[nH][nH]3[O-]CFcCccC12C1N),0,77.74
3-#CBr[O-]cC332c)(c223CccC))),0,114.46
=c-4Br[N+]))N4c3(CCn2cCcC3Cc1(,0,115.28
5(5n=C1N24cNCcNccCc)(c2)3,0,110.94
Br3N2Fc3)13ccC(2N)(nCccC5,0,116.8
[O-]4CBr=n451(1cCCcCNCCC1C4cc1C-CCCNc,0,141.2
[O-],1,148.18
C3[N+]O2O141C=N4c1ccCCNc2,0,106.31
[nH]c=-N,0,93.46
3-3F[O-](1cc-Cc4c)(3(cN2cC(,0,111.3
#c(#FcCc2CCncc)C(Nn[nH](21nF-cc3,0,142.41
,0,140.59
NBr[O-]-4[O-]1),0,145.36
[nH][nH]33)Cc1))c3nCCcc,0,81.03
3[nH]Br,0,109.01
[nH]Br[O-]#c[O-]()4)33CO2C2C,0,93.12
2=[O-]nCO5F[O-](cCCcC3c4CcCN,0,97.99
-F,0,118.1
N4),0,110.53
,0,105.22
[N+]#,0,115.18
F3#3Br3(c1(N2[O-]))[nH]1NNCC#CCnC,0,124.18
[N+]3-#[nH]2-FN2NC2)CC3)cCnN,0,105.97
c,0,123.02
11[O-](,0,88.18
[N+][nH]Cc)c#)N(C2cCcc(3C3(C(Cc,0,114.43
=[nH][nH]c#)cC1C(cCC2c(2C13Cc,0,104.95
c[O-]c21CC1c(((c)C35Ccc2=Cc)c,0,120.11
#N((,0,97.42
)3(cC31Cc22cc(cc(CC,0,89.13
OCCNF[nH]cCCCc3,0,107.05
Brn,0,111.96
[nH]n)=2C1Cccc1c(Cn3cCCC21NC,0,107.49
c[N+](C3cccnc11c2c2cc=C3,0,100.14
3C5,0,104.11
[nH][O-],0,159.08
F2)[N+]4CCC-4CN24C5)2c),0,104.87
,0,113.97
n1-c2(CcN)Cc3c)[nH]n)cc)C3CN=CN,0,128.88
=n11NCn42c1(C)C[O-](CCccC12c,0,112.57
5([O-]n[O-]13N(ccC3c([O-]C)cC1nCc51,0,120.98
[N+]OOC#2cc2cCCN3)(C#1C),0,99.62
2(OO)[N+]ccc)C(2cCN(11cccc,0,103.81
[nH]2[N+][nH]C=[O-]Cn[N+]4Ncc3)3-[N+]1NCc,0,115.31
#C,0,89.09
Br=ONnFN)2NC)Cc1CBr52cCCcc,0,110.54
F,1,98.13
)N[nH]1C([O-],0,132.09
5FOO(2[N+]4C2()(CC4)c1nc)1=2,0,117.84
[nH])234CC3c)CcCnC3NCCc)4c,0,105.17
[O-]#[nH][nH]NcBrc(cCC(5)cN1c1(N)C1,0,115.93
,0,113.3
cO35,0,102.2
(F[nH][N+]#c[N+]cC(C2cC(2C1C3,0,88.02
1#422OBr1CC1N(NC(3c(Nc1(,0,105.32
,0,114.85
-cC1cCNC1Cn3c-FC(c#c31,0,113.05
CccC)2cCC-C2cCc(,0,77.61
CF2)[nH]--#(cCNCC2)c)CNnn(CN2,0,125.56
4-5-=252C41CC5()C1c((12n,0,117.08
)2514CcN1Nc3c2CN24n,0,96.11
#)2N)C2(nCc(cCcCcc)2ONCC,0,105.69
C1nnO#53CN)NcC)3nBrCcCcNCcc,0,119.96
F[nH]n,0,131.59
)n[nH]#)3cNCC1(1c2(C21(22[nH]CNC,0,124.91
2=(=(Ccc2CC)cNCCc3c2NCcc2)cn,0,119.13
O2c5,0,114.95
5OFFC)CCccC)2c2(cnc131cc2,0,112.06
#[N+]3,0,110.0
)[nH][O-]5n(CCC4c1cNCCc()cc(CNC,0,107.18
[O-]O,1,133.44
34=n#13OC3)cF(N)CC)c4N,0,108.52
c--#(1C(c3FC31N34cN))3N,0,112.49
45#O#355FN2C)(NC1Cc)ccccC)cCcN,0,132.57
c[N+]#[N+][O-]C=#-c3C3Cc)c33c,0,95.02
#-[nH]5O1F1c311Ccc1n)3#CCcc()Cc,0,127.57
,0,114.18
c=[O-],0,115.71
2O[nH]4[nH]-n[N+]C#C2()C(C2NcCCC3,0,107.59
2FcBrn-2CF)3CCCF2)CC1N,0,105.22
)CBrcBrNc)CcC)C3c3C(c4c(c,0,102.82
4[nH]4FFc)(4CccCCC(41Nccc,0,100.41
(C,0,97.17
[nH]CF34CCc#c[nH]cCCC31c1N3,0,98.94
2=#n[nH]C3221(NCc3cCCC22,0,98.63
[N+][nH]=#C[O-]cNc21Cc2c2)cCC13(Cc1,0,115.08
,0,126.79
N)c43cN=cC)#3cNcc[nH]nnNC(c,0,122.68
N[O-]4[O-]NN,0,120.44
cnnc,0,104.52
1#-#Br4FcOCCccN2(4N23Cc=2cCC2,0,125.93
44[N+]Br(34(N1C-c(33)3cC,0,91.25
nC(C)C)CNn(cC2)2CCCC,0,92.03
[nH]Br[nH]5cN[N+]cO(C#22NO(4)c3cC)c,0,116.37
3[nH]c(c1c(23ncc,0,71.32
33,0,103.08
,0,114.98
32)4NN2)3CNC(CCcNnc)c2(CCC,0,120.13
F(FOBr=CC13CccC3cCCCC[O-]cC2C,0,106.2
(F3#2c(C2Nc3CCCnC(#22C(C,0,107.81
[nH]BrBr[N+]=N[nH]1Oc(CNC(cNcC3C322cC1cn41C4211c,0,162.29
N-5C5(cOCCcCCCcC)CcCCcC3(NCn,0,114.43
-[O-]C23(CCcnccC2C#3CCc)cCC,0,105.91
#32(1#(C)3C1c2CCC2)c(4()nCCC,0,130.53
[nH]2(C3N(2CcCcc21cCO1CCC,0,98.31
22c1CCccCcC((ccnN))NCC,0,104.28
3,0,144.95
C5#1N2nN3cccCcCC3=3CCcCN1,0,118.43
)1(2cc-24ccCcCNCc)nCNC3c)Nc(c,0,126.12
21)(C23(N12CccC#ccNN1F,0,106.0
n2Ccc(2NC1NcC(2,0,79.13
-[N+]C(cN3)c3(CCcc((Cn((()C,0,108.96
[O-]1[nH]5-#5nCCcCC()(21#c1C1,0,109.81
[nH]Br2([O-]),0,99.79
Fn(#N13)NCc)))CCc(ccCccC2,0,107.71
nc-Br2N(4)CCnNcc2c1c(c2C,0,108.72
141#[nH](11c(cC3nC1cnCc,0,97.12
(-nCBr3C(cc[N+]cC3N2[N+]C1CC5cN,0,114.06
NNcNO(nccC3ccCCCON,0,84.38
C45cc)NCc14C#c2)c1cn[N+]CCccc,0,119.95
(1cC[nH])(ccN33cc13CNc),0,98.31
551F[O-],0,100.67
,0,119.25
)##)))(CNc))CN)C2BrcncC),0,112.7
=1ncN[N+]Br[N+]2c(2O4#c1(N2()4(2N2C(c,0,144.82
C[N+]O=C#1cC3ccc32CNN[nH]C,0,102.75
3[N+][N+]2OC3[nH]CCcn3CCC2Cn3Ccc22(,0,114.04
3)#C)c(nCCc#c1C,0,74.88
)3Fcc)OCC#C(32cC(1CcCcC)2,0,115.6
,0,191.23
(3n,0,105.62
BrcBr1#=c(N1(C((CC(21c-,0,101.01
4[O-]4NCCcC(C(CCCC53c2Cc2(2)c,0,113.59
,0,176.09
NN(4CCn(c1()2NCC(nccc3(C)c4,0,129.05
5c3(22c3N3c(c22)1,0,83.98
423[O-]N)C1)CC(cC3CN2)c1cc3CcCCCBrN)4,0,145.14
,0,106.12
(C12#Br11CC[nH](CcCc2CCCn4,0,105.75
ncO)N,0,107.15
F1c(CN(2#C(3[nH]CCNcNc)C2c13OC),0,142.89
-C[N+]11cc)BrBrc1Cc34(2C3C3)CC,0,121.39
[N+][N+][O-]c[nH][N+]C#C)ccC3ncC(3c)N(C,0,105.97
=,0,143.94
#N5O)1Br12cn[nH]NN2NCCC,0,92.68
3O3nccC121cC4NBrCOCc2CC,0,106.42
1ON)55-2,0,92.76
[N+]cnO[O-](cc1C2(N[N+]3C)OCCc3ccc,0,113.35
1F,0,113.16
[N+][O-],1,118.89
=1BrC#2CCcC)Ccc#(NC=CC,0,95.46
1c,0,112.93
2#(C1-)c4))3C)4CC11(nN,0,103.91
1[N+]#)[O-]N(CC3cCccCcCCcN,0,86.93
Nc5NF[nH]nN2#CCC(1)cc)N4cc),0,115.1
4)[nH]c24C)2c(C1C1NCCc(c)11,0,107.38
C1N,0,110.79
)1142-=C)CCCNcc(3cCCcCNCCOCNNcc,0,133.58
411),0,147.57
)=n[O-]-[nH]3#CcCCnccCCCCNcc(C1((N,0,120.91
,0,123.54
(O[N+]2)-C2(Cc1cNCc(2cc1)(3cN1C,0,128.25
434N3N(()4cN4C32Cc(cC)3,0,104.17
n=22)42c1(C)c(34C(nCN33),0,114.57
)[N+]F4Cn4(ccFC(Ncc23CCC2CcC,0,110.96
14(11(c3C3C3N1C(34C)1C,0,104.35
F3-3(3cNCcc2Ncc21CC(1On,0,109.48
,0,128.61
C2FC)C))2C[O-]c4c(,0,82.36
NO5Br[N+]c4C3N1))C(C(=)NC(11cc3Ncc((c1C,0,152.68
[nH]#(([N+][O-])1cc)c3cc2cC((,0,88.56
N2O--([O-]c1c2CO243)),0,89.96
Br[N+]1#,0,137.59
5=[N+][nH],0,140.75
Brc2[O-]3)3CNNcCN)2C)(c-CC3c1,0,117.55
n()(1c2CNCc2CC2cN()CC334)3,0,117.67
c5N,0,106.0
F1[nH]1cc2N1c)C3#N,0,77.52
[nH]FO#Br)NBrN(n3#CCc13)(FCc(C,0,117.17
O[nH]Br5#5[O-]N-#N(C)Ccc)1ccC)2N()n,0,123.32
NBrO2OO53c#13CN,0,136.14
#-5#[N+]#2)1c4c2C2NccC)(41C,0,117.27
5=[nH](NN=)C22(3C)CC)12((C(,0,106.16
O-F)#c)CC(Cn)C(,0,72.86
[nH]4,0,106.33
FC[O-]Oc12n)CCcC3Cc3CCc,0,91.1
54O[N+]F)4-ncC(C111#CCNC1cC,0,109.89
=42[nH]cBr[N+]-N(2(C)3c1)C2C4CcC-((,0,129.08
[nH]#1(4#CCc)2)CC21C(3222N,0,108.35
nCCC#BrC2CC3(CccCC2Br))cC,0,107.35
5F,0,113.47
c#FNCBr21cC1ccC1C-Cccc4O42,0,116.37
(#CC[nH]F[O-]C1NcN1NC4cCC2c3,0,108.1
#2N[O-]Br#)cCC-CCCcccCCC332(,0,112.36
3(-,0,107.25
OF,1,124.71
C,1,79.79
34nn1#N(CCn4cc4)2(CcCC,0,103.13
[nH],0,151.3
Br,1,109.93
ccOc#cCCN(CCcCNC)(4CC41nN(Cc,0,125.36
[N+]45-,0,129.64
1c5cc3Cccc3(c3cc(Br),0,95.1
Br)c3cc4(CC21cCCC32-Cc2,0,100.82
4C(#12cC)C2CCCC#CC(ccCCc,0,109.96
F)2N([O-]CBrC2NcN3ccCC2(C4C,0,102.95
)ccCF5ccCc()c)(C21C(c)Nc311#CC,0,135.9
)c3C5Cc)1()3C2(2C1,0,89.91
O(([nH])C)CCccCC)3()3Ccc2cNc(341,0,124.59
422(O[O-]3nc4)c3cCCCc2))CC2Cc,0,111.05
)nn5NcCc)2C)C124c3-2,0,99.57
F[N+]22nCF[O-])C)=(cc=(cCcc)(CC2,0,118.26
1F=-2[O-]2N)C4c[nH],0,150.85
n1FC[O-]C#(CCNC1C2NCcC#C,0,99.33
-#OCNC))1c)CCcC3cCCC1C,0,92.23
)2=1F,0,116.93
N5nO42[nH]c)CCF2CcC3CC3CccC4Br,0,115.95
,0,109.75
4N4ON1Cc#nCCCN2(cCNC()(()CccnNC,0,133.2
,0,146.15
[O-])OBrc)c)CCCc-CCC)C))cc3C(23,0,116.91
[nH]=Fn3C3,0,112.35
