SMILES,SMILES_state,NLL
[N+],1,392.83
#-[N+]=#5#4=n=O(n3[O-],0,392.98
C1,0,392.94
=4C[O-][nH]Br[nH]21[N+][nH]-3)21[O-]c5C#N(-Oc)F-)5(C=))n(=25F3[O-],0,392.33
c3[nH]O-[N+][nH]-1=nFc=3N[N+][O-]O=-5[O-]F(#(--52=N=5c2,0,393.12
3=)N4n#)F2=)C[nH]n#nCF[O-])FF=5#(N(c3[nH]([O-]F4-c,0,392.77
[nH]F3nN4c[O-])N[O-]N2[nH][O-]C(BrNnO=[N+]-,0,392.32
,0,392.53
1C=Br[N+][O-]545#cC(F431#C=[nH]1Br=5Br3))1,0,392.18
2cc5,0,392.81
Br2F(3[O-]3[O-]1[O-]4n([O-])Br[nH]3BrC1NC)[O-]-[O-]O-CBr=[N+]22[O-][O-])55,0,392.65
FO[nH]12FO[O-]#-=Brc4[N+]=CnN[N+]N[O-]cCNC2cO55cnFc#c(F[N+]32c[O-]BrN-),0,391.89
cCcF-5=n[nH]Br1NF(nF)c#,0,392.97
[nH]3C4-n34)##-)c(n[nH]3-O(C=[O-][nH]4),0,392.46
F11c#Br3Brn[O-]([O-][N+]Br3[nH]#251-(c[N+])1Fc25n,0,392.53
#FNF-1F21-[nH]n[N+]1n#[N+][nH][nH][N+]cn([O-][O-]CF[N+],0,392.21
5cN121-(O[O-]#n=O2,0,392.67
[N+]n(N-1Cn=cn[nH]BrC#[N+])3BrFO2134n5)nn#[nH](OcN4(F(([N+])-[nH]4N,0,393.12
34N-n52,0,392.5
5[N+][nH][nH]-[O-]4,0,393.1
BrN(nN)n5N-ncC-c,0,392.68
(C#(F((c1O(=1[nH])#Br=,0,392.59
n(2315[nH]CF(O4)2CN#C4#C[nH]Br)F5=Br(N1,0,392.07
#-FO#1-CF41(Brn3-c=,0,392.22
O4#-BrFNC[N+]c[O-]22[nH]2OFC5[N+]223C##-F[N+][O-])O,0,392.49
Br)n([nH][N+]3N3[O-]2,0,392.79
,0,392.43
FO[N+]C15CBrcNBr-nC-=CF3F=BrFc44[N+]NC)#,0,392.57
[nH](4(=#5[N+]3[O-]Nn[nH],0,392.92
[N+][nH][O-][N+],0,392.43
Br1c[nH]n[N+]c4OFc)=OnN1,0,392.54
##Br[N+],0,392.4
O([N+]O)34NBrF[nH]#4N(N(#3FOFCC[N+]O32Nn,0,392.6
