SMILES,SMILES_state,Scaffold,R-groups,NLL
COc1ccc(CC(NC(=O)C2CC2)C(N)Cc2ccc(C#CC3CCC(NC(=O)c4cccc(C#N)c4)(C(=O)NCC#N)C(C(=O)NC(C(=O)NC(CCc4ccc(OCCCCOc5cccc(CC(=O)CCC(NC(=O)CCCCC(=O)NC(CCCCN)C(N)=O)C(=O)O)c5)cc4)C(=O)O)C(C)C)C3CCCC(=O)NCCCCC(N)C(=O)NCCOCCOCCOCCOC(=O)CNC(=O)CCC3CCCN3)cc2F)cc1,0,N1CC2(CN(c3cc(C#Cc4ccccc4)cnc3)CC2)C1,N(C(=O)c1cccc(C#N)c1)C1(C(=O)NCC#N)CCC(C#Cc2cc(F)c(CC(N)C(NC(C3CC3)=O)Cc3ccc(OC)cc3)cc2)C(CCCC(=O)NCCCCC(N)C(=O)NCCOCCOCCOCCOC(=O)CNC(CCC2CCCN2)=O)C1C(=O)NC(C(C)C)C(NC(C(O)=O)CCc1ccc(OCCCCOc2cccc(CC(=O)CCC(C(O)=O)NC(CCCCC(=O)NC(C(=O)N)CCCCN)=O)c2)cc1)=O,130.52
c1cc(CCO)ccc1CC(=O)Nc1nc(C)c(N(C(c2cc3c(cc2)nnc(C)n3CC)=O)CCC(Cl)(C)C)c(C(=O)N2CCC(C(=O)N)(C(=O)OCC)CC2)c1CCC#Cc1ccc(CCCCC(=O)O)cc1C(=O)c1cncc(CCCCOc2cc(CCC(=O)O)ccc2CCCCC(=O)NCc2ccc(C(CCCCC)=O)cc2)c1C(=O)OCC(N1CCC(C(=O)O)CC1)=O)CCC(C)C,0,C1C2(CN1C(=O)OC(C)(C)C)CN(c1cccc(Br)n1)CC2,c1cc(CCO)ccc1CC(=O)Nc1nc(C)c(N(C(c2cc3c(cc2)nnc(C)n3CC)=O)CCC(Cl)(C)C)c(C(=O)N2CCC(C(=O)N)(C(=O)OCC)CC2)c1CCC#Cc1ccc(CCCCC(=O)O)cc1C(=O)c1cncc(CCCCOc2cc(CCC(=O)O)ccc2CCCCC(=O)NCc2ccc(C(CCCCC)=O)cc2)c1C(=O)OCC(N1CCC(C(=O)O)CC1)=O)CCC(C)C,147.91
Cc1nc(C(=O)NC2CC2)cc(N2CCOCC2CC(=O)NCCC(=O)NCC(CCCCC(=O)NCCC(=O)NCCCCC(NC(=O)C(C)CS(C)(=O)=O)C(N)=O)NCC(O)c2ccccc2)n1,0,CC(C)(C)OC(=O)N1CC2(C1)CN(c1cncc(-c3ccc(F)cc3)c1)CC2,C1OCCN(c2nc(C)nc(C(NC3CC3)=O)c2)C1CC(=O)NCCC(=O)NCC(NCC(c1ccccc1)O)CCCCC(=O)NCCC(=O)NCCCCC(C(=O)N)NC(=O)C(C)CS(=O)(=O)C,55.99
Fc1cc(F)c(NC(=O)N2CC(NC(c3cc(Br)cs3)CCS(=O)(CCC3CC3)=O)(=O)C2)cc1C(N1C(C(C)C)C(=O)N(CCCC)CC1CCC(C(C)C)C(=O)N1CCCCC1C(OCC(Nc1ccc(CC(C(OC(C)(C)C)=O)NC(=O)C)cc1)=O)=O)C(NC(C(=O)OC)CC(C)COC(=O)NC1C(O)C(O)C(C(O)=O)C(CCCC(=O)CCCCC(=O)NCCCCC(=O)N(C)CCCC(O)C(=O)*),0,c1c(Br)cc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cn1,Fc1cc(F)c(NC(=O)N2CC(NC(c3cc(Br)cs3)CCS(=O)(CCC3CC3)=O)(=O)C2)cc1C(N1C(C(C)C)C(=O)N(CCCC)CC1CCC(C(C)C)C(=O)N1CCCCC1C(OCC(Nc1ccc(CC(C(OC(C)(C)C)=O)NC(=O)C)cc1)=O)=O)C(NC(C(=O)OC)CC(C)COC(=O)NC1C(O)C(O)C(C(O)=O)C(CCCC(=O)CCCCC(=O)NCCCCC(=O)N(C)CCCC(O)C(=O)*),161.2
O=C(O)C=CC(Nc1cc([N+](=O)[O-])cc(S(=O)(=O)N(C)C2C(O)C(O)C(O)C(C(O)=O)O2)c1)CC(=O)NC(CCCCN)C(NCCCC(C(=O)O)NC(CCC(C(=O)O)NC(CCC(O)=O)=O)=O)=O)C(NC(CCCCN)C(=O)NCCc1ccc(OCCOCCC(O)=O)c(CCCC(O)=O)c1)C(C)C(=O)OCCCC(C)C*,0,CC(C)(OC(N1CC2(C1)CCN(c1cncc(C#Cc3ccccc3)c1)C2)=O)C,O=C(O)C=CC(Nc1cc([N+](=O)[O-])cc(S(=O)(=O)N(C)C2C(O)C(O)C(O)C(C(O)=O)O2)c1)CC(=O)NC(CCCCN)C(NCCCC(C(=O)O)NC(CCC(C(=O)O)NC(CCC(O)=O)=O)=O)=O)C(NC(CCCCN)C(=O)NCCc1ccc(OCCOCCC(O)=O)c(CCCC(O)=O)c1)C(C)C(=O)OCCCC(C)C*,105.36
CCOC1C(O)C(C)C2OC(C(C)=O)C(C(=O)NCCOC(=O)NCCCCC#CC(=O)NC(Cc3ccc(F)cc3)C(=O)O)C21,0,c1c(CCCOC2CN(c3cncc(N4CC5(CN(C(OC(C)(C)C)=O)C5)CC4)c3)C2)cccc1,C12C(C(C)C(O)C1OCC)OC(C(=O)C)C2C(=O)NCCOC(=O)NCCCCC#CC(NC(C(=O)O)Cc1ccc(F)cc1)=O,56.17
C(#C)CCC1(CCC#C)N=N12CCCN2C(=O)CCCOc1ccc(CCCC(NCCCC(N2CCC(CCCC#C)CC2)=O)CCC(=O)N2CCCC2COC(CCCC#C)=O)c(CO)c1N(C)CCNC(=O)c1c(OC)cc(NCCC(N)C(=O)N)c(C#CCCCC#C)c1NCCCCN1CCCC1CNC(CCCCC#C)=O)OCCCCn1nc(C#CCC)c(N2CCCC2)c1C(=O)N,0,C(CCCCC)C#Cc1cncc(N2CC3(CC2)CN(C(CCc2c4ccccc4[nH]c2)=O)C3)c1,C(#C)CCC1(CCC#C)N=N12CCCN2C(=O)CCCOc1ccc(CCCC(NCCCC(N2CCC(CCCC#C)CC2)=O)CCC(=O)N2CCCC2COC(CCCC#C)=O)c(CO)c1N(C)CCNC(=O)c1c(OC)cc(NCCC(N)C(=O)N)c(C#CCCCC#C)c1NCCCCN1CCCC1CNC(CCCCC#C)=O)OCCCCn1nc(C#CCC)c(N2CCCC2)c1C(=O)N,133.04
c1ccc(NC(C)=O)c(OC)c1Br)C=CC#N,0,C1N(C(c2cc([N+]([O-])=O)cc([N+](=O)[O-])c2)=O)CC12CCN(c1cncc(C#CCCCCCC)c1)C2,c1ccc(NC(C)=O)c(OC)c1Br)C=CC#N,29.92
c1occ(C=CC(OCC)=O)c1C(=O)N1CCN(C(=O)CCC#Cc2ccc(OCC3CC3)c(OC)c2)C(CC)C1C(=O)NCCCCC(C(C(=O)O)O)NC(CCCCC(NCCOCCOCCNC(=O)CCCC#C)=O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC(C(=O)O)CCC(NCCCCOCCCCOC(CCCC(=O)NCC(=O)NCCCOc1cc(CCC#C)c(OCC(CNC(C)(C)CC#C)CN(C)CC(O)CO,0,c12cc([N+]([O-])=O)c(C(=O)N3CC4(CCN(c5cc(C#CCCCCCC)cnc5)C4)C3)cc1OCO2,c1occ(C=CC(OCC)=O)c1C(=O)N1CCN(C(=O)CCC#Cc2ccc(OCC3CC3)c(OC)c2)C(CC)C1C(=O)NCCCCC(C(C(=O)O)O)NC(CCCCC(NCCOCCOCCNC(=O)CCCC#C)=O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC(C(=O)O)CCC(NCCCCOCCCCOC(CCCC(=O)NCC(=O)NCCCOc1cc(CCC#C)c(OCC(CNC(C)(C)CC#C)CN(C)CC(O)CO,138.02
*C(C)(C)C(N)=O,0,C(=O)(c1ccc2c(c1)OCO2)N1CC2(C1)CN(c1cncc(C#CCCCCCC)c1)CC2,*C(C(=O)N)(C)C,7.95
