SMILES,SMILES_state,Warheads,Linker,NLL
C(c1cc(Cl)c(-c2nc(C(=O)N3CCC([*])CC3)c(C)[nH]2)cc1)[*],0,c1c(C#Cc2ccccc2)cc(N2CCC3(CNC3)C2)cn1,C(c1cc(Cl)c(-c2nc(C(=O)N3CCC([*])CC3)c(C)[nH]2)cc1)[*],18.65
[*]c1cc(C(Nc2cc(F)cc([*])c2)=O)c(Cl)cc1,0,n1c(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cccc1Br,[*]c1cc(C(Nc2cc(F)cc([*])c2)=O)c(Cl)cc1,10.93
c1cc([*])nn(C)c1=O)c1ccc([*])cc1C,0,c1cc(-c2cncc(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)c2)ccc1F,c1cc([*])nn(C)c1=O)c1ccc([*])cc1C,11.11
[*]C(C1(c2ccc(C(C)(C)C)cc2)CCC(SC)(C(=O)N2CCC(CC[*])CC2)CC1)=O,0,CC(C)(OC(N1CC2(C1)CCN(c1cncc(Br)c1)C2)=O)C,[*]C(C1(c2ccc(C(C)(C)C)cc2)CCC(SC)(C(=O)N2CCC(CC[*])CC2)CC1)=O,28.58
C1C(c2[nH]c(=O)n(C[*])n2)c2c(cc3c(c2)c(C)c(C#C[*])n3)CC1,0,c1(C#Cc2ccccc2)cncc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)c1,C1C(c2[nH]c(=O)n(C[*])n2)c2c(cc3c(c2)c(C)c(C#C[*])n3)CC1,23.61
[*]c1ccc(-c2oc([*])cc2)cc1,0,n1cc(N2CC3(CC2)CN(C(OC(C)(C)C)=O)C3)cc(N2CC(OCCCc3ccccc3)C2)c1,[*]c1ccc(-c2oc([*])cc2)cc1,9.77
C1C(c2nc([*])[nH]c2)CCN(CC[*])C1,0,n1cc(N2CCC3(CN(C(CCc4c[nH]c5c4cccc5)=O)C3)C2)cc(C#CCCCCCC)c1,C1C(c2nc([*])[nH]c2)CCN(CC[*])C1,8.16
c1([*])cc(Cl)nc(N2CCC(N3CCN(C(C4CCCN5CCCC[*])CC4)=N3)CC2)c1,0,C(CCCCC)C#Cc1cc(N2CC3(CC2)CN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C3)cnc1,c1([*])cc(Cl)nc(N2CCC(N3CCN(C(C4CCCN5CCCC[*])CC4)=N3)CC2)c1,32.09
C1CN2C(=O)C(c3cc(OC)c([*])cc3)NC2C(C)C1C=CC(N1CCC(C[*])CC1)=O,0,C1CN(c2cncc(C#CCCCCCC)c2)CC12CN(C(c1c([N+]([O-])=O)cc3c(c1)OCO3)=O)C2,C1CN2C(=O)C(c3cc(OC)c([*])cc3)NC2C(C)C1C=CC(N1CCC(C[*])CC1)=O,33.84
C1(c2nc(C)nc(-n3c([*])ccc3)c2)CCCN1CCC[*],0,c1c(C#CCCCCCC)cncc1N1CC2(CN(C(=O)c3cc4c(cc3)OCO4)C2)CC1,C1(c2nc(C)nc(-n3c([*])ccc3)c2)CCCN1CCC[*],16.63
[*]N1CCC(n2cc(C(=O)N3CCN(CC[*])CC3)c(Cl)n2)CC1,0,O=[N+]([O-])c1cc(CN2CC3(C2)CCN(c2cncc(C#CCCCCCC)c2)C3)cc([N+](=O)[O-])c1,[*]N1CCC(n2cc(C(=O)N3CCN(CC[*])CC3)c(Cl)n2)CC1,15.09
c1cc([*])c2nc(N)n(C3CCC([*])CC3)c2n1,0,C1C2(CN(c3cc(N4CC(OCCCCCC)C4)cnc3)CC2)CN1C(=O)OC(C)(C)C,c1cc([*])c2nc(N)n(C3CCC([*])CC3)c2n1,13.23
c1([*])oc2c(n1)cc(C#CC[*])cc2,0,c1ccc(C#Cc2cc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+]([O-])=O)c5)C4)C3)cnc2)cc1,c1([*])oc2c(n1)cc(C#CC[*])cc2,11.97
c1([*])ccc(CC(=O)N2CCC(C[*])CC2)cc1,0,c1c(C#Cc2ccccc2)cc(N2CCC3(CNC3)C2)cn1,c1([*])ccc(CC(=O)N2CCC(C[*])CC2)cc1,9.07
O=C(Nc1ccc(C[*])cc1)Nc1cc(F)c([*])cc1,0,n1c(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cccc1Br,O=C(Nc1ccc(C[*])cc1)Nc1cc(F)c([*])cc1,14.63
c1([*])nnc(NC(c2cc3c(cc2)n(C)c([*])n3)=O)cc1,0,c1cc(-c2cncc(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)c2)ccc1F,c1([*])nnc(NC(c2cc3c(cc2)n(C)c([*])n3)=O)cc1,8.64
c12c([*])cccn1nc(-c1ccc(C(=O)N3CCC([*])CC3)cc1)c2,0,CC(C)(OC(N1CC2(C1)CCN(c1cncc(Br)c1)C2)=O)C,c12c([*])cccn1nc(-c1ccc(C(=O)N3CCC([*])CC3)cc1)c2,16.79
c1(C(NC2CC3CCC(N3c3nccc([*])c3)=C2C#N)=O)ccc([*])cc1,0,c1(C#Cc2ccccc2)cncc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)c1,c1(C(NC2CC3CCC(N3c3nccc([*])c3)=C2C#N)=O)ccc([*])cc1,21.27
c12c(-c3c(C)cc([*])cc3)ccc([*])c1[nH]cn2,0,n1cc(N2CC3(CC2)CN(C(OC(C)(C)C)=O)C3)cc(N2CC(OCCCc3ccccc3)C2)c1,c12c(-c3c(C)cc([*])cc3)ccc([*])c1[nH]cn2,14.68
c1c(C)c2cc(-c3nn(C[*])c(=O)cc3)ccc2n1CCCC[*],0,n1cc(N2CCC3(CN(C(CCc4c[nH]c5c4cccc5)=O)C3)C2)cc(C#CCCCCCC)c1,c1c(C)c2cc(-c3nn(C[*])c(=O)cc3)ccc2n1CCCC[*],20.42
C1CN(CC2CCCN2[*])C(Cc2ccc([*])cc2)C1,0,C(CCCCC)C#Cc1cc(N2CC3(CC2)CN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C3)cnc1,C1CN(CC2CCCN2[*])C(Cc2ccc([*])cc2)C1,14.31
n1(CC2CCCN2C(C2CCCN2C(=O)C([*])C)=O)cc(C=C2C(=O)Nc3ccc([*])cc32)c(C)n1,0,C1CN(c2cncc(C#CCCCCCC)c2)CC12CN(C(c1c([N+]([O-])=O)cc3c(c1)OCO3)=O)C2,n1(CC2CCCN2C(C2CCCN2C(=O)C([*])C)=O)cc(C=C2C(=O)Nc3ccc([*])cc32)c(C)n1,23.6
C1CC2(c3n(C)c(C[*])nn3)CCC1(CC)CN2CCC[*],0,c1c(C#CCCCCCC)cncc1N1CC2(CN(C(=O)c3cc4c(cc3)OCO4)C2)CC1,C1CC2(c3n(C)c(C[*])nn3)CCC1(CC)CN2CCC[*],22.07
C1(=O)N(c2c(C(N)C[*])cccc2)CCN1CCC[*],0,O=[N+]([O-])c1cc(CN2CC3(C2)CCN(c2cncc(C#CCCCCCC)c2)C3)cc([N+](=O)[O-])c1,C1(=O)N(c2c(C(N)C[*])cccc2)CCN1CCC[*],19.52
c1nc([*])ncc1C#Cc1ccc([*])cc1,0,C1C2(CN(c3cc(N4CC(OCCCCCC)C4)cnc3)CC2)CN1C(=O)OC(C)(C)C,c1nc([*])ncc1C#Cc1ccc([*])cc1,9.56
[*]c1ccc(CN2CCN([*])CC2)o1,0,c1ccc(C#Cc2cc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+]([O-])=O)c5)C4)C3)cnc2)cc1,[*]c1ccc(CN2CCN([*])CC2)o1,9.83
C(N1CCC([*])CC1)c1cc(Cl)cc([*])c1,0,c1c(C#Cc2ccccc2)cc(N2CCC3(CNC3)C2)cn1,C(N1CCC([*])CC1)c1cc(Cl)cc([*])c1,11.13
O=C(c1c(C)n(CCCN(C)CC)c(C)c1C(NCC[*])=O)NCc1cc(Cl)cc([*])c1,0,n1c(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cccc1Br,O=C(c1c(C)n(CCCN(C)CC)c(C)c1C(NCC[*])=O)NCc1cc(Cl)cc([*])c1,24.15
c1([*])cn(C)c(=O)n1Cc1cccc([*])c1,0,c1cc(-c2cncc(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)c2)ccc1F,c1([*])cn(C)c(=O)n1Cc1cccc([*])c1,6.94
c1(C(C2N(c3ccc(C[*])cc3)C(=O)CNC2)=O)c(Cl)ccc(C(C)(C)C)c1C(=O)N1CCC([*])CC1,0,CC(C)(OC(N1CC2(C1)CCN(c1cncc(Br)c1)C2)=O)C,c1(C(C2N(c3ccc(C[*])cc3)C(=O)CNC2)=O)c(Cl)ccc(C(C)(C)C)c1C(=O)N1CCC([*])CC1,17.04
[*]c1ccc(C#Cc2cc([*])cnc2)nn1,0,c1(C#Cc2ccccc2)cncc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)c1,[*]c1ccc(C#Cc2cc([*])cnc2)nn1,10.82
c12n(C)c([*])cc1cc(C#C[*])cc2,0,n1cc(N2CC3(CC2)CN(C(OC(C)(C)C)=O)C3)cc(N2CC(OCCCc3ccccc3)C2)c1,c12n(C)c([*])cc1cc(C#C[*])cc2,13.26
c1c(C2CC2C[*])cc(C#CC#C[*])cc1,0,n1cc(N2CCC3(CN(C(CCc4c[nH]c5c4cccc5)=O)C3)C2)cc(C#CCCCCCC)c1,c1c(C2CC2C[*])cc(C#CC#C[*])cc1,15.1
c1cc([*])ccc1N1CCC(CO)([*])CC1,0,C(CCCCC)C#Cc1cc(N2CC3(CC2)CN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C3)cnc1,c1cc([*])ccc1N1CCC(CO)([*])CC1,8.75
c1(C2=CCN(C(=O)CN3CCC([*])C3)C2)ccc([*])cc1,0,C1CN(c2cncc(C#CCCCCCC)c2)CC12CN(C(c1c([N+]([O-])=O)cc3c(c1)OCO3)=O)C2,c1(C2=CCN(C(=O)CN3CCC([*])C3)C2)ccc([*])cc1,10.69
C1CCC(NC(c2cn(C)c([*])c2)=O)CC1CN1CCCC([*])C1,0,c1c(C#CCCCCCC)cncc1N1CC2(CN(C(=O)c3cc4c(cc3)OCO4)C2)CC1,C1CCC(NC(c2cn(C)c([*])c2)=O)CC1CN1CCCC([*])C1,17.72
n1c(CN2CCC([*])CC2)cn(CCCN2CCN(CC[*])CC2)c1,0,O=[N+]([O-])c1cc(CN2CC3(C2)CCN(c2cncc(C#CCCCCCC)c2)C3)cc([N+](=O)[O-])c1,n1c(CN2CCC([*])CC2)cn(CCCN2CCN(CC[*])CC2)c1,14.21
c1c(C)c([*])cc(NC(c2cc([*])ccc2)=O)c1,0,C1C2(CN(c3cc(N4CC(OCCCCCC)C4)cnc3)CC2)CN1C(=O)OC(C)(C)C,c1c(C)c([*])cc(NC(c2cc([*])ccc2)=O)c1,8.81
c1c([*])ccc(N2CCN(CCCCN3CCC([*])CC3)C(=O)C2)c1,0,c1ccc(C#Cc2cc(N3CCC4(CN(C(=O)c5cc([N+](=O)[O-])cc([N+]([O-])=O)c5)C4)C3)cnc2)cc1,c1c([*])ccc(N2CCN(CCCCN3CCC([*])CC3)C(=O)C2)c1,14.33
C1(C(Nc2c(Cl)ccc(C#C[*])c2)=O)CCC(C[*])CC1,0,c1c(C#Cc2ccccc2)cc(N2CCC3(CNC3)C2)cn1,C1(C(Nc2c(Cl)ccc(C#C[*])c2)=O)CCC(C[*])CC1,15.18
[*]c1c(COc2cccc([*])c2)c(C(C)C)sc1,0,n1c(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)cccc1Br,[*]c1c(COc2cccc([*])c2)c(C(C)C)sc1,16.62
c1([*])nc(C)nc(NC(=O)c2cccc([*])c2)c1,0,c1cc(-c2cncc(N3CC4(CC3)CN(C(OC(C)(C)C)=O)C4)c2)ccc1F,c1([*])nc(C)nc(NC(=O)c2cccc([*])c2)c1,8.45
c1(C)c(C(=O)NS(c2ccc([*])s2)(=O)=O)ccc(C[*])c1,0,CC(C)(OC(N1CC2(C1)CCN(c1cncc(Br)c1)C2)=O)C,c1(C)c(C(=O)NS(c2ccc([*])s2)(=O)=O)ccc(C[*])c1,16.15
C1(c2[nH]c(=O)n(C[*])n2)c2c(ccc([*])c2)CC1,0,c1(C#Cc2ccccc2)cncc(N2CCC3(CN(C(=O)OC(C)(C)C)C3)C2)c1,C1(c2[nH]c(=O)n(C[*])n2)c2c(ccc([*])c2)CC1,11.6
[*]c1ccc(CN[*])cc1C#N,0,n1cc(N2CC3(CC2)CN(C(OC(C)(C)C)=O)C3)cc(N2CC(OCCCc3ccccc3)C2)c1,[*]c1ccc(CN[*])cc1C#N,6.68
c1c2c(c(=O)c(C(=O)N3CCN(C(=O)[*])CC3)cn2CCC[*])c(C)c(C)c1,0,n1cc(N2CCC3(CN(C(CCc4c[nH]c5c4cccc5)=O)C3)C2)cc(C#CCCCCCC)c1,c1c2c(c(=O)c(C(=O)N3CCN(C(=O)[*])CC3)cn2CCC[*])c(C)c(C)c1,26.79
c1c([*])ccc(N2CCC(CN3CCC(c4ccc([*])cc4)CC3)CC2)c1,0,C(CCCCC)C#Cc1cc(N2CC3(CC2)CN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C3)cnc1,c1c([*])ccc(N2CCC(CN3CCC(c4ccc([*])cc4)CC3)CC2)c1,6.51
O=C(N1CCCC1C(N1CCN(c2ccc([*])cn2)CC1)=O)C[*],0,C1CN(c2cncc(C#CCCCCCC)c2)CC12CN(C(c1c([N+]([O-])=O)cc3c(c1)OCO3)=O)C2,O=C(N1CCCC1C(N1CCN(c2ccc([*])cn2)CC1)=O)C[*],15.89
n1c([*])[nH]c(=O)n1C1CCCN(CCN2CCCC2C[*])CC1,0,c1c(C#CCCCCCC)cncc1N1CC2(CN(C(=O)c3cc4c(cc3)OCO4)C2)CC1,n1c([*])[nH]c(=O)n1C1CCCN(CCN2CCCC2C[*])CC1,15.79
N1(c2ccc([*])cc2F)C(C(N2CCN(CCC[*])CC2)=O)CC1,0,O=[N+]([O-])c1cc(CN2CC3(C2)CCN(c2cncc(C#CCCCCCC)c2)C3)cc([N+](=O)[O-])c1,N1(c2ccc([*])cc2F)C(C(N2CCN(CCC[*])CC2)=O)CC1,18.28
