SMILES,SMILES_state,Warheads,Linker,NLL
[*]c[*]cncc1[*],0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,[*]c[*]cncc1[*],4.5
[*]C(C)(C)C(=O)[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,[*]C(C)(C)C(=O)[*],7.44
[*]C(C)(C)O[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,[*]C(C)(C)O[*],2.37
[*]Cn1cnc(C#CCOC(C)(C)O[*])c1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,[*]Cn1cnc(C#CCOC(C)(C)O[*])c1,23.25
[*]C(C)(C)OC(=O)N1CC2(C1)CN(c1ccc(C#Cc3cccc4ccc([*])nc34)cc1)C2,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,[*]C(C)(C)OC(=O)N1CC2(C1)CN(c1ccc(C#Cc3cccc4ccc([*])nc34)cc1)C2,16.38
[*]C(C)(C)OC(=O)N1CC(Oc2cnc(N3CC(OC4CCOC4)C3)cn2)C1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,[*]C(C)(C)OC(=O)N1CC(Oc2cnc(N3CC(OC4CCOC4)C3)cn2)C1,17.03
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,[*]CC[*],1.14
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CCC[*],1.82
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,[*]CC[*],1.22
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,[*]CC[*],1.14
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CC[*],1.13
[*]CCC[*],0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,[*]CCC[*],2.35
[*]C(=O)C(=O)OC(Cc1cncc(C#Cc2ccccc2)c1)N1CC2(C1)CN(c1ccnc(C#Cc3ccccc3)c1)C2,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,[*]C(=O)C(=O)OC(Cc1cncc(C#Cc2ccccc2)c1)N1CC2(C1)CN(c1ccnc(C#Cc3ccccc3)c1)C2,14.97
[*]c[*],0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,[*]c[*],2.88
[*]C(O)(C(C)CC)[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,[*]C(O)(C(C)CC)[*],13.87
[*]C(C)(C)C(=O)N1CCC(c2nccnc2-c2cccc(-c3ccc([*])nc3)c2)C1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,[*]C(C)(C)C(=O)N1CCC(c2nccnc2-c2cccc(-c3ccc([*])nc3)c2)C1,26.1
[*]NC(C)(C)COC(C)(C)C1COC(=CC2CC2(C)N2C(=O)N2C3(CN(C(C)(C)C)C3)C2)COC1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,[*]NC(C)(C)COC(C)(C)C1COC(=CC2CC2(C)N2C(=O)N2C3(CN(C(C)(C)C)C3)C2)COC1,55.78
[*]C#Cc1cc2c(cnc3ccnn32)cc1C#C[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,[*]C#Cc1cc2c(cnc3ccnn32)cc1C#C[*],18.92
[*]C(C)(C)CN[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,[*]C(C)(C)CN[*],9.82
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,[*]CCC[*],1.89
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CC[*],1.22
