SMILES,SMILES_state,Warheads,Linker,NLL
[*]CC[*],0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,[*]CC[*],2.44
[*]C(F)COC(=O)[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,[*]C(F)COC(=O)[*],10.52
[*]Cn1nc([*])cc1C,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,[*]Cn1nc([*])cc1C,9.04
[*]CC(C)(C)OC(=O)N1CC2(O)CN(c3ccnc(Oc4cnn5c(ccc6cccc([*])c65)c45)c3)CC2C1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,[*]CC(C)(C)OC(=O)N1CC2(O)CN(c3ccnc(Oc4cnn5c(ccc6cccc([*])c65)c45)c3)CC2C1,38.73
[*]C(C)(C)OC(=O)N1CC2(CCN(c3ccc([*])cc3)C2)C1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,[*]C(C)(C)OC(=O)N1CC2(CCN(c3ccc([*])cc3)C2)C1,8.93
[*]Cn1cc([*])c2c(ccn2C2CC2)c1=O,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,[*]Cn1cc([*])c2c(ccn2C2CC2)c1=O,16.88
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,[*]CCC[*],1.89
[*]CCCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CCCC[*],2.45
[*]CCCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,[*]CCCC[*],2.72
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,[*]CCC[*],1.97
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CCC[*],1.8
[*]OC1CN1c1cnc(N2CCC3(C2)CN(c2ccc([*])cc2)C3)cn1,0,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,[*]OC1CN1c1cnc(N2CCC3(C2)CN(c2ccc([*])cc2)C3)cn1,21.8
