SMILES,SMILES_state,Warheads,Linker,NLL
[*]CCC[*],0,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,[*]CCC[*],4.77
[*]C(C)(C)O[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,[*]C(C)(C)O[*],3.86
[*]C(C)(C)O[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,[*]C(C)(C)O[*],2.37
[*]CC[C@@](C)(O)[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,[*]CC[C@@](C)(O)[*],10.27
[*]C(C)(C)OCCC(C)(C)OC(C)(C)C(C)(C)OC(=O)N1CC2(C)CC(CCN2C(=O)[*])C1,0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,[*]C(C)(C)OCCC(C)(C)OC(C)(C)C(C)(C)OC(=O)N1CC2(C)CC(CCN2C(=O)[*])C1,25.09
[*]NC(C)(C)OC(=O)[*],0,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,[*]NC(C)(C)OC(=O)[*],9.43
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,[*]CC[*],1.14
[*]CCc1cncc(N2CC3(C2)CN(C(=O)c2c(C)cc([N+](=O)[O-])cc2[N+](=O)[O-])C3)c1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,[*]CCc1cncc(N2CC3(C2)CN(C(=O)c2c(C)cc([N+](=O)[O-])cc2[N+](=O)[O-])C3)c1,16.01
[*]CC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,[*]CC[*],1.22
[*]CCC[*],0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,[*]CCC[*],1.97
