SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
NC(=O)C1(N)CCN(c2cncc(C#Cc3ccccc3)c2)CC1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.6341463414634146,6.95
N#Cc1ccc(N2CCC3(CC2)CN(C(=O)OC2CCCC2)C3)nc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.3333333333333333,8.57
Oc1ccc(-c2cncc(N3CCC4(CCN(CC5CC5)C4)CC3)n2)cc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.30833333333333335,16.56
CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1C[C@@H](Nc1cncc(C#N)c1)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.3368421052631579,9.41
C(#Cc1cncc(N2CCC3(CC2)CCN(c2ncccn2)C3)c1)c1cccnc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.47619047619047616,9.74
c1cncc(CCCOC2CN(c3cncc(N4CCCCC4)c3)C2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.4915254237288136,8.74
CC(C)C1CN(C(=O)NCCc2c[nH]c3ncccc23)CCN1c1cncc(C#CCC2=CCNCC2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.36538461538461536,24.07
Nn1cc(C(=O)N2CC3(CCN(c4cncc(C#CC5CC5)c4)CC3)C2)c2ccccc21,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.45,18.74
O=C(c1cc2c(cc1[N+](=O)[O-])OCO2)N1CC2(CCCN(c3ccccn3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.5245901639344263,11.95
O=C(c1ccccn1)N1CCC2(CC1)CN(c1cncc(C#CC3CC3)c1)C2,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.4424778761061947,12.19
CN1CCN(c2cncc(N3CCC4(CCN(Cc5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)C4)C3)n2)CC1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.4740740740740741,10.81
CCCCOC(=O)N1CCC2(CCN(c3cncc(N4CCC(O)CC4)c3)C2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.49137931034482757,10.82
C(#Cc1cncc(N2CC3(CCN(CC4CCCN4)C3)C2)c1)c1cccnc1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.48,9.32
C(#Cc1cncc(N2CCC3(CC2)COC3)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7051282051282052,7.79
Cc1cccnc1N1CCC2(CC1)CN(C(=O)OC(C)(C)C)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.5569620253164557,5.28
O=C1COCCN1c1cncc(-c2cncc(-c3ccc(F)cc3)c2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.38738738738738737,10.29
Brc1cncc(N2CCC3(CCCO3)C2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.44594594594594594,11.0
C(#Cc1cncc(N2CCC3(CCOC3)CC2)c1)c1cccnc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.5054945054945055,7.76
CNC(=O)N1CC2(CCN(c3cncc(N4CCC[C@H](OCCCc5cccnc5)C4)c3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.5227272727272727,9.6
O=C(Cc1ccc2ccccc2c1)N1CC2(CCN(c3cncc(C#CCCN4CCOCC4)c3)CC2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.436241610738255,10.42
O=C1[C@H](C2CC3CN(c4ccncc4)CC3C2)N1c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3357142857142857,22.64
CN(C(=O)N1CCC2(CC1)CCN(c1cncc(C#CC3COC3)c1)C2)c1ccccc1[N+](=O)[O-],1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.4225352112676056,17.9
Nc1cncc(N2CCC3(CC2)CN(C(=O)c2ccc4c(c2)OCO4)C3)n1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.5263157894736842,7.73
O=[N+]([O-])c1cc(I)cc(CN2CC3(CCN(c4cccc(-c5nnn[nH]5)c4)CC3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3722627737226277,14.7
CCOC(=O)N1CCC2(CC1)CCN(c1cncc(N3CC(C)OC(C)C3)c1)C2,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.4576271186440678,7.49
COc1cccc(C#Cc2cncc(N3CCC4(CCN(C(=O)c5cccc([N+](=O)[O-])c5)C4)CC3)n2)c1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.46153846153846156,17.22
NC1CCCN(c2cccc(C#Cc3cccnc3)c2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.4431818181818182,10.08
N#Cc1cccnc1N1CC2(CCN(c3cccc(Br)n3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.40217391304347827,7.32
N#Cc1cncc(-c2ccc(N3CCC4(CC3)CN(C(N)=O)C4)nc2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.4074074074074074,11.3
Cc1cn(CC(=O)N2CCC3(CC2)CN(c2ccnc(C(F)(F)F)c2)C3)cn1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.2892561983471074,13.52
CN1CCC2(CC1)CCN(c1cncc(C#Cc3ccccc3)c1)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7160493827160493,6.27
O=C(OC1CCCC1)N1CCC2(CC1)CN(c1cncc(N3C[C@H](O)C[C@H](O)C3)c1)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.3798449612403101,14.37
C[C@@H](#Cc1cccnc1)C(=O)N1CC2(CCN(c3cncc(C#CC4CC4)c3)CC2)C1,0,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,-1,12.11
N#Cc1cc(C(=O)N2CC3(CCN(c4cncc(Oc5ccccc5)c4)CC3)C2)cc([N+](=O)[O-])c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.5905511811023622,11.26
N#Cc1cncc(N2CCC3(CCN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.6695652173913044,12.4
CCOC(=O)c1cnc(N2CCC3(CCN(C(=O)c4ccc5c(c4)OCO5)CC3)C2)nc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.45384615384615384,15.81
CCOC(=O)c1ccnc(N2CCC3(CCN(Cc4cc(N)cc([N+](=O)[O-])c4)CC3)C2)n1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.35714285714285715,14.41
COC1CCC(COC2CN(c3cncc(N4CCN(C(=O)OC(C)(C)C)CC4)c3)C2)CC1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.4918032786885246,13.13
N#Cc1cccc(C(=O)N2CCC3(CCN(c4cncc(C#Cc5cnccn5)c4)C3)C2)c1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.48507462686567165,9.77
CN1C[C@@]2(CCN(c3ccncc3C#Cc3ccncc3)C2)C1=O,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.3235294117647059,19.06
CC(C)c1cn(C(=O)N2CC3(CCN(c4cccc(C5CC5)n4)CC3)C2)cn1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.3627450980392157,13.0
CC(=O)N1CC2(CCN(c3cncc(-c4cccnc4F)c3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.46078431372549017,9.05
CCc1nc(N2CC3(CCN(C(=O)OC(C)(C)C)CC3)C2)ncc1C#N,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.42391304347826086,13.56
C(#Cc1ccc(N2CCC3(CC2)OCCO3)cn1)c1cccnc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.37,7.48
O=C(O)C1CCN(c2cncc(N3CC(OCCCc4ccncc4)C3)c2)CC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.4878048780487805,7.33
