SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
CN1CCC2(CCN(c3cncc(C#Cc4ccccc4)c3)CC2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.6746987951807228,4.59
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(c1cccc(C(F)(F)F)n1)CC2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.5054945054945055,4.1
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4cccc(C(F)(F)F)c4)c3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.6274509803921569,5.79
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(c1cc(Cl)ccn1)CC2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.4444444444444444,4.25
CN1CCN(c2cncc(C#Cc3ccccc3)c2)CC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.6282051282051282,2.47
O=C(O)C1CCN(c2cncc(N3CC(OCCCc4ccccc4)C3)c2)CC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.6052631578947368,2.43
COc1ccc(CCC(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.6160714285714286,5.12
COc1ccc(C#Cc2cncc(N3CCC4(CCN(C(=O)c5cc(C(C)C)cc([N+](=O)[O-])c5)C4)C3)c2)cn1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.5661764705882353,4.83
COc1ccc(C(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1OC,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.639344262295082,4.03
COc1ccc(C(=O)N2CC3(CCN(c4cncc(C#CCO)c4)C3)C2)cc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.543859649122807,3.52
COc1ccc(CN2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.5918367346938775,3.69
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(OC4CCCC4)c3)C2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.6585365853658537,3.38
CC(C)(C)c1ccc(C(=O)N2CC3(CCN(c4cncc(C#Cc5ccccc5)c4)C3)C2)cc1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.7047619047619048,4.65
