SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
CC1(C)CN(c2cncc(C#Cc3ccccc3)c2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.6486486486486487,8.39
Cc1cccc(N2CCC3(CC2)CN(C(=O)OC(C)(C)C)C3)n1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.684931506849315,3.29
Cc1cc(C)cc(-c2cncc(N3CCC4(CC3)CN(C(=O)OC(C)(C)C)C4)c2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.594059405940594,7.68
Cc1cncc(N2CCC3(CC2)CN(C(=O)OC(C)(C)C)C3)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.684931506849315,3.95
N#Cc1cccc(C#Cc2cncc(N3CCC4(CC3)CC(O)C4)c2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.5217391304347826,13.87
c1ccc(CCCOC2CN(c3cncc(N4CCNCC4)c3)C2)cc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.6,3.18
CCOCCNC(=O)N1CC2(CCN(c3cncc(C#CC(C)(C)O)c3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.5,16.45
CCCCCCC#Cc1cncc(N2CCN(C(=O)c3cccc([N+](=O)[O-])c3)C(C)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.5483870967741935,9.03
COc1cc2c(cc1C(=O)N1CC3(CCN(c4cncc(C#CCC(C)(C)O)c4)C3)C1)OCO2,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.6178861788617886,10.13
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cccc(OC)c4O)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.6166666666666667,9.94
CCCCCC#Cc1cncc(N2CCC3(CN(Cc4cccc([N+](=O)[O-])c4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.7407407407407407,6.19
CC1(C)C(=O)N(C2CC2)CCN1c1cncc(N2CC(OCCOCCF)C2)c1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.39344262295081966,19.03
CC(C)(O)c1ccc(C#Cc2cncc(N3CCC4(CC3)CN(C(=O)c3cc(C#N)cc([N+](=O)[O-])c3)C4)c2)cc1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.5735294117647058,9.12
NC1CC2(CCCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.7088607594936709,8.68
Cc1ccc(N2CCC3(CCN(C(=O)OC(C)(C)C)C3)C2)nc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.5897435897435898,4.28
CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1CN(c1cncc(-c3ccc(OC(F)(F)F)cc3)c1)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.5045045045045045,8.81
Cc1cnc(N2CCC3(CC2)CN(C(=O)OC(C)(C)C)C3)cc1C#N,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.5058823529411764,7.1
CN1CC2(CCN(c3cncc(C#Cc4ccc(F)cc4)c3)C2)C1=O,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.4891304347826087,7.46
O=C(O)C1CCN(c2cncc(N3CC(OCCCc4ccc(F)cc4)C3)c2)CC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.48,6.21
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)OC)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.6346153846153846,6.58
CCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4ccc([N+](=O)[O-])cc4)CC3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.6048387096774194,6.78
CC(C)(C)OC(=O)c1cncc(N2CCC3(CC2)CN(C(=O)Nc2cc(O)cc(C(F)(F)F)c2)C3)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.41935483870967744,22.61
CCCCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4ccc5[nH]ccc5c4)CC3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.6311475409836066,6.34
CCCCCCC#Cc1cncc(N2CCC3(CC2)CN(Cc2ccc([N+](=O)[O-])cc2)C3)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.6581196581196581,4.6
CC(C)(C)OC(=O)N1CCC2(CCN(c3cncc(N4CCC(O)CC4)c3)C2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.5604395604395604,5.66
C=C(C)c1cncc(N2CCC3(CCN(C(=O)c4cc(#N)cc(C(F)(F)F)c4)C3)C2)c1,0,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,-1,18.38
CN1CC2(C1)CN(c1cncc(C#Cc3ccccc3)c1)C2,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.6842105263157895,4.82
Cc1ccc(N2CCC3(CCN(C(=O)OC(C)(C)C)C3)CC2)cc1C,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.4659090909090909,10.19
Cc1cncc(N2CCC3(CC2)CN(C(=O)OC(C)(C)C)C3)n1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.5769230769230769,10.4
