SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
NC(=O)C1(c2cccnc2)CCN(c2cncc(C#Cc3ccccc3)c2)CC1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.5306122448979592,11.01
Cn1cc(C(=O)N2CCC3(CCN(c4cccc(Br)n4)CC3(C)C)C2)cn1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.44680851063829785,17.4
C[C@]1(CO)CCN(c2cncc(-c3cccnc3)c2)C[C@]1(C)O,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.3619047619047619,14.01
Cn1cc(C(=O)N2CCC3(CC2)CCN(c2ccc(-c4nnn[nH]4)cn2)C3)cn1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.29365079365079366,11.82
NC(=O)CN1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)n3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.4117647058823529,13.96
O=C(O)C1CCN(c2cncc(N3CC[C@@H](OCCCc4ccncc4)C3)n2)CC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.35507246376811596,7.95
CCCCC#Cc1cncc(N2CCC3(CCN(C(=O)c4cnn(C)c4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.5517241379310345,8.16
O=C(O)c1cc(C(=O)N2CCC3(CCN(c4cncc(C#Cc5cc[n+]([O-])cc5)c4)CC3)C2)on1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.4195804195804196,22.5
O=C(c1cc2c(cc1[N+](=O)[O-])OCO2)N1CC2(CCN(c3cnccn3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.591304347826087,11.45
O=C(c1ccc2[nH]ncc2c1)N1CC2(CCN(c3ccncc3C#CC3CC3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.3969465648854962,12.64
COC(=O)c1cncc(N2CC3(CCN(Cc4cncc(C#CCC(C)(C)N)c4)C3)C2)n1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3870967741935484,18.36
CCCCC(=O)N1CCC2(CC1)CCN(c1cncc(N3CC(OC)C3)c1)C2,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.5363636363636364,9.17
COc1cc(C#Cc2cccnc2)cnc1N1CCC2(CC1)CN(C(=O)Nc1cc(C(N)=O)cc([N+](=O)[O-])c1)C2,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.4726027397260274,12.07
CC(O)(CO)N1CCC2(CCN(c3cccnc3-c3ccccc3)C2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.3418803418803419,17.56
Cc1ccnc(N2CCC3(CC2)CN(C(=O)OC(C)(C)C)C3)n1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.5375,4.38
CC(C)(C#N)NC(=O)N1CC2(CCN(c3cc(-c4cccnc4)ccn3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.44036697247706424,12.86
CC(C)(C)OC(=O)N1CCC2(CC1)CCN(c1ccc(C#N)cn1)C2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.5116279069767442,9.22
O=C1OC2(CCN(c3cncc(C#Cc4cccnc4)c3)CC2)CN1C1CCCC1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.41284403669724773,12.55
NC(=O)N1CCOC2(CCN(c3cncc(N4CC(OC[C@H](N)Cc5ccccc5)C4)c3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.5037593984962406,20.63
C#CCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cn(C)c5cc(C#N)ccc45)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.49612403100775193,13.26
O=C(c1cc(Br)cc([N+](=O)[O-])c1)N1CCC2(CCN(S(=O)(=O)Cc3cccnc3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3897058823529412,9.64
C=CCCC#Cc1cncc(N2CCC3(CN(Cc4cccnc4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.48333333333333334,13.87
O=C1CC2(CCN(c3cncc(C#CC4CC4)n3)CC2)c2cc(CN3CCOCC3)ccc21,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.23717948717948717,16.18
NC(=O)c1cc(CN2CC=C(CN3CC34CCN(c3cncc(C#CCC5CC5)c3)C4)CC2)cc([N+](=O)[O-])c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.45517241379310347,22.31
CCCCCOC1CN(c2cncc(N3CCCN(C(=O)OC(C)(C)CO)CC3)n2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.5042735042735043,12.21
N#Cc1cc(C(=O)N2CCC3(CC2)CN(c2cccnc2)C3)cc([N+](=O)[O-])c1,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.4596774193548387,6.68
NC1CC2(CCN(c3ccncc3-c3cccc(F)c3)CC2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.3211009174311927,8.72
CCCc1cnn(-c2cccc(N3CCC4(CC3)CN(C(=O)OC(C)(C)C)C4)n2)c1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,0.5319148936170213,11.76
CC(=O)n1cc(-c2cncc(N3CCC4(CC3)CN(C(=O)OCC(C)(C)C)C4)c2)cn1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,0.4774774774774775,9.27
O=C(NC1CCCC1)N1CCC2(CC1)CN(c1cncc(Cl)c1)CCO2,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,0.29523809523809524,13.84
O=C(c1cccnc1)N1COC2(CCN(c3cc(C#Cc4cccnc4)cnn3)CC2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.3776223776223776,17.7
c1ccc(CCCOC2CN(c3ccncc3)CCO2)cc1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,0.36363636363636365,5.15
O=C1CC(C(=O)N2CC3(CCN(c4cncc(C#Cc5cccc(F)c5)c4)C3)C2)CCN1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)CCc4c[nH]c5ccccc45)C3)C2)c1,0.5130434782608696,15.78
COCCCC#Cc1cncc(N2CC3(CCN(Cc4cc(C(=O)OC)on4)CC3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.4351145038167939,13.15
O=C(c1ccc(Br)cc1)N1CCOC2(CCN(c3cncc(-c4cnoc4)c3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4cc5c(cc4[N+](=O)[O-])OCO5)C3)C2)c1,0.4067796610169492,16.76
COCC(=O)N1CCC2(CC1)CC(Nc1cncc(C#C[C@@H]3CCCN3)c1)C2,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,0.26356589147286824,13.35
COC(=O)C(C)(C)C#Cc1cncc(N2CC3(CCN(Cc4cc(N)nc(C#N)c4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.4262295081967213,16.05
CCNC(=O)N1CC2(CCN(c3cncc(N4CC(OC)C4)n3)CC2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,0.3728813559322034,8.8
N#CCN1C(=O)CC12CCN(c1cccc(C#Cc3ccncc3)c1)CC2,1,O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,0.38461538461538464,14.41
NCC1CN(c2cc(C#Cc3ccccn3)cnn2)C1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,0.28125,9.93
