SMILES,SMILES_state,Input_SMILES,Tanimoto,NLL
c1cncc(N2CCC3(CN(CC4CCCCC4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2578125,3.89
Cc1ncc(CN2CCC3(CCN(c4ccc(C#N)cn4)C3)C2)cn1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2835820895522388,4.3
COc1ncc(CN2CCC3(CCN(c4ccc(C#N)cn4)C3)C2)cn1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2773722627737226,4.44
Cc1cc(C#N)nc(C)c1CN1CCC2(CCN(c3ccc(C#N)cn3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2605633802816901,4.75
c1cncc(CN2CCC3(CCN(c4ccncc4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.27906976744186046,4.9
c1ccc(CN2CCC3(CCN(c4ccncc4)C3)C2)nc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.25,4.91
c1ccc(CN2CCC3(CCN(c4ccncc4)C3)C2)cc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2692307692307692,5.19
c1cncc(CN2CC3(C2)CN(CC2CCCCC2)C3)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.21212121212121213,5.22
COc1ncc(CN2CCC3(CCN(c4cncc(C#CC(C)(C)O)c4)C3)C2)cn1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.37037037037037035,5.27
c1ccc(CN2CCC3(CCN(c4cnccn4)C3)C2)nc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.24060150375939848,5.28
Cc1ncc(CN2CCC3(CCN(c4ccc(Cl)cn4)C3)C2)cn1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2706766917293233,5.31
COc1ccc(CN2CCC3(CCN(c4ccc(C#N)cn4)C3)C2)cc1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2773722627737226,5.34
Oc1cncc(CN2CCC3(CCN(c4ccc(F)cn4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3,5.35
Cc1cc(C#N)nc(C)c1CN1CCC2(CCN(c3ncc(C#N)cn3)C2)C1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.2605633802816901,5.36
COc1cncc(CN2CCC3(CCN(c4ccc(C#N)cn4)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(Cc4cc([N+](=O)[O-])cc([N+](=O)[O-])c4)C3)C2)c1,0.3157894736842105,5.37
