SMILES,SMILES_state,Masked_input_peptide,Fillers,NLL
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,1,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,8.46
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.69
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,20.03
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,13.21
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,14.99
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,1,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.57
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,1,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,21.24
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,1,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,11.12
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,13.22
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,10.06
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,18.95
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,10.48
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,10.5
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,10.91
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.74
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,10.82
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,19.75
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.22
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,21.88
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,9.66
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,8.71
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,11.01
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,9.84
CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,2,CCCCCCOC1CN(c2cncc(N3CCC4(CN(C(=O)OC(C)(C)C)C4)C3)c2)C1,,8.81
C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,2,C(#Cc1cncc(N2CCC3(CNC3)C2)c1)c1ccccc1,,13.65
CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cccc(Br)n3)C2)C1,,9.43
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(-c4ccc(F)cc4)c3)C2)C1,,17.2
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(Br)c3)C2)C1,,7.85
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(C#Cc4ccccc4)c3)C2)C1,,9.69
CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,2,CC(C)(C)OC(=O)N1CC2(CCN(c3cncc(N4CC(OCCCc5ccccc5)C4)c3)C2)C1,,9.52
CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,2,CCCCCCC#Cc1cncc(N2CCC3(CN(C(=O)c4ccc5c(c4)OCO5)C3)C2)c1,,6.08
