SMILES,SMILES_state,NLL
O=C(C=Cc1ccc2c(c1)OCCO2)CCCCCCN1CCC(O)CC1,1,30.66
CC(C)=CCc1c2c(c(O)c3c1C1(CCCC1)C(C(=O)O)C3)C=CC(C)(C)O2,1,40.65
CCCCCCc1cc(-c2cc(OC)c(OC)c(OC)c2)cc2c1SC(C)C2(C)O,1,37.07
COc1cc(Cc2cc(N3CCCCCC3)ncn2)cc(OC)c1OC,1,27.33
Cc1cc(C)n(CC2CN(CC(C)Cc3ccncc3)CCO2)n1,1,25.87
N#Cc1ccc2cc(C(=O)N3CCN(c4ccccc4)CC3)[nH]c2c1,1,23.59
c1(C)c(COc2c(OC)cccc2)c2c(n1C)C(c1ccc(OC)cc1)N(c1cccc(=NC3CCOCC3)n1)C(=O)N2,0,52.04
CCOC(=O)N=c1[nH]c(=N)c2nc(C(C)NCCCCO)cnc2[nH]1,1,37.4
CC(=O)NN(C(=O)c1ccc(=O)n(C2CCCC2)c1)C(C)(C)C,1,29.74
COc1cc2[nH]cnc(=Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCC(N2CCCCC2)CC1,1,28.13
COc1ccc(CC2CN(Cc3ccccc3)c3ccccc3N2C(=O)c2cc(F)c(F)c(F)c2F)cc1OC,1,33.08
O=C(CN(CC1CCCO1)C(=O)c1ccccc1[N+](=O)[O-])NCCn1c(O)csc1=O,1,32.59
COc1ccc2c(c1)[S+]([O-])CC1C2=NOC1CC(=O)N1CCCCC1,1,37.04
N#Cc1cc(S(=O)(=O)C(F)(F)F)c([N+](=O)[O-])nc1COc1ccccc1C1OCCO1,1,40.39
CN(CC(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1ccc2ccccc2c1,1,27.14
O=C(NCCF)c1ccc(N2CCC3(CCNC3)C2=O)cn1,1,31.51
COc1ccc(-c2cc(F)ccc2Oc2nccc(N3CCN(S(=O)(=O)N4CCCCC4)CC3)c2C)cn1,1,42.56
N#Cc1ccc(NC(=O)CNC(=O)c2cnc(-c3ccccc3)s2)cc1,1,28.37
COc1ccc(Oc2cccc(-c3nc(C4CC4)nn3C3CCCCC3)c2)cc1,1,30.2
Cc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2C#N)cc1C,1,24.81
CCCc1nc(C)c(C(=O)NCC(N)=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)N=c2o[nH]c(C)c2C)cc1,1,30.3
CS(=O)(=O)c1cccc(-c2ncnc3[nH]cc(C#N)c23)c1,1,24.91
O=C(O)c1c(-c2ccc([N+](=O)[O-])cc2)[nH]c2c(F)cccc2c1=O,1,28.5
COc1cccc(NC(=O)N2CCC3(CCCN(Cc4ccc(C)s4)C3)C2)c1,1,30.66
COc1cccc2c1C(=O)C(C1C(=O)c3ccccc3C(OC(C)=O)C1=O)=N2,1,29.05
CCn1nc(-c2ccccc2)c2c1N1C=CC=CC1C2c1ccc(C)cc1,1,33.17
CCCCCCCOC(=O)C12CCCC(C)(CO1)C2,1,29.54
COc1ccc(C(c2nc(-c3ccccc3)no2)N2CCCCCCC2)cc1OC,1,34.04
COc1ccc(NC2CCCN(C(=O)COc3ccc(Br)cc3)C2)cc1,1,22.65
CCCCCCCCCCCCCCN1CC2CC(C1)CN(CCOC(c1ccccc1)c1ccccc1)C2,1,26.88
CCc1ccc(-c2nn(CC)c3sc4ccc(Br)cc4c23)nc1,1,41.29
COc1ccc2c(c1)CC(c1ccc(OC)c(Br)c1)=C2c1cccc(F)c1,1,28.95
N#Cc1cc(C#N)cc(Oc2c(C3CCOC3)ccc(-c3c[nH]c(=N)cn3)c2F)c1,1,25.91
C=CC(=O)Nc1cccc(Oc2nc(=NCCc3ccc(S(N)(=O)=O)cc3)c3ccccc3[nH]2)c1,1,30.27
Cc1nn2c(SCC(=O)N3CCN(c4ccccc4F)CC3)nc3ccccc3c2nc1=O,1,28.85
CC(C)Cc1cc(-c2ccccc2)c2ccc(CN3CC(C(=O)O)C3)cc2n1,1,25.28
CC(=O)N=c1[nH]c(C(=O)NN=Cc2ccc(N3CCOCC3)s2)cs1,1,29.01
O=C(Nc1cccc(-c2cn3ccccc3n2)c1)c1cc2ccccc2o1,1,24.01
